,NWS
2015-09-09,11.82082748413086
2015-09-10,11.66120433807373
2015-09-11,11.66120433807373
2015-09-14,11.527166366577148
2015-09-15,11.598654747009277
2015-09-16,11.616524696350098
2015-09-17,11.750563621520996
2015-09-18,11.464617729187012
2015-09-21,11.527166366577148
2015-09-22,11.536105155944824
2015-09-23,11.464617729187012
2015-09-24,11.509297370910645
2015-09-25,11.491423606872559
2015-09-28,11.116121292114258
2015-09-29,11.098251342773438
2015-09-30,11.455681800842285
2015-10-01,11.500361442565918
2015-10-02,11.741629600524902
2015-10-05,12.04544448852539
2015-10-06,12.107994079589844
2015-10-07,12.233094215393066
2015-10-08,12.599462509155273
2015-10-09,12.608399391174316
2015-10-12,12.590527534484863
2015-10-13,12.53691291809082
2015-10-14,12.679884910583496
2015-10-15,12.912215232849121
2015-10-16,13.108803749084473
2015-10-19,13.189224243164062
2015-10-20,13.216032981872559
2015-10-21,12.885409355163574
2015-10-22,13.260710716247559
2015-10-23,13.537721633911133
2015-10-26,13.269646644592285
2015-10-27,13.162416458129883
2015-10-28,13.42155647277832
2015-10-29,13.55559253692627
2015-10-30,13.832600593566895
2015-11-02,14.020255088806152
2015-11-03,13.913023948669434
2015-11-04,13.948768615722656
2015-11-05,13.752181053161621
2015-11-06,13.52878475189209
2015-11-09,13.117738723754883
2015-11-10,13.081995010375977
2015-11-11,13.037317276000977
2015-11-12,12.760306358337402
2015-11-13,12.474361419677734
2015-11-16,12.742435455322266
2015-11-17,12.715624809265137
2015-11-18,12.831793785095215
2015-11-19,12.742435455322266
2015-11-20,12.885409355163574
2015-11-23,12.921152114868164
2015-11-24,13.04625129699707
2015-11-25,13.04625129699707
2015-11-27,12.840728759765625
2015-11-30,12.921152114868164
2015-12-01,13.207094192504883
2015-12-02,13.055187225341797
2015-12-03,12.54584789276123
2015-12-04,12.787115097045898
2015-12-07,12.662014961242676
2015-12-08,12.322454452514648
2015-12-09,12.349259376525879
2015-12-10,12.608399391174316
2015-12-11,12.206286430358887
2015-12-14,12.18841552734375
2015-12-15,12.340324401855469
2015-12-16,12.581592559814453
2015-12-17,12.286712646484375
2015-12-18,12.170544624328613
2015-12-21,12.358196258544922
2015-12-22,12.376069068908691
2015-12-23,12.733497619628906
2015-12-24,12.715624809265137
2015-12-28,12.563721656799316
2015-12-29,12.769242286682129
2015-12-30,12.599462509155273
2015-12-31,12.474361419677734
2016-01-04,12.21522331237793
2016-01-05,11.71481990814209
2016-01-06,11.822049140930176
2016-01-07,11.62546157836914
2016-01-08,11.62546157836914
