,WELL
2015-10-19,48.353309631347656
2015-10-20,48.04999542236328
2015-10-21,48.635955810546875
2015-10-22,48.884151458740234
2015-10-23,47.20893478393555
2015-10-26,46.760841369628906
2015-10-27,46.92628860473633
2015-10-28,46.0645637512207
2015-10-29,46.1541748046875
2015-10-30,44.72026824951172
2015-11-02,45.402748107910156
2015-11-03,44.67201614379883
2015-11-04,44.65132522583008
2015-11-05,44.754737854003906
2015-11-06,42.607601165771484
2015-11-09,41.204097747802734
2015-11-10,41.47642135620117
2015-11-11,41.204097747802734
2015-11-12,41.46943664550781
2015-11-13,40.64550018310547
2015-11-16,41.28789138793945
2015-11-17,41.092376708984375
2015-11-18,41.595123291015625
2015-11-19,42.279415130615234
2015-11-20,43.061466217041016
2015-11-23,43.46645736694336
2015-11-24,43.48042678833008
2015-11-25,43.61309051513672
2015-11-27,44.1228141784668
2015-11-30,44.1228141784668
2015-12-01,45.25397491455078
2015-12-02,44.304351806640625
2015-12-03,43.787654876708984
2015-12-04,44.44401931762695
2015-12-07,44.79314041137695
2015-12-08,44.95372772216797
2015-12-09,44.80709457397461
2015-12-10,43.85747146606445
2015-12-11,44.136783599853516
2015-12-14,44.36720657348633
2015-12-15,45.11433410644531
2015-12-16,46.252479553222656
2015-12-17,46.09190368652344
2015-12-18,45.56121826171875
2015-12-21,45.70785140991211
2015-12-22,46.196632385253906
2015-12-23,46.804115295410156
2015-12-24,46.804115295410156
2015-12-28,47.14625930786133
2015-12-29,47.8375358581543
2015-12-30,47.70486831665039
2015-12-31,47.50238037109375
2016-01-04,47.75373840332031
2016-01-05,48.94077682495117
2016-01-06,48.8360481262207
2016-01-07,47.43953323364258
2016-01-08,47.544254302978516
2016-01-11,47.86545944213867
2016-01-12,47.50238037109375
2016-01-13,46.489898681640625
2016-01-14,46.35722732543945
2016-01-15,46.30834197998047
2016-01-19,47.320831298828125
2016-01-20,45.04450988769531
2016-01-21,45.72181701660156
2016-01-22,47.30685806274414
2016-01-25,46.608612060546875
2016-01-26,46.08491897583008
2016-01-27,43.01258850097656
2016-01-28,42.195621490478516
2016-01-29,43.44550323486328
2016-02-01,43.87144088745117
2016-02-02,43.15921401977539
2016-02-03,44.45100021362305
2016-02-04,44.4719352722168
2016-02-05,44.677207946777344
2016-02-08,42.87936019897461
2016-02-09,39.45353698730469
2016-02-10,39.43230438232422
2016-02-11,37.99544906616211
2016-02-12,38.505069732666016
2016-02-16,39.6092529296875
2016-02-17,40.0127067565918
2016-02-18,41.534515380859375
2016-02-19,41.90257263183594
2016-02-22,42.70240020751953
2016-02-23,42.94306182861328
2016-02-24,43.55887222290039
2016-02-25,44.358680725097656
2016-02-26,44.94617462158203
2016-02-29,45.14435958862305
2016-03-01,46.70154571533203
2016-03-02,47.37397384643555
2016-03-03,46.70863723754883
2016-03-04,46.85019302368164
2016-03-07,47.331512451171875
2016-03-08,46.61661148071289
2016-03-09,47.069618225097656
2016-03-10,46.09990692138672
2016-03-11,47.10501480102539
2016-03-14,47.090858459472656
2016-03-15,46.53876876831055
2016-03-16,47.10501480102539
2016-03-17,47.82698059082031
2016-03-18,47.522613525390625
2016-03-21,47.31028366088867
2016-03-22,47.23949432373047
2016-03-23,47.33857345581055
2016-03-24,47.39521408081055
2016-03-28,47.88359451293945
2016-03-29,49.122276306152344
2016-03-30,48.75422668457031
2016-03-31,49.079803466796875
2016-04-01,48.9524040222168
2016-04-04,49.26384353637695
2016-04-05,49.129364013671875
2016-04-06,48.88868713378906
2016-04-07,48.67634963989258
2016-04-08,49.044403076171875
2016-04-11,49.22846221923828
2016-04-12,49.462039947509766
2016-04-13,49.29214859008789
2016-04-14,49.31338882446289
2016-04-15,49.4124870300293
2016-04-18,49.999969482421875
2016-04-19,50.48835372924805
2016-04-20,48.85330581665039
2016-04-21,47.1545524597168
2016-04-22,48.32244110107422
2016-04-25,49.05148696899414
2016-04-26,49.122276306152344
2016-04-27,49.4054069519043
2016-04-28,49.306304931640625
2016-04-29,49.13642120361328
2016-05-02,49.74515151977539
2016-05-03,50.856414794921875
2016-05-04,52.64719009399414
2016-05-05,52.1871223449707
2016-05-06,52.688438415527344
2016-05-09,53.49768829345703
2016-05-10,52.30169677734375
2016-05-11,50.89084243774414
2016-05-12,51.628482818603516
2016-05-13,51.399330139160156
2016-05-16,52.02238464355469
2016-05-17,51.28474044799805
2016-05-18,49.673362731933594
2016-05-19,48.985843658447266
2016-05-20,49.093265533447266
2016-05-23,48.92854690551758
2016-05-24,49.193538665771484
2016-05-25,49.1362419128418
2016-05-26,49.365413665771484
2016-05-27,49.60890197753906
2016-05-31,49.35108947753906
2016-06-01,49.408382415771484
2016-06-02,49.75213623046875
2016-06-03,51.077049255371094
2016-06-06,50.002811431884766
2016-06-07,50.640174865722656
2016-06-08,51.42796325683594
2016-06-09,51.67146682739258
2016-06-10,51.664306640625
2016-06-13,52.07250213623047
2016-06-14,52.21577072143555
2016-06-15,52.6382942199707
2016-06-16,52.90327072143555
2016-06-17,53.175418853759766
2016-06-20,52.48789978027344
2016-06-21,52.58815383911133
2016-06-22,51.82902526855469
2016-06-23,52.30886459350586
2016-06-24,51.91497039794922
2016-06-27,52.53802490234375
2016-06-28,53.49768829345703
2016-06-29,54.0849494934082
2016-06-30,54.550453186035156
2016-07-01,54.57194900512695
2016-07-05,54.930023193359375
2016-07-06,54.7080192565918
2016-07-07,53.59795379638672
2016-07-08,54.15657424926758
2016-07-11,54.57194900512695
2016-07-12,54.44303512573242
2016-07-13,55.109066009521484
2016-07-14,54.550453186035156
2016-07-15,54.786808013916016
2016-07-18,55.28095245361328
2016-07-19,55.545928955078125
2016-07-20,55.58173751831055
2016-07-21,55.90401840209961
2016-07-22,56.398162841796875
2016-07-25,56.398162841796875
2016-07-26,55.69633102416992
2016-07-27,55.4026985168457
2016-07-28,56.12603759765625
2016-07-29,56.81355285644531
2016-08-01,57.01409912109375
2016-08-02,55.717811584472656
2016-08-03,55.47431564331055
2016-08-04,55.65336608886719
2016-08-05,55.31298065185547
2016-08-08,55.798187255859375
2016-08-09,56.67447280883789
2016-08-10,57.13793182373047
2016-08-11,56.30513381958008
2016-08-12,56.746883392333984
2016-08-15,56.30513381958008
2016-08-16,55.52301025390625
2016-08-17,55.76198959350586
2016-08-18,55.68232727050781
2016-08-19,55.22608947753906
2016-08-22,55.501277923583984
2016-08-23,55.696807861328125
2016-08-24,55.24781799316406
2016-08-25,55.76198959350586
2016-08-26,54.87848663330078
2016-08-29,55.7330207824707
2016-08-30,55.76198959350586
2016-08-31,55.580955505371094
2016-09-01,55.34920883178711
2016-09-02,55.54472732543945
2016-09-06,56.428226470947266
2016-09-07,56.62374496459961
2016-09-08,56.03715515136719
2016-09-09,53.40840148925781
2016-09-12,54.14706039428711
2016-09-13,52.930423736572266
2016-09-14,53.25631332397461
2016-09-15,53.3070068359375
2016-09-16,53.00285339355469
2016-09-19,53.046321868896484
2016-09-20,52.99561309814453
2016-09-21,53.835655212402344
2016-09-22,55.10297393798828
2016-09-23,55.327484130859375
2016-09-26,55.617164611816406
2016-09-27,54.69019317626953
2016-09-28,55.36368942260742
2016-09-29,54.90019989013672
2016-09-30,54.14706039428711
2016-10-03,53.43736267089844
2016-10-04,52.0541877746582
2016-10-05,50.967899322509766
2016-10-06,50.93168258666992
2016-10-07,50.359588623046875
2016-10-10,50.54064178466797
2016-10-11,49.780242919921875
2016-10-12,50.05543518066406
2016-10-13,50.613059997558594
2016-10-14,50.279937744140625
2016-10-17,50.20750427246094
2016-10-18,50.93168258666992
2016-10-19,51.11997604370117
2016-10-20,51.32999038696289
2016-10-21,51.05480194091797
2016-10-24,51.315513610839844
2016-10-25,51.39516830444336
2016-10-26,50.468204498291016
2016-10-27,49.534034729003906
2016-10-28,49.57023239135742
2016-10-31,49.62818145751953
2016-11-01,48.81708526611328
2016-11-02,48.6722526550293
2016-11-03,47.7815055847168
2016-11-04,47.79616928100586
2016-11-07,48.6032829284668
2016-11-08,47.67144012451172
2016-11-09,46.04253005981445
2016-11-10,44.765804290771484
2016-11-11,45.1400146484375
2016-11-14,46.75425720214844
2016-11-15,46.049861907958984
2016-11-16,46.23330307006836
2016-11-17,45.4775390625
2016-11-18,45.851749420166016
2016-11-21,45.38216018676758
2016-11-22,45.80039596557617
2016-11-23,45.624298095703125
2016-11-25,45.96181106567383
2016-11-28,46.519466400146484
