,EMN
2015-04-27,56.456748962402344
2015-04-28,56.308067321777344
2015-04-29,56.709476470947266
2015-04-30,56.65745162963867
2015-05-01,58.53067398071289
2015-05-04,58.47119903564453
2015-05-05,59.1253547668457
2015-05-06,58.701637268066406
2015-05-07,58.21102523803711
2015-05-08,59.52675247192383
2015-05-11,59.5416259765625
2015-05-12,58.50093078613281
2015-05-13,58.18872833251953
2015-05-14,58.13670349121094
2015-05-15,58.16642379760742
2015-05-18,57.92853927612305
2015-05-19,57.274436950683594
2015-05-20,57.452823638916016
2015-05-21,58.077205657958984
2015-05-22,58.02520751953125
2015-05-26,56.79125213623047
2015-05-27,56.925071716308594
2015-05-28,56.87301254272461
2015-05-29,57.066287994384766
2015-06-01,56.9919548034668
2015-06-02,57.200096130371094
2015-06-03,58.18130111694336
2015-06-04,57.82449722290039
2015-06-05,57.44538116455078
2015-06-08,57.87654495239258
2015-06-09,57.861663818359375
2015-06-10,58.40431594848633
2015-06-11,58.26233673095703
2015-06-12,58.14279556274414
2015-06-15,58.02325439453125
2015-06-16,58.52384948730469
2015-06-17,58.987083435058594
2015-06-18,60.048038482666016
2015-06-19,60.13020706176758
2015-06-22,62.04288864135742
2015-06-23,62.012996673583984
2015-06-24,61.51241683959961
2015-06-25,62.11760711669922
2015-06-26,62.57335662841797
2015-06-29,61.71413803100586
2015-06-30,61.13139724731445
2015-07-01,60.55607604980469
2015-07-02,59.913536071777344
2015-07-06,58.6209831237793
2015-07-07,58.538787841796875
2015-07-08,56.67839813232422
2015-07-09,57.051963806152344
2015-07-10,57.67211151123047
2015-07-13,58.172698974609375
2015-07-14,59.21868896484375
2015-07-15,59.226165771484375
2015-07-16,59.49512481689453
2015-07-17,58.41176223754883
2015-07-20,57.447959899902344
2015-07-21,57.21635818481445
2015-07-22,56.55885314941406
2015-07-23,55.677249908447266
2015-07-24,54.95249938964844
2015-07-27,53.876617431640625
2015-07-28,57.545074462890625
2015-07-29,58.337066650390625
2015-07-30,58.71809387207031
2015-07-31,58.57612991333008
2015-08-03,57.94108200073242
2015-08-04,58.16522979736328
2015-08-05,57.60485076904297
2015-08-06,57.62727355957031
2015-08-07,57.28358840942383
2015-08-10,59.59225845336914
2015-08-11,58.0008430480957
2015-08-12,57.89624786376953
2015-08-13,57.858890533447266
2015-08-14,57.156558990478516
2015-08-17,57.836483001708984
2015-08-18,57.455440521240234
2015-08-19,56.11058044433594
2015-08-20,55.20651626586914
2015-08-21,53.77947235107422
2015-08-24,51.485755920410156
2015-08-25,50.63399887084961
2015-08-26,52.20301055908203
2015-08-27,54.26511764526367
2015-08-28,54.32489013671875
2015-08-31,54.13811111450195
2015-09-01,52.32256317138672
2015-09-02,52.524269104003906
2015-09-03,53.24153137207031
2015-09-04,51.948978424072266
2015-09-08,53.286354064941406
2015-09-09,52.621395111083984
2015-09-10,52.719078063964844
2015-09-11,52.50870132446289
2015-09-14,51.915077209472656
2015-09-15,52.72660446166992
2015-09-16,53.60574722290039
2015-09-17,53.14737319946289
2015-09-18,52.03530502319336
2015-09-21,53.2901611328125
2015-09-22,52.193077087402344
2015-09-23,50.95327377319336
2015-09-24,50.60762405395508
2015-09-25,50.04405975341797
2015-09-28,47.56439208984375
2015-09-29,47.66209030151367
2015-09-30,48.631404876708984
2015-10-01,49.217506408691406
2015-10-02,49.8411865234375
2015-10-05,51.404117584228516
2015-10-06,52.58383560180664
2015-10-07,52.94450378417969
2015-10-08,53.72596740722656
2015-10-09,53.21501541137695
2015-10-12,53.35778045654297
2015-10-13,53.26760482788086
2015-10-14,53.057220458984375
2015-10-15,52.546268463134766
2015-10-16,51.862464904785156
2015-10-19,51.839927673339844
2015-10-20,52.55377960205078
2015-10-21,51.862464904785156
2015-10-22,53.6433219909668
2015-10-23,54.702796936035156
2015-10-26,53.86124038696289
2015-10-27,54.22942352294922
2015-10-28,55.36405563354492
2015-10-29,55.38660430908203
2015-10-30,54.22942352294922
2015-11-02,54.25197219848633
2015-11-03,54.62016296386719
2015-11-04,53.56818389892578
2015-11-05,53.094791412353516
2015-11-06,53.425411224365234
2015-11-09,52.04281997680664
2015-11-10,51.56190872192383
2015-11-11,50.6526985168457
2015-11-12,50.66020965576172
2015-11-13,51.546871185302734
2015-11-16,52.30580520629883
2015-11-17,52.298301696777344
2015-11-18,53.816158294677734
2015-11-19,53.27513122558594
2015-11-20,53.51557922363281
2015-11-23,53.635807037353516
2015-11-24,54.22942352294922
2015-11-25,53.29766845703125
2015-11-27,53.54563522338867
2015-11-30,54.5900993347168
2015-12-01,54.507450103759766
2015-12-02,53.936370849609375
2015-12-03,53.45547103881836
2015-12-04,55.08605194091797
2015-12-07,53.27513122558594
2015-12-08,51.77983093261719
2015-12-09,53.26760482788086
2015-12-10,52.496177673339844
2015-12-11,51.02891540527344
2015-12-14,50.446533203125
2015-12-15,50.839820861816406
2015-12-16,51.823036193847656
2015-12-17,50.52217483520508
2015-12-18,50.34065246582031
2015-12-21,50.47679901123047
2015-12-22,51.05160140991211
2015-12-23,52.37516403198242
2015-12-24,52.118011474609375
2015-12-28,51.58858871459961
2015-12-29,52.239009857177734
2015-12-30,51.278499603271484
2015-12-31,51.059165954589844
2016-01-04,50.39359664916992
2016-01-05,50.756629943847656
2016-01-06,49.77341079711914
2016-01-07,48.96415328979492
2016-01-08,48.14731979370117
2016-01-11,47.08091735839844
2016-01-12,47.65571975708008
2016-01-13,47.4288215637207
2016-01-14,48.37422180175781
2016-01-15,46.69520950317383
2016-01-19,46.27922058105469
2016-01-20,45.96912384033203
2016-01-21,46.324588775634766
2016-01-22,47.31538391113281
2016-01-25,45.95399856567383
2016-01-26,47.39857482910156
2016-01-27,46.88427734375
2016-01-28,47.693538665771484
2016-01-29,46.29433822631836
2016-02-01,45.72710037231445
2016-02-02,44.42623519897461
2016-02-03,46.362422943115234
2016-02-04,46.40779495239258
2016-02-05,45.674163818359375
2016-02-08,44.448917388916016
2016-02-09,44.1917724609375
2016-02-10,44.3581657409668
2016-02-11,44.1993293762207
2016-02-12,45.87836837768555
2016-02-16,47.16410827636719
2016-02-17,48.29103088378906
2016-02-18,47.996063232421875
2016-02-19,47.194358825683594
2016-02-22,48.79776382446289
2016-02-23,47.58765411376953
2016-02-24,48.29857635498047
2016-02-25,48.81290054321289
2016-02-26,49.28181076049805
2016-02-29,48.5179328918457
2016-03-01,50.2801513671875
2016-03-02,50.93057632446289
2016-03-03,51.800350189208984
2016-03-04,52.692813873291016
2016-03-07,53.23735809326172
2016-03-08,52.08774185180664
2016-03-09,53.214664459228516
2016-03-10,52.48105239868164
2016-03-11,54.369224548339844
2016-03-14,53.394683837890625
2016-03-15,53.11296844482422
2016-03-16,54.277870178222656
2016-03-17,56.12797927856445
2016-03-18,55.952877044677734
2016-03-21,56.044219970703125
2016-03-22,55.52650833129883
2016-03-23,55.298091888427734
2016-03-24,55.45798110961914
2016-03-28,55.4808349609375
2016-03-29,55.770137786865234
2016-03-30,55.785369873046875
2016-03-31,54.993553161621094
2016-04-01,56.08229446411133
2016-04-04,55.19913864135742
2016-04-05,54.92502975463867
2016-04-06,55.016395568847656
2016-04-07,54.201725006103516
2016-04-08,54.780364990234375
2016-04-11,54.96310043334961
2016-04-12,55.76252746582031
2016-04-13,56.61526870727539
2016-04-14,56.462982177734375
2016-04-15,56.82843780517578
2016-04-18,56.93503189086914
2016-04-19,58.3968505859375
2016-04-20,58.57960891723633
2016-04-21,57.91718673706055
2016-04-22,58.27505111694336
2016-04-25,57.825843811035156
2016-04-26,58.54151916503906
2016-04-27,59.150611877441406
2016-04-28,59.54651641845703
2016-04-29,58.153221130371094
2016-05-02,58.67095184326172
2016-05-03,58.0085563659668
2016-05-04,57.825843811035156
2016-05-05,57.32332992553711
2016-05-06,57.76493453979492
2016-05-09,56.92742156982422
2016-05-10,57.726837158203125
2016-05-11,57.391841888427734
2016-05-12,56.95026779174805
2016-05-13,55.389461517333984
2016-05-16,56.24980545043945
2016-05-17,57.26243591308594
2016-05-18,55.91480255126953
2016-05-19,55.595035552978516
2016-05-20,55.792972564697266
2016-05-23,55.70922088623047
2016-05-24,55.80060577392578
2016-05-25,56.72186279296875
2016-05-26,56.08991622924805
2016-05-27,56.158447265625
2016-05-31,55.8538932800293
2016-06-01,56.28025436401367
2016-06-02,56.12037658691406
2016-06-03,55.40469741821289
2016-06-06,56.28025436401367
2016-06-07,56.767539978027344
2016-06-08,56.051849365234375
