,DE
2015-05-19,75.14684295654297
2015-05-20,74.98672485351562
2015-05-21,75.39125061035156
2015-05-22,78.66950988769531
2015-05-26,79.04874420166016
2015-05-27,79.52066802978516
2015-05-28,78.7958984375
2015-05-29,78.94760131835938
2015-06-01,78.07112884521484
2015-06-02,78.1638412475586
2015-06-03,78.1553955078125
2015-06-04,77.42224884033203
2015-06-05,77.6413345336914
2015-06-08,77.2031021118164
2015-06-09,77.4053955078125
2015-06-10,78.323974609375
2015-06-11,78.55150604248047
2015-06-12,78.00373077392578
2015-06-15,77.9194564819336
2015-06-16,77.6329116821289
2015-06-17,77.74246978759766
2015-06-18,78.03743743896484
2015-06-19,78.00373077392578
2015-06-22,78.83804321289062
2015-06-23,78.94760131835938
2015-06-24,79.21726989746094
2015-06-25,79.21726989746094
2015-06-26,81.79566192626953
2015-06-29,80.5403823852539
2015-06-30,82.31301879882812
2015-07-01,81.58360290527344
2015-07-02,81.71929931640625
2015-07-06,81.0577621459961
2015-07-07,81.65995025634766
2015-07-08,80.5403823852539
2015-07-09,80.1841812133789
2015-07-10,80.71847534179688
2015-07-13,81.65145874023438
2015-07-14,81.7617416381836
2015-07-15,81.86348724365234
2015-07-16,82.55049896240234
2015-07-17,82.24518585205078
2015-07-20,81.60904693603516
2015-07-21,81.00685119628906
2015-07-22,80.42162322998047
2015-07-23,79.09852600097656
2015-07-24,78.38607788085938
2015-07-27,77.39374542236328
2015-07-28,78.42849731445312
2015-07-29,79.41234588623047
2015-07-30,79.31055450439453
2015-07-31,80.2096176147461
2015-08-03,79.23419952392578
2015-08-04,78.9713134765625
2015-08-05,81.01534271240234
2015-08-06,81.08318328857422
2015-08-07,81.29524993896484
2015-08-10,82.38933563232422
2015-08-11,81.6259994506836
2015-08-12,79.42082977294922
2015-08-13,78.96282958984375
2015-08-14,80.01451873779297
2015-08-17,79.87882232666016
2015-08-18,79.64981842041016
2015-08-19,78.01290893554688
2015-08-20,76.88488006591797
2015-08-21,70.6424789428711
2015-08-24,68.50513458251953
2015-08-25,67.08023834228516
2015-08-26,68.89527130126953
2015-08-27,69.8791275024414
2015-08-28,69.94698333740234
2015-08-31,69.36177062988281
2015-09-01,67.85203552246094
2015-09-02,68.51361083984375
2015-09-03,68.69173431396484
2015-09-04,67.19051361083984
2015-09-08,67.93685913085938
2015-09-09,67.48735046386719
2015-09-10,67.91141510009766
2015-09-11,67.21590423583984
2015-09-14,67.58063507080078
2015-09-15,69.04794311523438
2015-09-16,68.99705505371094
2015-09-17,68.2167739868164
2015-09-18,67.46190643310547
2015-09-21,67.13963317871094
2015-09-22,66.86820220947266
2015-09-23,65.8927993774414
2015-09-24,64.25590515136719
2015-09-25,64.29830932617188
2015-09-28,63.05868148803711
2015-09-29,62.938987731933594
2015-09-30,63.263851165771484
2015-10-01,62.31488800048828
2015-10-02,62.8962287902832
2015-10-05,66.86304473876953
2015-10-06,67.05968475341797
2015-10-07,67.44441223144531
2015-10-08,69.17131805419922
2015-10-09,68.28223419189453
2015-10-12,67.05113220214844
2015-10-13,65.76873779296875
2015-10-14,65.21308135986328
2015-10-15,65.17033386230469
2015-10-16,64.97367858886719
2015-10-19,64.94805145263672
2015-10-20,65.30709075927734
2015-10-21,65.52940368652344
2015-10-22,67.83765411376953
2015-10-23,68.6156234741211
2015-10-26,66.26463317871094
2015-10-27,65.07627868652344
2015-10-28,67.49569702148438
2015-10-29,66.88868713378906
2015-10-30,66.68351745605469
2015-11-02,68.55577087402344
2015-11-03,68.00007629394531
2015-11-04,66.88868713378906
2015-11-05,66.62367248535156
2015-11-06,66.26463317871094
2015-11-09,65.17886352539062
2015-11-10,65.2044906616211
2015-11-11,64.16153717041016
2015-11-12,62.63976287841797
2015-11-13,63.8195686340332
2015-11-16,63.870845794677734
2015-11-17,63.09284973144531
2015-11-18,63.70840072631836
2015-11-19,64.06745147705078
2015-11-20,64.52912139892578
2015-11-23,63.78535842895508
2015-11-24,65.26434326171875
2015-11-25,68.39336395263672
2015-11-27,67.61538696289062
2015-11-30,68.02574157714844
2015-12-01,67.95733642578125
2015-12-02,67.82056427001953
2015-12-03,66.94000244140625
2015-12-04,68.04283142089844
2015-12-07,67.62393951416016
2015-12-08,67.75216674804688
2015-12-09,67.74359893798828
2015-12-10,67.19646453857422
2015-12-11,65.96538543701172
2015-12-14,67.48713684082031
2015-12-15,66.0423355102539
2015-12-16,66.845947265625
2015-12-17,65.75167083740234
2015-12-18,64.0931167602539
2015-12-21,64.72576904296875
2015-12-22,66.3330078125
2015-12-23,67.72651672363281
2015-12-24,67.35891723632812
2015-12-28,66.65788269042969
2015-12-29,66.8904800415039
2015-12-30,66.7698745727539
2015-12-31,65.71015930175781
2016-01-04,65.5464859008789
2016-01-05,65.92554473876953
2016-01-06,65.18462371826172
2016-01-07,64.60738372802734
2016-01-08,63.54767990112305
2016-01-11,63.883670806884766
2016-01-12,64.20246124267578
2016-01-13,63.082454681396484
2016-01-14,63.409854888916016
2016-01-15,62.99629592895508
2016-01-19,62.42767333984375
2016-01-20,62.03135299682617
2016-01-21,62.91876983642578
2016-01-22,64.2800064086914
2016-01-25,61.84181213378906
2016-01-26,63.38398742675781
2016-01-27,63.4356689453125
2016-01-28,64.45230865478516
2016-01-29,66.34773254394531
2016-02-01,66.16679382324219
2016-02-02,64.25416564941406
2016-02-03,64.96925354003906
2016-02-04,67.80371856689453
2016-02-05,67.5625
2016-02-08,66.3994140625
2016-02-09,67.26956939697266
2016-02-10,66.69233703613281
2016-02-11,65.83080291748047
2016-02-12,67.43326568603516
2016-02-16,68.76004791259766
2016-02-17,70.15573120117188
2016-02-18,69.20806121826172
2016-02-19,66.3390884399414
2016-02-22,67.5452651977539
2016-02-23,66.459716796875
2016-02-24,68.06219482421875
2016-02-25,68.57910919189453
2016-02-26,68.46712493896484
2016-02-29,69.07882690429688
2016-03-01,69.828369140625
2016-03-02,70.50899505615234
2016-03-03,72.08563232421875
2016-03-04,73.1280517578125
2016-03-07,73.81730651855469
2016-03-08,72.24071502685547
2016-03-09,71.5428466796875
2016-03-10,70.97421264648438
2016-03-11,71.46531677246094
2016-03-14,70.51758575439453
2016-03-15,69.4837417602539
2016-03-16,70.13851928710938
2016-03-17,71.56008911132812
2016-03-18,71.1895751953125
2016-03-21,71.26715087890625
2016-03-22,70.87081909179688
2016-03-23,69.64744567871094
2016-03-24,69.13050842285156
2016-03-28,69.07019805908203
2016-03-29,69.87748718261719
2016-03-30,69.54762268066406
2016-03-31,66.83063507080078
2016-04-01,66.40531158447266
2016-04-04,65.88448333740234
2016-04-05,66.03204345703125
2016-04-06,66.26640319824219
2016-04-07,66.12754821777344
2016-04-08,66.2403793334961
2016-04-11,65.75426483154297
2016-04-12,66.49211883544922
2016-04-13,68.106689453125
2016-04-14,67.4122314453125
2016-04-15,67.22127532958984
2016-04-18,67.98514556884766
2016-04-19,71.49203491210938
2016-04-20,73.1413345336914
2016-04-21,71.87394714355469
2016-04-22,71.87394714355469
2016-04-25,71.53544616699219
2016-04-26,72.41216278076172
2016-04-27,73.53194427490234
2016-04-28,72.85487365722656
2016-04-29,73.01112365722656
2016-05-02,73.1673583984375
2016-05-03,72.39482879638672
2016-05-04,71.3357925415039
2016-05-05,70.4850845336914
2016-05-06,70.70211791992188
2016-05-09,69.94694519042969
2016-05-10,72.75068664550781
2016-05-11,72.8288345336914
2016-05-12,73.04584503173828
2016-05-13,71.58750915527344
2016-05-16,72.59445190429688
2016-05-17,72.22118377685547
2016-05-18,71.70039367675781
2016-05-19,71.39657592773438
2016-05-20,67.48169708251953
2016-05-23,67.60321807861328
2016-05-24,69.1309585571289
2016-05-25,69.86878204345703
2016-05-26,69.67782592773438
2016-05-27,69.87748718261719
2016-05-31,71.43128967285156
2016-06-01,71.9000473022461
2016-06-02,72.96769714355469
2016-06-03,74.27845764160156
2016-06-06,75.93641662597656
2016-06-07,75.78885650634766
2016-06-08,75.6760025024414
2016-06-09,75.47635650634766
2016-06-10,74.36524963378906
2016-06-13,74.06144714355469
2016-06-14,73.91387176513672
2016-06-15,73.63609313964844
2016-06-16,73.88783264160156
2016-06-17,74.65170288085938
2016-06-20,74.29581451416016
2016-06-21,72.99374389648438
2016-06-22,72.84617614746094
2016-06-23,73.1673583984375
2016-06-24,70.9365005493164
2016-06-27,69.94694519042969
2016-06-28,71.1712875366211
