,HPQ
2019-04-23,16.642444610595703
2019-04-24,16.460201263427734
2019-04-25,16.23652458190918
2019-04-26,16.079133987426758
2019-04-29,16.286230087280273
2019-04-30,16.52646827697754
2019-05-01,16.50990104675293
2019-05-02,16.601028442382812
2019-05-03,16.808122634887695
2019-05-06,16.642444610595703
2019-05-07,16.244813919067383
2019-05-08,16.178539276123047
2019-05-09,15.979727745056152
2019-05-10,15.838898658752441
2019-05-13,15.134764671325684
2019-05-14,15.159616470336914
2019-05-15,15.515824317932129
2019-05-16,15.689790725708008
2019-05-17,15.756059646606445
2019-05-20,15.706361770629883
2019-05-21,16.103984832763672
2019-05-22,15.905172348022461
2019-05-23,15.89688777923584
2019-05-24,16.592737197875977
2019-05-28,16.286230087280273
2019-05-29,15.739494323730469
2019-05-30,15.855467796325684
2019-05-31,15.474404335021973
2019-06-03,15.45783805847168
2019-06-04,16.062564849853516
2019-06-05,16.20339012145996
2019-06-06,16.286230087280273
2019-06-07,16.327648162841797
2019-06-10,16.46847915649414
2019-06-11,16.58539390563965
2019-06-12,16.63550567626953
2019-06-13,16.693958282470703
2019-06-14,16.627151489257812
2019-06-17,16.618799209594727
2019-06-18,17.136571884155273
2019-06-19,17.228435516357422
2019-06-20,17.42051124572754
2019-06-21,17.286893844604492
2019-06-24,17.253490447998047
2019-06-25,17.203380584716797
2019-06-26,17.36205291748047
2019-06-27,17.32029914855957
2019-06-28,17.36205291748047
2019-07-01,17.52907943725586
2019-07-02,17.58753204345703
2019-07-03,17.671045303344727
2019-07-05,17.671045303344727
2019-07-08,17.32029914855957
2019-07-09,17.228435516357422
2019-07-10,17.195030212402344
2019-07-11,17.412158966064453
2019-07-12,17.729507446289062
2019-07-15,17.8297176361084
2019-07-16,17.79631233215332
2019-07-17,17.68775177001953
2019-07-18,17.85477638244629
2019-07-19,17.863122940063477
2019-07-22,17.90488052368164
2019-07-23,18.06355094909668
2019-07-24,18.013442993164062
2019-07-25,17.813016891479492
2019-07-26,17.97168731689453
2019-07-29,17.954988479614258
2019-07-30,17.988393783569336
2019-07-31,17.570837020874023
2019-08-01,17.52907943725586
2019-08-02,16.819223403930664
2019-08-05,16.00081443786621
2019-08-06,16.075971603393555
2019-08-07,15.942358016967773
2019-08-08,16.3098087310791
2019-08-09,16.101028442382812
2019-08-12,15.783685684204102
2019-08-13,16.318164825439453
2019-08-14,16.101028442382812
2019-08-15,15.55820369720459
2019-08-16,15.934006690979004
2019-08-19,16.042572021484375
2019-08-20,15.792037010192871
2019-08-21,15.833788871765137
2019-08-22,15.808740615844727
2019-08-23,14.873408317565918
2019-08-26,14.898458480834961
2019-08-27,14.806602478027344
2019-08-28,14.856709480285645
2019-08-29,15.107239723205566
2019-08-30,15.274264335632324
2019-09-03,15.157350540161133
2019-09-04,15.332727432250977
2019-09-05,15.792037010192871
2019-09-06,15.95070743560791
2019-09-09,15.875548362731934
2019-09-10,15.993460655212402
2019-09-11,16.05240821838379
2019-09-12,15.791328430175781
2019-09-13,16.069255828857422
2019-09-16,15.8923921585083
2019-09-17,15.8923921585083
2019-09-18,15.75764274597168
2019-09-19,15.791328430175781
2019-09-20,15.555511474609375
2019-09-23,15.59762191772461
2019-09-24,15.286006927490234
2019-09-25,15.504980087280273
2019-09-26,15.513399124145508
2019-09-27,15.606042861938477
2019-09-30,15.9345064163208
2019-10-01,15.656575202941895
2019-10-02,15.656575202941895
2019-10-03,15.496553421020508
2019-10-04,14.014277458190918
2019-10-07,14.149029731750488
2019-10-08,13.727927207946777
2019-10-09,13.812148094177246
2019-10-10,13.500533103942871
2019-10-11,13.67739486694336
2019-10-14,13.930057525634766
2019-10-15,14.157450675964355
2019-10-16,14.351158142089844
2019-10-17,14.283781051635742
2019-10-18,14.191141128540039
2019-10-21,14.31747055053711
2019-10-22,14.418537139892578
2019-10-23,14.418537139892578
2019-10-24,14.418537139892578
2019-10-25,14.59539794921875
2019-10-28,14.84805679321289
2019-10-29,14.822793960571289
2019-10-30,14.839638710021973
2019-10-31,14.629088401794434
2019-11-01,14.974393844604492
2019-11-04,15.159676551818848
2019-11-05,15.496553421020508
2019-11-06,16.481937408447266
2019-11-07,16.330337524414062
2019-11-08,16.439823150634766
2019-11-11,16.5408878326416
2019-11-12,16.4482479095459
