,MTCH
2018-08-15,44.6470947265625
2018-08-16,44.24735641479492
2018-08-17,45.5227165222168
2018-08-20,46.30316162109375
2018-08-21,45.91293716430664
2018-08-22,46.04618453979492
2018-08-23,47.492862701416016
2018-08-24,47.98777389526367
2018-08-27,48.34944152832031
2018-08-28,48.901466369628906
2018-08-29,48.37799835205078
2018-08-30,47.06456756591797
2018-08-31,47.635623931884766
2018-09-04,49.805641174316406
2018-09-05,48.09246826171875
2018-09-06,47.98777389526367
2018-09-07,49.386863708496094
2018-09-10,50.709808349609375
2018-09-11,52.01372528076172
2018-09-12,53.346187591552734
2018-09-13,56.70590591430664
2018-09-14,56.35375213623047
2018-09-17,55.28778076171875
2018-09-18,57.153228759765625
2018-09-19,56.391822814941406
2018-09-20,54.5644416809082
2018-09-21,52.7085075378418
2018-09-24,53.15583419799805
2018-09-25,55.04032516479492
2018-09-26,55.44957733154297
2018-09-27,56.51555252075195
2018-09-28,55.11646270751953
2018-10-01,53.83158874511719
2018-10-02,53.57461166381836
2018-10-03,54.526371002197266
2018-10-04,54.40264129638672
2018-10-05,53.27004623413086
2018-10-08,52.54670715332031
2018-10-09,52.78464889526367
2018-10-10,47.98777389526367
2018-10-11,48.920501708984375
2018-10-12,51.528324127197266
2018-10-15,51.290382385253906
2018-10-16,54.39312744140625
2018-10-17,54.2693977355957
2018-10-18,51.452186584472656
2018-10-19,48.149574279785156
2018-10-22,49.91033172607422
2018-10-23,49.815155029296875
2018-10-24,47.53092956542969
2018-10-25,48.2733039855957
2018-10-26,46.817108154296875
2018-10-29,45.922454833984375
2018-10-30,47.483341217041016
2018-10-31,49.22506332397461
2018-11-01,50.66222381591797
2018-11-02,49.63432312011719
2018-11-05,48.72063064575195
2018-11-06,48.987125396728516
2018-11-07,40.659217834472656
2018-11-08,41.56338882446289
2018-11-09,40.64970016479492
2018-11-12,38.97460174560547
2018-11-13,39.76456069946289
2018-11-14,38.23222732543945
2018-11-15,38.99363708496094
2018-11-16,38.07042694091797
2018-11-19,34.510841369628906
2018-11-20,34.60601806640625
2018-11-21,36.090763092041016
2018-11-23,36.59519958496094
2018-11-26,37.31853485107422
2018-11-27,36.24304962158203
2018-11-28,38.03235626220703
2018-11-29,39.35530471801758
2018-11-30,38.3274040222168
2018-12-03,39.459999084472656
2018-12-04,38.41999816894531
2018-12-06,41.16999816894531
2018-12-07,39.869998931884766
2018-12-10,40.11000061035156
2018-12-11,40.209999084472656
2018-12-12,42.709999084472656
2018-12-13,42.150001525878906
2018-12-14,43.20000076293945
2018-12-17,41.02000045776367
2018-12-18,41.95000076293945
2018-12-19,41.0
2018-12-20,40.04999923706055
2018-12-21,38.970001220703125
2018-12-24,38.970001220703125
2018-12-26,42.08000183105469
2018-12-27,42.619998931884766
2018-12-28,42.06999969482422
2018-12-31,42.77000045776367
2019-01-02,42.380001068115234
2019-01-03,41.119998931884766
2019-01-04,43.04999923706055
2019-01-07,43.369998931884766
2019-01-08,44.779998779296875
2019-01-09,45.0099983215332
2019-01-10,45.040000915527344
2019-01-11,44.689998626708984
2019-01-14,44.36000061035156
2019-01-15,46.470001220703125
2019-01-16,46.18000030517578
2019-01-17,47.060001373291016
2019-01-18,48.220001220703125
2019-01-22,48.220001220703125
2019-01-23,49.40999984741211
2019-01-24,50.45000076293945
2019-01-25,52.369998931884766
2019-01-28,52.4900016784668
2019-01-29,52.09000015258789
2019-01-30,52.459999084472656
2019-01-31,53.4900016784668
2019-02-01,54.72999954223633
2019-02-04,54.43000030517578
2019-02-05,55.68000030517578
2019-02-06,53.08000183105469
2019-02-07,55.7599983215332
2019-02-08,56.61000061035156
2019-02-11,57.72999954223633
2019-02-12,57.650001525878906
2019-02-13,57.630001068115234
2019-02-14,57.779998779296875
2019-02-15,57.33000183105469
2019-02-19,57.08000183105469
2019-02-20,56.47999954223633
2019-02-21,56.72999954223633
2019-02-22,57.290000915527344
2019-02-25,55.970001220703125
2019-02-26,55.349998474121094
2019-02-27,55.779998779296875
2019-02-28,55.380001068115234
2019-03-01,55.599998474121094
2019-03-04,54.47999954223633
2019-03-05,55.09000015258789
2019-03-06,54.70000076293945
2019-03-07,53.790000915527344
2019-03-08,53.029998779296875
2019-03-11,53.58000183105469
2019-03-12,53.900001525878906
2019-03-13,53.459999084472656
2019-03-14,54.15999984741211
2019-03-15,55.0
2019-03-18,55.689998626708984
2019-03-19,57.150001525878906
2019-03-20,58.130001068115234
2019-03-21,59.5099983215332
2019-03-22,57.59000015258789
2019-03-25,56.939998626708984
2019-03-26,56.97999954223633
2019-03-27,55.2400016784668
2019-03-28,55.869998931884766
2019-03-29,56.61000061035156
2019-04-01,56.2599983215332
2019-04-02,56.68000030517578
2019-04-03,57.31999969482422
2019-04-04,55.22999954223633
2019-04-05,54.91999816894531
2019-04-08,55.810001373291016
2019-04-09,56.65999984741211
2019-04-10,56.9900016784668
2019-04-11,57.869998931884766
2019-04-12,57.20000076293945
2019-04-15,60.18000030517578
2019-04-16,57.810001373291016
2019-04-17,58.599998474121094
2019-04-18,59.099998474121094
2019-04-22,61.040000915527344
2019-04-23,61.86000061035156
2019-04-24,61.650001525878906
2019-04-25,62.16999816894531
2019-04-26,61.91999816894531
2019-04-29,61.45000076293945
2019-04-30,60.400001525878906
2019-05-01,60.439998626708984
2019-05-02,60.40999984741211
2019-05-03,61.90999984741211
2019-05-06,62.54999923706055
2019-05-07,60.369998931884766
2019-05-08,67.87999725341797
2019-05-09,67.1500015258789
2019-05-10,67.2699966430664
2019-05-13,69.23999786376953
2019-05-14,67.91999816894531
2019-05-15,70.7300033569336
2019-05-16,74.0199966430664
2019-05-17,72.88999938964844
2019-05-20,72.12999725341797
2019-05-21,71.3499984741211
2019-05-22,70.62000274658203
2019-05-23,69.36000061035156
2019-05-24,69.26000213623047
2019-05-28,70.06999969482422
2019-05-29,69.31999969482422
2019-05-30,69.66999816894531
2019-05-31,68.6500015258789
2019-06-03,65.81999969482422
2019-06-04,68.45999908447266
2019-06-05,71.33999633789062
2019-06-06,70.7300033569336
2019-06-07,70.98999786376953
2019-06-10,70.33000183105469
2019-06-11,70.16000366210938
2019-06-12,71.77999877929688
2019-06-13,72.56999969482422
2019-06-14,72.08999633789062
2019-06-17,72.52999877929688
2019-06-18,71.75
2019-06-19,70.33999633789062
2019-06-20,69.19999694824219
2019-06-21,66.79000091552734
2019-06-24,71.4800033569336
2019-06-25,67.11000061035156
2019-06-26,66.66000366210938
2019-06-27,68.2300033569336
2019-06-28,67.2699966430664
2019-07-01,68.91000366210938
2019-07-02,69.69999694824219
2019-07-03,71.54000091552734
2019-07-05,72.27999877929688
2019-07-08,70.69999694824219
2019-07-09,72.0999984741211
2019-07-10,73.30000305175781
2019-07-11,72.2300033569336
2019-07-12,73.02999877929688
2019-07-15,73.08000183105469
2019-07-16,72.29000091552734
2019-07-17,73.13999938964844
2019-07-18,76.45999908447266
2019-07-19,76.0199966430664
2019-07-22,76.79000091552734
2019-07-23,76.33999633789062
2019-07-24,78.02999877929688
2019-07-25,77.69999694824219
2019-07-26,77.19000244140625
2019-07-29,76.54000091552734
2019-07-30,75.05000305175781
2019-07-31,75.29000091552734
2019-08-01,75.44000244140625
2019-08-02,75.19000244140625
2019-08-05,71.41000366210938
2019-08-06,73.91000366210938
2019-08-07,91.7699966430664
2019-08-08,87.16999816894531
2019-08-09,85.62999725341797
2019-08-12,82.63999938964844
2019-08-13,80.5999984741211
2019-08-14,79.52999877929688
2019-08-15,82.47000122070312
2019-08-16,84.51000213623047
2019-08-19,82.91999816894531
2019-08-20,83.16999816894531
2019-08-21,85.3499984741211
2019-08-22,86.4800033569336
2019-08-23,85.45999908447266
2019-08-26,85.93000030517578
2019-08-27,84.83000183105469
2019-08-28,85.0
2019-08-29,85.5999984741211
2019-08-30,84.80000305175781
2019-09-03,83.9800033569336
2019-09-04,85.63999938964844
2019-09-05,81.73999786376953
2019-09-06,81.47000122070312
2019-09-09,77.95999908447266
2019-09-10,75.54000091552734
2019-09-11,74.83000183105469
2019-09-12,76.16999816894531
2019-09-13,74.93000030517578
2019-09-16,76.61000061035156
2019-09-17,79.70999908447266
2019-09-18,79.16000366210938
2019-09-19,79.23999786376953
2019-09-20,78.68000030517578
2019-09-23,78.16000366210938
2019-09-24,72.83000183105469
2019-09-25,71.44000244140625
2019-09-26,71.44000244140625
2019-09-27,72.41000366210938
2019-09-30,71.44000244140625
2019-10-01,72.95999908447266
2019-10-02,72.37000274658203
2019-10-03,75.0
2019-10-04,74.43000030517578
2019-10-07,77.97000122070312
2019-10-08,75.54000091552734
2019-10-09,75.95999908447266
2019-10-10,76.0199966430664
2019-10-11,74.0999984741211
2019-10-14,74.0
2019-10-15,75.25
2019-10-16,76.62000274658203
2019-10-17,75.80000305175781
2019-10-18,71.55000305175781
2019-10-21,72.97000122070312
2019-10-22,71.27999877929688
2019-10-23,73.45999908447266
2019-10-24,73.86000061035156
2019-10-25,73.94000244140625
2019-10-28,73.8499984741211
2019-10-29,72.79000091552734
2019-10-30,73.7300033569336
2019-10-31,72.98999786376953
2019-11-01,73.0
2019-11-04,71.20999908447266
2019-11-05,68.7699966430664
2019-11-06,67.04000091552734
2019-11-07,69.69999694824219
2019-11-08,69.08000183105469
2019-11-11,68.69000244140625
2019-11-12,68.41000366210938
2019-11-13,68.69999694824219
2019-11-14,69.37999725341797
2019-11-15,70.08000183105469
2019-11-18,71.08999633789062
2019-11-19,71.86000061035156
2019-11-20,70.47000122070312
2019-11-21,70.04000091552734
2019-11-22,69.87000274658203
2019-11-25,69.27999877929688
2019-11-26,70.37000274658203
2019-11-27,70.1500015258789
2019-11-29,70.4800033569336
2019-12-02,68.41999816894531
2019-12-03,68.26000213623047
2019-12-04,67.9800033569336
2019-12-05,68.12999725341797
2019-12-06,67.87000274658203
2019-12-09,67.80999755859375
2019-12-10,68.25
2019-12-11,68.62000274658203
2019-12-12,69.08999633789062
2019-12-13,71.91000366210938
2019-12-16,72.30999755859375
2019-12-17,71.04000091552734
2019-12-18,71.23999786376953
2019-12-19,77.3499984741211
2019-12-20,79.86000061035156
2019-12-23,80.18000030517578
