,CMCSA
2017-06-05,35.111080169677734
2017-06-06,35.05226135253906
2017-06-07,35.19508743286133
2017-06-08,34.39691925048828
2017-06-09,34.186885833740234
2017-06-12,34.422122955322266
2017-06-13,34.63216781616211
2017-06-14,34.522945404052734
2017-06-15,34.8170166015625
2017-06-16,34.682586669921875
2017-06-19,35.119476318359375
2017-06-20,33.934814453125
2017-06-21,33.8424072265625
2017-06-22,33.5567512512207
2017-06-23,33.18706512451172
2017-06-26,33.26267623901367
2017-06-27,32.97702407836914
2017-06-28,33.48953628540039
2017-06-29,32.657752990722656
2017-06-30,32.83321762084961
2017-07-03,32.360801696777344
2017-07-05,32.656070709228516
2017-07-06,32.268001556396484
2017-07-07,32.537960052490234
2017-07-10,32.698246002197266
2017-07-11,32.70668411254883
2017-07-12,32.91758728027344
2017-07-13,33.1622314453125
2017-07-14,33.06943893432617
2017-07-17,33.06943893432617
2017-07-18,33.052555084228516
2017-07-19,33.18754196166992
2017-07-20,33.3140869140625
2017-07-21,33.432193756103516
2017-07-24,33.297218322753906
2017-07-25,33.53342056274414
2017-07-26,33.19597244262695
2017-07-27,33.263465881347656
2017-07-28,33.33938980102539
2017-07-31,34.12395095825195
2017-08-01,34.031150817871094
2017-08-02,33.75276184082031
2017-08-03,33.49123764038086
2017-08-04,33.40687942504883
2017-08-07,33.41531753540039
2017-08-08,33.676841735839844
2017-08-09,34.27580261230469
2017-08-10,34.36016082763672
2017-08-11,34.680728912353516
2017-08-14,35.34718704223633
2017-08-15,35.009742736816406
2017-08-16,34.7903938293457
2017-08-17,33.97209548950195
2017-08-18,34.183006286621094
2017-08-21,34.41920471191406
2017-08-22,34.883182525634766
2017-08-23,34.29267120361328
2017-08-24,33.8624267578125
2017-08-25,33.913047790527344
2017-08-28,34.031150817871094
2017-08-29,33.87929153442383
2017-08-30,34.43608474731445
2017-08-31,34.25893020629883
2017-09-01,34.63854217529297
2017-09-05,34.30953598022461
2017-09-06,34.731346130371094
2017-09-07,32.563270568847656
2017-09-08,32.23426818847656
2017-09-11,31.913692474365234
2017-09-12,31.97274398803711
2017-09-13,32.02335739135742
2017-09-14,31.719661712646484
2017-09-15,31.154449462890625
2017-09-18,31.306310653686523
2017-09-19,31.46657943725586
2017-09-20,31.6015625
2017-09-21,31.609996795654297
2017-09-22,32.1414680480957
2017-09-25,31.98118019104004
2017-09-26,31.896820068359375
2017-09-27,32.50422286987305
2017-09-28,31.905263900756836
2017-09-29,32.462032318115234
2017-10-02,32.031803131103516
2017-10-03,32.44520568847656
2017-10-04,32.69086837768555
2017-10-05,32.487552642822266
2017-10-06,32.19952392578125
2017-10-09,32.021629333496094
2017-10-10,31.928447723388672
2017-10-11,31.69972038269043
2017-10-12,30.454442977905273
2017-10-13,30.505266189575195
2017-10-16,31.013545989990234
2017-10-17,30.89494514465332
2017-10-18,30.66622543334961
2017-10-19,31.259218215942383
2017-10-20,31.530292510986328
2017-10-23,30.96271514892578
2017-10-24,30.920364379882812
2017-10-25,31.199909210205078
2017-10-26,30.725507736206055
2017-10-27,31.166030883789062
2017-10-30,30.920364379882812
2017-10-31,30.522207260131836
2017-11-01,30.564571380615234
2017-11-02,29.776735305786133
2017-11-03,30.225706100463867
2017-11-06,30.10711669921875
2017-11-07,30.82717514038086
2017-11-08,30.674701690673828
2017-11-09,30.971187591552734
2017-11-10,31.216859817504883
2017-11-13,31.555706024169922
2017-11-14,31.225332260131836
2017-11-15,31.49640464782715
2017-11-16,31.403230667114258
2017-11-17,30.632328033447266
2017-11-20,30.352779388427734
2017-11-21,30.852590560913086
2017-11-22,30.844104766845703
2017-11-24,30.386659622192383
2017-11-27,30.115581512451172
2017-11-28,30.70858383178711
2017-11-29,31.504878997802734
2017-11-30,31.80138397216797
2017-12-01,32.55533981323242
2017-12-04,34.15640640258789
2017-12-05,33.478702545166016
2017-12-06,32.72476577758789
2017-12-07,32.09787368774414
2017-12-08,32.148712158203125
2017-12-11,32.56379318237305
2017-12-12,33.4702262878418
2017-12-13,32.682403564453125
2017-12-14,33.13985061645508
2017-12-15,33.6396598815918
2017-12-18,33.49564743041992
2017-12-19,33.15679168701172
2017-12-20,33.360107421875
2017-12-21,34.57151794433594
2017-12-22,34.54608917236328
2017-12-26,34.57997512817383
2017-12-27,34.232643127441406
2017-12-28,34.13099670410156
2017-12-29,33.92768859863281
2018-01-02,34.92955780029297
2018-01-03,34.36824035644531
2018-01-04,34.589359283447266
2018-01-05,34.9040412902832
2018-01-08,34.42777633666992
2018-01-09,34.53833770751953
2018-01-10,34.94656753540039
2018-01-11,36.23079299926758
2018-01-12,36.09471893310547
2018-01-16,35.567420959472656
