,PARA
2018-11-30,46.2704963684082
2018-12-03,45.69831085205078
2018-12-04,43.853641510009766
2018-12-06,43.819480895996094
2018-12-07,43.64013671875
2018-12-10,42.645973205566406
2018-12-11,41.343299865722656
2018-12-12,41.70323944091797
2018-12-13,41.06047439575195
2018-12-14,41.180450439453125
2018-12-17,40.12630844116211
2018-12-18,39.594940185546875
2018-12-19,38.88359451293945
2018-12-20,37.82944869995117
2018-12-21,37.16096115112305
2018-12-24,36.012542724609375
2018-12-26,37.1695442199707
2018-12-27,37.1695442199707
2018-12-28,37.20381164550781
2018-12-31,37.469505310058594
2019-01-02,39.132137298583984
2019-01-03,39.53494644165039
2019-01-04,40.426265716552734
2019-01-07,40.85478591918945
2019-01-08,41.454715728759766
2019-01-09,40.9661979675293
2019-01-10,41.0090446472168
2019-01-11,41.11188888549805
2019-01-14,41.077606201171875
2019-01-15,40.9661979675293
2019-01-16,40.974761962890625
2019-01-17,41.79751968383789
2019-01-18,42.20033264160156
2019-01-22,41.53183364868164
2019-01-23,41.52326965332031
2019-01-24,41.97748947143555
2019-01-25,42.14032745361328
2019-01-28,42.89451217651367
2019-01-29,43.16020584106445
2019-01-30,42.423152923583984
2019-01-31,42.38887405395508
2019-02-01,42.568843841552734
2019-02-04,42.431724548339844
2019-02-05,42.688838958740234
2019-02-06,42.663124084472656
2019-02-07,42.12318420410156
2019-02-08,42.47457504272461
2019-02-11,41.21473693847656
2019-02-12,41.46327209472656
2019-02-13,41.50613021850586
2019-02-14,42.08032989501953
2019-02-15,43.40016555786133
2019-02-19,43.34017562866211
2019-02-20,43.88010787963867
2019-02-21,43.64013671875
2019-02-22,44.300052642822266
2019-02-25,43.348751068115234
2019-02-26,43.25446701049805
2019-02-27,42.525997161865234
2019-02-28,43.03164291381836
2019-03-01,43.528724670410156
2019-03-04,42.945953369140625
2019-03-05,43.02307891845703
2019-03-06,42.868812561035156
2019-03-07,42.11461639404297
2019-03-08,42.15763473510742
2019-03-11,42.21784210205078
2019-03-12,42.52750778198242
2019-03-13,41.89097213745117
2019-03-14,41.49530029296875
2019-03-15,41.030784606933594
2019-03-18,40.97917556762695
2019-03-19,40.61790466308594
2019-03-20,39.70610427856445
2019-03-21,39.65448760986328
2019-03-22,38.75990676879883
2019-03-25,39.164188385009766
2019-03-26,40.70391845703125
2019-03-27,40.927574157714844
2019-03-28,40.67810821533203
2019-03-29,40.88455581665039
2019-04-01,41.469486236572266
2019-04-02,41.23722839355469
2019-04-03,41.98558807373047
2019-04-04,42.71674346923828
2019-04-05,43.327484130859375
2019-04-08,44.204864501953125
2019-04-09,43.964012145996094
2019-04-10,44.41130447387695
2019-04-11,44.35110092163086
2019-04-12,44.36830520629883
2019-04-15,44.523128509521484
2019-04-16,44.9360237121582
2019-04-17,45.18547058105469
2019-04-18,45.06504821777344
2019-04-22,43.964012145996094
2019-04-23,44.16185760498047
2019-04-24,44.17045974731445
2019-04-25,43.576934814453125
2019-04-26,44.04143142700195
2019-04-29,44.5145263671875
2019-04-30,44.101646423339844
2019-05-01,43.98122024536133
2019-05-02,43.37049102783203
2019-05-03,42.776954650878906
2019-05-06,42.71674346923828
2019-05-07,41.71033477783203
2019-05-08,41.75334548950195
2019-05-09,41.959781646728516
2019-05-10,42.39847946166992
2019-05-13,40.643707275390625
2019-05-14,41.022193908691406
2019-05-15,41.15121078491211
2019-05-16,41.5985107421875
2019-05-17,41.61571502685547
2019-05-20,41.55549621582031
2019-05-21,42.08021926879883
2019-05-22,41.5640983581543
2019-05-23,41.211429595947266
2019-05-24,40.841548919677734
2019-05-28,40.961971282958984
2019-05-29,40.187808990478516
2019-05-30,41.46088409423828
2019-05-31,41.529693603515625
2019-06-03,41.49530029296875
2019-06-04,41.98558807373047
2019-06-05,41.55549621582031
2019-06-06,41.667320251464844
2019-06-07,41.80546569824219
2019-06-10,41.41693878173828
2019-06-11,41.51191711425781
2019-06-12,41.72775650024414
2019-06-13,42.591156005859375
2019-06-14,42.297611236572266
2019-06-17,42.43574523925781
2019-06-18,42.487545013427734
2019-06-19,42.94514465332031
2019-06-20,43.834442138671875
2019-06-21,43.57542419433594
2019-06-24,43.420013427734375
2019-06-25,42.66885757446289
2019-06-26,41.96086883544922
2019-06-27,42.150821685791016
2019-06-28,43.083282470703125
2019-07-01,43.64448547363281
2019-07-02,44.0157585144043
2019-07-03,44.758262634277344
2019-07-05,44.90504837036133
2019-07-08,45.24176788330078
2019-07-09,45.164066314697266
2019-07-10,45.388545989990234
2019-07-11,45.82887268066406
2019-07-12,45.91521072387695
2019-07-15,46.07925033569336
2019-07-16,46.200130462646484
2019-07-17,45.25904083251953
2019-07-18,44.317935943603516
2019-07-19,43.77399826049805
2019-07-22,43.178260803222656
2019-07-23,43.23870086669922
2019-07-24,44.07618713378906
2019-07-25,44.36111068725586
2019-07-26,44.766910552978516
2019-07-29,45.025917053222656
2019-07-30,45.362648010253906
2019-07-31,44.47335433959961
2019-08-01,43.704925537109375
2019-08-02,43.514984130859375
2019-08-05,42.3580436706543
2019-08-06,42.789737701416016
2019-08-07,42.461639404296875
2019-08-08,43.87760543823242
2019-08-09,42.2285270690918
2019-08-12,41.477378845214844
2019-08-13,42.04722213745117
2019-08-14,38.55047607421875
2019-08-15,37.42806625366211
2019-08-16,37.816593170166016
2019-08-19,38.179222106933594
2019-08-20,38.11014175415039
2019-08-21,38.05834197998047
2019-08-22,37.53167724609375
2019-08-23,35.75308609008789
2019-08-26,36.05527114868164
2019-08-27,35.433631896972656
2019-08-28,36.037994384765625
2019-08-29,36.573307037353516
2019-08-30,36.314292907714844
