,TFC
2015-04-01,26.540719985961914
2015-04-02,26.816041946411133
2015-04-06,26.98122787475586
2015-04-07,26.926162719726562
2015-04-08,26.836706161499023
2015-04-09,26.91240119934082
2015-04-10,26.871110916137695
2015-04-13,27.132644653320312
2015-04-14,26.84357261657715
2015-04-15,27.04317283630371
2015-04-16,26.974346160888672
2015-04-17,26.513187408447266
2015-04-20,26.699026107788086
2015-04-21,26.60955238342285
2015-04-22,26.75408935546875
2015-04-23,26.05890464782715
2015-04-24,26.00385093688965
2015-04-27,25.87994956970215
2015-04-28,26.127735137939453
2015-04-29,26.36864471435547
2015-04-30,26.354877471923828
2015-05-01,26.47188949584961
2015-05-04,26.905515670776367
2015-05-05,26.82293128967285
2015-05-06,26.60955238342285
2015-05-07,26.5476016998291
2015-05-08,26.88486099243164
2015-05-11,26.850452423095703
2015-05-12,26.926162719726562
2015-05-13,27.092504501342773
2015-05-14,27.147945404052734
2015-05-15,26.836063385009766
2015-05-18,27.189533233642578
2015-05-19,27.570722579956055
2015-05-20,27.43903923034668
2015-05-21,27.418254852294922
2015-05-22,27.314294815063477
2015-05-26,27.43903923034668
2015-05-27,27.660825729370117
2015-05-28,27.646963119506836
2015-05-29,27.355880737304688
2015-06-01,27.147945404052734
2015-06-02,27.34201431274414
2015-06-03,27.72319984436035
2015-06-04,27.522216796875
2015-06-05,27.861833572387695
2015-06-08,27.910341262817383
2015-06-09,28.139053344726562
2015-06-10,28.52718162536621
2015-06-11,28.34697723388672
2015-06-12,28.464807510375977
2015-06-15,28.589569091796875
2015-06-16,28.735097885131836
2015-06-17,28.52718162536621
2015-06-18,28.6103515625
2015-06-19,28.43014144897461
2015-06-22,28.5479736328125
2015-06-23,28.80442237854004
2015-06-24,28.52718162536621
2015-06-25,28.43014144897461
2015-06-26,28.61728286743164
2015-06-29,27.89647674560547
2015-06-30,27.93806266784668
2015-07-01,28.444013595581055
2015-07-02,27.986581802368164
2015-07-06,27.972721099853516
2015-07-07,27.958866119384766
2015-07-08,27.59151840209961
2015-07-09,27.847959518432617
2015-07-10,28.2083683013916
2015-07-13,28.478662490844727
2015-07-14,28.568775177001953
2015-07-15,28.82520294189453
2015-07-16,28.7974796295166
2015-07-17,28.31233024597168
2015-07-20,28.541034698486328
2015-07-21,28.603424072265625
2015-07-22,28.83211898803711
2015-07-23,28.735097885131836
2015-07-24,28.270740509033203
2015-07-27,28.04201889038086
2015-07-28,28.000444412231445
2015-07-29,28.1459903717041
2015-07-30,28.1459903717041
2015-07-31,27.910341262817383
2015-08-03,27.94499969482422
2015-08-04,28.166784286499023
2015-08-05,28.326187133789062
2015-08-06,28.201433181762695
2015-08-07,27.917268753051758
2015-08-10,28.395492553710938
2015-08-11,27.86875343322754
2015-08-12,27.429168701171875
2015-08-13,27.694316864013672
2015-08-14,28.12693214416504
2015-08-17,28.04319953918457
2015-08-18,27.97341537475586
2015-08-19,27.617565155029297
2015-08-20,26.92677879333496
2015-08-21,26.235971450805664
2015-08-24,24.819517135620117
2015-08-25,24.26828956604004
2015-08-26,25.342851638793945
2015-08-27,25.977807998657227
2015-08-28,25.887104034423828
2015-08-31,25.76150131225586
2015-09-01,24.65205955505371
2015-09-02,25.03582763671875
2015-09-03,25.454483032226562
2015-09-04,25.028844833374023
2015-09-08,25.628925323486328
