,STX
2016-05-26,14.634048461914062
2016-05-27,14.708746910095215
2016-05-31,15.319914817810059
2016-06-01,15.625500679016113
2016-06-02,16.128009796142578
2016-06-03,16.05331039428711
2016-06-06,16.223079681396484
2016-06-07,16.739179611206055
2016-06-08,16.467544555664062
2016-06-09,16.392850875854492
2016-06-10,15.713773727416992
2016-06-13,15.40140438079834
2016-06-14,15.455726623535156
2016-06-15,15.428566932678223
2016-06-16,15.408193588256836
2016-06-17,15.768096923828125
2016-06-20,15.9107084274292
2016-06-21,16.202709197998047
2016-06-22,16.209497451782227
2016-06-23,16.623737335205078
2016-06-24,15.727354049682617
2016-06-27,14.172283172607422
2016-06-28,15.299537658691406
2016-06-29,16.26382827758789
2016-06-30,16.542251586914062
2016-07-01,16.31814956665039
2016-07-05,15.727354049682617
2016-07-06,15.971820831298828
2016-07-07,16.114423751831055
2016-07-08,16.3045711517334
2016-07-11,16.35889434814453
2016-07-12,19.93082618713379
2016-07-13,20.256784439086914
2016-07-14,19.822175979614258
2016-07-15,19.625242233276367
2016-07-18,20.474084854125977
2016-07-19,20.36543846130371
2016-07-20,20.711761474609375
2016-07-21,21.200698852539062
2016-07-22,21.44516372680664
2016-07-25,21.3500919342041
2016-07-26,22.035953521728516
2016-07-27,21.764328002929688
2016-07-28,22.137813568115234
2016-07-29,21.750743865966797
2016-08-01,22.022375106811523
2016-08-02,20.813627243041992
2016-08-03,20.867948532104492
2016-08-04,21.227861404418945
2016-08-05,21.818653106689453
2016-08-08,22.14461326599121
2016-08-09,22.063121795654297
2016-08-10,21.30934715270996
2016-08-11,21.560606002807617
2016-08-12,21.42479133605957
2016-08-15,21.730371475219727
2016-08-16,22.04274559020996
2016-08-17,21.58097267150879
2016-08-18,21.77790641784668
2016-08-19,21.954469680786133
2016-08-22,21.64208984375
2016-08-23,21.811859130859375
2016-08-24,21.44516372680664
2016-08-25,21.764328002929688
2016-08-26,22.6335391998291
2016-08-29,22.90517234802246
2016-08-30,23.034198760986328
2016-08-31,22.911968231201172
2016-09-01,22.891592025756836
2016-09-02,23.034198760986328
2016-09-06,23.407690048217773
2016-09-07,24.79299545288086
2016-09-08,24.65718650817871
2016-09-09,24.50778579711914
2016-09-12,24.820158004760742
2016-09-13,24.541736602783203
2016-09-14,24.494205474853516
2016-09-15,24.75225830078125
2016-09-16,24.718303680419922
2016-09-19,24.842693328857422
2016-09-20,24.552453994750977
2016-09-21,25.354055404663086
2016-09-22,25.15365982055664
2016-09-23,25.195110321044922
2016-09-26,25.706483840942383
2016-09-27,26.54953956604004
2016-09-28,26.404422760009766
2016-09-29,26.11419105529785
2016-09-30,26.639375686645508
2016-10-03,26.542627334594727
2016-10-04,26.425159454345703
2016-10-05,26.63245964050293
2016-10-06,26.128009796142578
2016-10-07,26.183290481567383
2016-10-10,26.23858070373535
2016-10-11,24.25530433654785
2016-10-12,24.34514045715332
2016-10-13,24.310592651367188
2016-10-14,24.296768188476562
2016-10-17,24.1931095123291
2016-10-18,24.421159744262695
2016-10-19,23.71629524230957
2016-10-20,24.17238426208496
2016-10-21,23.84068489074707
2016-10-24,23.854507446289062
2016-10-25,23.681747436523438
2016-10-26,24.075634002685547
2016-10-27,23.66101837158203
2016-10-28,23.59881591796875
2016-10-31,23.709386825561523
2016-11-01,23.294767379760742
2016-11-02,22.56227684020996
2016-11-03,22.859416961669922
2016-11-04,22.804136276245117
2016-11-07,23.94434356689453
2016-11-08,23.83377456665039
2016-11-09,24.020355224609375
2016-11-10,24.994709014892578
2016-11-11,25.741031646728516
2016-11-14,26.259302139282227
2016-11-15,26.611736297607422
2016-11-16,26.438974380493164
2016-11-17,27.109283447265625
2016-11-18,27.150732040405273
2016-11-21,27.516986846923828
2016-11-22,26.922698974609375
2016-11-23,26.82595443725586
2016-11-25,26.998716354370117
2016-11-28,27.20602035522461
2016-11-29,27.29585838317871
2016-11-30,27.710481643676758
2016-12-01,26.335323333740234
2016-12-02,26.860506057739258
2016-12-05,27.060901641845703
2016-12-06,27.053993225097656
2016-12-07,27.827957153320312
2016-12-08,27.109283447265625
2016-12-09,27.212932586669922
2016-12-12,27.067813873291016
2016-12-13,28.221843719482422
2016-12-14,27.779584884643555
2016-12-15,28.055994033813477
2016-12-16,27.01944351196289
2016-12-19,27.188007354736328
2016-12-20,27.223119735717773
2016-12-21,27.32847785949707
2016-12-22,27.40573501586914
2016-12-23,27.468952178955078
2016-12-27,27.65857696533203
2016-12-28,27.24419403076172
2016-12-29,26.703392028808594
2016-12-30,26.80873680114746
2017-01-03,27.82714080810547
2017-01-04,27.475967407226562
2017-01-05,27.426809310913086
2017-01-06,27.03348731994629
2017-01-09,26.72446060180664
2017-01-10,26.42946434020996
2017-01-11,25.89567756652832
2017-01-12,25.81139373779297
2017-01-13,25.916749954223633
2017-01-17,26.00103187561035
2017-01-18,26.155553817749023
2017-01-19,25.523435592651367
2017-01-20,25.614734649658203
2017-01-23,25.54450798034668
2017-01-24,26.29601287841797
2017-01-25,29.96930503845215
2017-01-26,30.833208084106445
2017-01-27,31.254627227783203
2017-01-30,31.53556251525879
2017-01-31,31.711149215698242
2017-02-01,31.451278686523438
2017-02-02,31.795438766479492
2017-02-03,32.51183319091797
2017-02-06,31.914825439453125
2017-02-07,32.37838363647461
2017-02-08,32.16767501831055
2017-02-09,32.56801223754883
2017-02-10,32.6312141418457
2017-02-13,33.5723762512207
2017-02-14,33.60749816894531
2017-02-15,33.818206787109375
2017-02-16,33.41083908081055
2017-02-17,33.108829498291016
2017-02-21,33.312503814697266
2017-02-22,33.25632858276367
2017-02-23,33.28440475463867
2017-02-24,33.537254333496094
2017-02-27,33.49512481689453
2017-02-28,33.84629821777344
2017-03-01,34.75232696533203
2017-03-02,34.3590087890625
2017-03-03,34.38710021972656
2017-03-06,34.07106018066406
2017-03-07,33.90951156616211
2017-03-08,33.79010772705078
2017-03-09,32.785743713378906
2017-03-10,33.2071533203125
2017-03-13,33.41083908081055
2017-03-14,32.7997932434082
2017-03-15,33.05263900756836
2017-03-16,33.17204284667969
2017-03-17,32.919189453125
2017-03-20,32.805294036865234
2017-03-21,31.68756866455078
2017-03-22,32.04352569580078
2017-03-23,32.12895584106445
2017-03-24,32.207271575927734
2017-03-27,31.972333908081055
2017-03-28,32.23574447631836
2017-03-29,32.513397216796875
2017-03-30,33.54568099975586
2017-03-31,32.698486328125
2017-04-03,32.24998474121094
2017-04-04,32.72697830200195
2017-04-05,32.74832534790039
2017-04-06,32.926307678222656
2017-04-07,33.35345458984375
2017-04-10,33.88740539550781
2017-04-11,34.94816207885742
2017-04-12,34.41423034667969
2017-04-13,34.2932014465332
2017-04-17,34.52101135253906
2017-04-18,34.556610107421875
2017-04-19,34.57084655761719
2017-04-20,34.5637321472168
2017-04-21,34.35728073120117
2017-04-24,35.18309783935547
2017-04-25,35.959083557128906
2017-04-26,29.90777587890625
2017-04-27,30.114229202270508
2017-04-28,29.993202209472656
2017-05-01,30.02880096435547
2017-05-02,30.213895797729492
2017-05-03,30.26372718811035
2017-05-04,30.313570022583008
2017-05-05,31.004121780395508
2017-05-08,30.52002716064453
2017-05-09,30.491546630859375
2017-05-10,30.69088363647461
2017-05-11,30.24237632751465
2017-05-12,30.641040802001953
2017-05-15,30.95429801940918
2017-05-16,31.324491500854492
2017-05-17,30.01455307006836
2017-05-18,30.078641891479492
2017-05-19,30.26372718811035
2017-05-22,30.448833465576172
2017-05-23,30.34916877746582
2017-05-24,30.42035675048828
2017-05-25,30.69088363647461
2017-05-26,30.277976989746094
2017-05-30,30.78343391418457
2017-05-31,31.018367767333984
2017-06-01,30.52713966369629
2017-06-02,30.76919937133789
2017-06-05,29.95760154724121
2017-06-06,29.822341918945312
2017-06-07,29.85793685913086
2017-06-08,30.448833465576172
2017-06-09,30.164060592651367
2017-06-12,29.57316017150879
2017-06-13,29.92200469970703
2017-06-14,29.388071060180664
2017-06-15,29.55892562866211
2017-06-16,29.92200469970703
2017-06-19,30.23279571533203
2017-06-20,29.661815643310547
2017-06-21,30.109926223754883
2017-06-22,30.362895965576172
2017-06-23,30.839893341064453
2017-06-26,30.637535095214844
2017-06-27,28.55599594116211
2017-06-28,29.040246963500977
2017-06-29,28.122350692749023
2017-06-30,28.0067138671875
2017-07-03,27.89107322692871
2017-07-05,28.201852798461914
2017-07-06,26.951492309570312
2017-07-07,27.609201431274414
2017-07-10,27.74651336669922
2017-07-11,27.985034942626953
2017-07-12,28.69332504272461
2017-07-13,27.6959228515625
2017-07-14,28.548776626586914
2017-07-17,28.237995147705078
2017-07-18,28.064537048339844
2017-07-19,28.36086082458496
2017-07-20,28.49095344543457
2017-07-21,28.606592178344727
2017-07-24,28.7366943359375
2017-07-25,23.99542236328125
2017-07-26,23.373859405517578
2017-07-27,23.532867431640625
2017-07-28,23.56900405883789
2017-07-31,23.82196617126465
2017-08-01,24.118289947509766
2017-08-02,24.154430389404297
2017-08-03,24.26284408569336
2017-08-04,24.161657333374023
2017-08-07,24.197797775268555
2017-08-08,23.84364891052246
2017-08-09,23.5617733001709
2017-08-10,22.802885055541992
2017-08-11,23.337722778320312
2017-08-14,23.525634765625
2017-08-15,23.33049201965332
2017-08-16,23.47504234313965
2017-08-17,22.773977279663086
2017-08-18,22.672788619995117
2017-08-21,22.737831115722656
2017-08-22,23.337722778320312
2017-08-23,22.412595748901367
2017-08-24,22.41982078552246
2017-08-25,22.5860595703125
2017-08-28,22.759519577026367
2017-08-29,22.73061180114746
2017-08-30,22.766746520996094
2017-08-31,22.788429260253906
2017-09-01,22.98356819152832
2017-09-05,23.670188903808594
2017-09-06,23.699098587036133
2017-09-07,23.373859405517578
2017-09-08,23.12088966369629
2017-09-11,22.369230270385742
2017-09-12,23.048614501953125
2017-09-13,23.691865921020508
2017-09-14,23.59791374206543
2017-09-15,24.248384475708008
2017-09-18,24.226707458496094
2017-09-19,23.7037296295166
2017-09-20,23.851045608520508
2017-09-21,24.101486206054688
2017-09-22,24.727596282958984
2017-09-25,24.425588607788086
2017-09-26,24.211977005004883
2017-09-27,24.440324783325195
2017-09-28,24.29300308227539
2017-09-29,24.432952880859375
2017-10-02,25.191654205322266
2017-10-03,25.081161499023438
2017-10-04,25.029600143432617
2017-10-05,25.117992401123047
2017-10-06,24.8896484375
2017-10-09,24.93384552001953
2017-10-10,24.860183715820312
2017-10-11,24.676036834716797
2017-10-12,24.76442527770996
2017-10-13,25.338977813720703
2017-10-16,25.4052677154541
2017-10-17,25.01487159729004
2017-10-18,25.23585319519043
2017-10-19,25.29477310180664
2017-10-20,25.736732482910156
2017-10-23,28.98513412475586
2017-10-24,28.609464645385742
2017-10-25,28.10121726989746
