,CHD
2018-07-23,50.76683807373047
2018-07-24,50.674129486083984
2018-07-25,50.93366622924805
2018-07-26,51.26735305786133
2018-07-27,51.31370162963867
2018-07-30,51.24881362915039
2018-07-31,51.81423568725586
2018-08-01,51.11905288696289
2018-08-02,52.63917541503906
2018-08-03,52.991390228271484
2018-08-06,53.260196685791016
2018-08-07,52.34257125854492
2018-08-08,51.85130310058594
2018-08-09,51.50835037231445
2018-08-10,51.665916442871094
2018-08-13,51.80495834350586
2018-08-14,51.59838104248047
2018-08-15,52.16600799560547
2018-08-16,52.90114212036133
2018-08-17,53.18030548095703
2018-08-20,53.626953125
2018-08-21,52.84529495239258
2018-08-22,52.44517517089844
2018-08-23,52.594051361083984
2018-08-24,52.4172477722168
2018-08-27,52.29627990722656
2018-08-28,52.52891540527344
2018-08-29,52.5754508972168
2018-08-30,52.463783264160156
2018-08-31,52.6498908996582
2018-09-04,52.55683517456055
2018-09-05,53.69209289550781
2018-09-06,54.082916259765625
2018-09-07,54.613319396972656
2018-09-10,54.41791534423828
2018-09-11,54.90180206298828
2018-09-12,55.30192565917969
2018-09-13,55.32052993774414
2018-09-14,55.41358947753906
2018-09-17,55.646209716796875
2018-09-18,55.57177734375
2018-09-19,54.892486572265625
2018-09-20,55.51594924926758
2018-09-21,55.86955261230469
2018-09-24,54.994842529296875
2018-09-25,54.911094665527344
2018-09-26,55.274009704589844
2018-09-27,54.7994384765625
2018-09-28,55.24609375
2018-10-01,55.41358947753906
2018-10-02,55.962608337402344
2018-10-03,54.98554611206055
2018-10-04,54.25041580200195
2018-10-05,55.078590393066406
2018-10-08,55.646209716796875
2018-10-09,55.29261016845703
2018-10-10,52.07295608520508
2018-10-11,51.05866241455078
2018-10-12,52.175315856933594
2018-10-15,53.087242126464844
2018-10-16,54.44582748413086
2018-10-17,54.44582748413086
2018-10-18,54.96692657470703
2018-10-19,56.13941192626953
2018-10-22,55.72996520996094
2018-10-23,55.32984161376953
2018-10-24,55.75788497924805
2018-10-25,55.1623420715332
2018-10-26,53.999176025390625
