,MKTX
2016-03-21,113.87483215332031
2016-03-22,113.52115631103516
2016-03-23,112.7579574584961
2016-03-24,111.87377166748047
2016-03-28,112.62763977050781
2016-03-29,115.28022003173828
2016-03-30,115.05684661865234
2016-03-31,116.18302917480469
2016-04-01,119.67328643798828
2016-04-04,117.74665069580078
2016-04-05,114.58222198486328
2016-04-06,116.70423889160156
2016-04-07,115.4105224609375
2016-04-08,114.48910522460938
2016-04-11,113.13023376464844
2016-04-12,113.42809295654297
2016-04-13,116.34127044677734
2016-04-14,116.98347473144531
2016-04-15,116.04341888427734
2016-04-18,115.82935333251953
2016-04-19,117.43951416015625
2016-04-20,120.16656494140625
2016-04-21,119.35684204101562
2016-04-22,120.49234008789062
2016-04-25,119.67328643798828
2016-04-26,120.43646240234375
2016-04-27,117.0020751953125
2016-04-28,115.17782592773438
2016-04-29,114.25643920898438
2016-05-02,114.76831817626953
2016-05-03,112.48804473876953
2016-05-04,114.22850036621094
2016-05-05,115.7921371459961
2016-05-06,116.76940155029297
2016-05-09,118.47264099121094
2016-05-10,118.55657958984375
2016-05-11,120.03946685791016
2016-05-12,123.03321075439453
2016-05-13,121.80216979980469
2016-05-16,123.66740417480469
2016-05-17,122.39903259277344
2016-05-18,124.43217468261719
2016-05-19,124.1710205078125
2016-05-20,125.37415313720703
2016-05-23,125.31810760498047
2016-05-24,129.14198303222656
2016-05-25,130.5688934326172
2016-05-26,129.41241455078125
2016-05-27,131.10984802246094
2016-05-31,130.51295471191406
2016-06-01,131.17510986328125
2016-06-02,131.92123413085938
2016-06-03,132.1544189453125
2016-06-06,133.59996032714844
2016-06-07,132.20098876953125
2016-06-08,133.87973022460938
2016-06-09,132.6487274169922
2016-06-10,132.28492736816406
2016-06-13,132.49948120117188
2016-06-14,131.9585418701172
2016-06-15,132.0611114501953
2016-06-16,132.91915893554688
2016-06-17,131.01654052734375
2016-06-20,131.4549102783203
2016-06-21,129.38446044921875
2016-06-22,129.86012268066406
2016-06-23,134.42071533203125
2016-06-24,129.80409240722656
2016-06-27,126.7171401977539
2016-06-28,131.74403381347656
2016-06-29,132.4528045654297
2016-06-30,135.60511779785156
2016-07-01,133.91705322265625
2016-07-05,134.8497314453125
2016-07-06,139.92323303222656
2016-07-07,139.2144317626953
2016-07-08,141.4993896484375
2016-07-11,140.6507110595703
2016-07-12,140.9025115966797
2016-07-13,140.54806518554688
2016-07-14,141.30355834960938
2016-07-15,141.21029663085938
2016-07-18,139.86729431152344
2016-07-19,141.78851318359375
2016-07-20,141.80711364746094
2016-07-21,141.18231201171875
