,TMUS
2020-09-08,109.47012329101562
2020-09-09,111.06944274902344
2020-09-10,109.61729431152344
2020-09-11,109.47993469238281
2020-09-14,110.15693664550781
2020-09-15,113.7480697631836
2020-09-16,111.61890411376953
2020-09-17,109.80372619628906
2020-09-18,108.63612365722656
2020-09-21,108.48893737792969
2020-09-22,110.2746810913086
2020-09-23,106.948486328125
2020-09-24,108.46932220458984
2020-09-25,109.9116439819336
2020-09-28,112.08985900878906
2020-09-29,111.38341522216797
2020-09-30,112.20761108398438
2020-10-01,113.55181884765625
2020-10-02,111.2754898071289
2020-10-05,112.63933563232422
2020-10-06,110.33355712890625
2020-10-07,112.07024383544922
2020-10-08,113.31634521484375
2020-10-09,115.02359771728516
2020-10-12,117.81013488769531
2020-10-13,119.28190612792969
2020-10-14,114.47412872314453
2020-10-15,113.12991333007812
2020-10-16,112.79632568359375
2020-10-19,110.6279067993164
2020-10-20,110.94188690185547
2020-10-21,110.30411529541016
2020-10-22,109.5387954711914
2020-10-23,110.2648696899414
2020-10-26,109.67616271972656
2020-10-27,110.69659423828125
2020-10-28,107.73343658447266
2020-10-29,107.44889068603516
2020-10-30,107.50775909423828
2020-11-02,108.31233215332031
2020-11-03,109.0285873413086
2020-11-04,113.83635711669922
2020-11-05,115.05303192138672
2020-11-06,121.23445129394531
2020-11-09,120.4691390991211
2020-11-10,119.42908477783203
2020-11-11,122.7945327758789
2020-11-12,124.42327880859375
2020-11-13,125.8165512084961
2020-11-16,126.22865295410156
2020-11-17,126.57207489013672
2020-11-18,125.44371032714844
2020-11-19,126.75849914550781
2020-11-20,127.23926544189453
2020-11-23,125.47313690185547
2020-11-24,125.64974212646484
2020-11-25,126.31696319580078
2020-11-27,129.41748046875
2020-11-30,130.43792724609375
2020-12-01,131.21304321289062
2020-12-02,130.6341552734375
2020-12-03,128.72085571289062
2020-12-04,129.31936645507812
2020-12-07,130.45753479003906
2020-12-08,130.64395141601562
2020-12-09,128.65216064453125
2020-12-10,128.10272216796875
2020-12-11,128.7600860595703
2020-12-14,126.92529296875
2020-12-15,127.5532455444336
2020-12-16,127.36682891845703
2020-12-17,127.56304931640625
2020-12-18,129.4370880126953
2020-12-21,127.76911163330078
2020-12-22,129.76089477539062
2020-12-23,129.7412567138672
2020-12-24,130.4182891845703
2020-12-28,130.4967803955078
2020-12-29,130.6341552734375
2020-12-30,130.77151489257812
2020-12-31,132.31198120117188
2021-01-04,129.93751525878906
2021-01-05,129.36842346191406
2021-01-06,129.054443359375
2021-01-07,130.68321228027344
2021-01-08,132.51800537109375
2021-01-11,130.42808532714844
2021-01-12,126.26789855957031
2021-01-13,126.08148193359375
2021-01-14,122.34317779541016
2021-01-15,124.88444519042969
2021-01-19,127.40606689453125
2021-01-20,129.8099822998047
2021-01-21,127.9457015991211
2021-01-22,127.90646362304688
2021-01-25,128.63255310058594
2021-01-26,128.9366912841797
2021-01-27,120.94990539550781
2021-01-28,125.3652114868164
2021-01-29,123.70703125
2021-02-01,126.00299072265625
2021-02-02,129.40768432617188
2021-02-03,126.93508911132812
2021-02-04,128.14193725585938
2021-02-05,122.92208099365234
2021-02-08,123.72663879394531
2021-02-09,122.10770416259766
2021-02-10,122.14695739746094
2021-02-11,122.05864715576172
2021-02-12,121.35220336914062
2021-02-16,119.70381927490234
2021-02-17,119.0169906616211
2021-02-18,120.7242431640625
2021-02-19,117.83956909179688
2021-02-22,115.69078826904297
2021-02-23,116.97614288330078
2021-02-24,117.13313293457031
2021-02-25,118.61471557617188
2021-02-26,117.71202087402344
2021-03-01,121.2442626953125
2021-03-02,120.14533996582031
2021-03-03,116.60327911376953
2021-03-04,116.37760925292969
2021-03-05,122.3333740234375
2021-03-08,124.6685791015625
2021-03-09,123.93269348144531
2021-03-10,125.01199340820312
2021-03-11,123.61871337890625
2021-03-12,124.72745513916016
2021-03-15,123.26548767089844
2021-03-16,125.3750228881836
2021-03-17,124.90406036376953
2021-03-18,122.55904388427734
2021-03-19,121.85260009765625
2021-03-22,123.73645782470703
2021-03-23,122.048828125
2021-03-24,120.05703735351562
2021-03-25,121.15596771240234
2021-03-26,120.67518615722656
2021-03-29,121.13633728027344
2021-03-30,122.29412841796875
2021-03-31,122.93189239501953
2021-04-01,125.24748229980469
2021-04-05,128.92689514160156
2021-04-06,128.95632934570312
2021-04-07,127.5728759765625
2021-04-08,127.66117858886719
2021-04-09,126.60150909423828
2021-04-12,128.29893493652344
2021-04-13,128.328369140625
2021-04-14,127.45511627197266
2021-04-15,128.99557495117188
2021-04-16,130.5458526611328
2021-04-19,129.50579833984375
2021-04-20,128.0928955078125
2021-04-21,129.6333465576172
2021-04-22,129.25067138671875
2021-04-23,130.81076049804688
2021-04-26,130.00619506835938
