,ODFL
2021-12-22,169.65948486328125
2021-12-23,171.7701416015625
2021-12-27,175.36521911621094
2021-12-28,175.87814331054688
2021-12-29,177.9345703125
2021-12-30,175.69566345214844
2021-12-31,176.7362060546875
2022-01-03,170.8134307861328
2022-01-04,175.05947875976562
2022-01-05,168.7964324951172
2022-01-06,168.75204467773438
2022-01-07,164.022705078125
2022-01-10,162.8243865966797
2022-01-11,160.50653076171875
2022-01-12,159.9295654296875
2022-01-13,156.7388458251953
2022-01-14,155.89552307128906
2022-01-18,154.73170471191406
2022-01-19,154.07582092285156
2022-01-20,151.39303588867188
2022-01-21,146.37278747558594
2022-01-24,152.4089813232422
2022-01-25,147.93113708496094
2022-01-26,144.0352325439453
2022-01-27,141.03192138671875
2022-01-28,144.73550415039062
2022-01-31,148.897705078125
2022-02-01,150.99855041503906
2022-02-02,159.89007568359375
2022-02-03,161.58160400390625
2022-02-04,152.6703338623047
2022-02-07,150.85061645507812
2022-02-08,153.15853881835938
2022-02-09,155.7870635986328
2022-02-10,151.4818572998047
2022-02-11,145.80072021484375
2022-02-14,144.9623260498047
2022-02-15,146.7672576904297
2022-02-16,146.599609375
2022-02-17,142.88616943359375
2022-02-18,142.00833129882812
2022-02-22,141.337646484375
2022-02-23,139.30589294433594
2022-02-24,145.3075714111328
2022-02-25,149.82484436035156
2022-02-28,154.8648681640625
2022-03-01,153.08290100097656
2022-03-02,156.9578399658203
2022-03-03,160.15652465820312
2022-03-04,157.1256866455078
2022-03-07,149.07960510253906
2022-03-08,147.7665252685547
2022-03-09,151.47860717773438
2022-03-10,152.8953094482422
2022-03-11,151.23672485351562
2022-03-14,147.37660217285156
2022-03-15,152.5152130126953
2022-03-16,159.6382293701172
2022-03-17,159.33218383789062
2022-03-18,162.05697631835938
2022-03-21,157.8562469482422
2022-03-22,159.40127563476562
2022-03-23,155.33877563476562
2022-03-24,156.316162109375
2022-03-25,154.87966918945312
2022-03-28,155.95086669921875
2022-03-29,158.033935546875
2022-03-30,153.67523193359375
2022-03-31,147.43582153320312
2022-04-01,137.4744873046875
2022-04-04,137.08450317382812
2022-04-05,132.94302368164062
2022-04-06,129.6061248779297
2022-04-07,130.31195068359375
2022-04-08,128.2979736328125
2022-04-11,127.40453338623047
2022-04-12,128.34242248535156
2022-04-13,131.5904541015625
2022-04-14,130.6871337890625
2022-04-18,131.00306701660156
2022-04-19,135.16433715820312
2022-04-20,136.68466186523438
2022-04-21,135.78627014160156
2022-04-22,132.79986572265625
2022-04-25,138.1260528564453
2022-04-26,134.32020568847656
2022-04-27,134.2609405517578
2022-04-28,144.2667694091797
2022-04-29,138.27410888671875
2022-05-02,138.23464965820312
2022-05-03,138.97509765625
2022-05-04,143.6546630859375
2022-05-05,139.84385681152344
2022-05-06,138.3827362060547
2022-05-09,133.87103271484375
2022-05-10,135.3321533203125
2022-05-11,133.6883544921875
2022-05-12,133.10589599609375
2022-05-13,134.81878662109375
2022-05-16,129.5666046142578
2022-05-17,134.127685546875
2022-05-18,116.7274398803711
2022-05-19,117.71467590332031
2022-05-20,120.0396499633789
2022-05-23,123.435791015625
2022-05-24,121.66860961914062
2022-05-25,124.07749938964844
2022-05-26,128.81626892089844
2022-05-27,130.38607788085938
2022-05-31,127.61859130859375
2022-06-01,127.21334838867188
2022-06-02,132.1848602294922
2022-06-03,132.53573608398438
2022-06-06,132.96070861816406
2022-06-07,131.96742248535156
2022-06-08,125.46392822265625
2022-06-09,124.66828918457031
2022-06-10,122.15287780761719
2022-06-13,118.45637512207031
2022-06-14,118.34270477294922
2022-06-15,119.71654510498047
2022-06-16,116.1089859008789
2022-06-17,114.7005615234375
2022-06-21,117.78923034667969
2022-06-22,116.47962951660156
2022-06-23,122.37033081054688
2022-06-24,127.36161041259766
2022-06-27,128.51797485351562
2022-06-28,123.90230560302734
2022-06-29,126.16072845458984
2022-06-30,126.64997863769531
2022-07-01,128.9874725341797
2022-07-05,128.00404357910156
2022-07-06,130.55897521972656
2022-07-07,135.2537384033203
2022-07-08,134.92263793945312
2022-07-11,133.19793701171875
2022-07-12,129.87701416015625
2022-07-13,123.21044158935547
2022-07-14,123.99124145507812
2022-07-15,126.17061614990234
2022-07-18,129.22962951660156
2022-07-19,133.7514190673828
2022-07-20,136.70172119140625
2022-07-21,139.44937133789062
2022-07-22,137.8581085205078
2022-07-25,136.17294311523438
2022-07-26,134.96217346191406
2022-07-27,135.14999389648438
2022-07-28,144.8755645751953
2022-07-29,149.99038696289062
2022-08-01,150.12876892089844
2022-08-02,145.36973571777344
2022-08-03,146.13079833984375
2022-08-04,147.8011474609375
2022-08-05,149.82237243652344
2022-08-08,151.67062377929688
2022-08-09,149.20460510253906
2022-08-10,155.85635375976562
2022-08-11,155.86134338378906
2022-08-12,155.3275909423828
2022-08-15,154.329345703125
2022-08-16,153.23223876953125
2022-08-17,149.84706115722656
2022-08-18,149.89154052734375
2022-08-19,146.79298400878906
2022-08-22,144.25784301757812
2022-08-23,144.27760314941406
2022-08-24,143.99095153808594
