,SYF
2019-08-01,30.718828201293945
2019-08-02,30.50996780395508
2019-08-05,29.36128807067871
2019-08-06,29.8225040435791
2019-08-07,29.944337844848633
2019-08-08,30.466463088989254
2019-08-09,30.684009552001953
2019-08-12,29.500526428222656
2019-08-13,30.179290771484375
2019-08-14,28.578088760375977
2019-08-15,28.50846290588379
2019-08-16,29.091516494750977
2019-08-19,29.11762046813965
2019-08-20,28.665103912353516
2019-08-21,28.752126693725582
2019-08-22,28.61288833618164
2019-08-23,27.45549964904785
2019-08-26,27.69915771484375
2019-08-27,27.316259384155273
2019-08-28,27.82099151611328
2019-08-29,28.07334899902344
2019-08-30,27.89061164855957
2019-09-03,27.620838165283203
2019-09-04,28.10816192626953
2019-09-05,28.960975646972656
2019-09-06,28.61288833618164
2019-09-09,29.335174560546875
2019-09-10,29.413496017456055
2019-09-11,29.526620864868164
2019-09-12,29.45701026916504
2019-09-13,29.744178771972656
2019-09-16,29.4918155670166
2019-09-17,29.552732467651367
2019-09-18,29.65715980529785
2019-09-19,29.62234878540039
2019-09-20,29.4657039642334
2019-09-23,29.691959381103516
2019-09-24,29.30036163330078
2019-09-25,29.45701026916504
2019-09-26,29.291671752929688
2019-09-27,29.256860733032227
2019-09-30,29.665861129760746
2019-10-01,28.84786033630371
2019-10-02,27.99502944946289
2019-10-03,28.064653396606445
2019-10-04,28.404037475585938
2019-10-07,28.21258544921875
2019-10-08,27.32496452331543
2019-10-09,27.977628707885746
2019-10-10,28.27350616455078
2019-10-11,28.752126693725582
2019-10-14,28.821741104125977
2019-10-15,29.31777572631836
2019-10-16,29.143726348876953
2019-10-17,29.57013511657715
2019-10-18,29.839902877807617
2019-10-21,30.50996780395508
2019-10-22,30.431655883789062
2019-10-23,30.53608512878418
2019-10-24,30.466463088989254
2019-10-25,30.710134506225582
2019-10-28,31.049516677856445
2019-10-29,31.14523696899414
2019-10-30,30.971195220947266
2019-10-31,30.779739379882812
2019-11-01,31.296388626098633
2019-11-04,31.69919776916504
2019-11-05,31.76925468444824
2019-11-06,32.24211120605469
2019-11-07,32.36470413208008
2019-11-08,32.34718322753906
2019-11-11,32.303401947021484
2019-11-12,32.303401947021484
2019-11-13,32.014434814453125
2019-11-14,32.16329574584961
2019-11-15,32.443511962890625
2019-11-18,32.496055603027344
2019-11-19,32.32967758178711
2019-11-20,32.014434814453125
2019-11-21,32.198333740234375
2019-11-22,32.31216812133789
2019-11-25,32.68870544433594
2019-11-26,32.741249084472656
2019-11-27,32.73249053955078
2019-11-29,32.758758544921875
2019-12-02,32.52231979370117
2019-12-03,32.24211120605469
2019-12-04,32.82004928588867
2019-12-05,32.82881164550781
2019-12-06,33.06523895263672
2019-12-09,32.890113830566406
2019-12-10,32.76750946044922
2019-12-11,32.52231979370117
2019-12-12,33.00394821166992
2019-12-13,33.00394821166992
2019-12-16,32.55734634399414
2019-12-17,32.320919036865234
2019-12-18,32.215850830078125
2019-12-19,31.90935707092285
2019-12-20,32.17205810546875
2019-12-23,31.81303596496582
2019-12-24,31.804279327392575
2019-12-26,31.751737594604492
2019-12-27,31.777999877929688
2019-12-30,31.567848205566406
2019-12-31,31.53281593322754
2020-01-02,31.70795249938965
2020-01-03,31.252601623535156
2020-01-06,31.24384880065918
2020-01-07,30.806013107299805
2020-01-08,31.04244041442871
2020-01-09,31.02493476867676
2020-01-10,31.059959411621097
2020-01-13,31.007423400878903
2020-01-14,30.998659133911133
2020-01-15,30.82352638244629
2020-01-16,31.068714141845703
2020-01-17,31.313905715942383
2020-01-21,31.27887725830078
2020-01-22,31.8918399810791
2020-01-23,31.69919776916504
2020-01-24,28.573057174682617
2020-01-27,28.196521759033203
2020-01-28,28.52052116394043
2020-01-29,28.581815719604492
2020-01-30,29.00213623046875
2020-01-31,28.38041305541992
2020-02-03,28.3891658782959
2020-02-04,28.590576171875
2020-02-05,29.273595809936523
2020-02-06,29.25596809387207
2020-02-07,29.25596809387207
2020-02-10,29.32648277282715
2020-02-11,29.379369735717773
2020-02-12,29.5997371673584
2020-02-13,29.811288833618164
2020-02-14,29.749589920043945
2020-02-18,29.32648277282715
2020-02-19,29.414628982543945
2020-02-20,29.65262031555176
2020-02-21,29.379369735717773
2020-02-24,28.427387237548828
2020-02-25,27.113996505737305
2020-02-26,26.96414566040039
2020-02-27,26.16200828552246
2020-02-28,25.650754928588867
2020-03-02,26.7878475189209
2020-03-03,25.448017120361328
2020-03-04,26.567485809326172
2020-03-05,25.79179000854492
2020-03-06,24.901508331298828
2020-03-09,22.05436134338379
2020-03-10,23.156192779541016
2020-03-11,21.58717918395996
2020-03-12,19.10143661499023
2020-03-13,21.269853591918945
2020-03-16,15.734225273132324
2020-03-17,15.390454292297363
2020-03-18,12.278865814208984
2020-03-19,12.869451522827148
2020-03-20,11.82050323486328
2020-03-23,11.282806396484377
2020-03-24,12.9928560256958
2020-03-25,14.685276985168455
2020-03-26,16.77436065673828
2020-03-27,15.073124885559082
2020-03-30,14.782240867614746
2020-03-31,14.182841300964355
2020-04-01,12.790118217468262
2020-04-02,12.613826751708984
2020-04-03,11.679468154907228
2020-04-06,13.653958320617676
2020-04-07,14.209285736083984
2020-04-08,14.82631015777588
2020-04-09,15.531489372253418
2020-04-13,14.297432899475098
2020-04-14,14.015361785888672
2020-04-15,13.177966117858888
2020-04-16,12.490419387817385
2020-04-17,13.768548965454102
2020-04-20,13.742106437683104
2020-04-21,13.371888160705566
2020-04-22,14.147579193115234
2020-04-23,14.191655158996582
2020-04-24,14.95853042602539
2020-04-27,15.531489372253418
2020-04-28,16.518733978271484
2020-04-29,18.554927825927734
2020-04-30,17.44428062438965
2020-05-01,16.499414443969727
2020-05-04,16.428104400634766
2020-05-05,16.04481315612793
2020-05-06,15.420846939086914
2020-05-07,16.035900115966797
2020-05-08,16.59746742248535
2020-05-11,15.804140090942385
2020-05-12,15.135607719421388
2020-05-13,14.1461763381958
2020-05-14,15.215829849243164
2020-05-15,14.743400573730469
2020-05-18,16.009159088134766
2020-05-19,15.714999198913574
2020-05-20,16.142864227294922
2020-05-21,16.160690307617188
2020-05-22,15.911104202270508
2020-05-26,17.36405372619629
2020-05-27,19.030929565429688
2020-05-28,18.932872772216797
2020-05-29,18.15738296508789
2020-06-01,18.808086395263672
2020-06-02,19.672719955444336
2020-06-03,21.116756439208984
2020-06-04,21.687238693237305
2020-06-05,22.747976303100582
2020-06-08,23.95134162902832
2020-06-09,23.051050186157227
2020-06-10,21.722896575927734
