,GE
2019-12-03,53.61714172363281
2019-12-04,53.17805480957031
2019-12-05,52.64139938354492
2019-12-06,54.15380096435547
2019-12-09,53.61714172363281
2019-12-10,53.7147216796875
2019-12-11,53.51956558227539
2019-12-12,55.812564849853516
2019-12-13,55.32469940185547
2019-12-16,54.49531555175781
2019-12-17,54.15380096435547
2019-12-18,53.47078323364258
2019-12-19,53.861080169677734
2019-12-20,53.8610725402832
2019-12-23,54.495887756347656
2019-12-24,54.64238357543945
2019-12-26,54.837703704833984
2019-12-27,54.59355926513672
2019-12-30,54.1052360534668
2019-12-31,54.495887756347656
2020-01-02,58.25590515136719
2020-01-03,58.45123291015625
2020-01-06,59.281375885009766
2020-01-07,58.84188461303711
2020-01-08,58.30473709106445
2020-01-09,58.15824890136719
2020-01-10,56.98629379272461
2020-01-13,59.183712005615234
2020-01-14,58.74422836303711
2020-01-15,57.96292495727539
2020-01-16,57.81642150878906
2020-01-17,57.66992950439453
2020-01-21,56.937469482421875
2020-01-22,55.52135467529297
2020-01-23,57.474605560302734
2020-01-24,57.181617736816406
2020-01-27,55.86316680908203
2020-01-28,57.279273986816406
2020-01-29,63.187889099121094
2020-01-30,62.16242980957031
2020-01-31,60.79515075683594
2020-02-03,59.86735153198242
2020-02-04,61.42995834350586
2020-02-05,62.7972412109375
2020-02-06,63.236717224121094
2020-02-07,62.65073776245117
2020-02-10,63.0413932800293
2020-02-11,62.74840545654297
2020-02-12,64.2621841430664
2020-02-13,63.187889099121094
2020-02-14,62.65073776245117
2020-02-18,62.26008605957031
2020-02-19,61.576446533203125
2020-02-20,61.185791015625
2020-02-21,59.818511962890625
2020-02-24,57.91408920288086
2020-02-25,55.27718734741211
2020-02-26,53.470428466796875
2020-02-27,50.735870361328125
2020-02-28,53.12861633300781
2020-03-02,54.74003601074219
2020-03-03,53.12861633300781
2020-03-04,53.470428466796875
2020-03-05,49.22209930419922
2020-03-06,45.9471321105957
2020-03-09,40.130428314208984
2020-03-10,43.25874328613281
2020-03-11,40.130428314208984
2020-03-12,35.34018325805664
2020-03-13,38.37074661254883
2020-03-16,32.55403518676758
2020-03-17,34.60698318481445
2020-03-18,32.26075744628906
2020-03-19,31.674196243286133
2020-03-20,31.869718551635742
2020-03-23,29.86564064025879
2020-03-24,34.26484298706055
2020-03-25,36.9532356262207
2020-03-26,39.69050598144531
2020-03-27,37.24651336669922
2020-03-30,38.566261291503906
2020-03-31,38.8106575012207
2020-04-01,34.411476135253906
2020-04-02,33.72715377807617
2020-04-03,32.89619445800781
2020-04-06,35.34018325805664
2020-04-07,34.362586975097656
2020-04-08,35.68235397338867
2020-04-09,34.9002685546875
2020-04-13,34.31371307373047
2020-04-14,33.87379455566406
2020-04-15,31.77195930480957
2020-04-16,30.50107765197754
2020-04-17,33.433868408203125
2020-04-20,31.82083511352539
2020-04-21,31.674196243286133
2020-04-22,31.429800033569336
2020-04-23,31.869718551635742
2020-04-24,30.598834991455078
