,DPZ
2016-10-28,154.02999877929688
2016-10-31,155.24081420898438
2016-11-01,153.6997833251953
2016-11-02,153.41542053222656
2016-11-03,152.4247589111328
2016-11-04,152.96591186523438
2016-11-07,154.2960205078125
2016-11-08,154.91976928710938
2016-11-09,156.2681884765625
2016-11-10,147.7832489013672
2016-11-11,146.41651916503906
2016-11-14,144.16921997070312
2016-11-15,147.99429321289062
2016-11-16,148.2052459716797
2016-11-17,148.2052459716797
2016-11-18,150.71861267089844
2016-11-21,152.69073486328125
2016-11-22,154.5344696044922
2016-11-23,156.45164489746094
2016-11-25,158.010986328125
2016-11-28,155.97459411621094
2016-11-29,156.73599243164062
2016-11-30,154.1400909423828
2016-12-01,154.74546813964844
2016-12-02,154.10336303710938
2016-12-05,152.53480529785156
2016-12-06,155.1031951904297
2016-12-07,153.84652709960938
2016-12-08,150.92042541503906
2016-12-09,150.03981018066406
2016-12-12,148.4804229736328
2016-12-13,148.8206024169922
2016-12-14,148.94012451171875
2016-12-15,146.90821838378906
2016-12-16,147.14724731445312
2016-12-19,148.24142456054688
2016-12-20,148.12184143066406
2016-12-21,149.5286407470703
2016-12-22,148.3332977294922
2016-12-23,148.55398559570312
2016-12-27,148.92173767089844
2016-12-28,148.25978088378906
2016-12-29,149.2803192138672
2016-12-30,146.41171264648438
2017-01-03,145.60255432128906
2017-01-04,149.85958862304688
2017-01-05,149.65731811523438
2017-01-06,150.3193359375
2017-01-09,151.25718688964844
2017-01-10,152.95811462402344
2017-01-11,155.34869384765625
2017-01-12,154.79696655273438
2017-01-13,153.69366455078125
2017-01-17,151.643310546875
2017-01-18,152.23178100585938
2017-01-19,152.6638946533203
2017-01-20,154.34645080566406
2017-01-23,153.5833282470703
2017-01-24,155.8543243408203
2017-01-25,156.82894897460938
2017-01-26,157.1691436767578
2017-01-27,158.1621551513672
2017-01-30,159.91830444335938
2017-01-31,160.47909545898438
2017-02-01,157.1232452392578
2017-02-02,160.81935119628906
2017-02-03,161.72036743164062
2017-02-06,163.60519409179688
2017-02-07,168.22084045410156
2017-02-08,170.26199340820312
2017-02-09,170.92396545410156
2017-02-10,171.35610961914062
2017-02-13,168.99317932128906
2017-02-14,170.01373291015625
2017-02-15,170.96075439453125
2017-02-16,171.10784912109375
2017-02-17,172.79046630859375
2017-02-21,173.70069885253906
2017-02-22,168.25762939453125
2017-02-23,171.29173278808594
2017-02-24,171.27340698242188
2017-02-27,170.48265075683594
2017-02-28,174.51901245117188
2017-03-01,172.3490753173828
2017-03-02,174.1144561767578
2017-03-03,173.81097412109375
2017-03-06,173.67311096191406
2017-03-07,174.050048828125
2017-03-08,173.18582153320312
2017-03-09,169.8114471435547
2017-03-10,171.6871337890625
2017-03-13,172.1664276123047
2017-03-14,169.29067993164062
2017-03-15,171.68711853027344
2017-03-16,171.08802795410156
2017-03-17,170.35987854003906
2017-03-20,169.30911254882812
2017-03-21,169.61325073242188
2017-03-22,169.71466064453125
2017-03-23,169.9174346923828
2017-03-24,168.62701416015625
2017-03-27,169.5487518310547
2017-03-28,170.4612579345703
2017-03-29,168.46112060546875
2017-03-30,169.6962127685547
