,CB
2021-02-25,155.21360778808594
2021-02-26,152.99276733398438
2021-03-01,157.4908905029297
2021-03-02,157.72613525390625
2021-03-03,157.62265014648438
2021-03-04,156.2110595703125
2021-03-05,161.54669189453125
2021-03-08,163.01473999023438
2021-03-09,159.64585876464844
2021-03-10,163.25
2021-03-11,161.49026489257812
2021-03-12,164.7274169921875
2021-03-15,163.92755126953125
2021-03-16,162.2524871826172
2021-03-17,163.22177124023438
2021-03-18,158.93019104003906
2021-03-19,150.5171661376953
2021-03-22,148.45648193359375
2021-03-23,148.7683868408203
2021-03-24,148.04998779296875
2021-03-25,150.2147216796875
2021-03-26,151.03707885742188
2021-03-29,151.56646728515625
2021-03-30,152.6724090576172
2021-03-31,149.3261260986328
2021-04-01,150.29031372070312
2021-04-05,151.16000366210938
2021-04-06,152.2281494140625
2021-04-07,152.14306640625
2021-04-08,151.16000366210938
2021-04-09,151.8972930908203
2021-04-12,152.13363647460938
2021-04-13,152.11471557617188
2021-04-14,155.1301727294922
2021-04-15,153.23013305664062
2021-04-16,153.86349487304688
2021-04-19,152.86151123046875
2021-04-20,152.86151123046875
2021-04-21,156.03759765625
2021-04-22,157.78639221191406
2021-04-23,159.99835205078125
2021-04-26,156.94509887695312
2021-04-27,157.48390197753906
2021-04-28,155.08287048339844
2021-04-29,160.22518920898438
2021-04-30,162.20083618164062
2021-05-03,162.59786987304688
2021-05-04,163.2595977783203
2021-05-05,161.96456909179688
2021-05-06,163.76058959960938
2021-05-07,166.73825073242188
2021-05-10,164.31829833984375
2021-05-11,158.58041381835938
2021-05-12,155.89584350585938
2021-05-13,159.5540771484375
2021-05-14,160.86801147460938
2021-05-17,159.27049255371094
2021-05-18,156.74658203125
2021-05-19,157.0112762451172
2021-05-20,157.06800842285156
2021-05-21,157.58790588378906
2021-05-24,157.54063415527344
2021-05-25,156.60482788085938
2021-05-26,157.05853271484375
2021-05-27,160.0834503173828
2021-05-28,160.68841552734375
2021-06-01,162.10630798339844
2021-06-02,162.01182556152344
2021-06-03,163.9118194580078
2021-06-04,163.54318237304688
2021-06-07,160.17799377441406
2021-06-08,160.52767944335938
2021-06-09,158.14559936523438
2021-06-10,156.40631103515625
2021-06-11,157.94708251953125
2021-06-14,157.35157775878906
2021-06-15,158.90185546875
2021-06-16,158.3346710205078
2021-06-17,152.22731018066406
2021-06-18,148.1811065673828
2021-06-21,151.04957580566406
2021-06-22,151.32501220703125
2021-06-23,151.48646545410156
2021-06-24,153.1106719970703
2021-06-25,154.14596557617188
2021-06-28,150.9735565185547
2021-06-29,150.45118713378906
2021-06-30,150.96408081054688
2021-07-01,153.69956970214844
2021-07-02,153.2721405029297
2021-07-06,153.00619506835938
2021-07-07,153.84202575683594
2021-07-08,150.0237274169922
2021-07-09,154.5638885498047
2021-07-12,156.3495330810547
2021-07-13,154.8393096923828
2021-07-14,156.06459045410156
2021-07-15,157.82176208496094
2021-07-16,158.38217163085938
2021-07-19,152.7212371826172
2021-07-20,159.25599670410156
2021-07-21,160.9181671142578
2021-07-22,158.85707092285156
2021-07-23,158.5246124267578
2021-07-26,159.70237731933594
2021-07-27,160.8231964111328
2021-07-28,157.68878173828125
2021-07-29,159.0279998779297
2021-07-30,160.27227783203125
2021-08-02,161.80149841308594
2021-08-03,163.9575958251953
2021-08-04,163.4541473388672
2021-08-05,163.86257934570312
2021-08-06,166.18966674804688
2021-08-09,166.9495086669922
2021-08-10,169.16259765625
2021-08-11,171.9930419921875
2021-08-12,172.5629425048828
2021-08-13,173.5602569580078
2021-08-16,174.98497009277344
2021-08-17,175.44090270996094
2021-08-18,175.21292114257812
2021-08-19,176.13426208496094
2021-08-20,176.8656005859375
2021-08-23,176.18177795410156
2021-08-24,176.039306640625
2021-08-25,177.31201171875
2021-08-26,175.06094360351562
2021-08-27,176.9700927734375
2021-08-30,174.62408447265625
2021-08-31,174.69052124023438
2021-09-01,173.83572387695312
2021-09-02,173.83572387695312
2021-09-03,174.2536163330078
2021-09-07,172.64842224121094
2021-09-08,173.2752685546875
2021-09-09,171.9930419921875
2021-09-10,171.1951904296875
2021-09-13,174.1396484375
2021-09-14,172.18299865722656
2021-09-15,173.5887451171875
2021-09-16,172.80648803710938
2021-09-17,172.24362182617188
2021-09-20,169.7060089111328
2021-09-21,167.71212768554688
2021-09-22,168.7901153564453
2021-09-23,169.3243865966797
2021-09-24,168.61843872070312
2021-09-27,170.22109985351562
2021-09-28,167.39730834960938
2021-09-29,168.2749786376953
2021-09-30,165.49887084960938
2021-10-01,167.34005737304688
2021-10-04,165.62289428710938
2021-10-05,167.0919952392578
2021-10-06,168.58978271484375
2021-10-07,170.1162109375
2021-10-08,174.37103271484375
2021-10-11,174.35191345214844
2021-10-12,173.27392578125
2021-10-13,173.85585021972656
2021-10-14,175.49673461914062
2021-10-15,172.96864318847656
2021-10-18,169.5247344970703
2021-10-19,173.8081512451172
2021-10-20,176.94677734375
2021-10-21,177.65274047851562
2021-10-22,179.45579528808594
2021-10-25,179.41763305664062
2021-10-26,178.61627197265625
2021-10-27,181.5164337158203
2021-10-28,187.0686798095703
2021-10-29,186.391357421875
2021-11-01,183.4625701904297
2021-11-02,181.76451110839844
