,DG
2019-12-04,144.8894500732422
2019-12-05,146.35206604003906
2019-12-06,145.99346923828125
2019-12-09,146.08779907226562
2019-12-10,145.66322326660156
2019-12-11,145.79534912109375
2019-12-12,146.8049774169922
2019-12-13,145.90855407714844
2019-12-16,144.15347290039062
2019-12-17,146.42750549316406
2019-12-18,146.540771484375
2019-12-19,148.1448516845703
2019-12-20,147.87124633789062
2019-12-23,146.40867614746094
2019-12-24,147.4371795654297
2019-12-26,146.55018615722656
2019-12-27,147.8146209716797
2019-12-30,148.47512817382812
2019-12-31,147.18238830566406
2020-01-02,147.71078491210938
2020-01-03,146.6256866455078
2020-01-06,146.1245574951172
2020-01-07,143.9214324951172
2020-01-08,143.29734802246094
2020-01-09,144.27125549316406
2020-01-10,144.8764190673828
2020-01-13,145.72743225097656
2020-01-14,149.37722778320312
2020-01-15,148.06292724609375
2020-01-16,149.65145874023438
2020-01-17,149.3866729736328
2020-01-21,148.96116638183594
2020-01-22,146.0867156982422
2020-01-23,146.69186401367188
2020-01-24,145.93540954589844
2020-01-27,147.37269592285156
2020-01-28,148.12908935546875
2020-01-29,147.2686767578125
2020-01-30,148.44114685058594
2020-01-31,145.0561065673828
2020-02-03,146.34202575683594
2020-02-04,147.49559020996094
2020-02-05,148.6964111328125
2020-02-06,147.00392150878906
2020-02-07,146.53114318847656
2020-02-10,147.1173553466797
2020-02-11,147.45774841308594
2020-02-12,150.02020263671875
2020-02-13,151.14541625976562
2020-02-14,149.42449951171875
2020-02-18,152.90414428710938
2020-02-19,154.870849609375
2020-02-20,156.7052001953125
2020-02-21,157.79258728027344
2020-02-24,155.88258361816406
2020-02-25,152.70555114746094
2020-02-26,153.81178283691406
2020-02-27,149.07467651367188
2020-02-28,142.11544799804688
2020-03-02,150.90904235839844
2020-03-03,147.90219116210938
2020-03-04,151.43849182128906
2020-03-05,148.90444946289062
2020-03-06,149.75543212890625
2020-03-09,150.60643005371094
2020-03-10,157.19688415527344
2020-03-11,149.04627990722656
2020-03-12,134.2390899658203
2020-03-13,137.86988830566406
2020-03-16,128.68869018554688
2020-03-17,146.11508178710938
2020-03-18,140.640380859375
2020-03-19,135.21295166015625
2020-03-20,132.49925231933594
2020-03-23,132.25338745117188
2020-03-24,134.0972137451172
2020-03-25,129.7571258544922
2020-03-26,132.8679962158203
2020-03-27,138.16305541992188
2020-03-30,138.77764892578125
2020-03-31,142.78675842285156
2020-04-01,144.81967163085938
2020-04-02,151.0035400390625
2020-04-03,153.36741638183594
2020-04-06,160.7685546875
2020-04-07,160.3231658935547
2020-04-08,160.36106872558594
2020-04-09,160.38002014160156
2020-04-13,162.5880889892578
2020-04-14,168.74774169921875
2020-04-15,166.890380859375
2020-04-16,170.6999053955078
2020-04-17,172.5762481689453
2020-04-20,169.6291046142578
2020-04-21,169.3826904296875
2020-04-22,169.7711944580078
2020-04-23,167.25994873046875
2020-04-24,166.7671661376953
2020-04-27,170.09344482421875
2020-04-28,169.0889129638672
2020-04-29,165.64895629882812
2020-04-30,166.12278747558594
2020-05-01,163.9432373046875
2020-05-04,166.25546264648438
2020-05-05,165.71527099609375
2020-05-06,164.79603576660156
2020-05-07,164.51177978515625
2020-05-08,167.12728881835938
2020-05-11,173.45758056640625
2020-05-12,172.21615600585938
2020-05-13,172.06451416015625
2020-05-14,171.99819946289062
2020-05-15,172.490966796875
2020-05-18,172.51939392089844
2020-05-19,171.9792022705078
2020-05-20,169.2216033935547
2020-05-21,169.0699462890625
2020-05-22,169.61009216308594
2020-05-26,170.91787719726562
2020-05-27,177.39979553222656
2020-05-28,174.4715576171875
2020-05-29,181.484130859375
2020-06-01,181.47467041015625
2020-06-02,181.739990234375
2020-06-03,179.81625366210938
