,STT
2015-08-13,59.824466705322266
2015-08-14,60.5341911315918
2015-08-17,60.27190017700195
2015-08-18,60.46474838256836
2015-08-19,60.13301467895508
2015-08-20,58.56703186035156
2015-08-21,56.99330520629883
2015-08-24,53.58359146118164
2015-08-25,52.52672576904297
2015-08-26,54.59415817260742
2015-08-27,56.26817321777344
2015-08-28,56.39929962158203
2015-08-31,55.481292724609375
2015-09-01,53.7533073425293
2015-09-02,54.63271713256836
2015-09-03,55.11874008178711
2015-09-04,54.0233039855957
2015-09-08,55.712730407714844
2015-09-09,54.97216796875
2015-09-10,55.24985122680664
2015-09-11,55.1727409362793
2015-09-14,55.00302505493164
2015-09-15,55.48902893066406
2015-09-16,55.612457275390625
2015-09-17,55.149600982666016
2015-09-18,53.22873306274414
2015-09-21,53.876739501953125
2015-09-22,52.9278678894043
2015-09-23,52.8892822265625
2015-09-24,52.24901580810547
2015-09-25,53.028167724609375
2015-09-28,51.215293884277344
2015-09-29,51.657257080078125
2015-09-30,52.114749908447266
2015-10-01,52.03721618652344
2015-10-02,52.04497528076172
2015-10-05,53.24683380126953
2015-10-06,52.81260681152344
2015-10-07,53.51823806762695
2015-10-08,53.85165786743164
2015-10-09,53.32438659667969
2015-10-12,53.58802795410156
2015-10-13,52.50246047973633
2015-10-14,51.672786712646484
2015-10-15,53.12277603149414
2015-10-16,53.12277603149414
2015-10-19,52.587745666503906
2015-10-20,52.928932189941406
2015-10-21,52.0992546081543
2015-10-22,53.71209716796875
2015-10-23,52.060489654541016
2015-10-26,51.889892578125
2015-10-27,52.31636047363281
2015-10-28,54.5417594909668
2015-10-29,54.1075325012207
2015-10-30,53.50273132324219
2015-11-02,54.5262565612793
2015-11-03,55.247398376464844
2015-11-04,55.26287841796875
2015-11-05,56.18561553955078
2015-11-06,57.08507537841797
2015-11-09,56.15460205078125
2015-11-10,55.38694763183594
2015-11-11,55.55752944946289
2015-11-12,54.75887680053711
2015-11-13,54.24711608886719
2015-11-16,54.73560333251953
2015-11-17,55.03804016113281
2015-11-18,56.51129150390625
2015-11-19,56.3096923828125
2015-11-20,56.43375015258789
2015-11-23,56.3096923828125
2015-11-24,56.09257888793945
2015-11-25,56.464752197265625
2015-11-27,56.44925308227539
2015-11-30,56.27866744995117
2015-12-01,56.162353515625
2015-12-02,56.10807418823242
2015-12-03,55.31715774536133
2015-12-04,57.139366149902344
2015-12-07,56.23213195800781
2015-12-08,55.02250671386719
2015-12-09,53.370906829833984
2015-12-10,53.54149627685547
2015-12-11,51.269569396972656
2015-12-14,50.967166900634766
2015-12-15,52.26983642578125
2015-12-16,53.20030975341797
2015-12-17,51.486690521240234
2015-12-18,50.19176483154297
2015-12-21,50.998172760009766
2015-12-22,51.486690521240234
2015-12-23,52.075992584228516
2015-12-24,52.060489654541016
2015-12-28,52.08374786376953
2015-12-29,52.45594024658203
2015-12-30,51.87923812866211
2015-12-31,51.715576171875
2016-01-04,50.76481246948242
2016-01-05,50.84274673461914
2016-01-06,49.151615142822266
2016-01-07,46.930564880371094
2016-01-08,45.70704650878906
2016-01-11,45.54338455200195
2016-01-12,46.25255584716797
2016-01-13,44.273094177246094
2016-01-14,44.76406478881836
2016-01-15,42.83915328979492
2016-01-19,43.283348083496094
2016-01-20,42.963836669921875
2016-01-21,42.41831588745117
2016-01-22,43.50935745239258
2016-01-25,42.2546501159668
2016-01-26,43.58728790283203
2016-01-27,40.454429626464844
2016-01-28,40.50899124145508
2016-01-29,43.431419372558594
2016-02-01,42.6988525390625
2016-02-02,41.28050231933594
2016-02-03,41.9117546081543
2016-02-04,42.948246002197266
2016-02-05,42.410518646240234
2016-02-08,41.748104095458984
2016-02-09,41.6156120300293
2016-02-10,41.87278366088867
2016-02-11,40.82072830200195
2016-02-12,42.61313247680664
2016-02-16,44.14059829711914
2016-02-17,44.093849182128906
2016-02-18,43.31452178955078
2016-02-19,43.78990173339844
2016-02-22,44.2808837890625
2016-02-23,43.35350036621094
2016-02-24,42.223480224609375
2016-02-25,42.65990447998047
2016-02-26,43.18205642700195
2016-02-29,42.69106674194336
2016-03-01,44.53026580810547
2016-03-02,44.958885192871094
2016-03-03,45.239444732666016
2016-03-04,45.72262191772461
2016-03-07,45.590145111083984
2016-03-08,44.639373779296875
2016-03-09,44.413368225097656
2016-03-10,44.086055755615234
2016-03-11,45.16151428222656
2016-03-14,45.01344299316406
2016-03-15,44.2263298034668
2016-03-16,44.304256439208984
2016-03-17,44.73289108276367
2016-03-18,46.01876449584961
2016-03-21,46.71235656738281
2016-03-22,46.26035690307617
2016-03-23,46.47855758666992
2016-03-24,45.78496170043945
2016-03-28,45.5200080871582
2016-03-29,45.58234405517578
2016-03-30,45.87237548828125
2016-03-31,45.87237548828125
2016-04-01,46.20944595336914
2016-04-04,46.09186553955078
2016-04-05,45.159053802490234
2016-04-06,45.62153625488281
2016-04-07,44.03810501098633
2016-04-08,44.1086540222168
2016-04-11,44.34382629394531
2016-04-12,45.064979553222656
2016-04-13,46.828712463378906
2016-04-14,47.095237731933594
2016-04-15,46.695438385009766
2016-04-18,46.9462890625
2016-04-19,47.23632049560547
2016-04-20,48.404300689697266
2016-04-21,47.965309143066406
2016-04-22,48.5140495300293
2016-04-25,48.13778305053711
2016-04-26,48.976524353027344
2016-04-27,50.11314392089844
2016-04-28,49.235198974609375
2016-04-29,48.83543014526367
2016-05-02,49.313594818115234
2016-05-03,47.8634147644043
2016-05-04,47.04819107055664
2016-05-05,46.828712463378906
2016-05-06,46.844390869140625
2016-05-09,46.87574005126953
2016-05-10,47.90261459350586
2016-05-11,47.33039474487305
2016-05-12,47.056034088134766
2016-05-13,46.428932189941406
2016-05-16,46.80519485473633
2016-05-17,46.78950881958008
2016-05-18,48.20832061767578
2016-05-19,47.59690475463867
2016-05-20,48.15346145629883
2016-05-23,48.01236343383789
2016-05-24,49.03137969970703
2016-05-25,49.91716766357422
2016-05-26,49.282230377197266
2016-05-27,49.6428108215332
2016-05-31,49.431182861328125
2016-06-01,49.352787017822266
2016-06-02,49.38413619995117
2016-06-03,47.82421875
2016-06-06,49.03137969970703
2016-06-07,48.41996765136719
2016-06-08,48.239681243896484
2016-06-09,47.25983428955078
2016-06-10,46.38972854614258
2016-06-13,46.334869384765625
2016-06-14,45.63721466064453
2016-06-15,45.39420700073242
2016-06-16,45.112022399902344
2016-06-17,45.417728424072266
2016-06-20,45.97429275512695
2016-06-21,46.07618713378906
2016-06-22,45.84886169433594
2016-06-23,47.24415588378906
2016-06-24,43.10530471801758
2016-06-27,39.81303024291992
2016-06-28,40.18928527832031
2016-06-29,41.159881591796875
2016-06-30,42.54871368408203
2016-07-01,42.4855842590332
2016-07-05,41.50708770751953
2016-07-06,41.128318786621094
2016-07-07,41.065185546875
2016-07-08,42.00423049926758
2016-07-11,42.30409622192383
2016-07-12,43.17211151123047
2016-07-13,43.25101089477539
2016-07-14,44.363670349121094
2016-07-15,44.90815734863281
2016-07-18,45.46842956542969
2016-07-19,45.34215545654297
2016-07-20,45.586769104003906
2016-07-21,45.21590042114258
2016-07-22,45.95766830444336
2016-07-25,45.60255813598633
2016-07-26,46.020790100097656
2016-07-27,50.30564880371094
2016-07-28,51.647132873535156
2016-07-29,51.90754318237305
2016-08-01,52.03378677368164
2016-08-02,51.55244064331055
2016-08-03,51.962772369384766
2016-08-04,51.91543197631836
2016-08-05,53.61991500854492
2016-08-08,53.801395416259766
2016-08-09,53.50940704345703
2016-08-10,53.414737701416016
2016-08-11,54.05391311645508
2016-08-12,53.8487434387207
2016-08-15,54.61417770385742
2016-08-16,54.44059371948242
2016-08-17,54.51948928833008
2016-08-18,54.487918853759766
2016-08-19,54.46424102783203
2016-08-22,54.42479705810547
2016-08-23,54.700984954833984
2016-08-24,54.46424102783203
2016-08-25,54.48004913330078
2016-08-26,54.50371551513672
2016-08-29,54.94559097290039
2016-08-30,55.505859375
2016-08-31,55.42696762084961
2016-09-01,55.33228302001953
2016-09-02,55.734703063964844
2016-09-06,55.52953338623047
2016-09-07,55.68737030029297
2016-09-08,55.663700103759766
2016-09-09,55.00084686279297
2016-09-12,55.750511169433594
2016-09-13,54.59049987792969
2016-09-14,54.779884338378906
2016-09-15,55.52953338623047
2016-09-16,54.677310943603516
2016-09-19,54.46424102783203
2016-09-20,55.213905334472656
2016-09-21,56.081912994384766
2016-09-22,56.058250427246094
2016-09-23,55.72681427001953
2016-09-26,54.7088737487793
2016-09-27,55.30070877075195
2016-09-28,55.58478927612305
2016-09-29,54.41849136352539
2016-09-30,55.243621826171875
2016-10-03,55.39436721801758
2016-10-04,56.60824966430664
2016-10-05,57.679325103759766
2016-10-06,57.52065658569336
2016-10-07,57.33022689819336
2016-10-10,56.99699783325195
2016-10-11,55.80693054199219
2016-10-12,56.037010192871094
2016-10-13,54.55337905883789
2016-10-14,54.751739501953125
2016-10-17,54.45022964477539
2016-10-18,55.35469436645508
2016-10-19,55.957679748535156
2016-10-20,56.354366302490234
2016-10-21,56.2353515625
2016-10-24,56.671714782714844
2016-10-25,56.2432975769043
2016-10-26,55.68791580200195
2016-10-27,56.17982482910156
2016-10-28,55.91801452636719
2016-10-31,55.70378875732422
2016-11-01,56.068748474121094
2016-11-02,55.52130126953125
2016-11-03,55.81486892700195
2016-11-04,55.84661102294922
2016-11-07,57.393699645996094
2016-11-08,57.33022689819336
2016-11-09,59.932552337646484
2016-11-10,60.88462448120117
2016-11-11,60.6545295715332
2016-11-14,62.288902282714844
2016-11-15,62.876033782958984
2016-11-16,61.789085388183594
2016-11-17,62.29684829711914
2016-11-18,62.28097915649414
2016-11-21,62.35239028930664
2016-11-22,61.8922119140625
2016-11-23,62.106441497802734
2016-11-25,62.23337173461914
2016-11-28,60.979835510253906
2016-11-29,61.098846435546875
2016-11-30,62.51898956298828
2016-12-01,63.78049087524414
2016-12-02,62.23337173461914
2016-12-05,62.80463790893555
2016-12-06,63.161643981933594
2016-12-07,63.407596588134766
2016-12-08,64.61355590820312
2016-12-09,63.891571044921875
2016-12-12,63.65354919433594
2016-12-13,63.5186653137207
2016-12-14,62.979156494140625
2016-12-15,63.54245376586914
2016-12-16,62.376190185546875
2016-12-19,62.13816833496094
2016-12-20,62.68561935424805
2016-12-21,62.566612243652344
2016-12-22,62.67766189575195
2016-12-23,62.43172073364258
2016-12-27,62.67766189575195
2016-12-28,62.2016487121582
2016-12-29,61.91463088989258
2016-12-30,61.96245574951172
2017-01-03,63.18225860595703
2017-01-04,65.58995819091797
2017-01-05,65.11958312988281
2017-01-06,65.72552490234375
2017-01-09,64.87245178222656
2017-01-10,64.81663513183594
2017-01-11,66.05236053466797
2017-01-12,65.44646453857422
2017-01-13,66.11613464355469
2017-01-17,63.93963623046875
2017-01-18,63.89980697631836
2017-01-19,62.783634185791016
2017-01-20,62.99092102050781
2017-01-23,62.63214874267578
2017-01-24,64.19476318359375
2017-01-25,62.026268005371094
2017-01-26,61.0536003112793
2017-01-27,60.5911979675293
2017-01-30,60.7506217956543
2017-01-31,60.7506217956543
2017-02-01,60.86225509643555
2017-02-02,60.5672607421875
2017-02-03,61.8189697265625
2017-02-06,61.643558502197266
2017-02-07,61.787052154541016
2017-02-08,61.667476654052734
2017-02-09,62.13787078857422
2017-02-10,62.273399353027344
2017-02-13,63.214134216308594
2017-02-14,64.93619537353516
2017-02-15,65.30296325683594
2017-02-16,64.38612365722656
2017-02-17,64.31434631347656
2017-02-21,64.2027359008789
2017-02-22,63.9476203918457
2017-02-23,63.63665771484375
2017-02-24,62.943077087402344
2017-02-27,63.15037536621094
2017-02-28,63.54899215698242
2017-03-01,65.09571075439453
2017-03-02,64.07516479492188
2017-03-03,63.955596923828125
2017-03-06,63.47723388671875
2017-03-07,63.46131134033203
2017-03-08,63.71640396118164
2017-03-09,63.70846939086914
2017-03-10,63.70846939086914
2017-03-13,63.41344451904297
2017-03-14,63.094566345214844
2017-03-15,63.50914764404297
2017-03-16,64.26652526855469
2017-03-17,62.6720085144043
2017-03-20,61.99435043334961
2017-03-21,60.83832931518555
2017-03-22,61.22103500366211
2017-03-23,61.60369873046875
2017-03-24,61.555885314941406
2017-03-27,62.273399353027344
2017-03-28,63.3018684387207
2017-03-29,63.23009490966797
2017-03-30,64.11929321289062
2017-03-31,63.77485656738281
2017-04-03,63.1419563293457
2017-04-04,63.0378532409668
2017-04-05,62.97373962402344
2017-04-06,63.19005584716797
2017-04-07,63.10993957519531
2017-04-10,62.821533203125
2017-04-11,62.74142074584961
2017-04-12,62.268798828125
2017-04-13,61.92432403564453
2017-04-17,62.86960220336914
2017-04-18,62.252750396728516
2017-04-19,62.38092803955078
2017-04-20,62.74142074584961
2017-04-21,62.24477005004883
2017-04-24,63.91904067993164
2017-04-25,64.58393859863281
2017-04-26,66.93114471435547
2017-04-27,67.87641906738281
2017-04-28,67.2115249633789
2017-05-01,67.2435531616211
2017-05-02,66.77091217041016
2017-05-03,67.11539459228516
2017-05-04,67.06732940673828
2017-05-05,66.97119140625
2017-05-08,66.8029556274414
2017-05-09,66.85100555419922
2017-05-10,66.93914031982422
2017-05-11,66.3543472290039
2017-05-12,66.14606475830078
2017-05-15,66.32230377197266
2017-05-16,66.41040802001953
2017-05-17,63.94304656982422
2017-05-18,63.9991569519043
2017-05-19,64.73616027832031
2017-05-22,64.73616027832031
2017-05-23,65.29692077636719
2017-05-24,65.5372314453125
2017-05-25,65.80158996582031
2017-05-26,65.68143463134766
2017-05-30,65.43309783935547
2017-05-31,65.25684356689453
2017-06-01,66.3463363647461
2017-06-02,66.23419189453125
2017-06-05,66.5466079711914
2017-06-06,66.73084259033203
2017-06-07,67.60404205322266
2017-06-08,68.89381408691406
2017-06-09,69.97528076171875
2017-06-12,69.78301239013672
2017-06-13,70.9686279296875
2017-06-14,71.12884521484375
2017-06-15,71.13685607910156
2017-06-16,70.69628143310547
2017-06-19,71.71366119384766
2017-06-20,71.41724395751953
2017-06-21,71.60150146484375
2017-06-22,71.04071807861328
2017-06-23,69.88715362548828
2017-06-26,70.35179138183594
2017-06-27,70.41588592529297
2017-06-28,71.82581329345703
2017-06-29,72.11540985107422
2017-06-30,72.18782806396484
2017-07-03,73.27388763427734
2017-07-05,73.63592529296875
2017-07-06,72.89579772949219
2017-07-07,73.10496520996094
2017-07-10,73.62788391113281
2017-07-11,72.56593322753906
2017-07-12,73.20149230957031
2017-07-13,73.84510803222656
2017-07-14,74.07036590576172
2017-07-17,74.46455383300781
2017-07-18,74.0783920288086
2017-07-19,72.89579772949219
2017-07-20,73.10496520996094
2017-07-21,73.20149230957031
2017-07-24,73.63592529296875
2017-07-25,74.44847106933594
2017-07-26,75.84832000732422
2017-07-27,75.26101684570312
2017-07-28,74.9552993774414
2017-07-31,75.0035629272461
2017-08-01,75.30125427246094
2017-08-02,75.80001831054688
2017-08-03,75.4380111694336
2017-08-04,76.50798797607422
2017-08-07,75.9850845336914
2017-08-08,75.90461730957031
2017-08-09,75.84832000732422
2017-08-10,74.41629028320312
2017-08-11,74.0783920288086
2017-08-14,75.23684692382812
2017-08-15,75.47824096679688
2017-08-16,74.8507308959961
2017-08-17,73.84510803222656
2017-08-18,74.35191345214844
2017-08-21,74.27953338623047
2017-08-22,75.33341979980469
2017-08-23,75.18057250976562
2017-08-24,75.44605255126953
2017-08-25,75.19666290283203
2017-08-28,74.73808288574219
2017-08-29,74.01405334472656
2017-08-30,74.3358383178711
