,LEN
2020-10-08,79.26134490966797
2020-10-09,79.31796264648438
2020-10-12,79.20475769042969
2020-10-13,78.33676147460938
2020-10-14,78.6103515625
2020-10-15,80.13392639160156
2020-10-16,80.13392639160156
2020-10-19,78.10881805419922
2020-10-20,78.81854248046875
2020-10-21,75.79033660888672
2020-10-22,72.4309310913086
2020-10-23,74.06805419921875
2020-10-26,70.9925308227539
2020-10-27,68.61730194091797
2020-10-28,68.44695281982422
2020-10-29,67.75613403320312
2020-10-30,66.45968627929688
2020-11-02,68.61730194091797
2020-11-03,70.3774185180664
2020-11-04,75.21309661865234
2020-11-05,74.49388122558594
2020-11-06,71.53191375732422
2020-11-09,66.62055969238281
2020-11-10,71.29535675048828
2020-11-11,72.12810516357422
2020-11-12,70.017822265625
2020-11-13,71.54138946533203
2020-11-16,71.69281768798828
2020-11-17,71.64550018310547
2020-11-18,72.37415313720703
2020-11-19,72.20381164550781
2020-11-20,71.69281768798828
2020-11-23,74.03021240234375
2020-11-24,72.42146301269531
2020-11-25,72.9040756225586
2020-11-27,73.5381088256836
2020-11-30,71.78742980957031
2020-12-01,69.29861450195312
2020-12-02,67.37760925292969
2020-12-03,71.37104797363281
2020-12-04,69.91372680664062
2020-12-07,72.23220825195312
2020-12-08,68.60782623291016
2020-12-09,68.50372314453125
2020-12-10,68.4090805053711
2020-12-11,68.85386657714844
2020-12-14,70.67079162597656
2020-12-15,69.90426635742188
2020-12-16,70.3017349243164
2020-12-17,75.6578598022461
2020-12-18,76.50008392333984
2020-12-21,75.2414779663086
2020-12-22,76.02693176269531
2020-12-23,74.35193634033203
2020-12-24,76.11209106445312
2020-12-28,74.1343002319336
2020-12-29,73.76522064208984
2020-12-30,73.84092712402344
2020-12-31,72.13756561279297
2021-01-04,70.28279113769531
2021-01-05,69.75284576416016
2021-01-06,69.35540008544922
2021-01-07,71.62657928466797
2021-01-08,69.4500503540039
2021-01-11,71.80635070800781
2021-01-12,72.47823333740234
2021-01-13,72.2416763305664
2021-01-14,70.98307037353516
2021-01-15,72.47823333740234
2021-01-19,74.0396728515625
2021-01-20,78.09933471679688
2021-01-21,79.11190032958984
2021-01-22,80.0771484375
2021-01-25,82.01710510253906
2021-01-26,81.39253234863281
2021-01-27,80.47459411621094
2021-01-28,80.01902770996094
2021-01-29,78.91807556152344
2021-02-01,79.92412567138672
2021-02-02,80.72138214111328
2021-02-03,81.09152221679688
2021-02-04,82.44873809814453
2021-02-05,86.33058166503906
2021-02-08,90.37378692626953
2021-02-09,88.25726318359375
2021-02-10,88.90264129638672
2021-02-11,89.74736785888672
2021-02-12,87.86814880371094
2021-02-16,83.80596923828125
2021-02-17,82.80941009521484
2021-02-18,81.98368835449219
2021-02-19,83.00872039794922
2021-02-22,80.65494537353516
2021-02-23,81.24337768554688
2021-02-24,81.86031341552734
2021-02-25,76.30805206298828
2021-02-26,78.74723815917969
2021-03-01,78.39607238769531
2021-03-02,80.09495544433594
2021-03-03,76.66869354248047
2021-03-04,76.32701873779297
2021-03-05,81.60403442382812
2021-03-08,83.63512420654297
2021-03-09,83.92935180664062
2021-03-10,86.93800354003906
2021-03-11,86.35905456542969
2021-03-12,83.43582153320312
2021-03-15,85.4668960571289
2021-03-16,84.1950912475586
2021-03-17,95.8121337890625
2021-03-18,89.82328033447266
2021-03-19,90.27887725830078
2021-03-22,92.07268524169922
2021-03-23,90.39275360107422
2021-03-24,89.8327865600586
2021-03-25,94.0942611694336
2021-03-26,97.61543273925781
2021-03-29,94.57829284667969
2021-03-30,96.59989929199219
2021-03-31,96.07791137695312
2021-04-01,98.16592407226562
2021-04-05,99.4377212524414
2021-04-06,99.61803436279297
2021-04-07,98.1279525756836
2021-04-08,97.07445526123047
2021-04-09,100.14955139160156
2021-04-12,99.52314758300781
2021-04-13,98.46015930175781
2021-04-14,97.7957763671875
2021-04-15,97.68187713623047
2021-04-16,100.49122619628906
2021-04-19,98.70691680908203
2021-04-20,95.23433685302734
2021-04-21,97.02294921875
2021-04-22,95.85273742675781
2021-04-23,96.90877532958984
2021-04-26,98.76399993896484
2021-04-27,98.4024658203125
2021-04-28,98.20267486572266
2021-04-29,99.9342269897461
2021-04-30,98.56419372558594
2021-05-03,100.79045104980469
2021-05-04,101.79893493652344
2021-05-05,100.4289321899414
2021-05-06,100.56211853027344
2021-05-07,102.79788970947266
2021-05-10,102.71227264404297
2021-05-11,98.42150115966797
2021-05-12,91.45730590820312
2021-05-13,93.9118881225586
2021-05-14,94.86329650878906
2021-05-17,93.322021484375
2021-05-18,90.90550231933594
2021-05-19,90.2395248413086
2021-05-20,90.65812683105469
2021-05-21,89.99215698242188
2021-05-24,90.41077423095703
2021-05-25,92.03765106201172
2021-05-26,94.00703430175781
2021-05-27,94.1402359008789
2021-05-28,94.19732666015625
2021-06-01,93.71211242675781
2021-06-02,91.66661071777344
2021-06-03,90.35368347167969
2021-06-04,91.90446472167969
2021-06-07,91.10530090332031
2021-06-08,91.21946716308594
2021-06-09,89.3357162475586
2021-06-10,86.70986938476562
2021-06-11,88.23209381103516
2021-06-14,87.56612396240234
2021-06-15,88.05132293701172
2021-06-16,86.90013122558594
2021-06-17,90.04924774169922
2021-06-18,93.39815521240234
2021-06-21,92.85584259033203
2021-06-22,93.71211242675781
2021-06-23,92.26600646972656
2021-06-24,92.54188537597656
2021-06-25,92.37063598632812
2021-06-28,93.6264877319336
2021-06-29,94.3971176147461
2021-06-30,94.52079010009766
2021-07-01,97.07694244384766
2021-07-02,96.7049789428711
2021-07-06,95.21704864501953
2021-07-07,97.42030334472656
2021-07-08,93.91989135742188
2021-07-09,94.35865020751953
2021-07-12,94.12020111083984
2021-07-13,91.37328338623047
2021-07-14,91.8787841796875
2021-07-15,92.38427734375
2021-07-16,91.52587127685547
2021-07-19,91.71663665771484
2021-07-20,93.94851684570312
2021-07-21,95.95147705078125
2021-07-22,95.48412322998047
2021-07-23,98.10704040527344
2021-07-26,96.62865447998047
2021-07-27,97.65875244140625
2021-07-28,96.23761749267578
2021-07-29,101.55023193359375
2021-07-30,100.29122924804688
2021-08-02,100.9588851928711
2021-08-03,102.33233642578125
2021-08-04,100.56782531738281
2021-08-05,100.57735443115234
2021-08-06,99.2420654296875
2021-08-09,98.9845199584961
2021-08-10,100.83486938476562
2021-08-11,103.81072235107422
2021-08-12,102.43726348876953
2021-08-13,103.17167663574219
2021-08-16,103.73442077636719
2021-08-17,99.73802947998047
2021-08-18,99.20390319824219
2021-08-19,98.9845199584961
2021-08-20,100.45336151123047
2021-08-23,99.62356567382812
2021-08-24,102.0938949584961
2021-08-25,103.2289047241211
2021-08-26,101.3594741821289
2021-08-27,102.97138214111328
2021-08-30,102.87600708007812
2021-08-31,102.35140228271484
2021-09-01,103.572265625
2021-09-02,102.55171966552734
2021-09-03,100.72998046875
2021-09-07,99.5472640991211
2021-09-08,96.31391143798828
2021-09-09,95.58905029296875
2021-09-10,95.1312026977539
2021-09-13,94.82601165771484
2021-09-14,94.03434753417969
2021-09-15,93.90081024169922
2021-09-16,95.6176528930664
2021-09-17,96.60004425048828
2021-09-20,93.75775909423828
2021-09-21,93.25222778320312
2021-09-22,93.53836822509766
2021-09-23,94.9118423461914
2021-09-24,95.34103393554688
2021-09-27,94.90230560302734
2021-09-28,91.76431274414062
2021-09-29,91.88831329345703
2021-09-30,89.35122680664062
2021-10-01,89.37031555175781
2021-10-04,88.02544403076172
