,CTAS
2019-08-23,55.77639389038086
2019-08-26,56.713111877441406
2019-08-27,56.889564514160156
2019-08-28,57.11394119262695
2019-08-29,57.64112091064453
2019-08-30,57.46685028076172
2019-09-03,56.62380599975586
2019-09-04,57.512596130371094
2019-09-05,58.21622085571289
2019-09-06,57.987491607666016
2019-09-09,55.69361114501953
2019-09-10,54.236244201660156
2019-09-11,53.59362030029297
2019-09-12,53.70035171508789
2019-09-13,53.737388610839844
2019-09-16,53.90730667114258
2019-09-17,54.449737548828125
2019-09-18,54.388729095458984
2019-09-19,54.76994705200195
2019-09-20,55.284061431884766
2019-09-23,55.47358703613281
2019-09-24,54.92680740356445
2019-09-25,58.08116912841797
2019-09-26,58.386146545410156
2019-09-27,57.97441101074219
2019-09-30,58.40357208251953
2019-10-01,57.159690856933594
2019-10-02,56.410308837890625
2019-10-03,56.34060287475586
2019-10-04,57.26207733154297
2019-10-07,56.85035705566406
2019-10-08,56.710933685302734
2019-10-09,57.416748046875
2019-10-10,57.96134567260742
2019-10-11,58.29682922363281
2019-10-14,57.93302536010742
2019-10-15,58.69765853881836
2019-10-16,58.15741729736328
2019-10-17,58.453670501708984
2019-10-18,58.66714859008789
2019-10-21,58.81528854370117
2019-10-22,57.97441101074219
2019-10-23,58.41010665893555
2019-10-24,59.32722091674805
2019-10-25,58.89154052734375
2019-10-28,59.20741271972656
2019-10-29,59.802120208740234
2019-10-30,60.18116760253906
2019-10-31,58.527740478515625
2019-11-01,58.5756721496582
2019-11-04,58.75648498535156
2019-11-05,58.16175842285156
2019-11-06,57.717369079589844
2019-11-07,57.629390716552734
2019-11-08,57.38302993774414
2019-11-11,57.32363510131836
2019-11-12,56.93651580810547
2019-11-13,56.142459869384766
2019-11-14,57.048683166503906
2019-11-15,56.336029052734375
2019-11-18,56.34042739868164
2019-11-19,56.72754669189453
2019-11-20,57.0706901550293
2019-11-21,55.78832244873047
2019-11-22,55.889503479003906
2019-11-25,55.181236267089844
2019-11-26,56.32062911987305
2019-11-27,57.259864807128906
2019-11-29,56.542789459228516
2019-12-02,56.285430908203125
2019-12-03,56.17325973510742
2019-12-04,56.07867431640625
2019-12-05,56.023685455322266
2019-12-06,56.35802459716797
2019-12-09,55.82791519165039
2019-12-10,56.287635803222656
2019-12-11,56.76054382324219
2019-12-12,57.02450180053711
2019-12-13,57.58759689331055
2019-12-16,57.35004806518555
2019-12-17,57.35662841796875
2019-12-18,58.482826232910156
2019-12-19,58.95134735107422
2019-12-20,59.718997955322266
2019-12-23,59.57822036743164
2019-12-24,59.12731170654297
2019-12-26,58.97772979736328
2019-12-27,59.17131042480469
2019-12-30,59.0283203125
2019-12-31,59.186702728271484
2020-01-02,59.56282043457031
2020-01-03,59.29447937011719
2020-01-06,59.44845199584961
2020-01-07,59.40446090698242
2020-01-08,60.550445556640625
2020-01-09,61.44568634033203
2020-01-10,61.33349609375
2020-01-13,62.21553421020508
2020-01-14,61.92300033569336
2020-01-15,62.609275817871094
2020-01-16,63.02059555053711
2020-01-17,62.51908874511719
2020-01-21,62.03738021850586
2020-01-22,62.103363037109375
2020-01-23,62.91280746459961
2020-01-24,62.34531021118164
2020-01-27,61.285118103027344
2020-01-28,61.13995361328125
2020-01-29,61.64365005493164
2020-01-30,62.29253387451172
2020-01-31,61.362091064453125
2020-02-03,62.03078079223633
2020-02-04,62.89960479736328
2020-02-05,64.08299255371094
2020-02-06,64.59111022949219
2020-02-07,64.13578033447266
2020-02-10,64.36454010009766
2020-02-11,64.55590057373047
2020-02-12,65.35436248779297
2020-02-13,65.5699234008789
2020-02-14,66.18140411376953
2020-02-18,66.53995513916016
2020-02-19,66.92488098144531
2020-02-20,65.48193359375
2020-02-21,64.52730560302734
2020-02-24,63.383522033691406
2020-02-25,61.562252044677734
2020-02-26,62.44869613647461
2020-02-27,59.290069580078125
2020-02-28,58.671993255615234
2020-03-02,61.50068664550781
2020-03-03,59.910362243652344
2020-03-04,62.93260192871094
2020-03-05,60.4976692199707
2020-03-06,59.89936828613281
2020-03-09,55.17463684082031
2020-03-10,59.041526794433594
2020-03-11,55.080055236816406
2020-03-12,49.64265823364258
2020-03-13,53.577735900878906
2020-03-16,44.54399490356445
2020-03-17,45.997928619384766
2020-03-18,39.14838409423828
2020-03-19,40.25258255004883
2020-03-20,38.51270294189453
2020-03-23,34.54683303833008
2020-03-24,38.22895050048828
2020-03-25,42.3048095703125
2020-03-26,42.35980224609375
2020-03-27,39.93804931640625
2020-03-30,39.691688537597656
2020-03-31,38.10137939453125
2020-04-01,35.78520584106445
2020-04-02,36.33510971069336
2020-04-03,36.12394332885742
2020-04-06,39.480533599853516
2020-04-07,40.890472412109375
