,WTW
2018-04-26,136.76161193847656
2018-04-27,137.4912567138672
2018-04-30,135.44825744628906
2018-05-01,135.48472595214844
2018-05-02,133.69712829589844
2018-05-03,134.49063110351562
2018-05-04,135.8130645751953
2018-05-07,138.01113891601562
2018-05-08,139.85348510742188
2018-05-09,138.82281494140625
2018-05-10,141.93292236328125
2018-05-11,141.70486450195312
2018-05-14,140.8384246826172
2018-05-15,140.40977478027344
2018-05-16,139.76222229003906
2018-05-17,140.58303833007812
2018-05-18,140.7381134033203
2018-05-21,141.93292236328125
2018-05-22,142.17005920410156
2018-05-23,142.94528198242188
2018-05-24,142.79022216796875
2018-05-25,141.60459899902344
2018-05-29,137.4912567138672
2018-05-30,139.4521026611328
2018-05-31,137.8560333251953
2018-06-01,138.3759307861328
2018-06-04,139.2970733642578
2018-06-05,139.6710205078125
2018-06-06,141.2853546142578
2018-06-07,142.1791229248047
2018-06-08,144.22213745117188
2018-06-11,143.65664672851562
2018-06-12,143.43780517578125
2018-06-13,143.19149780273438
2018-06-14,142.31597900390625
2018-06-15,141.2579803466797
2018-06-18,141.3491973876953
2018-06-19,140.41888427734375
2018-06-20,139.95375061035156
2018-06-21,138.99610900878906
2018-06-22,140.601318359375
2018-06-25,140.05409240722656
2018-06-26,139.02345275878906
2018-06-27,137.108154296875
2018-06-28,138.5824432373047
2018-06-29,138.82052612304688
2018-07-02,139.30584716796875
2018-07-03,139.46153259277344
2018-07-05,140.8900146484375
2018-07-06,142.78553771972656
2018-07-09,145.32203674316406
2018-07-10,144.60775756835938
2018-07-11,143.6829376220703
2018-07-12,144.3971710205078
2018-07-13,144.71768188476562
2018-07-16,144.27809143066406
2018-07-17,144.01255798339844
2018-07-18,145.39527893066406
2018-07-19,145.4502410888672
2018-07-20,146.16439819335938
2018-07-23,147.0526885986328
2018-07-24,147.84939575195312
2018-07-25,149.29615783691406
2018-07-26,148.54534912109375
2018-07-27,147.0801544189453
2018-07-30,146.1095733642578
2018-07-31,145.98133850097656
2018-08-01,145.7340850830078
2018-08-02,133.44537353515625
2018-08-03,136.27491760253906
2018-08-06,136.80596923828125
2018-08-07,138.4176025390625
2018-08-08,138.7472686767578
2018-08-09,138.8297119140625
2018-08-10,137.10813903808594
2018-08-13,135.47821044921875
2018-08-14,134.7273406982422
2018-08-15,135.70712280273438
2018-08-16,136.57704162597656
2018-08-17,136.3390350341797
2018-08-20,135.55145263671875
2018-08-21,135.91778564453125
2018-08-22,135.249267578125
2018-08-23,134.20542907714844
2018-08-24,134.58998107910156
2018-08-27,135.27679443359375
2018-08-28,135.4415740966797
2018-08-29,135.89028930664062
2018-08-30,134.33358764648438
2018-08-31,134.85557556152344
2018-09-04,135.2401580810547
2018-09-05,135.28590393066406
2018-09-06,136.961669921875
2018-09-07,135.89942932128906
2018-09-10,135.68882751464844
2018-09-11,135.81704711914062
2018-09-12,133.875732421875
2018-09-13,134.2236785888672
2018-09-14,134.56253051757812
2018-09-17,134.02220153808594
2018-09-18,133.77505493164062
2018-09-19,135.844482421875
2018-09-20,135.9818572998047
2018-09-21,135.9635467529297
2018-09-24,132.8135223388672
2018-09-25,130.79898071289062
2018-09-26,129.07748413085938
2018-09-27,129.47291564941406
2018-09-28,129.61082458496094
2018-10-01,130.3556671142578
2018-10-02,131.41329956054688
2018-10-03,131.36729431152344
2018-10-04,131.20179748535156
2018-10-05,130.3556671142578
2018-10-08,131.3213653564453
2018-10-09,131.12818908691406
2018-10-10,128.23141479492188
2018-10-11,125.13231658935547
2018-10-12,126.26344299316406
2018-10-15,126.88876342773438
2018-10-16,128.81076049804688
2018-10-17,128.59007263183594
2018-10-18,127.5784683227539
2018-10-19,128.72804260253906
2018-10-22,128.6544647216797
2018-10-23,126.76923370361328
2018-10-24,124.00115203857422
2018-10-25,127.00833129882812
2018-10-26,127.83595275878906
2018-10-29,129.07749938964844
2018-10-30,129.83154296875
2018-10-31,131.6523895263672
2018-11-01,131.59719848632812
2018-11-02,140.14048767089844
2018-11-05,142.0257110595703
2018-11-06,142.26478576660156
2018-11-07,145.57537841796875
2018-11-08,147.46063232421875
2018-11-09,147.0743865966797
2018-11-12,145.76849365234375
2018-11-13,147.1111602783203
2018-11-14,146.94564819335938
2018-11-15,147.58013916015625
2018-11-16,146.0903778076172
2018-11-19,147.37783813476562
2018-11-20,143.78216552734375
2018-11-21,144.131591796875
2018-11-23,143.44186401367188
2018-11-26,144.68336486816406
2018-11-27,144.4074249267578
2018-11-28,146.66973876953125
2018-11-29,145.75013732910156
2018-11-30,146.63294982910156
2018-12-03,148.18714904785156
2018-12-04,144.66494750976562
2018-12-06,143.55224609375
2018-12-07,143.9200897216797
2018-12-10,142.18199157714844
2018-12-11,142.44869995117188
2018-12-12,143.23956298828125
2018-12-13,143.8740997314453
2018-12-14,141.40037536621094
2018-12-17,139.11965942382812
2018-12-18,139.71742248535156
2018-12-19,139.16566467285156
2018-12-20,137.3355712890625
2018-12-21,135.2480926513672
2018-12-24,134.8250274658203
2018-12-26,136.8942108154297
2018-12-27,138.72422790527344
2018-12-28,139.3520965576172
2018-12-31,140.21075439453125
2019-01-02,138.197998046875
2019-01-03,135.29881286621094
2019-01-04,138.95506286621094
2019-01-07,139.97996520996094
2019-01-08,140.87550354003906
2019-01-09,140.0260467529297
2019-01-10,141.58641052246094
2019-01-11,142.1773681640625
2019-01-14,141.78958129882812
2019-01-15,142.76824951171875
2019-01-16,144.8826141357422
2019-01-17,144.9195098876953
2019-01-18,146.48910522460938
2019-01-22,146.55374145507812
2019-01-23,146.04591369628906
2019-01-24,145.68585205078125
2019-01-25,146.51683044433594
2019-01-28,146.11056518554688
2019-01-29,146.68295288085938
2019-01-30,148.6865692138672
2019-01-31,150.30230712890625
2019-02-01,153.3676300048828
2019-02-04,152.6751251220703
