,VMC
2016-09-19,99.97962951660156
2016-09-20,99.5613021850586
2016-09-21,102.2199935913086
2016-09-22,104.91586303710938
2016-09-23,104.16290283203125
2016-09-26,105.45504760742188
2016-09-27,106.087158203125
2016-09-28,107.42583465576172
2016-09-29,106.80298614501953
2016-09-30,105.72464752197266
2016-10-03,102.90789031982422
2016-10-04,103.03802490234375
2016-10-05,101.65293884277344
2016-10-06,103.44707489013672
2016-10-07,98.97564697265625
2016-10-10,99.68215942382812
2016-10-11,99.1987533569336
2016-10-12,99.8495101928711
2016-10-13,101.11375427246094
2016-10-14,102.0433578491211
2016-10-17,104.66488647460938
2016-10-18,103.7631607055664
2016-10-19,102.65692901611328
2016-10-20,102.38733673095703
2016-10-21,103.67948150634766
2016-10-24,104.5533218383789
2016-10-25,103.02876281738281
2016-10-26,104.30231475830078
2016-10-27,103.96763610839844
2016-10-28,104.64629364013672
2016-10-31,105.23191833496094
2016-11-01,107.4630126953125
2016-11-02,104.63697052001953
2016-11-03,106.087158203125
2016-11-04,108.53205108642578
2016-11-07,110.06591796875
2016-11-08,111.30231475830078
2016-11-09,122.29026794433594
2016-11-10,126.46427154541016
2016-11-11,124.73516082763672
2016-11-14,125.31153869628906
2016-11-15,125.18141174316406
2016-11-16,121.11898040771484
2016-11-17,120.73783874511719
2016-11-18,119.17611694335938
2016-11-21,119.25060272216797
2016-11-22,119.17609405517578
2016-11-23,120.72169494628906
2016-11-25,122.9655532836914
2016-11-28,116.00117492675781
2016-11-29,117.43498992919922
2016-11-30,116.98812103271484
2016-12-01,116.84843444824219
2016-12-02,118.30089569091797
2016-12-05,118.71056365966797
2016-12-06,119.57644653320312
2016-12-07,120.96375274658203
2016-12-08,120.2002944946289
2016-12-09,119.65092468261719
2016-12-12,116.42945861816406
2016-12-13,116.78326416015625
2016-12-14,116.1222152709961
2016-12-15,115.38667297363281
2016-12-16,114.93975830078125
2016-12-19,115.61945343017578
2016-12-20,117.2674331665039
2016-12-21,117.49085235595703
2016-12-22,116.67153930664062
2016-12-23,116.9322509765625
2016-12-27,118.74781036376953
2016-12-28,118.10539245605469
2016-12-29,118.47779846191406
2016-12-30,116.52256774902344
2017-01-03,116.04773712158203
2017-01-04,118.98057556152344
2017-01-05,118.65471649169922
2017-01-06,115.26564025878906
2017-01-09,114.26007843017578
2017-01-10,115.08876037597656
2017-01-11,114.96769714355469
2017-01-12,114.09249877929688
2017-01-13,115.82427215576172
2017-01-17,115.1352767944336
2017-01-18,118.52434539794922
2017-01-19,117.59331512451172
2017-01-20,120.91718292236328
2017-01-23,120.60063934326172
2017-01-24,123.22622680664062
2017-01-25,125.9542465209961
2017-01-26,125.9262924194336
2017-01-27,125.09764099121094
2017-01-30,121.7178955078125
2017-01-31,119.48332977294922
2017-02-01,119.47406005859375
2017-02-02,119.18540954589844
2017-02-03,119.99544525146484
2017-02-06,119.25060272216797
2017-02-07,113.40351104736328
2017-02-08,111.99761962890625
2017-02-09,112.19313049316406
2017-02-10,114.14835357666016
2017-02-13,114.01800537109375
2017-02-14,114.27871704101562
2017-02-15,114.62319946289062
2017-02-16,112.10002136230469
2017-02-17,111.10376739501953
2017-02-21,112.95658874511719
2017-02-22,112.08892059326172
2017-02-23,108.55289459228516
2017-02-24,109.92436981201172
2017-02-27,112.51811218261719
2017-02-28,112.52742004394531
2017-03-01,116.04476165771484
2017-03-02,113.18983459472656
2017-03-03,113.32980346679688
2017-03-06,112.16358184814453
2017-03-07,110.43753051757812
2017-03-08,111.1279296875
2017-03-09,109.06604766845703
2017-03-10,110.79206848144531
2017-03-13,111.57577514648438
2017-03-14,110.03634643554688
2017-03-15,110.86670684814453
2017-03-16,108.59022521972656
2017-03-17,108.66484832763672
2017-03-20,107.34002685546875
2017-03-21,106.45369720458984
2017-03-22,107.57330322265625
2017-03-23,107.65721893310547
2017-03-24,105.184814453125
2017-03-27,104.96089172363281
2017-03-28,106.92017364501953
2017-03-29,110.24160766601562
2017-03-30,109.80311584472656
2017-03-31,112.4061279296875
2017-04-03,111.36119842529297
2017-04-04,111.2585678100586
2017-04-05,110.297607421875
2017-04-06,111.35186767578125
2017-04-07,115.680908203125
2017-04-10,113.20849609375
2017-04-11,113.06854248046875
2017-04-12,110.03634643554688
2017-04-13,109.42057800292969
2017-04-17,110.26961517333984
2017-04-18,109.06604766845703
2017-04-19,109.54185485839844
2017-04-20,111.79969024658203
2017-04-21,112.8633041381836
2017-04-24,113.84292602539062
2017-04-25,113.3111343383789
2017-04-26,112.6393814086914
2017-04-27,114.5706787109375
2017-04-28,112.77931213378906
2017-05-01,115.08378601074219
2017-05-02,119.84202575683594
2017-05-03,119.03966522216797
2017-05-04,119.7394027709961
2017-05-05,119.17961120605469
2017-05-08,118.18131256103516
2017-05-09,117.6588363647461
2017-05-10,121.8759536743164
2017-05-11,120.39248657226562
2017-05-12,119.65542602539062
2017-05-15,121.95059204101562
2017-05-16,119.73004913330078
2017-05-17,116.52993774414062
2017-05-18,117.61219787597656
2017-05-19,117.50958251953125
2017-05-22,118.659423828125
2017-05-23,118.39766693115234
2017-05-24,116.96735382080078
2017-05-25,119.42597961425781
2017-05-26,118.19197082519531
2017-05-30,116.90193176269531
2017-05-31,116.52799224853516
2017-06-01,118.56592559814453
2017-06-02,118.0331039428711
2017-06-05,117.70589447021484
2017-06-06,117.00475311279297
2017-06-07,118.45378112792969
2017-06-08,119.97753143310547
2017-06-09,121.83788299560547
2017-06-12,121.44524383544922
2017-06-13,123.64208221435547
2017-06-14,120.7908706665039
2017-06-15,120.25801086425781
2017-06-16,120.94975280761719
2017-06-19,121.75375366210938
2017-06-20,121.09934997558594
2017-06-21,119.8186264038086
2017-06-22,120.91236114501953
2017-06-23,123.61409759521484
2017-06-26,124.78264617919922
2017-06-27,122.81946563720703
2017-06-28,121.71636199951172
2017-06-29,118.73420715332031
2017-06-30,118.42572021484375
2017-07-03,118.8557357788086
2017-07-05,121.52938842773438
2017-07-06,121.01519775390625
2017-07-07,119.8186264038086
2017-07-10,117.71521759033203
2017-07-11,116.9393081665039
2017-07-12,117.93959045410156
2017-07-13,117.16365814208984
2017-07-14,116.81778717041016
2017-07-17,116.55601501464844
2017-07-18,115.01353454589844
2017-07-19,117.29457092285156
2017-07-20,117.13565063476562
2017-07-21,117.96764373779297
2017-07-24,118.2574234008789
2017-07-25,118.8183364868164
2017-07-26,117.46282958984375
2017-07-27,115.95771026611328
2017-07-28,115.92032623291016
2017-07-31,115.0976791381836
2017-08-01,111.43309020996094
2017-08-02,115.0976791381836
2017-08-03,112.32118225097656
2017-08-04,113.90106964111328
2017-08-07,112.94754028320312
2017-08-08,110.67587280273438
2017-08-09,110.19911193847656
2017-08-10,107.23565673828125
2017-08-11,106.75890350341797
2017-08-14,107.66569519042969
2017-08-15,109.01184844970703
2017-08-16,108.5257339477539
2017-08-17,106.67474365234375
2017-08-18,106.54389190673828
2017-08-21,105.46644592285156
2017-08-22,107.89301300048828
2017-08-23,107.39643859863281
2017-08-24,107.12474060058594
2017-08-25,105.9911117553711
2017-08-28,108.623779296875
2017-08-29,109.1484375
2017-08-30,114.17021942138672
2017-08-31,113.60807037353516
2017-09-01,113.5518569946289
2017-09-05,110.68498229980469
2017-09-06,111.53753662109375
2017-09-07,112.17462921142578
2017-09-08,113.85166931152344
2017-09-11,109.61687469482422
2017-09-12,110.55378723144531
2017-09-13,109.63563537597656
2017-09-14,107.3121337890625
2017-09-15,106.06607818603516
2017-09-18,108.29586791992188
2017-09-19,107.91172790527344
2017-09-20,110.74117279052734
2017-09-21,109.61687469482422
2017-09-22,109.3077163696289
2017-09-25,108.42704010009766
2017-09-26,108.57695007324219
2017-09-27,111.33140563964844
2017-09-28,111.60311889648438
2017-09-29,112.05282592773438
2017-10-02,111.42510986328125
2017-10-03,112.15587615966797
2017-10-04,111.1065444946289
2017-10-05,113.25205993652344
2017-10-06,112.66181945800781
2017-10-09,112.60559844970703
2017-10-10,111.50007629394531
2017-10-11,109.87923431396484
2017-10-12,110.35704040527344
2017-10-13,108.94232940673828
2017-10-16,109.92609405517578
2017-10-17,109.62626647949219
2017-10-18,109.5606689453125
2017-10-19,112.46504974365234
2017-10-20,113.93598175048828
2017-10-23,113.43942260742188
2017-10-24,115.9503173828125
2017-10-25,114.61055755615234
2017-10-26,115.24767303466797
2017-10-27,114.72297668457031
2017-10-30,114.27326202392578
2017-10-31,114.0671615600586
2017-11-01,113.38320922851562
2017-11-02,116.42813110351562
2017-11-03,118.4518051147461
2017-11-06,116.7466812133789
2017-11-07,114.91973114013672
2017-11-08,116.08148193359375
2017-11-09,116.8122329711914
2017-11-10,116.25949096679688
2017-11-13,116.16580200195312
2017-11-14,116.1002197265625
2017-11-15,113.88915252685547
2017-11-16,116.0346450805664
2017-11-17,115.27574157714844
2017-11-20,116.05337524414062
2017-11-21,115.22725677490234
2017-11-22,115.33052062988281
2017-11-24,114.83295440673828
2017-11-27,112.3076171875
2017-11-28,114.2133560180664
2017-11-29,117.21747589111328
2017-11-30,117.9591293334961
2017-12-01,113.7908706665039
2017-12-04,117.5836181640625
2017-12-05,115.19905090332031
2017-12-06,113.697021484375
2017-12-07,117.23625183105469
2017-12-08,118.17504119873047
2017-12-11,115.3962173461914
2017-12-12,114.07252502441406
2017-12-13,115.57459259033203
2017-12-14,112.88025665283203
2017-12-15,113.42475891113281
2017-12-18,114.82357788085938
2017-12-19,111.96025848388672
2017-12-20,111.69740295410156
2017-12-21,115.33052062988281
2017-12-22,116.62604522705078
2017-12-26,118.96361541748047
2017-12-27,119.6771240234375
2017-12-28,119.78975677490234
2017-12-29,120.51263427734375
2018-01-02,123.79842376708984
2018-01-03,126.07026672363281
2018-01-04,125.21598815917969
2018-01-05,123.82655334472656
2018-01-08,125.7416763305664
2018-01-09,125.929443359375
2018-01-10,124.29595947265625
2018-01-11,126.90581512451172
2018-01-12,125.76988983154297
2018-01-16,125.50704193115234
2018-01-17,126.34253692626953
2018-01-18,126.88697814941406
2018-01-19,126.76496887207031
2018-01-22,124.8592529296875
2018-01-23,126.6241683959961
2018-01-24,127.19685363769531
2018-01-25,130.0601043701172
2018-01-26,132.47283935546875
2018-01-29,130.41690063476562
2018-01-30,131.27114868164062
2018-01-31,127.11235809326172
2018-02-01,126.0139389038086
2018-02-02,122.9816665649414
2018-02-05,117.53666687011719
2018-02-06,119.01997375488281
2018-02-07,120.39061737060547
2018-02-08,114.03498077392578
2018-02-09,117.3488998413086
2018-02-12,119.37669372558594
2018-02-13,121.45143127441406
2018-02-14,121.68612670898438
2018-02-15,125.30048370361328
2018-02-16,118.82279968261719
2018-02-20,116.8513412475586
2018-02-21,114.57009887695312
2018-02-22,114.90882110595703
2018-02-23,114.50421142578125
2018-02-26,114.56067657470703
2018-02-27,111.85075378417969
2018-02-28,110.77806854248047
2018-03-01,110.15699768066406
2018-03-02,110.78746032714844
2018-03-05,110.77806854248047
2018-03-06,112.35884094238281
2018-03-07,112.05774688720703
2018-03-08,112.1424331665039
2018-03-09,114.04315185546875
2018-03-12,113.84556579589844
2018-03-13,114.48538970947266
2018-03-14,113.31863403320312
2018-03-15,110.95683288574219
2018-03-16,110.20408630371094
2018-03-19,108.11515808105469
2018-03-20,107.40005493164062
2018-03-21,108.03047180175781
2018-03-22,106.89193725585938
2018-03-23,108.77384185791016
2018-03-26,109.80887603759766
2018-03-27,107.95523071289062
2018-03-28,104.72774505615234
2018-03-29,107.42826843261719
2018-04-02,105.61223602294922
2018-04-03,106.05448150634766
2018-04-04,107.65409851074219
2018-04-05,110.08175659179688
2018-04-06,106.85430145263672
2018-04-09,106.24268341064453
2018-04-10,109.24431610107422
2018-04-11,108.20925903320312
2018-04-12,108.10575103759766
2018-04-13,106.14859008789062
2018-04-16,107.964599609375
2018-04-17,110.81570434570312
2018-04-18,111.38967895507812
2018-04-19,108.51979064941406
2018-04-20,107.0330810546875
2018-04-23,107.08012390136719
2018-04-24,104.78421020507812
2018-04-25,105.49931335449219
2018-04-26,104.37016296386719
2018-04-27,105.76280975341797
2018-04-30,105.09469604492188
2018-05-01,105.16999053955078
2018-05-02,106.94837951660156
2018-05-03,114.98410034179688
2018-05-04,115.45455932617188
2018-05-07,116.14147186279297
2018-05-08,119.24661254882812
2018-05-09,119.55712127685547
2018-05-10,118.26802062988281
2018-05-11,119.84881591796875
2018-05-14,119.35010528564453
2018-05-15,119.82057189941406
2018-05-16,120.64863586425781
2018-05-17,118.59735107421875
2018-05-18,121.57073974609375
2018-05-21,121.89066314697266
2018-05-22,120.62979888916016
2018-05-23,121.92174530029297
2018-05-24,120.620361328125
2018-05-25,120.08284759521484
2018-05-29,119.96971130371094
2018-05-30,120.49778747558594
2018-05-31,120.4600601196289
2018-06-01,121.95003509521484
2018-06-04,122.12918853759766
2018-06-05,121.46908569335938
2018-06-06,122.80815124511719
2018-06-07,123.10992431640625
2018-06-08,122.62898254394531
2018-06-11,122.83644104003906
2018-06-12,123.5059814453125
2018-06-13,123.7322998046875
2018-06-14,124.34526824951172
2018-06-15,124.56214141845703
2018-06-18,124.99595642089844
2018-06-19,123.6852035522461
2018-06-20,125.64659881591797
2018-06-21,122.4592514038086
2018-06-22,124.07178497314453
2018-06-25,121.1107177734375
2018-06-26,120.47892761230469
2018-06-27,121.01643371582031
2018-06-28,119.80937194824219
2018-06-29,121.70484924316406
2018-07-02,119.96971130371094
2018-07-03,121.19562530517578
2018-07-05,122.05374145507812
2018-07-06,123.00618743896484
2018-07-09,121.93115234375
2018-07-10,120.09227752685547
2018-07-11,119.91312408447266
2018-07-12,120.03571319580078
2018-07-13,118.97008514404297
2018-07-16,115.90534210205078
2018-07-17,116.60316467285156
2018-07-18,117.33870697021484
2018-07-19,117.81022644042969
2018-07-20,116.820068359375
2018-07-23,116.59371948242188
2018-07-24,115.59413146972656
2018-07-25,113.63267517089844
2018-07-26,110.13409423828125
2018-07-27,111.63349914550781
2018-07-30,110.54903411865234
2018-07-31,105.61710357666016
2018-08-01,106.9561538696289
2018-08-02,108.13494110107422
2018-08-03,107.97462463378906
2018-08-06,108.24809265136719
2018-08-07,109.2193832397461
2018-08-08,107.46539306640625
2018-08-09,106.47520446777344
2018-08-10,104.21200561523438
2018-08-13,104.05168914794922
2018-08-14,105.01355743408203
2018-08-15,103.56134033203125
2018-08-16,103.57076263427734
2018-08-17,104.05168914794922
2018-08-20,103.76878356933594
2018-08-21,105.6690673828125
2018-08-22,106.30250549316406
2018-08-23,105.03562927246094
2018-08-24,105.51781463623047
2018-08-27,107.38028717041016
2018-08-28,106.066162109375
2018-08-29,107.19120025634766
2018-08-30,106.02832794189453
2018-08-31,104.75203704833984
2018-09-04,104.63856506347656
2018-09-05,103.99567413330078
2018-09-06,104.20368194580078
2018-09-07,104.77093505859375
2018-09-10,101.34852600097656
2018-09-11,103.1353759765625
2018-09-12,102.92738342285156
2018-09-13,103.70259857177734
2018-09-14,105.13017272949219
2018-09-17,104.90328979492188
2018-09-18,106.70903778076172
2018-09-19,108.17442321777344
2018-09-20,108.76058197021484
2018-09-21,109.24273681640625
2018-09-24,108.28789520263672
2018-09-25,106.69957733154297
2018-09-26,106.7184829711914
2018-09-27,106.86028289794922
2018-09-28,105.13017272949219
2018-10-01,106.15121459960938
2018-10-02,106.22686767578125
2018-10-03,106.69012451171875
2018-10-04,105.41382598876953
2018-10-05,104.60075378417969
2018-10-08,104.62911224365234
2018-10-09,103.19210052490234
2018-10-10,99.50494384765625
2018-10-11,94.8913345336914
2018-10-12,95.47749328613281
2018-10-15,93.87029266357422
2018-10-16,95.39241027832031
2018-10-17,90.9773178100586
2018-10-18,88.991943359375
2018-10-19,87.77237701416016
2018-10-22,85.91936492919922
2018-10-23,87.29963684082031
2018-10-24,86.69461822509766
2018-10-25,85.94770812988281
2018-10-26,83.5463638305664
2018-10-29,79.6039810180664
2018-10-30,93.52995300292969
2018-10-31,95.61930847167969
2018-11-01,97.14141845703125
2018-11-02,96.158203125
2018-11-05,95.09931182861328
2018-11-06,98.4366683959961
2018-11-07,103.2393569946289
2018-11-08,102.08595275878906
2018-11-09,99.98712921142578
2018-11-12,98.03955841064453
2018-11-13,99.18352508544922
2018-11-14,100.11002349853516
2018-11-15,101.3106918334961
2018-11-16,100.72454833984375
2018-11-19,98.22865295410156
2018-11-20,97.41339111328125
2018-11-21,98.39930725097656
2018-11-23,97.76414489746094
2018-11-26,100.4468994140625
2018-11-27,99.72644805908203
2018-11-28,102.34283447265625
2018-11-29,101.35696411132812
2018-11-30,100.20989227294922
2018-12-03,100.54170227050781
2018-12-04,95.32785034179688
2018-12-06,98.01062774658203
2018-12-07,96.08624267578125
2018-12-10,96.25688171386719
2018-12-11,94.47471618652344
2018-12-12,95.38473510742188
2018-12-13,93.61202239990234
2018-12-14,94.45573425292969
2018-12-17,93.26129913330078
2018-12-18,93.5741195678711
2018-12-19,90.93875122070312
2018-12-20,90.14246368408203
2018-12-21,88.44560241699219
2018-12-24,86.25579071044922
2018-12-26,91.68765258789062
2018-12-27,93.09065246582031
2018-12-28,92.01946258544922
2018-12-31,93.65943908691406
2019-01-02,92.51239776611328
2019-01-03,91.56443786621094
2019-01-04,96.24737548828125
2019-01-07,98.16230773925781
2019-01-08,97.77363586425781
2019-01-09,98.0390625
2019-01-10,97.66934967041016
2019-01-11,96.33271789550781
2019-01-14,96.7119140625
2019-01-15,95.18568420410156
2019-01-16,95.00556182861328
2019-01-17,95.92508697509766
2019-01-18,98.21919250488281
2019-01-22,96.54126739501953
2019-01-23,94.29459381103516
2019-01-24,94.8349380493164
2019-01-25,95.52693176269531
2019-01-28,97.3091049194336
2019-01-29,96.6550064086914
2019-01-30,95.74498748779297
2019-01-31,96.36115264892578
2019-02-01,98.97755432128906
2019-02-04,98.77848052978516
2019-02-05,99.811767578125
2019-02-06,96.00091552734375
2019-02-07,96.56023406982422
2019-02-08,98.08647918701172
2019-02-11,100.1151351928711
2019-02-12,101.20529174804688
2019-02-13,100.38055419921875
2019-02-14,106.82675170898438
2019-02-15,107.25332641601562
2019-02-19,107.27229309082031
2019-02-20,108.32452392578125
2019-02-21,107.40249633789062
2019-02-22,107.1078109741211
2019-02-25,105.90062713623047
2019-02-26,107.64962768554688
2019-02-27,106.56602478027344
2019-02-28,105.94815826416016
2019-03-01,107.44052124023438
2019-03-04,109.42716979980469
2019-03-05,107.58309173583984
2019-03-06,108.92337036132812
2019-03-07,108.44810485839844
2019-03-08,107.91580200195312
2019-03-11,108.37207794189453
2019-03-12,105.97667694091797
2019-03-13,104.436767578125
2019-03-14,105.7295150756836
2019-03-15,107.02228546142578
2019-03-18,108.33406066894531
