,JKHY
2015-12-28,70.49542236328125
2015-12-29,71.24151611328125
2015-12-30,71.0078125
2015-12-31,70.1717758178711
2016-01-04,68.79637145996094
2016-01-05,69.8031997680664
2016-01-06,69.8571548461914
2016-01-07,69.11103057861328
2016-01-08,68.72447967529297
2016-01-11,68.97618103027344
2016-01-12,70.0279769897461
2016-01-13,68.1221923828125
2016-01-14,69.32677459716797
2016-01-15,66.99848937988281
2016-01-19,67.97834014892578
2016-01-20,67.5468521118164
2016-01-21,68.81436920166016
2016-01-22,70.40548706054688
2016-01-25,69.56051635742188
2016-01-26,70.09986114501953
2016-01-27,70.0459213256836
2016-01-28,70.252685546875
2016-01-29,72.97648620605469
2016-02-01,73.12031555175781
2016-02-02,72.55399322509766
2016-02-03,71.80785369873047
2016-02-04,71.69100952148438
2016-02-05,70.66619873046875
2016-02-08,68.83234405517578
2016-02-09,68.85934448242188
2016-02-10,69.48859405517578
2016-02-11,69.22789001464844
2016-02-12,71.27750396728516
2016-02-16,72.7877197265625
2016-02-17,71.93370056152344
2016-02-18,73.8125228881836
2016-02-19,74.62158203125
2016-02-22,75.78120422363281
2016-02-23,75.12498474121094
2016-02-24,75.43060302734375
2016-02-25,75.88008117675781
2016-02-26,74.82830810546875
2016-02-29,74.17891693115234
2016-03-01,74.63890838623047
2016-03-02,74.0525894165039
2016-03-03,74.0706558227539
2016-03-04,74.14280700683594
2016-03-07,73.9083023071289
2016-03-08,73.0514144897461
2016-03-09,73.07847595214844
2016-03-10,73.14160919189453
2016-03-11,73.40318298339844
2016-03-14,73.26790618896484
2016-03-15,73.24082946777344
2016-03-16,74.02556610107422
2016-03-17,74.73811340332031
2016-03-18,74.71107482910156
2016-03-21,74.65694427490234
2016-03-22,74.792236328125
2016-03-23,74.83734130859375
2016-03-24,74.85538482666016
2016-03-28,74.88246154785156
2016-03-29,76.18128204345703
2016-03-30,77.53426361083984
2016-03-31,76.28053283691406
2016-04-01,76.78561401367188
2016-04-04,75.85657501220703
2016-04-05,75.31539154052734
2016-04-06,76.13621520996094
2016-04-07,75.53187561035156
2016-04-08,75.3063735961914
2016-04-11,74.55774688720703
2016-04-12,74.11573791503906
2016-04-13,74.45850372314453
2016-04-14,74.18791961669922
2016-04-15,74.33222961425781
2016-04-18,74.38633728027344
2016-04-19,75.16204833984375
2016-04-20,74.94556427001953
2016-04-21,74.0525894165039
2016-04-22,73.85418701171875
2016-04-25,73.86322021484375
2016-04-26,74.16988372802734
2016-04-27,74.07967376708984
2016-04-28,73.9083023071289
2016-04-29,73.08750915527344
2016-05-02,74.27812957763672
2016-05-03,73.46636199951172
2016-05-04,74.93656921386719
2016-05-05,74.69305419921875
2016-05-06,75.40560150146484
2016-05-09,75.85657501220703
2016-05-10,76.44286346435547
2016-05-11,75.39656066894531
2016-05-12,76.15424346923828
2016-05-13,75.48676300048828
2016-05-16,76.40678405761719
