,GOOGL
2016-11-21,39.0982666015625
2016-11-22,39.10822677612305
2016-11-23,38.80931091308594
2016-11-25,38.8705940246582
2016-11-28,39.1475830078125
2016-11-29,39.329429626464844
2016-11-30,38.653873443603516
2016-12-01,38.07845687866211
2016-12-02,38.08494186401367
2016-12-05,38.77045440673828
2016-12-06,38.6688232421875
2016-12-07,39.43056106567383
2016-12-08,39.61489486694336
2016-12-09,40.32630920410156
2016-12-12,40.24909591674805
2016-12-13,40.619747161865234
2016-12-14,40.74679183959961
2016-12-15,40.63519287109375
2016-12-16,40.34574508666992
2016-12-19,40.478267669677734
2016-12-20,40.61277389526367
2016-12-21,40.46331787109375
2016-12-22,40.337772369384766
2016-12-23,40.244110107421875
2016-12-27,40.350223541259766
2016-12-28,40.08319854736328
2016-12-29,39.999000549316406
2016-12-30,39.47938537597656
2017-01-03,40.254573822021484
2017-01-04,40.24262237548828
2017-01-05,40.504173278808594
2017-01-06,41.11146926879883
2017-01-09,41.20960998535156
2017-01-10,41.15132141113281
2017-01-11,41.3431282043457
2017-01-12,41.32668685913086
2017-01-13,41.396934509277344
2017-01-17,41.22356033325195
2017-01-18,41.3012809753418
2017-01-19,41.069618225097656
2017-01-20,41.258934020996094
2017-01-23,42.06899642944336
2017-01-24,42.32307815551758
2017-01-25,42.76746368408203
2017-01-26,42.69422912597656
2017-01-27,42.0988883972168
2017-01-30,41.04271697998047
2017-01-31,40.86137008666992
2017-02-01,40.614768981933594
2017-02-02,40.765220642089844
2017-02-03,40.85838317871094
2017-02-06,40.932621002197266
2017-02-07,41.31174087524414
2017-02-08,41.34412384033203
2017-02-09,41.35308837890625
2017-02-10,41.59172439575195
2017-02-13,41.796485900878906
2017-02-14,41.849788665771484
2017-02-15,41.714778900146484
2017-02-16,41.95640563964844
2017-02-17,42.17461013793945
2017-02-21,42.310123443603516
2017-02-22,42.41424560546875
2017-02-23,42.39630889892578
2017-02-24,42.237388610839844
2017-02-27,42.33005142211914
2017-02-28,42.09390640258789
2017-03-01,42.68277359008789
2017-03-02,42.33901596069336
2017-03-03,42.3006591796875
2017-03-06,42.21048355102539
2017-03-07,42.40378189086914
2017-03-08,42.52783203125
2017-03-09,42.7370719909668
2017-03-10,42.9149284362793
2017-03-13,43.07285690307617
2017-03-14,43.13911819458008
2017-03-15,43.26266860961914
2017-03-16,43.34288024902344
2017-03-17,43.4609489440918
2017-03-20,43.23875427246094
2017-03-21,42.35346603393555
2017-03-22,42.33652877807617
2017-03-23,41.83085632324219
2017-03-24,41.60617446899414
2017-03-27,41.77406311035156
2017-03-28,41.87968444824219
2017-03-29,42.34001541137695
2017-03-30,42.320587158203125
2017-03-31,42.23688888549805
2017-04-03,42.68277359008789
2017-04-04,42.474525451660156
2017-04-05,42.29218673706055
2017-04-06,42.102378845214844
2017-04-07,41.952919006347656
2017-04-10,41.93299102783203
2017-04-11,41.84231948852539
2017-04-12,41.92103576660156
2017-04-13,41.857261657714844
2017-04-17,42.60206604003906
2017-04-18,42.54527282714844
2017-04-19,42.670814514160156
2017-04-20,42.848670959472656
2017-04-21,42.79237365722656
2017-04-24,43.78776550292969
2017-04-25,44.28147888183594
2017-04-26,44.29642105102539
2017-04-27,44.411006927490234
2017-04-28,46.05903244018555
2017-05-01,46.472530364990234
2017-05-02,46.68526077270508
2017-05-03,47.25121307373047
2017-05-04,47.56357955932617
2017-05-05,47.34238052368164
2017-05-08,47.76136016845703
2017-05-09,47.662715911865234
2017-05-10,47.569557189941406
2017-05-11,47.621864318847656
2017-05-12,47.584503173828125
2017-05-15,47.78776168823242
2017-05-16,48.05629348754883
2017-05-17,46.9383430480957
2017-05-18,47.35334014892578
2017-05-19,47.560089111328125
2017-05-22,48.029388427734375
2017-05-23,48.35221862792969
2017-05-24,48.703941345214844
2017-05-25,49.41386795043945
2017-05-26,49.48411560058594
2017-05-30,49.62859344482422
2017-05-31,49.176231384277344
2017-06-01,49.23601531982422
2017-06-02,49.626102447509766
2017-06-05,50.012699127197266
2017-06-06,49.65399932861328
2017-06-07,49.89413070678711
2017-06-08,50.03262710571289
2017-06-09,48.3307991027832
2017-06-12,47.91679763793945
2017-06-13,48.349727630615234
2017-06-14,48.22169494628906
2017-06-15,47.83559036254883
2017-06-16,47.757869720458984
2017-06-19,48.584877014160156
2017-06-20,48.274505615234375
2017-06-21,48.752769470214844
2017-06-22,48.65462112426758
2017-06-23,49.12641143798828
2017-06-26,48.42893981933594
2017-06-27,47.2332763671875
2017-06-28,47.8769416809082
2017-06-29,46.72163009643555
2017-06-30,46.31610107421875
2017-07-03,45.80694580078125
2017-07-05,46.44463348388672
2017-07-06,46.216957092285156
2017-07-07,46.87059020996094
2017-07-10,47.37825012207031
2017-07-11,47.504295349121094
2017-07-12,48.20824432373047
2017-07-13,48.26752853393555
2017-07-14,48.669071197509766
2017-07-17,48.621742248535156
2017-07-18,49.169254302978516
2017-07-19,49.45920944213867
2017-07-20,49.43031311035156
2017-07-21,49.512516021728516
2017-07-24,49.73521041870117
2017-07-25,48.276493072509766
2017-07-26,48.091163635253906
2017-07-27,47.45347595214844
