,VTR
2019-07-31,53.98004150390625
2019-08-01,54.284881591796875
2019-08-02,55.21542739868164
2019-08-05,54.44532012939453
2019-08-06,55.15928649902344
2019-08-07,56.8519172668457
2019-08-08,57.66213607788086
2019-08-09,57.42148208618164
2019-08-12,57.46159362792969
2019-08-13,57.1888427734375
2019-08-14,57.30918884277344
2019-08-15,58.46433639526367
2019-08-16,58.72105026245117
2019-08-19,58.81731414794922
2019-08-20,58.17554473876953
2019-08-21,58.295867919921875
2019-08-22,58.28786087036133
2019-08-23,57.75038146972656
2019-08-26,58.50445556640625
2019-08-27,58.40016174316406
2019-08-28,58.41621398925781
2019-08-29,59.057960510253906
2019-08-30,58.873470306396484
2019-09-03,59.85213088989258
2019-09-04,60.18105697631836
2019-09-05,59.86016082763672
2019-09-06,60.349517822265625
2019-09-09,59.30664825439453
2019-09-10,57.726314544677734
2019-09-11,57.325233459472656
2019-09-12,57.09258270263672
2019-09-13,56.13797378540039
2019-09-16,56.84389114379883
2019-09-17,58.544559478759766
2019-09-18,58.167518615722656
2019-09-19,57.9749870300293
2019-09-20,57.926856994628906
2019-09-23,58.26378631591797
2019-09-24,58.127418518066406
2019-09-25,58.43224334716797
2019-09-26,59.14623260498047
2019-09-27,59.08203887939453
2019-09-30,59.22232437133789
2019-10-01,58.8411865234375
2019-10-02,59.12500762939453
2019-10-03,60.04948425292969
2019-10-04,60.463050842285156
2019-10-07,59.74943542480469
2019-10-08,59.31963348388672
2019-10-09,59.765647888183594
2019-10-10,59.30340576171875
2019-10-11,58.49248123168945
2019-10-14,58.91417694091797
2019-10-15,58.581687927246094
2019-10-16,58.224884033203125
2019-10-17,58.338409423828125
2019-10-18,59.084468841552734
2019-10-21,58.946617126464844
2019-10-22,58.37895202636719
2019-10-23,59.343963623046875
2019-10-24,58.76820755004883
2019-10-25,53.5214729309082
2019-10-28,52.418609619140625
2019-10-29,51.83475112915039
2019-10-30,52.62944793701172
2019-10-31,52.79164505004883
2019-11-01,51.92393493652344
2019-11-04,50.6264533996582
2019-11-05,49.0289192199707
2019-11-06,48.90727615356445
2019-11-07,48.65589141845703
2019-11-08,48.28285598754883
2019-11-11,47.926048278808594
2019-11-12,47.52058410644531
2019-11-13,47.658447265625
2019-11-14,47.48815155029297
2019-11-15,47.277305603027344
2019-11-18,47.317848205566406
2019-11-19,47.56113815307617
2019-11-20,47.407047271728516
2019-11-21,46.62044906616211
2019-11-22,46.55557632446289
2019-11-25,46.742088317871094
2019-11-26,47.74765396118164
2019-11-27,47.60978698730469
2019-11-29,47.28541564941406
2019-12-02,46.93671417236328
2019-12-03,47.11511993408203
2019-12-04,47.058353424072266
2019-12-05,46.82318878173828
2019-12-06,46.6042366027832
2019-12-09,46.628562927246094
2019-12-10,45.95548629760742
2019-12-11,45.695987701416016
2019-12-12,44.72287368774414
2019-12-13,45.00669860839844
2019-12-16,45.631107330322266
2019-12-17,45.27430725097656
2019-12-18,45.43648910522461
2019-12-19,45.91494369506836
2019-12-20,46.58800506591797
2019-12-23,46.612342834472656
2019-12-24,46.52313995361328
2019-12-26,46.71776580810547
2019-12-27,46.89616775512695
2019-12-30,47.0178108215332
2019-12-31,47.472469329833984
2020-01-02,46.3625373840332
2020-01-03,46.9216194152832
2020-01-06,47.40669250488281
2020-01-07,47.01206588745117
2020-01-08,46.781837463378906
2020-01-09,46.51051712036133
2020-01-10,46.83939743041992
2020-01-13,47.18470764160156
2020-01-14,46.86406707763672
2020-01-15,47.43959045410156
2020-01-16,48.21243667602539
2020-01-17,48.35219955444336
2020-01-21,48.894840240478516
2020-01-22,47.916446685791016
2020-01-23,48.08088302612305
2020-01-24,48.36865234375
2020-01-27,48.097320556640625
2020-01-28,48.056217193603516
2020-01-29,47.38203811645508
2020-01-30,47.63690185546875
2020-01-31,47.57113265991211
2020-02-03,47.620460510253906
2020-02-04,47.916446685791016
2020-02-05,48.12198257446289
2020-02-06,48.393306732177734
2020-02-07,48.45908737182617
2020-02-10,48.52486038208008
2020-02-11,47.98222351074219
2020-02-12,48.24531936645508
2020-02-13,48.13843536376953
2020-02-14,49.12504196166992
2020-02-18,49.157928466796875
2020-02-19,48.631736755371094
2020-02-20,51.3038215637207
2020-02-21,51.78889465332031
2020-02-24,51.83822250366211
2020-02-25,49.174373626708984
2020-02-26,48.911285400390625
2020-02-27,45.227928161621094
2020-02-28,44.208438873291016
2020-03-02,43.049163818359375
2020-03-03,42.876495361328125
2020-03-04,44.19198989868164
2020-03-05,42.58052062988281
2020-03-06,40.79639434814453
2020-03-09,36.932167053222656
2020-03-10,36.126426696777344
2020-03-11,31.20981788635254
2020-03-12,22.502975463867188
2020-03-13,27.40314292907715
2020-03-16,19.567798614501953
2020-03-17,17.28215217590332
2020-03-18,13.952333450317383
2020-03-19,16.42708396911621
2020-03-20,17.775455474853516
2020-03-23,18.910057067871094
2020-03-24,21.12993621826172
2020-03-25,23.349811553955078
2020-03-26,23.621129989624023
2020-03-27,24.985946655273438
2020-03-30,23.670459747314453
2020-03-31,22.658437728881836
2020-04-01,19.403404235839844
2020-04-02,19.45412826538086
2020-04-03,19.039854049682617
2020-04-06,22.100431442260742
2020-04-07,22.895166397094727
2020-04-08,25.49074363708496
2020-04-09,28.57668685913086
2020-04-13,27.528310775756836
2020-04-14,28.052505493164062
2020-04-15,25.80356788635254
2020-04-16,25.110288619995117
2020-04-17,26.45457649230957
2020-04-20,24.222545623779297
2020-04-21,23.613811492919922
2020-04-22,23.51235580444336
2020-04-23,23.774456024169922
2020-04-24,23.42780876159668
2020-04-27,24.078821182250977
