,ED
2017-05-30,63.179317474365234
2017-05-31,63.63280487060547
2017-06-01,64.12471771240234
2017-06-02,64.2015609741211
2017-06-05,63.83263397216797
2017-06-06,63.71733856201172
2017-06-07,64.37834167480469
2017-06-08,63.8249626159668
2017-06-09,63.98634719848633
2017-06-12,64.02477264404297
2017-06-13,63.70197296142578
2017-06-14,64.24767303466797
2017-06-15,64.76265716552734
2017-06-16,65.21610260009766
2017-06-19,65.13926696777344
2017-06-20,65.30065155029297
2017-06-21,65.06240844726562
2017-06-22,64.71654510498047
2017-06-23,64.4398422241211
2017-06-26,64.59355163574219
2017-06-27,63.54056167602539
2017-06-28,62.88723373413086
2017-06-29,62.1263313293457
2017-06-30,62.11863708496094
2017-07-03,61.92647933959961
2017-07-05,61.84964370727539
2017-07-06,61.788150787353516
2017-07-07,61.895751953125
2017-07-10,61.77277755737305
2017-07-11,61.80352020263672
2017-07-12,62.34156036376953
2017-07-13,61.74203109741211
2017-07-14,62.04949951171875
2017-07-17,62.34156036376953
2017-07-18,62.418392181396484
2017-07-19,62.833457946777344
2017-07-20,63.34071350097656
2017-07-21,63.74040603637695
2017-07-24,63.13319396972656
2017-07-25,62.648983001708984
2017-07-26,63.110137939453125
2017-07-27,63.248497009277344
2017-07-28,63.317657470703125
2017-07-31,63.68659210205078
2017-08-01,63.59438705444336
2017-08-02,63.5636100769043
2017-08-03,63.886444091796875
2017-08-04,63.64048385620117
2017-08-07,64.17849731445312
2017-08-08,64.60892486572266
2017-08-09,63.994056701660156
2017-08-10,64.28611755371094
2017-08-11,63.69428634643555
2017-08-14,63.981056213378906
2017-08-15,64.36859893798828
2017-08-16,64.67084503173828
2017-08-17,64.3453369140625
2017-08-18,64.7406005859375
2017-08-21,64.91114807128906
2017-08-22,65.0506591796875
2017-08-23,65.3064193725586
2017-08-24,65.28315734863281
2017-08-25,65.47692108154297
2017-08-28,65.56217193603516
2017-08-29,65.43042755126953
2017-08-30,65.16691589355469
2017-08-31,65.31414031982422
2017-09-01,65.09712982177734
2017-09-05,65.39166259765625
2017-09-06,65.14364624023438
2017-09-07,65.67842864990234
2017-09-08,66.29072570800781
2017-09-11,66.69375610351562
2017-09-12,65.26763153076172
2017-09-13,64.91888427734375
2017-09-14,65.50017547607422
2017-09-15,65.44591522216797
2017-09-18,64.77162170410156
2017-09-19,64.64759826660156
2017-09-20,64.01980590820312
2017-09-21,63.88804244995117
2017-09-22,63.23701477050781
2017-09-25,63.74079895019531
2017-09-26,63.430755615234375
2017-09-27,62.485191345214844
2017-09-28,62.5549430847168
2017-09-29,62.53169631958008
2017-10-02,62.864986419677734
2017-10-03,62.70219802856445
2017-10-04,63.38425064086914
2017-10-05,63.376502990722656
2017-10-06,63.21375274658203
2017-10-09,63.15949249267578
2017-10-10,63.86478042602539
2017-10-11,64.205810546875
2017-10-12,64.7406005859375
2017-10-13,64.391845703125
2017-10-16,64.21356964111328
2017-10-17,64.76386260986328
2017-10-18,64.93437957763672
2017-10-19,65.75592803955078
2017-10-20,65.77143859863281
2017-10-23,65.95746612548828
2017-10-24,66.468994140625
2017-10-25,66.13572692871094
2017-10-26,66.26746368408203
2017-10-27,66.59300994873047
2017-10-30,66.57749938964844
2017-10-31,66.69375610351562
2017-11-01,66.5
2017-11-02,67.27505493164062
2017-11-03,67.4610595703125
2017-11-06,66.90302276611328
2017-11-07,67.96485137939453
2017-11-08,68.09660339355469
2017-11-09,67.94160461425781
2017-11-10,67.57733154296875
2017-11-13,68.44539642333984
2017-11-14,69.49212646484375
2017-11-15,68.75785064697266
2017-11-16,68.2423095703125
2017-11-17,67.59391784667969
2017-11-20,67.1799087524414
2017-11-21,67.55486297607422
2017-11-22,67.69548034667969
2017-11-24,67.8829345703125
2017-11-27,68.35164642333984
2017-11-28,68.72662353515625
2017-11-29,69.05470275878906
2017-11-30,69.55463409423828
2017-12-01,69.38278198242188
2017-12-04,69.1172103881836
2017-12-05,68.75785064697266
2017-12-06,69.10939025878906
2017-12-07,69.12499237060547
2017-12-08,69.46089172363281
2017-12-11,70.03897094726562
2017-12-12,68.81253051757812
2017-12-13,68.72662353515625
2017-12-14,68.42194366455078
2017-12-15,68.9297103881836
2017-12-18,68.21104431152344
2017-12-19,66.8362045288086
2017-12-20,66.32845306396484
2017-12-21,66.23468780517578
2017-12-22,66.2034683227539
2017-12-26,65.7738037109375
2017-12-27,66.13314819335938
2017-12-28,66.46905517578125
2017-12-29,66.35970306396484
2018-01-02,65.28948974609375
2018-01-03,64.67237854003906
2018-01-04,63.914669036865234
2018-01-05,63.85215377807617
2018-01-08,64.75048828125
2018-01-09,64.0630874633789
2018-01-10,63.21162033081055
