,UDR
2018-03-23,26.842607498168945
2018-03-26,27.086355209350586
2018-03-27,27.282917022705078
2018-03-28,27.99053955078125
2018-03-29,28.00625991821289
2018-04-02,27.66031265258789
2018-04-03,28.061302185058594
2018-04-04,28.32076644897461
2018-04-05,28.32862663269043
2018-04-06,28.331008911132812
2018-04-09,28.219928741455078
2018-04-10,28.39447593688965
2018-04-11,28.362735748291016
2018-04-12,27.9739933013916
2018-04-13,28.164400100708008
2018-04-16,28.386545181274414
2018-04-17,28.640424728393555
2018-04-18,28.48174285888672
2018-04-19,28.069198608398438
2018-04-20,27.886730194091797
2018-04-23,27.86292266845703
2018-04-24,27.9105224609375
2018-04-25,27.958126068115234
2018-04-26,28.39447593688965
2018-04-27,28.807025909423828
2018-04-30,28.68009376525879
2018-05-01,28.799095153808594
2018-05-02,28.608692169189453
2018-05-03,28.489673614501953
2018-05-04,28.81495475769043
2018-05-07,28.89430046081543
2018-05-08,28.73562240600586
2018-05-09,28.87843132019043
2018-05-10,29.02123260498047
2018-05-11,28.791162490844727
2018-05-14,28.624555587768555
2018-05-15,27.98986053466797
2018-05-16,27.767717361450195
2018-05-17,27.55350685119629
2018-05-18,27.505905151367188
2018-05-21,27.75185775756836
2018-05-22,27.886730194091797
2018-05-23,28.243738174438477
2018-05-24,28.085063934326172
2018-05-25,28.18820571899414
2018-05-29,28.196134567260742
2018-05-30,28.91016387939453
2018-05-31,28.933963775634766
2018-06-01,29.17197036743164
2018-06-04,29.600387573242188
2018-06-05,29.394107818603516
2018-06-06,29.521053314208984
2018-06-07,29.497249603271484
2018-06-08,29.727327346801758
2018-06-11,29.55278778076172
2018-06-12,29.592449188232422
2018-06-13,29.100574493408203
2018-06-14,29.43378257751465
2018-06-15,29.32271385192871
2018-06-18,28.933963775634766
2018-06-19,28.87049102783203
2018-06-20,28.997432708740234
2018-06-21,29.227506637573242
2018-06-22,29.536928176879883
2018-06-25,29.695592880249023
2018-06-26,29.568655014038086
2018-06-27,29.505189895629883
2018-06-28,29.79079818725586
2018-06-29,29.782859802246094
2018-07-02,29.536928176879883
2018-07-03,29.624187469482422
2018-07-05,29.838396072387695
2018-07-06,29.949472427368164
2018-07-09,29.759824752807617
2018-07-10,29.951866149902344
2018-07-11,30.02389144897461
2018-07-12,30.103910446166992
2018-07-13,29.92787742614746
2018-07-16,29.80783462524414
2018-07-17,29.591781616210938
2018-07-18,29.599777221679688
2018-07-19,29.999879837036133
2018-07-20,29.663785934448242
2018-07-23,29.38372802734375
2018-07-24,29.2476806640625
2018-07-25,29.71181297302246
2018-07-26,29.767831802368164
2018-07-27,29.599777221679688
2018-07-30,29.647785186767578
2018-07-31,30.792091369628906
2018-08-01,30.864107131958008
2018-08-02,30.968135833740234
2018-08-03,31.312231063842773
2018-08-06,31.376253128051758
2018-08-07,31.328229904174805
2018-08-08,31.128177642822266
2018-08-09,31.304224014282227
2018-08-10,30.8801326751709
2018-08-13,30.896116256713867
2018-08-14,31.208206176757812
2018-08-15,31.56829071044922
2018-08-16,31.72032356262207
2018-08-17,31.872377395629883
2018-08-20,31.78435516357422
2018-08-21,31.416250228881836
2018-08-22,31.432262420654297
2018-08-23,31.416250228881836
2018-08-24,31.78435516357422
2018-08-27,31.744333267211914
2018-08-28,32.0804328918457
2018-08-29,32.06442642211914
2018-08-30,31.848377227783203
2018-08-31,31.984405517578125
2018-09-04,31.688329696655273
2018-09-05,31.992406845092773
2018-09-06,32.11243438720703
2018-09-07,31.912397384643555
2018-09-10,32.23247146606445
2018-09-11,32.376502990722656
2018-09-12,32.368499755859375
2018-09-13,32.48052978515625
2018-09-14,32.1684455871582
2018-09-17,32.43251037597656
