,INVH
2018-07-06,19.779497146606445
2018-07-09,19.79658317565918
2018-07-10,19.770950317382812
2018-07-11,19.85639381408691
2018-07-12,20.01018714904785
2018-07-13,19.950376510620117
2018-07-16,19.88202857971191
2018-07-17,19.79658317565918
2018-07-18,20.035818099975582
2018-07-19,20.138343811035156
2018-07-20,20.095632553100582
2018-07-23,20.035818099975582
2018-07-24,19.65133476257324
2018-07-25,19.642791748046875
2018-07-26,19.88202857971191
2018-07-27,19.694053649902344
2018-07-30,19.642791748046875
2018-07-31,19.74531936645508
2018-08-01,19.788040161132812
2018-08-02,19.83930206298828
2018-08-03,20.052902221679688
2018-08-06,20.12125587463379
2018-08-07,20.146886825561523
2018-08-08,20.12125587463379
2018-08-09,20.34340476989746
2018-08-10,19.933286666870117
2018-08-13,19.60861587524414
2018-08-14,19.34375
2018-08-15,19.515464782714844
2018-08-16,19.936166763305664
2018-08-17,19.91899871826172
2018-08-20,19.85030746459961
2018-08-21,19.738697052001953
2018-08-22,19.652833938598633
2018-08-23,19.98767852783203
2018-08-24,19.95333671569824
2018-08-27,19.79879379272461
2018-08-28,20.150806427001953
2018-08-29,20.090717315673828
2018-08-30,20.082124710083008
2018-08-31,20.06495475769043
2018-09-04,19.884653091430664
2018-09-05,19.95333671569824
2018-09-06,20.022022247314453
2018-09-07,20.05636978149414
2018-09-10,20.18515396118164
2018-09-11,20.41697120666504
2018-09-12,20.150806427001953
2018-09-13,20.42556381225586
2018-09-14,20.22807884216309
2018-09-17,20.35686683654785
2018-09-18,20.31393814086914
2018-09-19,20.107885360717773
2018-09-20,20.305356979370117
2018-09-21,20.554340362548828
2018-09-24,20.03061294555664
2018-09-25,19.98767852783203
2018-09-26,19.506879806518555
2018-09-27,19.506879806518555
2018-09-28,19.670007705688477
2018-10-01,19.515464782714844
2018-10-02,19.524049758911133
2018-10-03,19.300817489624023
2018-10-04,19.069005966186523
2018-10-05,18.965974807739254
2018-10-08,19.206377029418945
2018-10-09,19.2149600982666
2018-10-10,18.862943649291992
2018-10-11,18.176082611083984
2018-10-12,18.115982055664062
2018-10-15,18.373558044433594
2018-10-16,18.725574493408203
2018-10-17,18.69981384277344
2018-10-18,18.78567123413086
2018-10-19,18.794260025024418
2018-10-22,18.63971710205078
2018-10-23,18.871532440185547
2018-10-24,18.905872344970703
2018-10-25,18.880115509033203
2018-10-26,18.76850128173828
2018-10-29,19.180618286132812
2018-10-30,18.983144760131836
2018-10-31,18.78567123413086
2018-11-01,18.759916305541992
2018-11-02,18.22759437561035
2018-11-05,17.798307418823242
2018-11-06,18.05588722229004
2018-11-07,18.30487060546875
2018-11-08,18.60537338256836
2018-11-09,18.63971710205078
2018-11-12,18.59678649902344
2018-11-13,18.691713333129883
2018-11-14,18.441452026367188
2018-11-15,18.208457946777344
2018-11-16,18.035863876342773
2018-11-19,18.053119659423828
2018-11-20,17.88052749633789
2018-11-21,17.984088897705078
2018-11-23,17.97545623779297
2018-11-26,18.079010009765625
2018-11-27,18.346525192260746
2018-11-28,18.57089614868164
2018-11-29,18.45871353149414
2018-11-30,18.519123077392575
2018-12-03,18.562271118164062
2018-12-04,18.329267501831055
2018-12-06,18.85568046569824
2018-12-07,18.795265197753903
2018-12-10,18.7348575592041
2018-12-11,18.657197952270508
2018-12-12,18.33789825439453
2018-12-13,18.545005798339844
2018-12-14,18.441452026367188
2018-12-17,17.906417846679688
2018-12-18,18.001340866088867
2018-12-19,17.811492919921875
2018-12-20,17.604381561279297
2018-12-21,17.30234718322754
2018-12-24,16.758682250976562
2018-12-26,17.293718338012695
2018-12-27,17.36275291442871
2018-12-28,17.267831802368164
2018-12-31,17.328229904174805
2019-01-02,17.00031280517578
2019-01-03,17.11249542236328
2019-01-04,17.181533813476562
2019-01-07,17.08660316467285
2019-01-08,17.414531707763672
2019-01-09,17.310976028442383
2019-01-10,17.543975830078125
2019-01-11,17.716567993164062
2019-01-14,17.604381561279297
2019-01-15,17.690677642822266
2019-01-16,17.906417846679688
2019-01-17,18.312007904052734
2019-01-18,18.33789825439453
2019-01-22,18.19119453430176
2019-01-23,18.208457946777344
2019-01-24,18.268857955932617
2019-01-25,18.64856719970703
2019-01-28,18.94196891784668
2019-01-29,19.21811866760254
2019-01-30,19.26126289367676
2019-01-31,19.40796661376953
2019-02-01,19.45111656188965
2019-02-04,19.779041290283203
2019-02-05,19.787675857543945
2019-02-06,19.416601181030273
2019-02-07,19.51152801513672
2019-02-08,19.69274520874023
2019-02-11,19.779041290283203
2019-02-12,19.83111572265625
2019-02-13,19.90054702758789
2019-02-14,19.74432373046875
2019-02-15,20.41259765625
2019-02-19,20.50806427001953
2019-02-20,20.16090965270996
2019-02-21,20.15223503112793
2019-02-22,20.00468635559082
2019-02-25,19.96129608154297
2019-02-26,19.99601173400879
2019-02-27,20.013370513916016
2019-02-28,19.96129608154297
2019-03-01,19.779041290283203
2019-03-04,20.11751365661621
2019-03-05,20.19562530517578
2019-03-06,20.265056610107425
2019-03-07,20.256378173828125
2019-03-08,20.343168258666992
2019-03-11,20.421274185180664
2019-03-12,20.41259765625
2019-03-13,20.525421142578125
2019-03-14,20.707677841186523
2019-03-15,20.69899559020996
2019-03-18,20.429950714111328
2019-03-19,20.221660614013672
2019-03-20,20.221660614013672
2019-03-21,20.69899559020996
2019-03-22,20.846538543701172
2019-03-25,20.88993263244629
2019-03-26,21.115583419799805
2019-03-27,20.959360122680664
2019-03-28,20.98539352416992
2019-03-29,21.115583419799805
2019-04-01,21.115583419799805
2019-04-02,21.18501091003418
2019-04-03,21.245765686035156
2019-04-04,21.211048126220703
2019-04-05,21.271799087524418
2019-04-08,21.141616821289062
2019-04-09,20.88993263244629
2019-04-10,21.04615020751953
2019-04-11,21.263120651245117
2019-04-12,21.592918395996097
2019-04-15,21.644990921020508
2019-04-16,21.141616821289062
2019-04-17,20.968040466308594
2019-04-18,21.167654037475582
2019-04-22,20.82050132751465
2019-04-23,21.07219123840332
2019-04-24,21.384624481201172
2019-04-25,21.49744987487793
2019-04-26,21.697065353393555
2019-04-29,21.471406936645508
2019-04-30,21.5755615234375
2019-05-01,21.506128311157227
2019-05-02,21.488773345947266
2019-05-03,21.60158920288086
2019-05-06,21.566883087158203
2019-05-07,21.358583450317383
2019-05-08,21.211048126220703
2019-05-09,21.419340133666992
2019-05-10,21.72309684753418
2019-05-13,21.55820083618164
2019-05-14,21.601825714111328
2019-05-15,21.7850399017334
2019-05-16,22.0816707611084
2019-05-17,22.116567611694336
2019-05-20,21.92462730407715
2019-05-21,22.195085525512695
2019-05-22,22.186365127563477
2019-05-23,22.27361297607422
2019-05-24,22.482995986938477
2019-05-28,22.168914794921875
2019-05-29,22.046772003173828
2019-05-30,22.177637100219727
2019-05-31,22.360851287841797
2019-06-03,22.50916862487793
2019-06-04,22.76218032836914
2019-06-05,22.96284294128418
2019-06-06,23.19840431213379
2019-06-07,23.25074577331543
2019-06-10,23.372894287109375
2019-06-11,23.503765106201172
2019-06-12,23.529935836791992
2019-06-13,23.63462829589844
2019-06-14,23.826566696166992
2019-06-17,23.97488021850586
2019-06-18,24.001054763793945
2019-06-19,24.21044158935547
2019-06-20,24.149370193481445
2019-06-21,23.686973571777344
2019-06-24,23.53865623474121
2019-06-25,23.617176055908203
2019-06-26,23.067533493041992
2019-06-27,23.146055221557617
2019-06-28,23.320547103881836
2019-07-01,23.407793045043945
2019-07-02,23.77421760559082
2019-07-03,23.98361015319824
2019-07-05,23.905086517333984
2019-07-08,24.088302612304688
2019-07-09,24.384929656982425
2019-07-10,24.44600486755371
2019-07-11,24.280244827270508
2019-07-12,24.3587646484375
2019-07-15,24.428556442260746
2019-07-16,24.39365577697754
2019-07-17,24.280244827270508
2019-07-18,24.16682243347168
2019-07-19,23.582277297973633
2019-07-22,23.695701599121097
2019-07-23,23.89636611938477
2019-07-24,23.71314811706543
2019-07-25,23.817840576171875
2019-07-26,23.878915786743164
2019-07-29,24.053401947021484
2019-07-30,24.219165802001953
2019-07-31,23.96615982055664
2019-08-01,23.948711395263672
2019-08-02,24.14064598083496
2019-08-05,23.660799026489254
2019-08-06,23.88763999938965
2019-08-07,24.07085227966309
2019-08-08,24.297683715820312
2019-08-09,24.297683715820312
2019-08-12,24.192991256713867
2019-08-13,24.315141677856445
2019-08-14,24.201189041137695
2019-08-15,24.41156005859375
2019-08-16,24.823524475097656
2019-08-19,25.051427841186523
2019-08-20,24.928712844848633
2019-08-21,25.033899307250977
2019-08-22,25.445873260498047
2019-08-23,25.06019592285156
2019-08-26,25.43710708618164
2019-08-27,25.472166061401367
2019-08-28,25.200439453125
2019-08-29,25.358217239379883
2019-08-30,25.20920181274414
2019-09-03,25.533523559570312
2019-09-04,25.454635620117188
2019-09-05,25.077726364135746
2019-09-06,25.22673797607422
2019-09-09,24.85859107971191
2019-09-10,24.516740798950195
2019-09-11,24.350200653076172
2019-09-12,24.49044609069824
2019-09-13,24.41156005859375
2019-09-16,24.70957946777344
2019-09-17,24.9725399017334
2019-09-18,24.98130226135254
2019-09-19,25.39327812194824
2019-09-20,25.63871192932129
2019-09-23,25.27933120727539
2019-09-24,25.480932235717773
2019-09-25,25.77018928527832
2019-09-26,26.041915893554688
2019-09-27,25.954261779785156
2019-09-30,25.954261779785156
2019-10-01,25.980560302734375
2019-10-02,26.112037658691406
2019-10-03,26.208457946777344
2019-10-04,26.375
