,LNT
2019-12-24,46.3338508605957
2019-12-26,46.291168212890625
2019-12-27,46.393619537353516
2019-12-30,46.427772521972656
2019-12-31,46.71805191040039
2020-01-02,45.78744125366211
2020-01-03,45.93259048461914
2020-01-06,45.889892578125
2020-01-07,45.93259048461914
2020-01-08,46.0350341796875
2020-01-09,46.55583572387695
2020-01-10,47.016868591308594
2020-01-13,47.45228958129883
2020-01-14,47.48643493652344
2020-01-15,48.03284454345703
2020-01-16,48.4767951965332
2020-01-17,48.80123519897461
2020-01-21,48.97198486328125
2020-01-22,49.304954528808594
2020-01-23,49.9111328125
2020-01-24,50.312400817871094
2020-01-27,50.22702407836914
2020-01-28,50.5002326965332
2020-01-29,50.44046401977539
2020-01-30,51.05915069580078
2020-01-31,51.00760269165039
2020-02-03,51.145084381103516
2020-02-04,50.40609359741211
2020-02-05,50.32015609741211
2020-02-06,50.29438781738281
2020-02-07,50.122528076171875
2020-02-10,50.19986343383789
2020-02-11,50.17407989501953
2020-02-12,50.40609359741211
2020-02-13,51.02478790283203
2020-02-14,51.33412170410156
2020-02-18,51.70362091064453
2020-02-19,51.10211944580078
2020-02-20,51.18804168701172
2020-02-21,50.818546295166016
2020-02-24,50.560760498046875
2020-02-25,49.847557067871094
2020-02-26,49.69288635253906
2020-02-27,47.2181282043457
2020-02-28,44.786319732666016
2020-03-02,47.5704345703125
2020-03-03,47.06344223022461
2020-03-04,49.718658447265625
2020-03-05,49.314788818359375
2020-03-06,49.40072250366211
2020-03-09,46.53927230834961
2020-03-10,46.401790618896484
2020-03-11,44.330902099609375
2020-03-12,41.40070724487305
2020-03-13,43.73798370361328
2020-03-16,40.86795425415039
2020-03-17,45.00114822387695
2020-03-18,42.079551696777344
2020-03-19,38.69393539428711
2020-03-20,34.97320556640625
2020-03-23,34.36310958862305
2020-03-24,37.68856430053711
2020-03-25,37.963539123535156
2020-03-26,41.16010665893555
2020-03-27,41.03121566772461
2020-03-30,43.45441818237305
2020-03-31,41.495235443115234
2020-04-01,38.64237976074219
2020-04-02,40.3180046081543
2020-04-03,38.797054290771484
2020-04-06,41.09996032714844
2020-04-07,41.27181625366211
2020-04-08,44.02155303955078
2020-04-09,45.66278839111328
2020-04-13,44.064517974853516
2020-04-14,46.075252532958984
2020-04-15,44.2535514831543
2020-04-16,44.348087310791016
2020-04-17,45.430789947509766
2020-04-20,42.956024169921875
2020-04-21,42.70683288574219
2020-04-22,43.84968948364258
2020-04-23,43.04195022583008
2020-04-24,42.94743347167969
