,LRCX
2020-11-04,29.34638023376465
2020-11-05,30.8409423828125
2020-11-06,31.590147018432617
2020-11-09,32.119449615478516
2020-11-10,31.470552444458008
2020-11-11,32.715118408203125
2020-11-12,32.287654876708984
2020-11-13,32.89335632324219
2020-11-16,33.894866943359375
2020-11-17,33.32698059082031
2020-11-18,33.20353317260742
2020-11-19,33.7706413269043
2020-11-20,33.45892333984375
2020-11-23,34.62400436401367
2020-11-24,34.4465446472168
2020-11-25,34.472782135009766
2020-11-27,35.2258415222168
2020-11-30,34.92647933959961
2020-12-01,36.08307647705078
2020-12-02,36.975791931152344
2020-12-03,37.35001754760742
2020-12-04,38.577598571777344
2020-12-07,39.248878479003906
2020-12-08,39.57996368408203
2020-12-09,38.20070266723633
2020-12-10,37.9160270690918
2020-12-11,38.03593444824219
2020-12-14,38.04909133911133
2020-12-15,38.316734313964844
2020-12-16,38.16048049926758
2020-12-17,37.61357116699219
2020-12-18,37.205902099609375
2020-12-21,37.380733489990234
2020-12-22,36.894935607910156
2020-12-23,36.44472122192383
2020-12-24,37.15717315673828
2020-12-28,36.829185485839844
2020-12-29,36.60639572143555
2020-12-30,37.47510528564453
2020-12-31,36.53290557861328
2021-01-04,36.97770690917969
2021-01-05,38.25640106201172
2021-01-06,38.406471252441406
2021-01-07,39.79655838012695
2021-01-08,38.804080963134766
2021-01-11,39.95281219482422
2021-01-12,41.49683380126953
2021-01-13,40.727928161621094
2021-01-14,43.14838790893555
2021-01-15,42.35472106933594
2021-01-19,44.86801528930664
2021-01-20,43.551422119140625
2021-01-21,43.64346694946289
2021-01-22,43.61716842651367
2021-01-25,43.91963577270508
2021-01-26,42.75155258178711
2021-01-27,39.84142303466797
2021-01-28,39.246559143066406
2021-01-29,37.436424255371094
2021-02-01,38.79015350341797
2021-02-02,39.92109680175781
2021-02-03,39.012939453125
2021-02-04,40.18875503540039
2021-02-05,39.432987213134766
2021-02-08,41.21371841430664
2021-02-09,40.85014724731445
2021-02-10,41.19205856323242
2021-02-11,44.26386642456055
2021-02-12,45.342987060546875
2021-02-16,45.77848815917969
2021-02-17,45.32364273071289
