,SWKS
2019-11-05,88.67442321777344
2019-11-06,88.14447021484375
2019-11-07,88.6025619506836
2019-11-08,90.21939086914062
2019-11-11,90.16549682617188
2019-11-12,91.25238037109375
2019-11-13,90.84817504882812
2019-11-14,88.70136260986328
2019-11-15,89.3031997680664
2019-11-18,87.53364562988281
2019-11-19,86.7791519165039
2019-11-20,86.26713562011719
2019-11-21,86.5994873046875
2019-11-22,87.88396453857422
2019-11-25,90.56072998046875
2019-11-26,89.03373718261719
2019-11-27,89.49181365966797
2019-11-29,88.29714965820312
2019-12-02,88.748291015625
2019-12-03,87.91818237304688
2019-12-04,89.16333770751953
2019-12-05,90.20999908447266
2019-12-06,91.45515441894531
2019-12-09,93.1424331665039
2019-12-10,94.18904113769531
2019-12-11,98.6102294921875
2019-12-12,100.59526062011719
2019-12-13,100.92908477783203
2019-12-16,102.10205078125
2019-12-17,102.04791259765625
2019-12-18,104.5472412109375
2019-12-19,106.333740234375
2019-12-20,107.28115844726562
2019-12-23,108.30072021484375
2019-12-24,110.22257995605469
2019-12-26,110.33084869384766
2019-12-27,110.33985900878906
2019-12-30,109.20299530029297
2019-12-31,109.06764221191406
2020-01-02,109.78046417236328
2020-01-03,107.05554962158203
2020-01-06,105.16980743408203
2020-01-07,106.17134094238281
2020-01-08,107.85858917236328
2020-01-09,107.95784759521484
2020-01-10,108.3458251953125
2020-01-13,112.34293365478516
2020-01-14,111.28726196289062
2020-01-15,108.6526107788086
2020-01-16,111.06169128417969
2020-01-17,112.03616333007812
2020-01-21,111.70231628417969
2020-01-22,112.74895477294922
2020-01-23,115.663330078125
2020-01-24,110.35791015625
2020-01-27,105.45853424072266
2020-01-28,108.08416748046875
2020-01-29,106.36982727050781
2020-01-30,104.87205505371094
2020-01-31,102.09302520751953
2020-02-03,103.78929138183594
2020-02-04,106.43299865722656
2020-02-05,107.9488296508789
2020-02-06,106.18035125732422
2020-02-07,102.80583190917969
2020-02-10,105.32389068603516
2020-02-11,107.94157409667969
2020-02-12,111.45599365234375
2020-02-13,111.03936004638672
2020-02-14,107.77855682373047
2020-02-18,105.76773071289062
2020-02-19,107.91441345214844
2020-02-20,106.42893981933594
2020-02-21,103.829345703125
2020-02-24,100.7134780883789
2020-02-25,96.16647338867188
2020-02-26,94.02885437011719
2020-02-27,88.36772155761719
2020-02-28,90.7408676147461
2020-03-02,94.44549560546875
2020-03-03,90.24267578125
2020-03-04,93.62123107910156
2020-03-05,89.3006820678711
2020-03-06,86.6920166015625
2020-03-09,79.99832916259766
2020-03-10,86.7645034790039
2020-03-11,81.37511444091797
2020-03-12,72.96044158935547
2020-03-13,75.17960357666016
2020-03-16,61.50233840942383
2020-03-17,70.45143127441406
2020-03-18,65.30662536621094
2020-03-19,69.99853515625
2020-03-20,66.72869110107422
2020-03-23,67.88806915283203
2020-03-24,79.06537628173828
2020-03-25,77.29911041259766
2020-03-26,84.20112609863281
2020-03-27,78.88423156738281
2020-03-30,81.61967468261719
2020-03-31,80.95845031738281
2020-04-01,74.68142700195312
2020-04-02,75.51472473144531
2020-04-03,72.7340087890625
2020-04-06,81.33888244628906
2020-04-07,81.45664978027344
2020-04-08,84.23738098144531
2020-04-09,81.47473907470703
2020-04-13,81.94575500488281
2020-04-14,86.67391967773438
2020-04-15,84.11962890625
2020-04-16,86.05799865722656
2020-04-17,86.41123962402344
2020-04-20,83.81166076660156
2020-04-21,79.79905700683594
2020-04-22,84.18303680419922
2020-04-23,84.04715728759766
2020-04-24,87.4166488647461
2020-04-27,89.1104507446289
2020-04-28,91.1846923828125
2020-04-29,96.21174621582031
2020-04-30,94.09223937988281
2020-05-01,89.51805877685547
2020-05-04,90.233642578125
2020-05-05,94.84403228759766
2020-05-06,95.92191314697266
2020-05-07,96.1845932006836
2020-05-08,100.74065399169922
2020-05-11,100.0069808959961
2020-05-12,97.95991516113281
2020-05-13,96.14835357666016
2020-05-14,98.14105987548828
2020-05-15,96.21174621582031
2020-05-18,102.0721435546875
2020-05-19,101.94535064697266
2020-05-20,106.73751068115234
2020-05-21,103.7822036743164
2020-05-22,106.41017150878906
2020-05-26,107.04669952392578
2020-05-27,108.23792266845703
2020-05-28,105.00070190429688
2020-05-29,107.7923355102539
2020-06-01,108.30157470703125
2020-06-02,112.54813385009766
2020-06-03,115.72173309326172
2020-06-04,117.0038833618164
2020-06-05,123.81481170654297
2020-06-08,122.5235595703125
2020-06-09,122.31439208984375
2020-06-10,119.94100952148438
2020-06-11,112.19352722167969
2020-06-12,115.4034652709961
2020-06-15,115.70355224609375
2020-06-16,116.74927520751953
2020-06-17,118.88621520996094
2020-06-18,117.3949203491211
2020-06-19,115.80357360839844
2020-06-22,116.01272583007812
2020-06-23,116.71290588378906
2020-06-24,114.94880676269531
2020-06-25,115.75811004638672
2020-06-26,114.43955993652344
2020-06-29,114.57598114013672
2020-06-30,116.26732635498047
2020-07-01,114.43955993652344
2020-07-02,116.77655792236328
2020-07-06,119.53182220458984
2020-07-07,120.28659057617188
2020-07-08,120.16835021972656
2020-07-09,120.69579315185547
2020-07-10,119.32268524169922
2020-07-13,117.73136138916016
2020-07-14,119.28630065917969
2020-07-15,119.41363525390625
2020-07-16,119.69551086425781
2020-07-17,121.80517578125
2020-07-20,125.30610656738281
2020-07-21,124.98785400390625
2020-07-22,123.94210052490234
2020-07-23,123.06915283203125
2020-07-24,119.6773452758789
2020-07-27,124.2967529296875
2020-07-28,122.4508056640625
2020-07-29,124.07852172851562
2020-07-30,129.29808044433594
2020-07-31,132.38067626953125
2020-08-03,133.8538360595703
2020-08-04,132.09881591796875
2020-08-05,132.18978881835938
2020-08-06,134.64492797851562
2020-08-07,131.28042602539062
2020-08-10,130.9793243408203
2020-08-11,128.962646484375
2020-08-12,134.64749145507812
2020-08-13,135.10374450683594
2020-08-14,133.33349609375
2020-08-17,133.30616760253906
2020-08-18,130.65994262695312
2020-08-19,129.6196746826172
2020-08-20,128.323974609375
2020-08-21,129.6196746826172
2020-08-24,129.80218505859375
2020-08-25,130.0576934814453
2020-08-26,130.22193908691406
2020-08-27,127.84034729003906
2020-08-28,131.0523223876953
2020-08-31,132.17466735839844
2020-09-01,133.64378356933594
2020-09-02,139.87608337402344
2020-09-03,127.66691589355469
2020-09-04,126.84569549560547
2020-09-08,119.39063262939453
2020-09-09,125.56822204589844
2020-09-10,123.396484375
2020-09-11,124.23596954345703
2020-09-14,125.7324447631836
2020-09-15,128.57943725585938
2020-09-16,128.059326171875
2020-09-17,126.25259399414062
2020-09-18,124.10818481445312
2020-09-21,122.50223541259766
2020-09-22,127.42056274414062
2020-09-23,122.20111083984375
2020-09-24,123.36908721923828
2020-09-25,125.924072265625
2020-09-28,131.37168884277344
2020-09-29,131.71841430664062
2020-09-30,132.7677764892578
2020-10-01,138.79029846191406
2020-10-02,133.98138427734375
2020-10-05,138.35223388671875
2020-10-06,134.38287353515625
2020-10-07,136.74624633789062
2020-10-08,138.28836059570312
2020-10-09,140.77944946289062
2020-10-12,143.34361267089844
2020-10-13,139.79396057128906
2020-10-14,139.89434814453125
2020-10-15,139.95823669433594
2020-10-16,139.74835205078125
2020-10-19,137.9142303466797
2020-10-20,139.109619140625
2020-10-21,137.22987365722656
2020-10-22,136.6276092529297
2020-10-23,136.65504455566406
2020-10-26,134.40115356445312
2020-10-27,132.42105102539062
2020-10-28,127.55745697021484
2020-10-29,132.45755004882812
2020-10-30,128.92617797851562
2020-11-02,129.68356323242188
2020-11-03,126.6540756225586
2020-11-04,127.32019805908203
2020-11-05,136.07101440429688
2020-11-06,133.8992919921875
2020-11-09,131.9282989501953
2020-11-10,125.23059844970703
2020-11-11,131.28042602539062
2020-11-12,128.97177124023438
2020-11-13,129.11781311035156
2020-11-16,130.86068725585938
2020-11-17,128.4608154296875
2020-11-18,125.9699935913086
2020-11-19,127.61833190917969
2020-11-20,128.56155395507812
2020-11-23,126.4004135131836
2020-11-24,127.15127563476562
2020-11-25,124.49563598632812
2020-11-27,124.68797302246094
2020-11-30,129.27586364746094
2020-12-01,131.86740112304688
2020-12-02,131.3636932373047
2020-12-03,131.6018524169922
2020-12-04,137.51754760742188
2020-12-07,140.49371337890625
2020-12-08,142.6640167236328
2020-12-09,135.79591369628906
2020-12-10,133.2776336669922
2020-12-11,127.50848388671875
2020-12-14,127.52676391601562
2020-12-15,132.49008178710938
2020-12-16,135.10910034179688
2020-12-17,133.26844787597656
2020-12-18,135.70436096191406
2020-12-21,135.2648468017578
2020-12-22,136.8398895263672
2020-12-23,138.03952026367188
2020-12-24,138.46994018554688
2020-12-28,140.3105926513672
2020-12-29,137.73733520507812
2020-12-30,139.88015747070312
2020-12-31,139.99920654296875
2021-01-04,138.02120971679688
2021-01-05,143.13107299804688
2021-01-06,145.13653564453125
2021-01-07,148.9735107421875
2021-01-08,149.7061309814453
2021-01-11,148.39662170410156
2021-01-12,144.85263061523438
2021-01-13,144.58709716796875
2021-01-14,144.6695098876953
2021-01-15,139.19334411621094
2021-01-19,147.792236328125
2021-01-20,149.21163940429688
2021-01-21,149.7427520751953
2021-01-22,147.68234252929688
2021-01-25,151.7207489013672
2021-01-26,149.38560485839844
2021-01-27,142.71900939941406
2021-01-28,146.3270263671875
2021-01-29,154.98997497558594
2021-02-01,170.1363983154297
2021-02-02,169.86172485351562
2021-02-03,164.3397674560547
2021-02-04,164.0100860595703
2021-02-05,163.8727264404297
2021-02-08,166.27198791503906
2021-02-09,167.49905395507812
2021-02-10,169.67852783203125
2021-02-11,172.85617065429688
2021-02-12,173.9947509765625
2021-02-16,178.25506591796875
2021-02-17,176.37277221679688
2021-02-18,172.53482055664062
2021-02-19,176.4462432861328
2021-02-22,168.88046264648438
2021-02-23,168.7152099609375
2021-02-24,174.78433227539062
2021-02-25,161.72784423828125
2021-02-26,163.27040100097656
2021-03-01,171.20346069335938
2021-03-02,165.17105102539062
2021-03-03,160.8739471435547
2021-03-04,153.52854919433594
2021-03-05,159.24879455566406
2021-03-08,148.01028442382812
2021-03-09,158.30307006835938
2021-03-10,153.94171142578125
2021-03-11,159.533447265625
2021-03-12,158.21121215820312
2021-03-15,164.16102600097656
2021-03-16,166.2269287109375
2021-03-17,167.85211181640625
2021-03-18,160.39651489257812
2021-03-19,161.40650939941406
2021-03-22,165.10675048828125
2021-03-23,161.03005981445312
2021-03-24,157.18287658691406
2021-03-25,158.04600524902344
2021-03-26,167.27366638183594
2021-03-29,164.64767456054688
2021-03-30,163.90394592285156
2021-03-31,168.46728515625
2021-04-01,172.34202575683594
2021-04-05,175.9687957763672
2021-04-06,173.4254608154297
2021-04-07,171.9104461669922
2021-04-08,174.1416473388672
2021-04-09,173.2877197265625
2021-04-12,172.72764587402344
2021-04-13,173.80191040039062
2021-04-14,172.47055053710938
2021-04-15,175.05062866210938
2021-04-16,174.23341369628906
2021-04-19,170.66171264648438
2021-04-20,167.76947021484375
2021-04-21,171.350341796875
2021-04-22,168.41221618652344
2021-04-23,175.29852294921875
2021-04-26,183.3234100341797
2021-04-27,181.24832153320312
2021-04-28,180.33932495117188
2021-04-29,181.67066955566406
2021-04-30,166.4932098388672
2021-05-03,161.91146850585938
2021-05-04,159.36814880371094
2021-05-05,159.77215576171875
2021-05-06,161.53501892089844
2021-05-07,160.7913055419922
2021-05-10,152.37161254882812
2021-05-11,153.23471069335938
2021-05-12,148.3132781982422
2021-05-13,148.91929626464844
2021-05-14,151.91253662109375
2021-05-17,151.1849822998047
2021-05-18,150.08901977539062
2021-05-19,153.2202911376953
2021-05-20,155.3016815185547
2021-05-21,153.5242156982422
2021-05-24,155.53195190429688
2021-05-25,156.59104919433594
2021-05-26,155.50430297851562
2021-05-27,157.3646240234375
2021-05-28,156.56341552734375
2021-06-01,156.92257690429688
2021-06-02,158.23031616210938
2021-06-03,154.01234436035156
2021-06-04,156.94102478027344
2021-06-07,156.30552673339844
2021-06-08,154.93328857421875
2021-06-09,155.20960998535156
2021-06-10,156.02003479003906
2021-06-11,157.59486389160156
2021-06-14,160.0906524658203
2021-06-15,158.0922088623047
2021-06-16,157.4659423828125
2021-06-17,158.82896423339844
2021-06-18,155.0069580078125
2021-06-21,157.98167419433594
2021-06-22,158.21189880371094
2021-06-23,159.5380859375
2021-06-24,163.7376708984375
2021-06-25,164.57574462890625
2021-06-28,168.25961303710938
2021-06-29,175.85752868652344
2021-06-30,176.59429931640625
2021-07-01,174.0708770751953
2021-07-02,176.1983184814453
2021-07-06,175.4062957763672
2021-07-07,173.39857482910156
2021-07-08,171.67636108398438
2021-07-09,174.58660888671875
2021-07-12,176.08778381347656
2021-07-13,174.5958251953125
2021-07-14,176.42855834960938
2021-07-15,175.42471313476562
2021-07-16,173.24200439453125
2021-07-19,172.35784912109375
2021-07-20,174.44845581054688
2021-07-21,177.74549865722656
2021-07-22,175.9403839111328
2021-07-23,177.43235778808594
2021-07-26,177.55206298828125
2021-07-27,173.28802490234375
2021-07-28,176.88902282714844
2021-07-29,181.12545776367188
2021-07-30,169.92654418945312
2021-08-02,172.52365112304688
2021-08-03,173.31570434570312
2021-08-04,172.0263214111328
2021-08-05,171.10536193847656
2021-08-06,171.326416015625
2021-08-09,171.02247619628906
2021-08-10,170.21205139160156
2021-08-11,170.17518615722656
2021-08-12,168.79376220703125
2021-08-13,168.89505004882812
2021-08-16,167.82347106933594
2021-08-17,165.0428924560547
2021-08-18,161.89279174804688
2021-08-19,163.7218780517578
2021-08-20,165.24615478515625
2021-08-23,167.13063049316406
2021-08-24,168.1929931640625
2021-08-25,167.27845764160156
2021-08-26,167.12144470214844
2021-08-27,169.4678192138672
2021-08-30,171.91583251953125
2021-08-31,169.47706604003906
2021-09-01,167.81423950195312
2021-09-02,169.3015594482422
2021-09-03,169.06137084960938
2021-09-07,167.62025451660156
2021-09-08,164.16534423828125
2021-09-09,163.9066619873047
2021-09-10,163.81427001953125
2021-09-13,167.4077911376953
2021-09-14,164.55331420898438
2021-09-15,163.2969512939453
2021-09-16,165.11683654785156
2021-09-17,161.90203857421875
2021-09-20,157.45863342285156
2021-09-21,157.8281707763672
2021-09-22,159.74037170410156
2021-09-23,160.1283721923828
2021-09-24,159.490966796875
2021-09-27,158.64109802246094
2021-09-28,154.0868377685547
2021-09-29,153.85589599609375
2021-09-30,152.2208251953125
2021-10-01,151.4263458251953
2021-10-04,147.51876831054688
2021-10-05,148.1191864013672
2021-10-06,148.84901428222656
2021-10-07,149.87440490722656
2021-10-08,148.59957885742188
2021-10-11,147.30628967285156
2021-10-12,146.5580291748047
2021-10-13,143.38943481445312
2021-10-14,148.02684020996094
2021-10-15,148.2947235107422
2021-10-18,148.98757934570312
2021-10-19,152.19308471679688
2021-10-20,153.0152587890625
2021-10-21,154.2438507080078
2021-10-22,152.5348663330078
2021-10-25,152.59031677246094
2021-10-26,151.8050994873047
2021-10-27,153.2554168701172
2021-10-28,156.89515686035156
2021-10-29,154.39170837402344
2021-11-01,156.8582000732422
2021-11-02,157.73577880859375
2021-11-03,160.2854461669922
2021-11-04,158.31777954101562
2021-11-05,151.55569458007812
2021-11-08,154.98291015625
2021-11-09,151.64805603027344
2021-11-10,148.09152221679688
2021-11-11,149.64344787597656
2021-11-12,152.01759338378906
2021-11-15,150.7704620361328
2021-11-16,151.28781127929688
2021-11-17,150.5487518310547
2021-11-18,150.67807006835938
2021-11-19,148.46102905273438
2021-11-22,145.10523986816406
2021-11-23,145.3555450439453
2021-11-24,145.57801818847656
