,CNP
2016-06-06,17.415084838867188
2016-06-07,17.44528579711914
2016-06-08,17.558517456054688
2016-06-09,17.656644821166992
2016-06-10,17.46792984008789
2016-06-13,17.339601516723633
2016-06-14,17.415084838867188
2016-06-15,17.32450294494629
2016-06-16,17.392446517944336
2016-06-17,17.437734603881836
2016-06-20,17.528322219848633
2016-06-21,17.739686965942383
2016-06-22,17.543415069580078
2016-06-23,17.732133865356445
2016-06-24,17.61890983581543
2016-06-27,17.49057960510254
2016-06-28,17.830272674560547
2016-06-29,18.11712646484375
2016-06-30,18.11712646484375
2016-07-01,18.15486717224121
2016-07-05,18.15486717224121
2016-07-06,18.15486717224121
2016-07-07,17.754785537719727
2016-07-08,18.041637420654297
2016-07-11,17.97369384765625
2016-07-12,17.890661239624023
2016-07-13,18.071836471557617
2016-07-14,17.8604679107666
2016-07-15,18.162418365478516
2016-07-18,18.07938003540039
2016-07-19,18.05673599243164
2016-07-20,18.20771026611328
2016-07-21,18.29829978942871
2016-07-22,18.637990951538086
2016-07-25,18.50211524963379
2016-07-26,18.35869026184082
2016-07-27,18.041637420654297
2016-07-28,17.943500518798828
2016-07-29,18.05673599243164
2016-08-01,17.868011474609375
2016-08-02,17.7170352935791
2016-08-03,17.739686965942383
2016-08-04,17.81517791748047
2016-08-05,17.113136291503906
2016-08-08,17.14333152770996
2016-08-09,17.135784149169922
2016-08-10,17.105588912963867
2016-08-11,17.135784149169922
2016-08-12,17.233516693115234
2016-08-15,17.141891479492188
2016-08-16,16.89754867553711
2016-08-17,17.248788833618164
2016-08-18,17.424407958984375
2016-08-19,17.432044982910156
2016-08-22,17.516036987304688
2016-08-23,17.447315216064453
2016-08-24,17.37859344482422
2016-08-25,17.34041404724121
2016-08-26,17.042627334594727
2016-08-29,17.309879302978516
2016-08-30,17.157161712646484
2016-08-31,17.157161712646484
2016-09-01,17.134252548217773
2016-09-02,17.27933120727539
2016-09-06,17.409135818481445
2016-09-07,17.783281326293945
2016-09-08,18.050521850585938
2016-09-09,17.26405906677246
2016-09-12,17.523672103881836
2016-09-13,17.134252548217773
2016-09-14,17.126623153686523
2016-09-15,17.294601440429688
2016-09-16,17.600025177001953
2016-09-19,17.790916442871094
2016-09-20,17.920719146728516
2016-09-21,18.340682983398438
2016-09-22,18.409399032592773
2016-09-23,18.470481872558594
2016-09-26,18.523935317993164
2016-09-27,18.23377799987793
2016-09-28,18.417034149169922
2016-09-29,18.00470733642578
2016-09-30,17.73746681213379
2016-10-03,17.485492706298828
2016-10-04,17.073165893554688
2016-10-05,17.065532684326172
2016-10-06,17.02735710144043
2016-10-07,16.72193145751953
2016-10-10,16.935728073120117
2016-10-11,16.67612075805664
2016-10-12,16.859376907348633
2016-10-13,17.057899475097656
2016-10-14,17.080808639526367
2016-10-17,17.126623153686523
2016-10-18,17.187713623046875
2016-10-19,17.27933120727539
2016-10-20,17.30223846435547
2016-10-21,17.348054885864258
2016-10-24,17.218238830566406
2016-10-25,17.309879302978516
2016-10-26,17.30223846435547
2016-10-27,17.233516693115234
2016-10-28,17.202970504760742
2016-10-31,17.409135818481445
2016-11-01,17.180070877075195
2016-11-02,16.882280349731445
2016-11-03,17.210609436035156
2016-11-04,17.50839614868164
2016-11-07,18.035253524780273
2016-11-08,18.09634017944336
2016-11-09,17.722200393676758
2016-11-10,17.65347671508789
2016-11-11,17.50076675415039
2016-11-14,17.730892181396484
2016-11-15,17.970293045043945
2016-11-16,17.931686401367188
2016-11-17,17.931686401367188
2016-11-18,18.024349212646484
2016-11-21,18.16335678100586
2016-11-22,18.24057960510254
2016-11-23,18.23285675048828
2016-11-25,18.495424270629883
2016-11-28,18.66531753540039
2016-11-29,18.603540420532227
2016-11-30,18.425920486450195
2016-12-01,18.37958335876465
2016-12-02,18.611263275146484
2016-12-05,18.51858901977539
2016-12-06,18.3641414642334
2016-12-07,18.603540420532227
2016-12-08,18.57264518737793
2016-12-09,18.866106033325195
2016-12-12,18.927888870239258
2016-12-13,18.98194122314453
2016-12-14,18.673044204711914
2016-12-15,18.7734317779541
2016-12-16,18.757997512817383
2016-12-19,18.889272689819336
2016-12-20,19.043720245361328
2016-12-21,19.03600311279297
2016-12-22,19.18272590637207
2016-12-23,19.175004959106445
2016-12-27,19.12094497680664
2016-12-28,18.87382698059082
2016-12-29,19.0977783203125
2016-12-30,19.028274536132812
2017-01-03,18.98966407775879
2017-01-04,19.15955924987793
2017-01-05,19.15955924987793
2017-01-06,19.584300994873047
2017-01-09,19.2136173248291
2017-01-10,19.267671585083008
2017-01-11,19.630630493164062
2017-01-12,19.561126708984375
2017-01-13,19.630630493164062
2017-01-17,19.6846923828125
2017-01-18,19.831418991088867
2017-01-19,19.64607810974121
2017-01-20,19.769638061523438
2017-01-23,19.64607810974121
2017-01-24,19.78508186340332
2017-01-25,20.039928436279297
2017-01-26,20.07081413269043
2017-01-27,20.12487030029297
2017-01-30,19.947256088256836
2017-01-31,20.240707397460938
2017-02-01,20.02448081970215
2017-02-02,20.225269317626953
2017-02-03,20.31020736694336
2017-02-06,20.148042678833008
2017-02-07,20.209821701049805
2017-02-08,20.40288543701172
2017-02-09,20.44149398803711
2017-02-10,20.456945419311523
2017-02-13,20.595947265625
2017-02-14,20.32135581970215
2017-02-15,20.336959838867188
2017-02-16,20.570981979370117
2017-02-17,20.680192947387695
2017-02-21,20.758209228515625
2017-02-22,20.727006912231445
2017-02-23,20.93762969970703
2017-02-24,21.078041076660156
2017-02-27,20.898622512817383
2017-02-28,21.31206512451172
2017-03-01,21.608501434326172
2017-03-02,21.663114547729492
2017-03-03,21.7645263671875
2017-03-06,21.81133460998535
2017-03-07,21.842529296875
2017-03-08,21.405681610107422
2017-03-09,21.351070404052734
2017-03-10,21.616304397583008
2017-03-13,21.538293838500977
2017-03-14,21.452491760253906
2017-03-15,21.912742614746094
2017-03-16,21.522695541381836
2017-03-17,21.5929012298584
2017-03-20,21.413476943969727
2017-03-21,21.514890670776367
2017-03-22,21.74892234802246
2017-03-23,21.647506713867188
2017-03-24,21.741121292114258
2017-03-27,21.600704193115234
2017-03-28,21.600704193115234
2017-03-29,21.72551727294922
2017-03-30,21.460285186767578
2017-03-31,21.50709342956543
2017-04-03,21.49149513244629
2017-04-04,21.663114547729492
2017-04-05,21.717721939086914
2017-04-06,21.7645263671875
2017-04-07,21.7645263671875
2017-04-10,21.842529296875
2017-04-11,21.772321701049805
2017-04-12,21.873735427856445
2017-04-13,21.795726776123047
2017-04-17,22.029752731323242
2017-04-18,22.07655143737793
2017-04-19,21.819129943847656
2017-04-20,21.7645263671875
2017-04-21,21.936141967773438
2017-04-24,22.092161178588867
2017-04-25,22.14676856994629
2017-04-26,22.0999698638916
2017-04-27,22.34178924560547
2017-04-28,22.255977630615234
2017-05-01,22.0843563079834
2017-05-02,21.990747451782227
2017-05-03,21.9205379486084
2017-05-04,21.826932907104492
2017-05-05,21.88153839111328
2017-05-08,21.741121292114258
2017-05-09,21.413476943969727
2017-05-10,21.48369026184082
2017-05-11,21.390079498291016
2017-05-12,21.498794555664062
2017-05-15,21.60120964050293
2017-05-16,21.420019149780273
2017-05-17,21.40426254272461
2017-05-18,21.43577003479004
2017-05-19,21.648473739624023
2017-05-22,21.821786880493164
2017-05-23,21.861177444458008
2017-05-24,22.03449058532715
2017-05-25,22.199928283691406
2017-05-26,22.318096160888672
2017-05-30,22.3653621673584
2017-05-31,22.53867530822754
2017-06-01,22.790769577026367
2017-06-02,22.75138282775879
2017-06-05,22.49140739440918
2017-06-06,22.452024459838867
2017-06-07,22.310222625732422
2017-06-08,22.223562240600586
2017-06-09,22.247194290161133
2017-06-12,22.1447811126709
2017-06-13,22.160537719726562
2017-06-14,22.349607467651367
2017-06-15,22.53867530822754
2017-06-16,22.75138282775879
2017-06-19,22.617454528808594
2017-06-20,22.38111686706543
2017-06-21,22.0423641204834
2017-06-22,22.129026412963867
2017-06-23,22.097515106201172
2017-06-26,22.35748291015625
2017-06-27,22.199928283691406
2017-06-28,21.9242000579834
2017-06-29,21.632715225219727
2017-06-30,21.569700241088867
2017-07-03,21.727256774902344
2017-07-05,21.62484359741211
2017-07-06,21.490915298461914
2017-07-07,21.522428512573242
2017-07-10,21.4830379486084
2017-07-11,21.396377563476562
2017-07-12,21.648473739624023
2017-07-13,21.553939819335938
2017-07-14,21.758764266967773
2017-07-17,21.876934051513672
2017-07-18,21.884811401367188
2017-07-19,21.766643524169922
2017-07-20,22.097515106201172
2017-07-21,22.176292419433594
2017-07-24,22.192045211791992
2017-07-25,21.995098114013672
2017-07-26,22.121150970458984
2017-07-27,22.160537719726562
2017-07-28,22.168415069580078
2017-07-31,22.207807540893555
2017-08-01,22.255075454711914
2017-08-02,22.192045211791992
2017-08-03,22.428386688232422
2017-08-04,22.483530044555664
2017-08-07,22.641088485717773
2017-08-08,22.88530158996582
2017-08-09,22.893186569213867
2017-08-10,22.948326110839844
2017-08-11,22.704118728637695
2017-08-14,22.90131950378418
2017-08-15,22.933124542236328
2017-08-16,23.020597457885742
2017-08-17,22.877464294433594
2017-08-18,23.068313598632812
2017-08-21,23.28301239013672
2017-08-22,23.46590232849121
2017-08-23,23.640840530395508
2017-08-24,23.569272994995117
2017-08-25,23.640840530395508
2017-08-28,23.799875259399414
2017-08-29,23.76807403564453
2017-08-30,23.585180282592773
2017-08-31,23.55337142944336
2017-09-01,23.561325073242188
2017-09-05,23.55337142944336
2017-09-06,23.41023826599121
2017-09-07,23.82373046875
2017-09-08,23.86349105834961
2017-09-11,24.213375091552734
2017-09-12,23.83963966369629
2017-09-13,23.807830810546875
2017-09-14,23.966867446899414
2017-09-15,24.07024574279785
2017-09-18,23.83963966369629
2017-09-19,23.83168601989746
2017-09-20,23.61698341369629
2017-09-21,23.449995040893555
2017-09-22,23.219392776489258
2017-09-25,23.585180282592773
2017-09-26,23.569272994995117
2017-09-27,23.123971939086914
2017-09-28,23.179628372192383
2017-09-29,23.227344512939453
2017-10-02,23.028549194335938
2017-10-03,22.885419845581055
2017-10-04,23.052404403686523
2017-10-05,23.108068466186523
2017-10-06,22.964933395385742
2017-10-09,22.845657348632812
2017-10-10,23.155778884887695
2017-10-11,23.30685806274414
2017-10-12,23.632890701293945
2017-10-13,23.34662437438965
2017-10-16,23.42613983154297
2017-10-17,23.48180389404297
2017-10-18,23.52156639099121
2017-10-19,23.656747817993164
2017-10-20,23.61698341369629
2017-10-23,23.593137741088867
2017-10-24,23.529518127441406
2017-10-25,23.362529754638672
2017-10-26,23.449995040893555
2017-10-27,23.656747817993164
2017-10-30,23.434097290039062
2017-10-31,23.52156639099121
2017-11-01,23.62493896484375
2017-11-02,23.648792266845703
2017-11-03,23.529518127441406
2017-11-06,23.632890701293945
2017-11-07,23.81578254699707
2017-11-08,23.81578254699707
2017-11-09,23.70445442199707
2017-11-10,23.38638687133789
2017-11-13,23.561325073242188
2017-11-14,23.81578254699707
2017-11-15,23.549396514892578
2017-11-16,23.292638778686523
2017-11-17,23.268571853637695
2017-11-20,23.364852905273438
2017-11-21,23.340784072875977
2017-11-22,23.3889217376709
2017-11-24,23.292638778686523
2017-11-27,23.701847076416016
2017-11-28,23.73394203186035
2017-11-29,23.8061580657959
2017-11-30,24.07895851135254
2017-12-01,23.693824768066406
2017-12-04,23.557418823242188
2017-12-05,23.19635772705078
2017-12-06,23.276596069335938
