,WBA
2017-12-18,52.222232818603516
2017-12-19,51.96310806274414
2017-12-20,52.344600677490234
2017-12-21,52.72610092163086
2017-12-22,52.33739471435547
2017-12-26,52.7620964050293
2017-12-27,52.445369720458984
2017-12-28,52.50294876098633
2017-12-29,52.27260971069336
2018-01-02,53.949764251708984
2018-01-03,54.352874755859375
2018-01-04,51.538421630859375
2018-01-05,52.48855972290039
2018-01-08,53.1579704284668
2018-01-09,52.84846878051758
2018-01-10,53.32355499267578
2018-01-11,54.2592887878418
2018-01-12,54.75595474243164
2018-01-16,54.72716522216797
2018-01-17,54.547210693359375
2018-01-18,54.705570220947266
2018-01-19,55.04389190673828
2018-01-22,55.71333312988281
2018-01-23,55.43976974487305
2018-01-24,55.66292953491211
2018-01-25,56.33953094482422
2018-01-26,56.97296905517578
2018-01-29,57.7791748046875
2018-01-30,54.79914855957031
2018-01-31,54.172916412353516
2018-02-01,54.74876403808594
2018-02-02,52.949241638183594
2018-02-05,50.69622802734375
2018-02-06,51.67516326904297
2018-02-07,51.4880256652832
2018-02-08,49.105445861816406
2018-02-09,49.2782096862793
2018-02-12,49.2782096862793
2018-02-13,49.15583801269531
2018-02-14,49.590267181396484
2018-02-15,50.5243034362793
2018-02-16,51.34970474243164
2018-02-20,51.34247970581055
2018-02-21,50.41569137573242
2018-02-22,50.444644927978516
2018-02-23,50.944244384765625
2018-02-26,51.118011474609375
2018-02-27,50.060909271240234
2018-02-28,49.8798942565918
2018-03-01,50.828399658203125
2018-03-02,51.103538513183594
2018-03-05,51.08182144165039
2018-03-06,50.53153610229492
2018-03-07,50.321556091308594
2018-03-08,49.93782424926758
2018-03-09,51.118011474609375
2018-03-12,50.792198181152344
2018-03-13,50.58222579956055
2018-03-14,49.63371276855469
2018-03-15,48.786582946777344
2018-03-16,48.92414093017578
2018-03-19,48.23629379272461
2018-03-20,47.82358932495117
2018-03-21,47.98286819458008
2018-03-22,47.6642951965332
2018-03-23,47.37467575073242
2018-03-26,48.85173416137695
2018-03-27,47.7584228515625
2018-03-28,48.938621520996094
2018-03-29,47.40364456176758
2018-04-02,45.68762969970703
2018-04-03,45.73831558227539
2018-04-04,47.43260192871094
2018-04-05,46.80990982055664
2018-04-06,45.955528259277344
2018-04-09,45.506614685058594
2018-04-10,46.165496826171875
2018-04-11,46.41892623901367
2018-04-12,46.36824417114258
2018-04-13,46.20894241333008
2018-04-16,47.946678161621094
2018-04-17,47.76565933227539
2018-04-18,47.975643157958984
2018-04-19,47.26605987548828
2018-04-20,46.28135681152344
2018-04-23,46.773704528808594
2018-04-24,47.06333541870117
2018-04-25,47.75117492675781
2018-04-26,48.32316970825195
2018-04-27,48.591064453125
2018-04-30,48.11320114135742
2018-05-01,47.367427825927734
2018-05-02,46.08586120605469
2018-05-03,45.057708740234375
2018-05-04,46.20170593261719
2018-05-07,45.108394622802734
2018-05-08,45.15182876586914
2018-05-09,45.571781158447266
2018-05-10,46.20170593261719
2018-05-11,46.40444564819336
2018-05-14,47.1357421875
2018-05-15,46.78096008300781
2018-05-16,47.599124908447266
2018-05-17,48.072635650634766
2018-05-18,46.87063980102539
2018-05-21,46.987186431884766
2018-05-22,46.79051208496094
2018-05-23,46.557403564453125
2018-05-24,46.19316101074219
2018-05-25,46.28057098388672
2018-05-29,45.675926208496094
2018-05-30,46.287864685058594
2018-05-31,45.450103759765625
2018-06-01,45.79248809814453
2018-06-04,46.1130256652832
2018-06-05,45.81433868408203
2018-06-06,46.003746032714844
2018-06-07,46.33156204223633
2018-06-08,46.185874938964844
2018-06-11,46.66667175292969
2018-06-12,46.4044189453125
2018-06-13,46.557403564453125
2018-06-14,47.25674819946289
2018-06-15,47.93423080444336
2018-06-18,46.73223114013672
2018-06-19,47.06734085083008
2018-06-20,49.536903381347656
2018-06-21,49.3839225769043
2018-06-22,49.25279235839844
2018-06-25,48.98324203491211
2018-06-26,48.495155334472656
