,GOOG
2018-04-10,51.39732360839844
2018-04-11,50.815914154052734
2018-04-12,51.440670013427734
2018-04-13,51.27925109863281
2018-04-16,51.713191986083984
2018-04-17,53.51571273803711
2018-04-18,53.412086486816406
2018-04-19,54.19028854370117
2018-04-20,53.455928802490234
2018-04-23,53.18141555786133
2018-04-24,50.816410064697266
2018-04-25,50.87619400024414
2018-04-26,51.815818786621094
2018-04-27,51.31810760498047
2018-04-30,50.684383392333984
2018-05-01,51.6798095703125
2018-05-02,51.03562545776367
2018-05-03,51.002742767333984
2018-05-04,52.22285842895508
2018-05-07,52.55067443847656
2018-05-08,52.506832122802734
2018-05-09,53.944175720214844
2018-05-10,54.68202590942383
2018-05-11,54.71639633178711
2018-05-14,54.813053131103516
2018-05-15,53.76830291748047
2018-05-16,53.89485168457031
2018-05-17,53.73642349243164
2018-05-18,53.12710952758789
2018-05-21,53.785743713378906
2018-05-22,53.295005798339844
2018-05-23,53.79122543334961
2018-05-24,53.768802642822266
2018-05-25,53.5904426574707
2018-05-29,52.82619094848633
2018-05-30,53.198848724365234
2018-05-31,54.055274963378906
2018-06-01,55.77459716796875
2018-06-04,56.76055145263672
2018-06-05,56.77899169921875
2018-06-06,56.64048385620117
2018-06-07,55.99181365966797
2018-06-08,55.84284973144531
2018-06-11,56.297218322753906
2018-06-12,56.762046813964844
2018-06-13,56.536354064941406
2018-06-14,57.39975357055664
2018-06-15,57.40673065185547
2018-06-18,58.46293640136719
2018-06-19,58.193904876708984
2018-06-20,58.28258514404297
2018-06-21,57.67576599121094
2018-06-22,57.56715393066406
2018-06-25,56.039146423339844
2018-06-26,55.722782135009766
2018-06-27,55.00137710571289
2018-06-28,55.511539459228516
2018-06-29,55.58279037475586
2018-07-02,56.17117691040039
2018-07-03,54.94707107543945
2018-07-05,56.01224136352539
2018-07-06,56.80439376831055
2018-07-09,57.49591064453125
2018-07-10,57.43562698364258
2018-07-11,57.48843765258789
2018-07-12,58.96214294433594
2018-07-13,59.228187561035156
2018-07-16,58.981075286865234
2018-07-17,59.72540283203125
2018-07-18,59.57992172241211
2018-07-19,59.13551712036133
2018-07-20,59.03338623046875
2018-07-23,60.059200286865234
2018-07-24,62.180580139160156
2018-07-25,62.95878601074219
2018-07-26,63.189453125
2018-07-27,61.70328903198242
2018-07-30,60.76865005493164
2018-07-31,60.64509582519531
2018-08-01,60.7821044921875
2018-08-02,61.0880012512207
2018-08-03,60.96644592285156
2018-08-06,61.01925277709961
2018-08-07,61.88862609863281
2018-08-08,62.057518005371094
2018-08-09,62.23139572143555
2018-08-10,61.658958435058594
2018-08-13,61.529415130615234
2018-08-14,61.88264846801758
2018-08-15,60.50161361694336
2018-08-16,60.108524322509766
2018-08-17,59.83301544189453
2018-08-20,60.17229461669922
2018-08-21,59.86589813232422
2018-08-22,60.15037536621094
2018-08-23,60.05322265625
2018-08-24,60.81399154663086
2018-08-27,61.86869812011719
2018-08-28,61.33710861206055
2018-08-29,62.241355895996094
2018-08-30,61.73418426513672
2018-08-31,60.691429138183594
2018-09-04,59.63572311401367
2018-09-05,59.11160659790039
2018-09-06,58.36229705810547
2018-09-07,58.032981872558594
2018-09-10,58.02351760864258
2018-09-11,58.6572380065918
2018-09-12,57.93284225463867
2018-09-13,58.55609893798828
2018-09-14,58.416603088378906
2018-09-17,57.59555435180664
2018-09-18,57.85313034057617
2018-09-19,58.34486389160156
2018-09-20,59.13103103637695
2018-09-21,58.09575653076172
2018-09-24,58.45845031738281
2018-09-25,59.02043151855469
2018-09-26,58.81318283081055
2018-09-27,59.51814270019531
2018-09-28,59.45985412597656
2018-10-01,59.5515251159668
2018-10-02,59.79066467285156
2018-10-03,59.93215560913086
2018-10-04,58.200382232666016
2018-10-05,57.66032028198242
2018-10-08,57.242820739746094
2018-10-09,56.73713684082031
2018-10-10,53.86745071411133
2018-10-11,53.772789001464844
2018-10-12,55.3052864074707
2018-10-15,54.41697311401367
2018-10-16,55.863277435302734
2018-10-17,55.58477783203125
2018-10-18,54.203739166259766
2018-10-19,54.6267204284668
2018-10-22,54.86087417602539
2018-10-23,54.98693084716797
2018-10-24,52.347412109375
2018-10-25,54.58237838745117
2018-10-26,53.38169479370117
2018-10-29,50.82139587402344
2018-10-30,51.62500762939453
2018-10-31,53.645748138427734
2018-11-01,53.3084602355957
2018-11-02,52.70014572143555
2018-11-05,51.81830978393555
2018-11-06,52.601497650146484
2018-11-07,54.47377014160156
2018-11-08,53.92623519897461
2018-11-09,53.11664581298828
2018-11-12,51.74557113647461
2018-11-13,51.617034912109375
2018-11-14,51.99617004394531
2018-11-15,53.04490280151367
2018-11-16,52.88447952270508
2018-11-19,50.81740951538086
2018-11-20,51.10437774658203
2018-11-21,51.69475555419922
2018-11-23,51.010711669921875
2018-11-26,52.2432861328125
2018-11-27,52.033538818359375
2018-11-28,54.1170539855957
2018-11-29,54.220184326171875
2018-11-30,54.52558517456055
2018-12-03,55.12343215942383
2018-12-04,52.35289001464844
2018-12-06,53.24518585205078
2018-12-07,51.64344024658203
2018-12-10,51.79140853881836
2018-12-11,52.399227142333984
2018-12-12,52.993587493896484
2018-12-13,52.9049072265625
2018-12-14,51.91844940185547
2018-12-17,50.644527435302734
2018-12-18,51.25135040283203
2018-12-19,50.967369079589844
2018-12-20,50.28980255126953
2018-12-21,48.8016471862793
2018-12-24,48.63624954223633
2018-12-26,51.78692626953125
2018-12-27,52.00713348388672
2018-12-28,51.66835021972656
2018-12-31,51.59511184692383
2019-01-02,52.10527801513672
2019-01-03,50.62111282348633
2019-01-04,53.34383010864258
2019-01-07,53.22824478149414
2019-01-08,53.62133026123047
2019-01-09,53.54062271118164
2019-01-10,53.32489776611328
2019-01-11,52.67025375366211
2019-01-14,52.047489166259766
2019-01-15,53.6646728515625
2019-01-16,53.85499572753906
2019-01-17,54.29989242553711
2019-01-18,54.71639633178711
2019-01-22,53.33436584472656
2019-01-23,53.58596420288086
2019-01-24,53.50275802612305
2019-01-25,54.35419845581055
2019-01-28,53.312442779541016
2019-01-29,52.84113311767578
2019-01-30,54.2580451965332
2019-01-31,55.618656158447266
2019-02-01,55.338661193847656
2019-02-04,56.437217712402344
2019-02-05,57.094356536865234
2019-02-06,55.56186294555664
2019-02-07,54.73881912231445
2019-02-08,54.556968688964844
2019-02-11,54.554481506347656
2019-02-12,55.867759704589844
2019-02-13,55.80747604370117
2019-02-14,55.88270950317383
2019-02-15,55.48313903808594
2019-02-19,55.72776794433594
2019-02-20,55.49061584472656
2019-02-21,54.65212631225586
2019-02-22,55.319732666015625
2019-02-25,55.27140426635742
2019-02-26,55.55687713623047
2019-02-27,55.602718353271484
2019-02-28,55.79551696777344
2019-03-01,56.84524917602539
2019-03-04,57.18452835083008
2019-03-05,57.893489837646484
2019-03-06,57.68572998046875
2019-03-07,56.9603385925293
2019-03-08,56.91151428222656
2019-03-11,58.57752227783203
2019-03-12,59.44640350341797
2019-03-13,59.4523811340332
2019-03-14,59.06527328491211
2019-03-15,59.010963439941406
2019-03-18,59.00100326538086
2019-03-19,59.7278938293457
2019-03-20,60.97939682006836
2019-03-21,61.35654067993164
2019-03-22,60.059200286865234
2019-03-25,59.436439514160156
2019-03-26,59.01893997192383
2019-03-27,58.441017150878906
2019-03-28,58.21532440185547
2019-03-29,58.45546340942383
2019-04-01,59.50768280029297
2019-04-02,59.80960464477539
2019-04-03,60.08012771606445
2019-04-04,60.532501220703125
2019-04-05,60.14140319824219
2019-04-08,59.97650146484375
2019-04-09,59.64817810058594
2019-04-10,59.89280319213867
2019-04-11,60.01535415649414
2019-04-12,60.67548751831055
2019-04-15,60.83641052246094
2019-04-16,61.1368293762207
2019-04-17,61.595680236816406
2019-04-18,61.59717559814453
2019-04-22,62.218441009521484
2019-04-23,63.001129150390625
2019-04-24,62.57516098022461
2019-04-25,62.94633102416992
2019-04-26,63.38126754760742
2019-04-29,64.14850616455078
2019-04-30,59.21125030517578
2019-05-01,58.19489669799805
2019-05-02,57.92238235473633
2019-05-03,59.057796478271484
2019-05-06,59.256587982177734
2019-05-07,58.49482727050781
2019-05-08,58.1047248840332
2019-05-09,57.910919189453125
2019-05-10,58.00508117675781
2019-05-13,56.39885711669922
2019-05-14,55.82142639160156
2019-05-15,58.00209045410156
2019-05-16,58.73794937133789
2019-05-17,57.90694046020508
2019-05-20,56.73863220214844
2019-05-21,57.275699615478516
2019-05-22,57.36488342285156
2019-05-23,56.83428955078125
2019-05-24,56.47059631347656
2019-05-28,56.50447463989258
2019-05-29,55.62314224243164
2019-05-30,55.69737243652344
2019-05-31,54.98394012451172
2019-06-03,51.62600326538086
2019-06-04,52.4639892578125
2019-06-05,51.924434661865234
2019-06-06,52.03004837036133
2019-06-07,53.111167907714844
2019-06-10,53.825599670410156
2019-06-11,53.742897033691406
2019-06-12,53.6587028503418
2019-06-13,54.243595123291016
2019-06-14,54.073211669921875
2019-06-17,54.42942810058594
2019-06-18,54.98244094848633
2019-06-19,54.91917037963867
2019-06-20,55.37204360961914
2019-06-21,55.89317321777344
2019-06-24,55.57630920410156
2019-06-25,54.12303161621094
2019-06-26,53.79670715332031
2019-06-27,53.607879638671875
2019-06-28,53.85200500488281
2019-07-01,54.700950622558594
2019-07-02,55.36357498168945
2019-07-03,55.87822341918945
2019-07-05,56.376930236816406
2019-07-08,55.61766052246094
2019-07-09,56.04014587402344
2019-07-10,56.81983947753906
2019-07-11,57.005672454833984
2019-07-12,57.04004669189453
2019-07-15,57.31107711791992
2019-07-16,57.472496032714844
2019-07-17,57.11228942871094
2019-07-18,57.11129379272461
2019-07-19,56.30270004272461
2019-07-22,56.69977569580078
2019-07-23,57.105316162109375
2019-07-24,56.68681335449219
2019-07-25,56.40333557128906
