,STLD
2018-05-31,42.82788848876953
2018-06-01,43.29576873779297
2018-06-04,43.148468017578125
2018-06-05,43.43439483642578
2018-06-06,43.98023986816406
2018-06-07,43.55569839477539
2018-06-08,43.962913513183594
2018-06-11,43.46903991699219
2018-06-12,43.131141662597656
2018-06-13,42.61128234863281
2018-06-14,42.4639892578125
2018-06-15,40.514495849609375
2018-06-18,41.13833999633789
2018-06-19,40.27189636230469
2018-06-20,40.67911911010742
2018-06-21,40.297882080078125
2018-06-22,41.50224304199219
2018-06-25,40.306556701660156
2018-06-26,40.63581085205078
2018-06-27,39.63074493408203
2018-06-28,39.9248046875
2018-06-29,39.97699737548828
2018-07-02,40.15971755981445
2018-07-03,39.34189987182617
2018-07-05,40.62081527709961
2018-07-06,40.35982131958008
2018-07-09,40.72521209716797
2018-07-10,41.247222900390625
2018-07-11,40.6643180847168
2018-07-12,40.716514587402344
2018-07-13,41.12541580200195
2018-07-16,40.760013580322266
2018-07-17,40.716514587402344
2018-07-18,41.68223190307617
2018-07-19,40.5947151184082
2018-07-20,40.855716705322266
2018-07-23,41.57783126831055
2018-07-24,42.73494338989258
2018-07-25,43.15254592895508
2018-07-26,42.13463592529297
2018-07-27,41.751834869384766
2018-07-30,41.37773132324219
2018-07-31,40.96882629394531
2018-08-01,39.8639030456543
2018-08-02,38.81989288330078
2018-08-03,38.489288330078125
2018-08-06,38.60239028930664
2018-08-07,39.24618911743164
2018-08-08,39.07219314575195
2018-08-09,38.54149627685547
2018-08-10,37.94118118286133
2018-08-13,38.0020751953125
2018-08-14,37.93247604370117
2018-08-15,37.0102653503418
2018-08-16,37.74978256225586
2018-08-17,38.04557418823242
2018-08-20,39.03739547729492
2018-08-21,39.23749542236328
2018-08-22,39.40279769897461
2018-08-23,38.34138488769531
2018-08-24,38.93299865722656
2018-08-27,39.93351364135742
2018-08-28,39.83779525756836
2018-08-29,40.2815055847168
2018-08-30,39.698612213134766
2018-08-31,39.78560256958008
2018-09-04,39.62900161743164
2018-09-05,40.716514587402344
2018-09-06,41.20370864868164
2018-09-07,40.63821029663086
2018-09-10,40.18580627441406
2018-09-11,40.18580627441406
2018-09-12,40.95143127441406
2018-09-13,40.93401336669922
2018-09-14,40.733917236328125
2018-09-17,41.07320785522461
2018-09-18,40.81221008300781
2018-09-19,41.06451416015625
2018-09-20,40.325016021728516
2018-09-21,39.67250061035156
2018-09-24,39.5419921875
2018-09-25,40.0205078125
2018-09-26,39.655086517333984
2018-09-27,39.775665283203125
2018-09-28,39.478633880615234
2018-10-01,39.91544723510742
2018-10-02,40.194984436035156
2018-10-03,40.343502044677734
2018-10-04,39.96784591674805
2018-10-05,39.67082595825195
2018-10-08,39.43495559692383
2018-10-09,39.164127349853516
2018-10-10,37.879913330078125
2018-10-11,36.980098724365234
