,HRL
2020-01-28,41.69680404663086
2020-01-29,41.93608474731445
2020-01-30,42.432369232177734
2020-01-31,41.882911682128906
2020-02-03,42.033573150634766
2020-02-04,42.13991928100586
2020-02-05,41.99812698364258
2020-02-06,41.55501174926758
2020-02-07,41.73225402832031
2020-02-10,41.94495391845703
2020-02-11,42.077880859375
2020-02-12,42.32602310180664
2020-02-13,42.93752670288086
2020-02-14,43.052730560302734
2020-02-18,42.769142150878906
2020-02-19,42.92865753173828
2020-02-20,40.3497428894043
2020-02-21,39.67621994018555
2020-02-24,39.49897003173828
2020-02-25,39.631919860839844
2020-02-26,38.94065475463867
2020-02-27,37.691078186035156
2020-02-28,36.866886138916016
2020-03-02,38.27598190307617
2020-03-03,38.0987434387207
2020-03-04,39.92436218261719
2020-03-05,38.816585540771484
2020-03-06,38.94951629638672
2020-03-09,38.47096252441406
2020-03-10,38.781131744384766
2020-03-11,37.460662841796875
2020-03-12,35.519832611083984
2020-03-13,37.575870513916016
2020-03-16,37.77970886230469
2020-03-17,43.0084228515625
2020-03-18,42.777992248535156
2020-03-19,41.84747314453125
2020-03-20,39.98639678955078
2020-03-23,37.49611282348633
2020-03-24,39.74711990356445
2020-03-25,37.1682014465332
2020-03-26,39.74711990356445
2020-03-27,39.8445930480957
2020-03-30,41.45752716064453
2020-03-31,41.33345413208008
2020-04-01,41.07645797729492
2020-04-02,42.166507720947266
2020-04-03,42.87548065185547
2020-04-06,43.026145935058594
2020-04-07,42.458961486816406
2020-04-08,41.98040008544922
2020-04-09,42.339317321777344
2020-04-13,41.94744873046875
2020-04-14,43.20319366455078
2020-04-15,43.336788177490234
2020-04-16,44.71722412109375
2020-04-17,44.98440170288086
2020-04-20,44.458946228027344
2020-04-21,43.57725524902344
2020-04-22,43.10523986816406
2020-04-23,42.03651428222656
2020-04-24,41.511051177978516
2020-04-27,41.54667282104492
2020-04-28,42.53524398803711
2020-04-29,42.39274978637695
2020-04-30,41.724796295166016
2020-05-01,41.50215148925781
2020-05-04,41.377464294433594
2020-05-05,41.22605514526367
2020-05-06,41.404178619384766
2020-05-07,41.49323654174805
2020-05-08,42.0721321105957
2020-05-11,42.61540222167969
2020-05-12,42.97163772583008
2020-05-13,43.274444580078125
2020-05-14,42.374942779541016
2020-05-15,42.67774200439453
2020-05-18,42.88257598876953
2020-05-19,42.205726623535156
2020-05-20,42.74008560180664
2020-05-21,40.9766845703125
2020-05-22,41.796051025390625
2020-05-26,40.727317810058594
2020-05-27,41.796051025390625
2020-05-28,42.642120361328125
2020-05-29,43.488197326660156
2020-06-01,43.506004333496094
2020-06-02,43.42585372924805
2020-06-03,42.45509338378906
2020-06-04,42.72227478027344
2020-06-05,42.74898910522461
2020-06-08,42.84696578979492
2020-06-09,42.73118591308594
2020-06-10,42.77571105957031
2020-06-11,41.71590042114258
2020-06-12,41.564483642578125
2020-06-15,41.938541412353516
2020-06-16,42.57086944580078
2020-06-17,42.757896423339844
2020-06-18,42.88257598876953
2020-06-19,43.23882293701172
2020-06-22,43.09633255004883
2020-06-23,42.39274978637695
2020-06-24,42.53524398803711
2020-06-25,43.34568786621094
2020-06-26,42.93601608276367
2020-06-29,43.051795959472656
2020-06-30,42.98944854736328
2020-07-01,42.250247955322266
2020-07-02,42.82024002075195
2020-07-06,42.74008560180664
2020-07-07,42.88257598876953
2020-07-08,42.6688346862793
2020-07-09,41.86729431152344
2020-07-10,43.14093017578125
2020-07-13,43.015625
2020-07-14,43.93751907348633
2020-07-15,43.695858001708984
2020-07-16,44.33133316040039
2020-07-17,44.68040084838867
2020-07-20,44.483497619628906
2020-07-21,44.52824401855469
2020-07-22,44.55509567260742
2020-07-23,45.24427795410156
2020-07-24,44.9936637878418
2020-07-27,45.24427795410156
2020-07-28,45.25323486328125
