,DHR
2015-10-23,38.37236785888672
2015-10-26,38.19047164916992
2015-10-27,37.892818450927734
2015-10-28,38.28142166137695
2015-10-29,38.46331787109375
2015-10-30,38.57493591308594
2015-11-02,39.49269485473633
2015-11-03,39.56298065185547
2015-11-04,39.60846710205078
2015-11-05,39.538169860839844
2015-11-06,39.616722106933594
2015-11-09,39.4348258972168
2015-11-10,39.31494140625
2015-11-11,39.32320785522461
2015-11-12,38.89739990234375
2015-11-13,38.6700325012207
2015-11-16,39.335609436035156
2015-11-17,39.418296813964844
2015-11-18,40.11281204223633
2015-11-19,40.07974624633789
2015-11-20,40.24510192871094
2015-11-23,40.18722915649414
2015-11-24,39.89784622192383
2015-11-25,40.03014373779297
2015-11-27,40.03837966918945
2015-11-30,39.848236083984375
2015-12-01,39.95571517944336
2015-12-02,39.678733825683594
2015-12-03,39.08757400512695
2015-12-04,39.90610885620117
2015-12-07,39.81102752685547
2015-12-08,39.591915130615234
2015-12-09,39.05449295043945
2015-12-10,39.12890625
2015-12-11,38.455055236816406
2015-12-14,38.59974670410156
2015-12-15,38.26487731933594
2015-12-16,38.9139404296875
2015-12-17,38.04246520996094
2015-12-18,37.76922607421875
2015-12-21,38.286720275878906
2015-12-22,38.39435958862305
2015-12-23,38.800086975097656
2015-12-24,38.6676025390625
2015-12-28,38.6717414855957
2015-12-29,38.98638153076172
2015-12-30,38.64690017700195
2015-12-31,38.45232391357422
2016-01-04,37.955528259277344
2016-01-05,38.025901794433594
2016-01-06,37.582923889160156
2016-01-07,36.61830520629883
2016-01-08,36.639007568359375
2016-01-11,36.61830520629883
2016-01-12,36.65970230102539
2016-01-13,35.819278717041016
2016-01-14,36.14634704589844
2016-01-15,35.26865768432617
2016-01-19,35.442543029785156
2016-01-20,35.190006256103516
2016-01-21,34.954017639160156
2016-01-22,35.334903717041016
2016-01-25,34.93332290649414
2016-01-26,35.057533264160156
2016-01-27,34.8795051574707
2016-01-28,34.9705810546875
2016-01-29,35.87309646606445
2016-02-01,35.58744430541992
2016-02-02,34.9291877746582
2016-02-03,35.20655822753906
2016-02-04,35.79030227661133
2016-02-05,35.20655822753906
2016-02-08,34.83396911621094
2016-02-09,35.26865768432617
2016-02-10,35.276947021484375
2016-02-11,34.606258392333984
2016-02-12,35.156883239746094
2016-02-16,35.80686569213867
2016-02-17,36.0469856262207
2016-02-18,35.881378173828125
2016-02-19,35.87309646606445
2016-02-22,36.32850646972656
2016-02-23,36.15048599243164
2016-02-24,36.10080337524414
2016-02-25,36.53963851928711
2016-02-26,36.87498474121094
2016-02-29,36.95778274536133
2016-03-01,37.50840759277344
2016-03-02,37.46286392211914
2016-03-03,37.60362243652344
2016-03-04,37.55393600463867
2016-03-07,37.35936737060547
2016-03-08,36.82530975341797
2016-03-09,36.6265869140625
2016-03-10,36.93294906616211
2016-03-11,37.51253890991211
2016-03-14,37.87272644042969
2016-03-15,37.96793746948242
2016-03-16,37.79407501220703
2016-03-17,38.729698181152344
2016-03-18,39.45005798339844
2016-03-21,39.272037506103516
2016-03-22,39.36742401123047
2016-03-23,39.33009719848633
2016-03-24,39.30522155761719
2016-03-28,39.388160705566406
2016-03-29,39.50428009033203
2016-03-30,39.408897399902344
2016-03-31,39.3383903503418
2016-04-01,39.65771484375
2016-04-04,38.87807846069336
2016-04-05,38.67902374267578
2016-04-06,38.9154052734375
2016-04-07,38.68317413330078
2016-04-08,38.645851135253906
2016-04-11,38.43435287475586
2016-04-12,38.76611328125
2016-04-13,39.08543395996094
2016-04-14,39.00249481201172
2016-04-15,39.03152084350586
2016-04-18,39.13105010986328
2016-04-19,39.325958251953125
2016-04-20,39.36328125
2016-04-21,39.80699920654297
2016-04-22,39.985321044921875
2016-04-25,39.99775695800781
2016-04-26,39.96044158935547
2016-04-27,40.30464553833008
2016-04-28,39.956302642822266
2016-04-29,40.1221809387207
2016-05-02,40.3875846862793
2016-05-03,40.176090240478516
2016-05-04,39.773834228515625
2016-05-05,39.856773376464844
2016-05-06,40.2714729309082
2016-05-09,40.250736236572266
2016-05-10,40.773258209228516
2016-05-11,40.60322570800781
2016-05-12,40.690311431884766
2016-05-13,40.3792839050293
2016-05-16,40.910125732421875
2016-05-17,40.82302474975586
2016-05-18,40.77741622924805
2016-05-19,40.628116607666016
2016-05-20,40.95158004760742
2016-05-23,40.98891067504883
2016-05-24,41.45750045776367
2016-05-25,41.32896041870117
2016-05-26,41.13819122314453
2016-05-27,41.017940521240234
2016-05-31,40.78984069824219
2016-06-01,40.97261047363281
2016-06-02,40.97261047363281
2016-06-03,40.827247619628906
2016-06-06,41.134605407714844
2016-06-07,41.30906295776367
2016-06-08,41.60396957397461
2016-06-09,41.69951629638672
2016-06-10,41.250911712646484
2016-06-13,40.74414825439453
2016-06-14,40.980934143066406
2016-06-15,40.794010162353516
2016-06-16,41.151222229003906
2016-06-17,40.60707473754883
2016-06-20,41.01415252685547
2016-06-21,41.134605407714844
2016-06-22,41.138755798339844
2016-06-23,41.72026443481445
2016-06-24,40.794010162353516
2016-06-27,40.424312591552734
2016-06-28,40.75660705566406
2016-06-29,41.58321762084961
2016-06-30,41.952903747558594
2016-07-01,42.501182556152344
2016-07-05,68.51973724365234
2016-07-06,68.7072525024414
2016-07-07,68.7754135131836
2016-07-08,68.91175079345703
2016-07-11,68.24700164794922
2016-07-12,68.46861267089844
2016-07-13,69.0651626586914
2016-07-14,68.92881774902344
2016-07-15,68.962890625
2016-07-18,68.9799575805664
2016-07-19,68.92881774902344
2016-07-20,69.36345672607422
2016-07-21,69.27822875976562
2016-07-22,69.2356185913086
2016-07-25,69.27822875976562
2016-07-26,69.13335418701172
2016-07-27,68.90324401855469
2016-07-28,69.18447875976562
2016-07-29,69.40607452392578
2016-08-01,69.45719909667969
2016-08-02,68.97142028808594
2016-08-03,69.0140151977539
2016-08-04,69.13335418701172
2016-08-05,69.45719909667969
2016-08-08,69.26969146728516
2016-08-09,69.2015151977539
2016-08-10,69.21855926513672
2016-08-11,69.49130249023438
2016-08-12,69.36345672607422
2016-08-15,69.22708892822266
2016-08-16,68.7754135131836
2016-08-17,69.04814147949219
2016-08-18,68.6561279296875
2016-08-19,68.80951690673828
2016-08-22,68.97142028808594
2016-08-23,69.05664825439453
2016-08-24,68.69869232177734
2016-08-25,68.62200164794922
2016-08-26,69.2015151977539
2016-08-29,69.74694061279297
2016-08-30,69.2015151977539
2016-08-31,69.38050842285156
2016-09-01,69.40607452392578
2016-09-02,69.1929931640625
2016-09-06,67.75271606445312
2016-09-07,67.6249008178711
2016-09-08,67.32659912109375
2016-09-09,65.63917541503906
2016-09-12,66.6533432006836
2016-09-13,65.5028305053711
2016-09-14,65.1534194946289
2016-09-15,65.45169067382812
2016-09-16,65.25567626953125
2016-09-19,65.460205078125
2016-09-20,65.3835220336914
2016-09-21,66.00564575195312
2016-09-22,66.1931381225586
2016-09-23,66.12495422363281
2016-09-26,65.28121948242188
2016-09-27,66.1590576171875
2016-09-28,66.25721740722656
2016-09-29,65.83894348144531
2016-09-30,66.91448211669922
2016-10-03,66.57303619384766
2016-10-04,66.29136657714844
2016-10-05,66.39376831054688
2016-10-06,66.854736328125
2016-10-07,66.79499053955078
2016-10-10,66.76940155029297
2016-10-11,65.16458892822266
2016-10-12,65.5401840209961
2016-10-13,65.05364227294922
2016-10-14,65.01093292236328
2016-10-17,64.75484466552734
2016-10-18,65.24141693115234
2016-10-19,65.86455535888672
2016-10-20,68.44245147705078
2016-10-21,68.43391418457031
2016-10-24,68.53633880615234
2016-10-25,67.23888397216797
2016-10-26,66.35965728759766
2016-10-27,66.86326599121094
2016-10-28,66.7437515258789
2016-10-31,67.05104064941406
2016-11-01,65.75357055664062
2016-11-02,65.50603485107422
2016-11-03,65.33531188964844
2016-11-04,65.67675018310547
2016-11-07,66.75230407714844
2016-11-08,67.37545013427734
2016-11-09,68.48513793945312
2016-11-10,68.49369049072266
2016-11-11,69.0911865234375
2016-11-14,67.52053833007812
2016-11-15,67.9729995727539
2016-11-16,68.46807098388672
2016-11-17,68.26322174072266
2016-11-18,67.42667388916016
2016-11-21,67.62298583984375
2016-11-22,66.94009399414062
2016-11-23,67.57178497314453
2016-11-25,67.91322326660156
2016-11-28,67.46080780029297
2016-11-29,67.54618072509766
2016-11-30,66.72669219970703
2016-12-01,65.74506378173828
2016-12-02,66.0011215209961
2016-12-05,65.8218765258789
2016-12-06,66.0523452758789
2016-12-07,65.70235443115234
2016-12-08,66.35965728759766
2016-12-09,66.66694641113281
2016-12-12,66.43648529052734
2016-12-13,67.64006042480469
2016-12-14,67.18765258789062
2016-12-15,68.05833435058594
2016-12-16,67.62298583984375
2016-12-19,67.102294921875
2016-12-20,67.30716705322266
2016-12-21,66.88887786865234
2016-12-22,66.86326599121094
2016-12-23,67.39251708984375
2016-12-27,67.28153991699219
2016-12-28,66.79849243164062
2016-12-29,66.87544250488281
2016-12-30,66.55055236816406
2017-01-03,67.35420989990234
2017-01-04,67.7817153930664
2017-01-05,68.40583038330078
2017-01-06,68.7649154663086
2017-01-09,68.90171813964844
2017-01-10,69.33773803710938
2017-01-11,69.55148315429688
2017-01-12,69.50017547607422
2017-01-13,69.56004333496094
2017-01-17,69.17530059814453
2017-01-18,69.41468811035156
2017-01-19,68.91026306152344
2017-01-20,68.85041809082031
2017-01-23,68.39727783203125
2017-01-24,68.42292785644531
2017-01-25,69.27789306640625
2017-01-26,69.07268524169922
2017-01-27,69.21805572509766
2017-01-30,68.70507049560547
2017-01-31,71.74874877929688
2017-02-01,71.42386627197266
2017-02-02,71.56065368652344
2017-02-03,71.55210876464844
2017-02-06,70.95359802246094
2017-02-07,71.03057861328125
2017-02-08,70.94506072998047
2017-02-09,71.61196899414062
2017-02-10,71.800048828125
2017-02-13,71.97958374023438
2017-02-14,71.90262603759766
2017-02-15,72.33867645263672
2017-02-16,72.03087615966797
2017-02-17,71.85986328125
2017-02-21,72.45836639404297
2017-02-22,72.50111389160156
2017-02-23,72.78325653076172
2017-02-24,73.59546661376953
2017-02-27,73.63822174072266
2017-02-28,73.14234924316406
2017-03-01,74.60433197021484
2017-03-02,74.05712127685547
2017-03-03,74.23670196533203
2017-03-06,73.60400390625
2017-03-07,73.5869140625
2017-03-08,74.05712127685547
2017-03-09,74.6470718383789
2017-03-10,75.03181457519531
2017-03-13,74.80953216552734
2017-03-14,74.2623519897461
2017-03-15,74.78386688232422
2017-03-16,73.8690414428711
2017-03-17,74.09989929199219
2017-03-20,73.92889404296875
2017-03-21,73.7664566040039
2017-03-22,73.80068969726562
2017-03-23,73.78356170654297
2017-03-24,73.5356216430664
2017-03-27,73.56127166748047
2017-03-28,73.4330062866211
2017-03-29,73.32171630859375
2017-03-30,73.4073486328125
2017-03-31,73.24462890625
2017-04-03,73.20182037353516
2017-04-04,73.02198791503906
2017-04-05,73.45014190673828
2017-04-06,73.75845336914062
2017-04-07,73.70706939697266
2017-04-10,73.74131774902344
2017-04-11,73.82695007324219
2017-04-12,73.43301391601562
2017-04-13,73.45872497558594
2017-04-17,74.24656677246094
2017-04-18,74.10955810546875
2017-04-19,74.02391052246094
2017-04-20,70.98383331298828
2017-04-21,69.96475982666016
2017-04-24,70.61561584472656
2017-04-25,71.3349380493164
2017-04-26,71.0608901977539
2017-04-27,71.00096130371094
2017-04-28,71.36062622070312
2017-05-01,71.1893539428711
2017-05-02,71.07803344726562
2017-05-03,70.91533660888672
2017-05-04,72.00291442871094
2017-05-05,71.81449127197266
2017-05-08,71.41202545166016
2017-05-09,71.22359466552734
2017-05-10,71.25786590576172
2017-05-11,70.8896484375
2017-05-12,70.94100952148438
2017-05-15,71.31780242919922
2017-05-16,71.08657836914062
2017-05-17,70.13603973388672
2017-05-18,70.03327941894531
2017-05-19,70.34156799316406
2017-05-22,71.00096130371094
2017-05-23,71.89158630371094
