,AEP
2016-12-01,43.78841018676758
2016-12-02,44.19498062133789
2016-12-05,44.57141876220703
2016-12-06,44.77470779418945
2016-12-07,45.36195755004883
2016-12-08,45.30925750732422
2016-12-09,45.91910934448242
2016-12-12,46.64188766479492
2016-12-13,47.214080810546875
2016-12-14,46.453651428222656
2016-12-15,46.76234436035156
2016-12-16,47.28937530517578
2016-12-19,47.387264251708984
2016-12-20,47.590538024902344
2016-12-21,47.28184509277344
2016-12-22,47.61311721801758
2016-12-23,47.56040954589844
2016-12-27,47.530303955078125
2016-12-28,46.9731559753418
2016-12-29,47.643226623535156
2016-12-30,47.402313232421875
2017-01-03,47.25172424316406
2017-01-04,47.31949234008789
2017-01-05,47.575469970703125
2017-01-06,47.5378303527832
2017-01-09,46.912933349609375
2017-01-10,46.76988220214844
2017-01-11,47.56793975830078
2017-01-12,47.65077209472656
2017-01-13,47.6055908203125
2017-01-17,48.04227066040039
2017-01-18,47.77875900268555
2017-01-19,47.206546783447266
2017-01-20,47.36466979980469
2017-01-23,47.214080810546875
2017-01-24,47.266780853271484
2017-01-25,47.078556060791016
2017-01-26,47.1613883972168
2017-01-27,47.40983581542969
2017-01-30,47.590538024902344
2017-01-31,48.230499267578125
2017-02-01,47.50019073486328
2017-02-02,48.019676208496094
2017-02-03,48.20790481567383
2017-02-06,48.04978942871094
2017-02-07,48.132625579833984
2017-02-08,48.48217010498047
2017-02-09,48.19340896606445
2017-02-10,48.596168518066406
2017-02-13,48.474578857421875
2017-02-14,48.07941818237305
2017-02-15,48.094627380371094
2017-02-16,48.40618133544922
2017-02-17,48.71774673461914
2017-02-21,49.211692810058594
2017-02-22,49.629638671875
2017-02-23,50.16157150268555
2017-02-24,51.02786636352539
2017-02-27,50.685909271240234
2017-02-28,50.891075134277344
2017-03-01,50.24516677856445
2017-03-02,50.53392791748047
2017-03-03,50.549129486083984
2017-03-06,50.41993713378906
2017-03-07,50.336360931396484
2017-03-08,49.508052825927734
2017-03-09,49.27248001098633
2017-03-10,49.69803237915039
2017-03-13,50.009586334228516
2017-03-14,49.9943962097168
2017-03-15,50.670711517333984
2017-03-16,50.16157150268555
2017-03-17,50.51113510131836
2017-03-20,50.25275421142578
2017-03-21,50.898677825927734
2017-03-22,51.248252868652344
2017-03-23,51.25584411621094
2017-03-24,51.51420974731445
2017-03-27,51.43822479248047
2017-03-28,51.55221939086914
2017-03-29,51.210262298583984
2017-03-30,51.03547668457031
2017-03-31,51.012672424316406
2017-04-03,51.02786636352539
2017-04-04,51.13426208496094
2017-04-05,51.544612884521484
2017-04-06,51.385032653808594
2017-04-07,51.15705108642578
2017-04-10,51.29384231567383
2017-04-11,51.210262298583984
2017-04-12,51.51420974731445
2017-04-13,51.3242301940918
2017-04-17,51.47622299194336
2017-04-18,51.658592224121094
2017-04-19,51.47622299194336
2017-04-20,51.248252868652344
2017-04-21,51.567405700683594
2017-04-24,51.6509895324707
2017-04-25,51.567405700683594
2017-04-26,51.43822479248047
2017-04-27,51.749786376953125
2017-04-28,51.544612884521484
2017-05-01,51.27104187011719
2017-05-02,51.6814079284668
2017-05-03,51.59780502319336
2017-05-04,51.68898391723633
2017-05-05,51.9853630065918
2017-05-08,51.9163703918457
2017-05-09,51.594425201416016
2017-05-10,51.671085357666016
2017-05-11,51.77840805053711
2017-05-12,52.16932678222656
2017-05-15,52.55258560180664
2017-05-16,52.01601791381836
2017-05-17,52.23831558227539
2017-05-18,52.36094284057617
2017-05-19,52.67522430419922
2017-05-22,53.21178436279297
2017-05-23,53.342098236083984
2017-05-24,53.80967712402344
2017-05-25,54.269596099853516
2017-05-26,54.3232421875
2017-05-30,54.58384323120117
2017-05-31,55.02077102661133
2017-06-01,55.35036087036133
2017-06-02,55.702972412109375
2017-06-05,55.496028900146484
2017-06-06,55.28905487060547
2017-06-07,55.66465759277344
2017-06-08,55.15108108520508
2017-06-09,55.082096099853516
2017-06-12,54.73716735839844
2017-06-13,54.92112731933594
2017-06-14,55.15874099731445
2017-06-15,55.29671859741211
2017-06-16,55.5113525390625
2017-06-19,55.23540496826172
2017-06-20,55.618656158447266
2017-06-21,55.496028900146484
2017-06-22,55.02845764160156
2017-06-23,54.8444938659668
2017-06-26,55.089778900146484
2017-06-27,54.208274841308594
2017-06-28,53.77133560180664
2017-06-29,53.34975814819336
2017-06-30,53.2501220703125
2017-07-03,52.88984680175781
2017-07-05,52.75187301635742
2017-07-06,52.905174255371094
2017-07-07,53.00482177734375
2017-07-10,52.805538177490234
2017-07-11,52.76719665527344
2017-07-12,52.88218688964844
2017-07-13,52.33795928955078
2017-07-14,52.25363540649414
2017-07-17,52.544921875
2017-07-18,52.3992805480957
2017-07-19,52.62157440185547
2017-07-20,52.659889221191406
2017-07-21,53.64104461669922
2017-07-24,53.035491943359375
2017-07-25,52.76719665527344
2017-07-26,53.234798431396484
2017-07-27,54.169925689697266
2017-07-28,53.985984802246094
2017-07-31,54.070281982421875
2017-08-01,54.131614685058594
2017-08-02,54.369239807128906
2017-08-03,54.576194763183594
2017-08-04,54.33092498779297
2017-08-07,54.721839904785156
2017-08-08,55.146934509277344
2017-08-09,54.84550857543945
2017-08-10,55.1546516418457
2017-08-11,54.536338806152344
2017-08-14,54.91507339477539
2017-08-15,55.2783203125
2017-08-16,55.6647834777832
2017-08-17,55.64931106567383
2017-08-18,55.772987365722656
2017-08-21,56.16716003417969
2017-08-22,56.2753791809082
2017-08-23,56.66183090209961
2017-08-24,56.72366714477539
2017-08-25,56.86279296875
2017-08-28,57.27241516113281
2017-08-29,57.14875793457031
2017-08-30,57.00190734863281
2017-08-31,56.90917205810547
2017-09-01,56.83960723876953
2017-09-05,57.26469421386719
2017-09-06,56.65409851074219
2017-09-07,57.063743591308594
2017-09-08,57.341983795166016
2017-09-11,57.62022018432617
2017-09-12,56.507240295410156
2017-09-13,56.105350494384766
2017-09-14,56.344940185546875
2017-09-15,56.445411682128906
2017-09-18,55.85799026489258
2017-09-19,55.63385009765625
2017-09-20,55.40199661254883
2017-09-21,55.22421646118164
2017-09-22,54.544063568115234
2017-09-25,54.90732192993164
2017-09-26,55.02327346801758
2017-09-27,54.34311294555664
2017-09-28,54.489959716796875
2017-09-29,54.28901290893555
2017-10-02,54.43585968017578
2017-10-03,54.3276481628418
2017-10-04,55.2783203125
2017-10-05,55.25514221191406
2017-10-06,55.286041259765625
2017-10-09,55.448360443115234
2017-10-10,55.95075607299805
2017-10-11,56.236732482910156
2017-10-12,56.68500900268555
2017-10-13,56.5458984375
2017-10-16,56.514957427978516
2017-10-17,56.57678985595703
2017-10-18,56.42996597290039
2017-10-19,57.063743591308594
2017-10-20,57.1796760559082
2017-10-23,57.133304595947266
2017-10-24,57.17194747924805
2017-10-25,56.870506286621094
2017-10-26,57.0096435546875
2017-10-27,57.210575103759766
2017-10-30,57.3265266418457
2017-10-31,57.512020111083984
2017-11-01,57.202880859375
2017-11-02,56.978729248046875
2017-11-03,57.256980895996094
2017-11-06,56.9864616394043
2017-11-07,58.114891052246094
2017-11-08,58.369956970214844
2017-11-09,58.82973098754883
2017-11-10,58.276424407958984
2017-11-13,59.328495025634766
2017-11-14,60.3104248046875
2017-11-15,59.68698501586914
2017-11-16,59.81946563720703
2017-11-17,59.52333450317383
2017-11-20,59.57008743286133
2017-11-21,59.8272590637207
2017-11-22,59.68698501586914
2017-11-24,59.593475341796875
2017-11-27,59.80388259887695
2017-11-28,60.0220947265625
2017-11-29,60.11558151245117
2017-11-30,60.497459411621094
2017-12-01,60.19350814819336
2017-12-04,60.3104248046875
2017-12-05,59.437591552734375
2017-12-06,59.79608154296875
2017-12-07,59.70256805419922
2017-12-08,59.95195007324219
2017-12-11,60.06885528564453
2017-12-12,59.242774963378906
2017-12-13,59.624656677246094
2017-12-14,59.45319747924805
2017-12-15,59.648014068603516
2017-12-18,58.8375358581543
2017-12-19,58.0660285949707
2017-12-20,58.0582275390625
2017-12-21,57.46596145629883
2017-12-22,57.39582061767578
2017-12-26,56.8814811706543
2017-12-27,57.0763053894043
2017-12-28,57.39582061767578
2017-12-29,57.33348846435547
2018-01-02,56.42948913574219
2018-01-03,55.9541015625
2018-01-04,55.29168701171875
2018-01-05,55.1748161315918
2018-01-08,55.65797805786133
2018-01-09,55.00337600708008
2018-01-10,54.16172790527344
2018-01-11,53.56163787841797
2018-01-12,52.571922302246094
2018-01-16,52.60308837890625
2018-01-17,53.18756866455078
2018-01-18,52.836891174316406
2018-01-19,52.80570983886719
2018-01-22,53.094058990478516
2018-01-23,53.59281921386719
2018-01-24,53.366825103759766
2018-01-25,54.317562103271484
2018-01-26,53.57722854614258
2018-01-29,52.91482162475586
2018-01-30,53.26549530029297
2018-01-31,53.60062026977539
2018-02-01,52.86806869506836
2018-02-02,52.797935485839844
2018-02-05,51.80820083618164
2018-02-06,50.58470153808594
2018-02-07,50.22621154785156
2018-02-08,49.87211227416992
2018-02-09,50.9265251159668
2018-02-12,50.98948669433594
2018-02-13,51.60325241088867
2018-02-14,51.38291931152344
2018-02-15,52.46880340576172
2018-02-16,52.925201416015625
2018-02-20,52.22487258911133
2018-02-21,51.60325241088867
2018-02-22,51.68193435668945
2018-02-23,53.011756896972656
2018-02-26,52.69699478149414
2018-02-27,51.89437484741211
2018-02-28,51.60325241088867
2018-03-01,51.63472366333008
2018-03-02,51.28849792480469
2018-03-05,52.31929397583008
2018-03-06,51.5402946472168
2018-03-07,51.08390426635742
2018-03-08,51.38291931152344
2018-03-09,51.658329010009766
2018-03-12,51.8314323425293
2018-03-13,51.9652099609375
2018-03-14,52.39799118041992
2018-03-15,52.71273422241211
2018-03-16,53.357975006103516
2018-03-19,53.0746955871582
2018-03-20,53.0746955871582
2018-03-21,52.6497802734375
2018-03-22,53.003883361816406
2018-03-23,52.2406120300293
2018-03-26,52.964542388916016
2018-03-27,53.8458366394043
2018-03-28,54.026832580566406
2018-03-29,53.97174072265625
2018-04-02,53.72781753540039
2018-04-03,53.86157989501953
2018-04-04,54.0346794128418
2018-04-05,54.24714660644531
2018-04-06,53.924530029296875
2018-04-09,54.066162109375
2018-04-10,53.405181884765625
2018-04-11,53.34224319458008
2018-04-12,52.43733596801758
2018-04-13,52.988128662109375
2018-04-16,53.719940185546875
2018-04-17,54.1842041015625
2018-04-18,54.0818977355957
2018-04-19,53.91665267944336
2018-04-20,53.86944580078125
2018-04-23,53.85369873046875
2018-04-24,54.199928283691406
2018-04-25,54.365169525146484
2018-04-26,54.90024948120117
2018-04-27,55.51402282714844
2018-04-30,55.06549835205078
2018-05-01,54.64057922363281
2018-05-02,54.44386672973633
2018-05-03,54.48319625854492
2018-05-04,54.60124206542969
2018-05-07,54.121253967285156
2018-05-08,52.917335510253906
2018-05-09,52.63142395019531
2018-05-10,53.22705841064453
2018-05-11,53.33826446533203
2018-05-14,53.298553466796875
2018-05-15,53.06028366088867
2018-05-16,52.53611373901367
2018-05-17,51.797508239746094
2018-05-18,51.56719207763672
2018-05-21,51.694271087646484
2018-05-22,51.97224044799805
2018-05-23,52.79025650024414
2018-05-24,53.084102630615234
2018-05-25,53.385902404785156
2018-05-29,53.70357131958008
2018-05-30,54.00537872314453
2018-05-31,53.96566390991211
2018-06-01,52.957035064697266
2018-06-04,52.456695556640625
2018-06-05,51.85310363769531
2018-06-06,50.67769241333008
2018-06-07,50.947715759277344
2018-06-08,50.91595458984375
2018-06-11,49.978797912597656
2018-06-12,50.48708724975586
2018-06-13,50.39971923828125
2018-06-14,51.32099151611328
2018-06-15,51.66249465942383
2018-06-18,51.98811721801758
2018-06-19,53.10793685913086
2018-06-20,53.13176345825195
2018-06-21,53.58444595336914
2018-06-22,53.48915100097656
2018-06-25,54.82339859008789
2018-06-26,55.03783416748047
2018-06-27,55.47463607788086
2018-06-28,55.06959915161133
2018-06-29,54.99811935424805
2018-07-02,55.63347625732422
2018-07-03,55.990882873535156
2018-07-05,56.49122619628906
2018-07-06,56.83271408081055
2018-07-09,54.696327209472656
2018-07-10,55.41904830932617
2018-07-11,56.18941879272461
2018-07-12,55.89555740356445
2018-07-13,55.87173843383789
2018-07-16,55.927330017089844
2018-07-17,55.94321823120117
2018-07-18,55.78438186645508
2018-07-19,56.1020622253418
2018-07-20,55.919410705566406
2018-07-23,55.14902114868164
2018-07-24,54.84722900390625
2018-07-25,55.10136795043945
2018-07-26,56.41973876953125
2018-07-27,56.4991569519043
2018-07-30,55.91143798828125
2018-07-31,56.4991569519043
2018-08-01,55.8320426940918
2018-08-02,55.98291778564453
2018-08-03,56.53092956542969
2018-08-06,56.602394104003906
2018-08-07,56.57857894897461
2018-08-08,56.332374572753906
2018-08-09,56.86918640136719
2018-08-10,56.7650260925293
2018-08-13,56.83713150024414
2018-08-14,56.90122604370117
2018-08-15,57.50211715698242
2018-08-16,57.958805084228516
2018-08-17,58.08700942993164
2018-08-20,57.830623626708984
2018-08-21,57.40597915649414
2018-08-22,56.676883697509766
2018-08-23,57.17363739013672
2018-08-24,57.32585525512695
2018-08-27,57.013404846191406
2018-08-28,56.973323822021484
2018-08-29,57.446048736572266
2018-08-30,57.5341682434082
2018-08-31,57.47007751464844
2018-09-04,57.89471435546875
2018-09-05,58.67989730834961
2018-09-06,58.75200653076172
2018-09-07,58.23120880126953
2018-09-10,58.80808639526367
2018-09-11,58.471595764160156
2018-09-12,58.09502029418945
2018-09-13,58.46355438232422
2018-09-14,58.16712188720703
2018-09-17,58.327369689941406
2018-09-18,58.030914306640625
2018-09-19,56.86918640136719
2018-09-20,56.94929885864258
2018-09-21,57.205692291259766
2018-09-24,56.59677505493164
2018-09-25,55.9317626953125
2018-09-26,55.25876998901367
2018-09-27,55.89171600341797
2018-09-28,56.7890625
2018-10-01,56.805084228515625
2018-10-02,57.1656379699707
2018-10-03,56.26027297973633
2018-10-04,56.53266906738281
2018-10-05,57.582244873046875
2018-10-08,58.36741638183594
2018-10-09,58.52766418457031
2018-10-10,58.24723434448242
2018-10-11,57.06147003173828
2018-10-12,56.805084228515625
2018-10-15,56.90122604370117
2018-10-16,57.446048736572266
2018-10-17,57.462066650390625
2018-10-18,57.430015563964844
2018-10-19,58.69590377807617
2018-10-22,58.60778045654297
2018-10-23,58.84013366699219
2018-10-24,60.53866958618164
2018-10-25,58.92022705078125
2018-10-26,58.279293060302734
2018-10-29,59.32084655761719
2018-10-30,59.52116012573242
2018-10-31,58.77604293823242
2018-11-01,58.46355438232422
2018-11-02,58.239227294921875
2018-11-05,58.888214111328125
2018-11-06,59.649314880371094
2018-11-07,60.19415283203125
2018-11-08,59.959720611572266
2018-11-09,60.889400482177734
2018-11-12,61.60078048706055
2018-11-13,61.78672790527344
2018-11-14,61.544189453125
2018-11-15,62.0777587890625
2018-11-16,62.26369094848633
2018-11-19,62.59511947631836
2018-11-20,62.910423278808594
2018-11-21,61.156166076660156
2018-11-23,61.325923919677734
2018-11-26,61.40677261352539
2018-11-27,61.907989501953125
2018-11-28,61.61695861816406
2018-11-29,61.72205352783203
2018-11-30,62.84571838378906
2018-12-03,63.30653381347656
2018-12-04,63.39544677734375
2018-12-06,63.670326232910156
2018-12-07,64.12303161621094
2018-12-10,64.15535736083984
2018-12-11,64.47872161865234
2018-12-12,64.28469848632812
2018-12-13,64.96378326416016
2018-12-14,64.68084716796875
2018-12-17,62.51429748535156
2018-12-18,62.45771789550781
2018-12-19,62.13433837890625
2018-12-20,62.74873352050781
2018-12-21,61.78672790527344
2018-12-24,59.45851135253906
2018-12-26,60.113311767578125
2018-12-27,60.66304397583008
2018-12-28,60.41243362426758
2018-12-31,60.420501708984375
2019-01-02,58.965389251708984
2019-01-03,58.82794189453125
2019-01-04,59.36958694458008
2019-01-07,59.038124084472656
