,EFX
2018-11-28,100.59434509277344
2018-11-29,97.77892303466797
2018-11-30,97.65526580810547
2018-12-03,97.95013427734375
2018-12-04,94.43086242675781
2018-12-06,95.42005920410156
2018-12-07,94.50694274902344
2018-12-10,93.63186645507812
2018-12-11,92.30023193359375
2018-12-12,93.26094818115234
2018-12-13,92.37635803222656
2018-12-14,92.43341827392578
2018-12-17,92.49048614501953
2018-12-18,90.47404479980469
2018-12-19,89.62751007080078
2018-12-20,86.82160186767578
2018-12-21,86.55526733398438
2018-12-24,85.60411071777344
2018-12-26,88.17223358154297
2018-12-27,89.53239440917969
2018-12-28,88.3244400024414
2018-12-31,88.58123779296875
2019-01-02,88.49563598632812
2019-01-03,86.87867736816406
2019-01-04,89.64653778076172
2019-01-07,89.10436248779297
2019-01-08,89.77967071533203
2019-01-09,91.31106567382812
2019-01-10,91.93883514404297
2019-01-11,91.92931365966797
2019-01-14,91.4727554321289
2019-01-15,92.65217590332031
2019-01-16,93.60335540771484
2019-01-17,96.11441802978516
2019-01-18,99.14859771728516
2019-01-22,98.55888366699219
2019-01-23,98.93933868408203
2019-01-24,98.74909973144531
2019-01-25,100.47069549560547
2019-01-28,100.07121276855469
2019-01-29,99.7858657836914
2019-01-30,100.72750854492188
2019-01-31,101.79280853271484
2019-02-01,102.66789245605469
2019-02-04,102.50617218017578
2019-02-05,102.51568603515625
2019-02-06,101.84036254882812
2019-02-07,101.39329528808594
2019-02-08,101.6596450805664
2019-02-11,102.01155853271484
2019-02-12,103.12442779541016
2019-02-13,103.20053100585938
2019-02-14,103.60951232910156
2019-02-15,103.97095489501953
2019-02-19,103.98046875
2019-02-20,102.84858703613281
2019-02-21,105.09331512451172
2019-02-22,105.35015106201172
2019-02-25,104.99820709228516
2019-02-26,105.53087615966797
2019-02-27,103.4288101196289
2019-02-28,104.16120147705078
2019-03-01,105.06478881835938
2019-03-04,104.83650970458984
2019-03-05,104.54165649414062
2019-03-06,104.03753662109375
2019-03-07,103.4002685546875
2019-03-08,103.22904205322266
2019-03-11,105.04275512695312
2019-03-12,106.04509735107422
2019-03-13,106.50330352783203
2019-03-14,105.31005859375
2019-03-15,105.97826385498047
2019-03-18,107.59154510498047
2019-03-19,108.27882385253906
2019-03-20,107.34331512451172
2019-03-21,109.77753448486328
2019-03-22,107.75379943847656
2019-03-25,107.2669677734375
2019-03-26,108.21200561523438
2019-03-27,109.70116424560547
2019-03-28,111.4767074584961
2019-03-29,113.11857604980469
2019-04-01,114.09225463867188
2019-04-02,114.77001953125
2019-04-03,116.7842025756836
2019-04-04,117.51922607421875
2019-04-05,118.15879821777344
2019-04-08,117.67196655273438
2019-04-09,116.95599365234375
2019-04-10,117.52877044677734
2019-04-11,118.82701110839844
2019-04-12,119.38066864013672
2019-04-15,120.44026947021484
2019-04-16,120.5357437133789
