,APTV
2018-10-22,73.31099700927734
2018-10-23,75.33425903320312
2018-10-24,71.92926025390625
2018-10-25,73.16295623779297
2018-10-26,72.76817321777344
2018-10-29,75.22570037841797
2018-10-30,73.20243072509766
2018-10-31,75.7981185913086
2018-11-01,76.42977905273438
2018-11-02,78.42342376708984
2018-11-05,75.10725402832031
2018-11-06,75.37374114990234
2018-11-07,77.3279037475586
2018-11-08,76.66664123535156
2018-11-09,74.6335220336914
2018-11-12,73.52812957763672
2018-11-13,74.0216064453125
2018-11-14,74.0216064453125
2018-11-15,74.16964721679688
2018-11-16,73.2123031616211
2018-11-19,71.297607421875
2018-11-20,70.13300323486328
2018-11-21,72.34378814697266
2018-11-23,72.03783416748047
2018-11-26,73.46891784667969
2018-11-27,70.16260528564453
2018-11-28,71.60357666015625
2018-11-29,70.56727600097656
2018-11-30,70.96205139160156
2018-12-03,73.73539733886719
2018-12-04,70.64622497558594
2018-12-06,68.95852661132812
2018-12-07,66.21479797363281
2018-12-10,64.4777603149414
2018-12-11,65.88910675048828
2018-12-12,66.49114227294922
2018-12-13,65.82003021240234
2018-12-14,65.08966064453125
2018-12-17,63.599369049072266
2018-12-18,62.56306838989258
2018-12-19,61.191192626953125
2018-12-20,61.54650115966797
2018-12-21,60.63850021362305
2018-12-24,59.29624557495117
2018-12-26,60.93458938598633
2018-12-27,61.15171813964844
2018-12-28,60.579288482666016
2018-12-31,60.76680374145508
2019-01-02,60.3522834777832
2019-01-03,59.63180923461914
2019-01-04,61.803104400634766
2019-01-07,62.74071502685547
2019-01-08,66.13584899902344
2019-01-09,68.6328353881836
2019-01-10,69.3138427734375
2019-01-11,68.5242691040039
2019-01-14,69.4520034790039
2019-01-15,68.9091796875
2019-01-16,69.4322738647461
2019-01-17,70.21196746826172
2019-01-18,71.9786148071289
2019-01-22,70.7844009399414
2019-01-23,69.33357238769531
2019-01-24,70.88309478759766
2019-01-25,72.04769134521484
2019-01-28,72.07730102539062
2019-01-29,71.4851303100586
2019-01-30,72.827392578125
2019-01-31,78.09772491455078
2019-02-01,77.00220489501953
2019-02-04,77.56477355957031
2019-02-05,77.85179901123047
2019-02-06,77.47570037841797
2019-02-07,75.4368667602539
2019-02-08,74.91231536865234
2019-02-11,75.27851104736328
2019-02-12,76.3672103881836
2019-02-13,78.70294952392578
2019-02-14,78.83161926269531
2019-02-15,80.1182632446289
2019-02-19,80.46466827392578
2019-02-20,80.8704605102539
2019-02-21,80.2865219116211
2019-02-22,81.51377868652344
2019-02-25,82.19669342041016
2019-02-26,81.91956329345703
2019-02-27,82.45401763916016
2019-02-28,82.2560806274414
2019-03-01,83.4041519165039
2019-03-04,83.08744049072266
2019-03-05,83.12702941894531
2019-03-06,81.61275482177734
2019-03-07,81.2960433959961
2019-03-08,80.94963836669922
2019-03-11,81.73152160644531
2019-03-12,81.62265014648438
2019-03-13,81.50387573242188
2019-03-14,80.2667236328125
2019-03-15,81.11788940429688
2019-03-18,80.1677474975586
2019-03-19,81.95915222167969
2019-03-20,79.6036148071289
2019-03-21,80.06877899169922
2019-03-22,76.81258392333984
2019-03-25,77.21836853027344
2019-03-26,78.16851043701172
2019-03-27,76.91155242919922
2019-03-28,78.00025177001953
2019-03-29,78.67326354980469
2019-04-01,81.73152160644531
2019-04-02,82.07791900634766
2019-04-03,84.10686492919922
2019-04-04,85.5518569946289
2019-04-05,86.04672241210938
2019-04-08,87.58079528808594
