,ETN
2017-05-09,65.31245422363281
2017-05-10,65.59322357177734
2017-05-11,65.54216766357422
2017-05-12,65.24441528320312
2017-05-15,65.49114227294922
2017-05-16,65.72087097167969
2017-05-17,64.81892395019531
2017-05-18,64.72534942626953
2017-05-19,66.37604522705078
2017-05-22,66.11227416992188
2017-05-23,66.06973266601562
2017-05-24,66.00164794921875
2017-05-25,65.7804183959961
2017-05-26,65.99313354492188
2017-05-30,66.12928009033203
2017-05-31,65.83999633789062
2017-06-01,66.43558502197266
2017-06-02,66.26544952392578
2017-06-05,65.32095336914062
2017-06-06,64.94658660888672
2017-06-07,63.772396087646484
2017-06-08,64.21484375
2017-06-09,64.44457244873047
2017-06-12,64.47007751464844
2017-06-13,64.75939178466797
2017-06-14,64.10423278808594
2017-06-15,64.78490447998047
2017-06-16,65.34647369384766
2017-06-19,66.42707824707031
2017-06-20,65.56769561767578
2017-06-21,64.59772491455078
2017-06-22,64.47007751464844
2017-06-23,65.41455078125
2017-06-26,65.32095336914062
2017-06-27,65.03165435791016
2017-06-28,65.89103698730469
2017-06-29,65.20185852050781
2017-06-30,66.2228775024414
2017-07-03,66.66532135009766
2017-07-05,66.90357208251953
2017-07-06,66.83551025390625
2017-07-07,67.5246810913086
2017-07-10,68.40960693359375
2017-07-11,68.4521484375
2017-07-12,68.50320434570312
2017-07-13,68.34152221679688
2017-07-14,68.58829498291016
2017-07-17,68.24793243408203
2017-07-18,68.26496887207031
2017-07-19,68.39256286621094
2017-07-20,67.69489288330078
2017-07-21,67.19287109375
2017-07-24,66.92060852050781
2017-07-25,67.49918365478516
2017-07-26,67.21839141845703
2017-07-27,66.7844467163086
2017-07-28,66.73341369628906
2017-07-31,66.58023834228516
2017-08-01,63.185279846191406
2017-08-02,63.562713623046875
2017-08-03,63.14238739013672
2017-08-04,63.93157958984375
2017-08-07,63.46835708618164
2017-08-08,62.610565185546875
2017-08-09,62.739219665527344
2017-08-10,61.46111297607422
2017-08-11,61.31529998779297
2017-08-14,62.17308044433594
2017-08-15,62.02725601196289
2017-08-16,62.33605194091797
2017-08-17,61.52117156982422
2017-08-18,61.075111389160156
2017-08-21,61.02363204956055
2017-08-22,61.675567626953125
2017-08-23,61.08367919921875
2017-08-24,60.594749450683594
2017-08-25,60.64621353149414
2017-08-28,60.423194885253906
2017-08-29,60.491790771484375
2017-08-30,60.94643783569336
2017-08-31,61.555477142333984
2017-09-01,61.4439582824707
2017-09-05,60.98931884765625
2017-09-06,61.18663024902344
2017-09-07,61.17803192138672
2017-09-08,61.881439208984375
2017-09-11,62.91936492919922
2017-09-12,63.99162673950195
2017-09-13,64.27466583251953
2017-09-14,64.86656188964844
2017-09-15,65.9731216430664
2017-09-18,66.82234191894531
2017-09-19,66.07606506347656
2017-09-20,66.7108383178711
2017-09-21,66.95960998535156
2017-09-22,66.99391174316406
2017-09-25,66.52212524414062
2017-09-26,66.14468383789062
2017-09-27,66.15325164794922
2017-09-28,65.26972961425781
2017-09-29,65.87017059326172
2017-10-02,66.51353454589844
2017-10-03,66.43633270263672
2017-10-04,66.95960998535156
2017-10-05,66.7365493774414
2017-10-06,66.69367218017578
2017-10-09,66.63362884521484
2017-10-10,66.8909683227539
2017-10-11,67.36275482177734
2017-10-12,67.52574157714844
2017-10-13,67.36275482177734
2017-10-16,67.96321868896484
2017-10-17,66.9681625366211
2017-10-18,66.88238525390625
2017-10-19,66.92527770996094
2017-10-20,67.70586395263672
2017-10-23,67.31987762451172
2017-10-24,68.26344299316406
2017-10-25,67.74877166748047
2017-10-26,68.19483184814453
2017-10-27,68.42643737792969
2017-10-30,67.96321868896484
2017-10-31,68.64087677001953
2017-11-01,69.91897583007812
2017-11-02,68.59681701660156
2017-11-03,67.49071502685547
2017-11-06,67.67218780517578
2017-11-07,67.98329162597656
2017-11-08,68.31167602539062
2017-11-09,67.2833023071289
2017-11-10,67.33514404296875
2017-11-13,67.3524398803711
2017-11-14,66.44508361816406
2017-11-15,65.56363677978516
2017-11-16,66.05620574951172
2017-11-17,65.36488342285156
2017-11-20,65.40809631347656
2017-11-21,65.93522644042969
2017-11-22,65.86608123779297
2017-11-24,65.60686492919922
2017-11-27,65.26982879638672
2017-11-28,66.4105224609375
2017-11-29,66.4018783569336
2017-11-30,67.21416473388672
2017-12-01,67.14502716064453
2017-12-04,66.03028869628906
2017-12-05,64.76860809326172
2017-12-06,65.49449920654297
2017-12-07,66.76480865478516
2017-12-08,66.79074096679688
2017-12-11,67.20552825927734
2017-12-12,67.1968765258789
2017-12-13,67.0326919555664
2017-12-14,66.05620574951172
2017-12-15,66.79074096679688
2017-12-18,66.59196472167969
2017-12-19,66.41914367675781
2017-12-20,66.66976928710938
2017-12-21,67.49071502685547
2017-12-22,66.98085021972656
2017-12-26,66.81665802001953
2017-12-27,66.903076171875
2017-12-28,67.54254150390625
2017-12-29,68.2770767211914
2018-01-02,68.14747619628906
2018-01-03,70.5498046875
2018-01-04,69.7979965209961
2018-01-05,70.33380126953125
2018-01-08,70.8868637084961
2018-01-09,70.84363555908203
2018-01-10,71.26707458496094
2018-01-11,72.5805892944336
2018-01-12,72.7966537475586
2018-01-16,72.02754211425781
2018-01-17,72.24358367919922
2018-01-18,72.20901489257812
2018-01-19,72.54602813720703
2018-01-22,72.90032958984375
2018-01-23,73.55709075927734
2018-01-24,73.02129364013672
2018-01-25,73.64350891113281
2018-01-26,74.74098205566406
2018-01-29,73.96324157714844
2018-01-30,73.22869873046875
2018-01-31,72.56330871582031
2018-02-01,75.92489624023438
2018-02-02,73.53116607666016
2018-02-05,70.49797821044922
2018-02-06,71.44853210449219
2018-02-07,70.53251647949219
2018-02-08,68.62275695800781
2018-02-09,69.7979965209961
2018-02-12,70.87818145751953
2018-02-13,70.71401977539062
2018-02-14,71.4399185180664
2018-02-15,71.51769256591797
2018-02-16,71.5436019897461
2018-02-20,70.61031341552734
2018-02-21,70.48066711425781
2018-02-22,70.7572021484375
2018-02-23,71.0510482788086
2018-02-26,71.10286712646484
2018-02-27,70.82634735107422
2018-02-28,69.73751068115234
2018-03-01,68.77828979492188
2018-03-02,68.87338256835938
2018-03-05,69.32273864746094
2018-03-06,69.94493103027344
2018-03-07,70.02268981933594
2018-03-08,70.11774444580078
2018-03-09,72.43522644042969
2018-03-12,71.03254699707031
2018-03-13,70.81473541259766
2018-03-14,69.77794647216797
2018-03-15,69.93478393554688
2018-03-16,70.55338287353516
2018-03-19,70.10029602050781
2018-03-20,70.71018981933594
2018-03-21,70.98900604248047
2018-03-22,69.20294189453125
2018-03-23,68.11387634277344
2018-03-26,70.6579360961914
2018-03-27,69.4468765258789
2018-03-28,68.87186431884766
2018-03-29,69.62112426757812
2018-04-02,67.68696594238281
2018-04-03,67.83506774902344
2018-04-04,68.46238708496094
2018-04-05,69.04610443115234
2018-04-06,66.18843841552734
2018-04-09,66.15359497070312
2018-04-10,67.59984588623047
2018-04-11,67.23391723632812
2018-04-12,67.46916198730469
