,NI
2016-03-31,17.73724937438965
2016-04-01,17.932992935180664
2016-04-04,17.767358779907227
2016-04-05,17.496337890625
2016-04-06,17.64690399169922
2016-04-07,17.63184928894043
2016-04-08,17.729724884033203
2016-04-11,17.669496536254883
2016-04-12,17.789953231811523
2016-04-13,17.616792678833008
2016-04-14,17.639379501342773
2016-04-15,17.827592849731445
2016-04-18,17.932992935180664
2016-04-19,18.05345344543457
2016-04-20,17.36835479736328
2016-04-21,16.660669326782227
2016-04-22,16.751008987426758
2016-04-25,16.811241149902344
2016-04-26,16.7811279296875
2016-04-27,17.05025863647461
2016-04-28,17.095746994018555
2016-04-29,17.21704864501953
2016-05-02,17.40658187866211
2016-05-03,17.520294189453125
2016-05-04,17.83871078491211
2016-05-05,17.80079460144043
2016-05-06,17.747737884521484
2016-05-09,17.89177894592285
2016-05-10,17.83871078491211
2016-05-11,18.035825729370117
2016-05-12,18.16469955444336
2016-05-13,18.286008834838867
2016-05-16,18.422468185424805
2016-05-17,18.119218826293945
2016-05-18,17.778064727783203
2016-05-19,17.831132888793945
2016-05-20,18.05856704711914
2016-05-23,17.95242691040039
2016-05-24,18.248098373413086
2016-05-25,18.157121658325195
2016-05-26,18.22535514831543
2016-05-27,18.286008834838867
2016-05-31,18.088891983032227
2016-06-01,18.217777252197266
2016-06-02,18.18744659423828
2016-06-03,18.54376792907715
2016-06-06,18.521018981933594
2016-06-07,18.528608322143555
2016-06-08,18.68023681640625
2016-06-09,18.96831703186035
2016-06-10,18.877342224121094
2016-06-13,18.922826766967773
2016-06-14,19.112361907958984
2016-06-15,19.089622497558594
2016-06-16,19.218496322631836
2016-06-17,19.150272369384766
2016-06-20,19.021385192871094
2016-06-21,19.180585861206055
2016-06-22,19.14268684387207
2016-06-23,19.089622497558594
2016-06-24,19.188175201416016
2016-06-27,19.256404876708984
2016-06-28,19.400447845458984
2016-06-29,19.605146408081055
2016-06-30,20.105510711669922
2016-07-01,20.211645126342773
2016-07-05,20.295040130615234
2016-07-06,20.20406150817871
2016-07-07,19.741607666015625
2016-07-08,19.80983543395996
2016-07-11,19.76435661315918
2016-07-12,19.605146408081055
2016-07-13,19.756772994995117
2016-07-14,19.718860626220703
2016-07-15,19.787090301513672
2016-07-18,19.80983543395996
2016-07-19,19.749187469482422
2016-07-20,19.61272621154785
2016-07-21,19.6582088470459
2016-07-22,19.908395767211914
2016-07-25,19.749187469482422
2016-07-26,19.53691291809082
2016-07-27,19.426279067993164
2016-07-28,19.647550582885742
2016-07-29,19.578882217407227
2016-08-01,19.693330764770508
2016-08-02,19.792524337768555
2016-08-03,19.334714889526367
2016-08-04,19.357608795166016
2016-08-05,18.960838317871094
2016-08-08,18.93031883239746
2016-08-09,18.99135971069336
2016-08-10,19.082923889160156
2016-08-11,19.09054946899414
2016-08-12,19.082923889160156
2016-08-15,18.731935501098633
2016-08-16,18.55644416809082
2016-08-17,18.861648559570312
2016-08-18,19.06766128540039
2016-08-19,18.78534698486328
2016-08-22,18.937950134277344
2016-08-23,18.84638786315918
2016-08-24,18.892168045043945
2016-08-25,18.838760375976562
2016-08-26,18.45725440979004
2016-08-29,18.503036499023438
2016-08-30,18.20545768737793
2016-08-31,18.266498565673828
2016-09-01,18.182565689086914
2016-09-02,18.411474227905273
2016-09-06,18.63274383544922
2016-09-07,18.602224349975586
2016-09-08,18.609851837158203
2016-09-09,17.831581115722656
2016-09-12,18.083375930786133
2016-09-13,17.72475814819336
2016-09-14,17.869731903076172
2016-09-15,18.045225143432617
2016-09-16,18.403844833374023
2016-09-19,18.640369415283203
2016-09-20,18.77008819580078
2016-09-21,19.365232467651367
2016-09-22,19.28130340576172
2016-09-23,19.159221649169922
2016-09-26,19.151592254638672
2016-09-27,18.838760375976562
2016-09-28,18.808238983154297
2016-09-29,18.472511291503906
2016-09-30,18.396207809448242
2016-10-03,18.022336959838867
2016-10-04,17.534006118774414
2016-10-05,17.434818267822266
2016-10-06,17.427188873291016
2016-10-07,17.251691818237305
2016-10-10,17.4805965423584
2016-10-11,17.076200485229492
2016-10-12,17.312734603881836
2016-10-13,17.47297477722168
2016-10-14,17.30510139465332
2016-10-17,17.4805965423584
2016-10-18,17.59504508972168
2016-10-19,17.427188873291016
2016-10-20,17.389039993286133
2016-10-21,17.251691818237305
2016-10-24,17.190650939941406
2016-10-25,17.411928176879883
2016-10-26,17.32799530029297
2016-10-27,17.278038024902344
2016-10-28,17.316465377807617
2016-10-31,17.877544403076172
2016-11-01,17.170434951782227
2016-11-02,16.978288650512695
2016-11-03,17.016708374023438
2016-11-04,16.847623825073242
2016-11-07,17.147380828857422
2016-11-08,17.354894638061523
2016-11-09,17.108945846557617
2016-11-10,16.54787254333496
2016-11-11,16.455642700195312
2016-11-14,16.5709285736084
2016-11-15,16.839941024780273
2016-11-16,16.716960906982422
2016-11-17,16.609359741210938
2016-11-18,16.68621253967285
2016-11-21,16.82455825805664
2016-11-22,16.778451919555664
2016-11-23,16.632415771484375
2016-11-25,17.016708374023438
2016-11-28,17.07051658630371
2016-11-29,17.193492889404297
2016-11-30,16.862995147705078
2016-12-01,16.68621253967285
2016-12-02,16.670846939086914
2016-12-05,16.632415771484375
2016-12-06,16.501760482788086
2016-12-07,16.57861328125
2016-12-08,16.68621253967285
