,DHI
2015-10-13,27.53191375732422
2015-10-14,26.509193420410156
2015-10-15,27.079376220703125
2015-10-16,27.18798065185547
2015-10-19,27.486648559570312
2015-10-20,28.16545295715332
2015-10-21,28.355512619018555
2015-10-22,28.011587142944336
2015-10-23,28.174501419067383
2015-10-26,27.984432220458984
2015-10-27,27.206087112426758
2015-10-28,27.53191375732422
2015-10-29,26.409635543823242
2015-10-30,26.64495086669922
2015-11-02,27.016027450561523
2015-11-03,27.1246337890625
2015-11-04,26.97077178955078
2015-11-05,26.608749389648438
2015-11-06,26.608749389648438
2015-11-09,26.038557052612305
2015-11-10,28.192598342895508
2015-11-11,28.98000717163086
2015-11-12,28.047794342041016
2015-11-13,27.75817108154297
2015-11-16,28.40981674194336
2015-11-17,28.337411880493164
2015-11-18,28.8442440032959
2015-11-19,29.016210556030273
2015-11-20,29.170066833496094
2015-11-23,29.197208404541016
2015-11-24,29.631643295288086
2015-11-25,29.704225540161133
2015-11-27,29.7314395904541
2015-11-30,29.31409454345703
2015-12-01,29.967336654663086
2015-12-02,29.31409454345703
2015-12-03,28.724365234375
2015-12-04,29.931041717529297
2015-12-07,29.867536544799805
2015-12-08,29.468339920043945
2015-12-09,28.887680053710938
2015-12-10,29.350391387939453
2015-12-11,28.987483978271484
2015-12-14,28.261655807495117
2015-12-15,28.542911529541016
2015-12-16,29.26873016357422
2015-12-17,28.59734344482422
2015-12-18,27.89874839782715
2015-12-21,28.49754524230957
2015-12-22,28.92397117614746
2015-12-23,29.150789260864258
2015-12-24,29.17800521850586
2015-12-28,29.295955657958984
2015-12-29,29.58628273010254
2015-12-30,29.432035446166992
2015-12-31,29.06005859375
2016-01-04,27.57213020324707
2016-01-05,27.599348068237305
2016-01-06,26.909812927246094
2016-01-07,25.884592056274414
2016-01-08,24.786792755126953
2016-01-11,25.131553649902344
2016-01-12,25.585189819335938
2016-01-13,24.71420669555664
2016-01-14,24.423877716064453
2016-01-15,24.178913116455078
2016-01-19,24.432950973510742
2016-01-20,24.015605926513672
2016-01-21,24.178913116455078
2016-01-22,25.140626907348633
2016-01-25,23.95209503173828
2016-01-26,24.804931640625
2016-01-27,24.333154678344727
2016-01-28,24.29686164855957
2016-01-29,24.959177017211914
2016-02-01,24.523685455322266
2016-02-02,23.75249671936035
2016-02-03,23.415769577026367
2016-02-04,23.36116600036621
2016-02-05,22.241806030273438
2016-02-08,21.368146896362305
2016-02-09,21.877771377563477
2016-02-10,22.26910400390625
2016-02-11,21.140628814697266
2016-02-12,22.032489776611328
2016-02-16,22.551218032836914
2016-02-17,22.52391815185547
2016-02-18,22.369211196899414
2016-02-19,22.76053237915039
2016-02-22,23.752492904663086
2016-02-23,23.943599700927734
2016-02-24,24.098316192626953
2016-02-25,24.77175521850586
2016-02-26,24.72625732421875
2016-02-29,24.316734313964844
2016-03-01,25.181283950805664
2016-03-02,25.527111053466797
2016-03-03,26.0549373626709
2016-03-04,25.845623016357422
2016-03-07,25.61811065673828
2016-03-08,25.199481964111328
2016-03-09,25.536203384399414
2016-03-10,25.581708908081055
2016-03-11,26.901290893554688
2016-03-14,26.837587356567383
2016-03-15,26.691978454589844
2016-03-16,27.183406829833984
2016-03-17,27.410924911499023
2016-03-18,27.492830276489258
2016-03-21,27.228906631469727
2016-03-22,27.10150718688965
2016-03-23,26.71017837524414
2016-03-24,26.75568389892578
2016-03-28,27.137910842895508
2016-03-29,27.95695686340332
2016-03-30,27.45642852783203
2016-03-31,27.511024475097656
2016-04-01,27.66573715209961
2016-04-04,27.265316009521484
2016-04-05,27.028697967529297
2016-04-06,27.729440689086914
2016-04-07,27.529233932495117
2016-04-08,27.75674819946289
2016-04-11,27.60204315185547
2016-04-12,27.947851181030273
2016-04-13,28.757814407348633
2016-04-14,28.5757999420166
2016-04-15,28.548492431640625
2016-04-18,28.5757999420166
2016-04-19,28.466594696044922
2016-04-20,28.59400177001953
2016-04-21,28.921621322631836
2016-04-22,28.33917999267578
2016-04-25,28.32097816467285
2016-04-26,28.58489418029785
2016-04-27,28.666805267333984
2016-04-28,27.62933921813965
2016-04-29,27.356321334838867
2016-05-02,27.87505531311035
2016-05-03,27.29261589050293
2016-05-04,27.10150718688965
2016-05-05,26.946794509887695
2016-05-06,26.883089065551758
2016-05-09,26.93769645690918
2016-05-10,27.056001663208008
2016-05-11,26.572370529174805
2016-05-12,26.59975242614746
2016-05-13,26.55412483215332
2016-05-16,26.79137420654297
2016-05-17,26.873502731323242
2016-05-18,26.81874656677246
2016-05-19,26.68187141418457
2016-05-20,27.110755920410156
2016-05-23,26.68187141418457
2016-05-24,27.81338119506836
2016-05-25,27.877262115478516
2016-05-26,27.91376304626465
2016-05-27,27.904638290405273
2016-05-31,27.88639259338379
2016-06-01,28.17839241027832
2016-06-02,28.342649459838867
2016-06-03,28.27876853942871
2016-06-06,28.242271423339844
2016-06-07,28.826278686523438
2016-06-08,29.200407028198242
2016-06-09,28.954030990600586
2016-06-10,28.415645599365234
2016-06-13,27.8955135345459
2016-06-14,27.713010787963867
2016-06-15,28.032394409179688
2016-06-16,27.868141174316406
2016-06-17,28.196640014648438
2016-06-20,28.36089324951172
2016-06-21,28.297021865844727
2016-06-22,28.096269607543945
2016-06-23,28.55252456665039
2016-06-24,27.703887939453125
2016-06-27,26.90087890625
2016-06-28,27.594385147094727
2016-06-29,28.2696475982666
2016-06-30,28.725902557373047
2016-07-01,29.063528060913086
2016-07-05,28.99053192138672
2016-07-06,29.848289489746094
2016-07-07,29.957801818847656
2016-07-08,30.86118507385254
2016-07-11,30.89767837524414
2016-07-12,30.86118507385254
2016-07-13,30.934181213378906
2016-07-14,31.025434494018555
2016-07-15,30.842933654785156
2016-07-18,30.979808807373047
2016-07-19,31.08930206298828
2016-07-20,31.39955711364746
2016-07-21,31.29006004333496
2016-07-22,30.988929748535156
2016-07-25,30.797298431396484
2016-07-26,30.961565017700195
2016-07-27,30.833812713623047
2016-07-28,30.78818130493164
2016-07-29,30.00341796875
2016-08-01,29.97603988647461
2016-08-02,29.282535552978516
2016-08-03,29.46503257751465
2016-08-04,29.33696937561035
2016-08-05,29.547361373901367
2016-08-08,29.37355613708496
2016-08-09,29.51992416381836
2016-08-10,29.419292449951172
2016-08-11,29.593101501464844
2016-08-12,29.419292449951172
2016-08-15,29.69373321533203
2016-08-16,29.593101501464844
2016-08-17,29.318666458129883
2016-08-18,29.318666458129883
2016-08-19,29.163156509399414
2016-08-22,29.33696937561035
2016-08-23,30.178564071655273
2016-08-24,29.885835647583008
2016-08-25,29.8492374420166
2016-08-26,29.21804428100586
2016-08-29,29.12656593322754
2016-08-30,29.35525894165039
2016-08-31,29.32781219482422
2016-09-01,28.87042808532715
2016-09-02,28.916168212890625
2016-09-06,28.76979637145996
2016-09-07,29.291223526000977
2016-09-08,28.852134704589844
2016-09-09,27.644624710083008
2016-09-12,27.964799880981445
2016-09-13,27.470813751220703
2016-09-14,27.544002532958984
2016-09-15,27.87331199645996
2016-09-16,27.41592788696289
2016-09-19,27.864166259765625
2016-09-20,27.388486862182617
2016-09-21,27.681211471557617
2016-09-22,28.00139045715332
2016-09-23,27.60803985595703
2016-09-26,27.37018585205078
2016-09-27,27.461668014526367
2016-09-28,27.736099243164062
2016-09-29,27.571441650390625
2016-09-30,27.62632942199707
2016-10-03,27.516557693481445
2016-10-04,27.351896286010742
2016-10-05,27.516557693481445
2016-10-06,27.699512481689453
2016-10-07,27.077457427978516
2016-10-10,27.09575843811035
2016-10-11,26.7115535736084
2016-10-12,26.958539962768555
2016-10-13,26.418813705444336
2016-10-14,26.418813705444336
2016-10-17,26.34563636779785
2016-10-18,26.894508361816406
2016-10-19,27.196380615234375
2016-10-20,26.867063522338867
2016-10-21,26.601774215698242
2016-10-24,26.793880462646484
2016-10-25,26.35478401184082
2016-10-26,26.144384384155273
2016-10-27,25.668697357177734
2016-10-28,26.19927215576172
2016-10-31,26.37308120727539
2016-11-01,26.21756935119629
2016-11-02,26.171831130981445
2016-11-03,25.879104614257812
2016-11-04,26.299894332885742
2016-11-07,26.867063522338867
2016-11-08,25.403419494628906
2016-11-09,25.193017959594727
2016-11-10,25.174724578857422
2016-11-11,25.000905990600586
2016-11-14,25.586374282836914
2016-11-15,25.89739227294922
2016-11-16,25.42170524597168
2016-11-17,26.135236740112305
2016-11-18,26.107797622680664
2016-11-21,26.446266174316406
2016-11-22,26.2724552154541
2016-11-23,26.446868896484375
2016-11-25,26.511125564575195
2016-11-28,26.153112411499023
2016-11-29,26.474407196044922
