,EBAY
2015-01-27,20.798006057739258
2015-01-28,20.47476577758789
2015-01-29,20.52039909362793
2015-01-30,20.15532112121582
2015-02-02,20.425325393676758
2015-02-03,20.630680084228516
2015-02-04,20.425325393676758
2015-02-05,20.64589500427246
2015-02-06,20.725753784179688
2015-02-09,20.661104202270508
2015-02-10,21.018579483032227
2015-02-11,20.969139099121094
2015-02-12,20.81702423095703
2015-02-13,21.47492218017578
2015-02-17,21.455907821655273
2015-02-18,21.638444900512695
2015-02-19,21.923664093017578
2015-02-20,22.064367294311523
2015-02-23,22.0833797454834
2015-02-24,22.208877563476562
2015-02-25,22.189870834350586
2015-02-26,22.262121200561523
2015-02-27,22.022541046142578
2015-03-02,22.20127296447754
2015-03-03,22.155641555786133
2015-03-04,22.17465591430664
2015-03-05,22.46747589111328
2015-03-06,22.767906188964844
2015-03-09,23.125377655029297
2015-03-10,22.516916275024414
2015-03-11,22.695655822753906
2015-03-12,22.592975616455078
2015-03-13,22.463674545288086
2015-03-16,22.653820037841797
2015-03-17,22.62339973449707
2015-03-18,22.22028923034668
2015-03-19,22.011127471923828
2015-03-20,22.030147552490234
2015-03-23,22.292545318603516
2015-03-24,22.631000518798828
2015-03-25,22.07958221435547
2015-03-26,21.874225616455078
2015-03-27,21.916059494018555
2015-03-30,22.030147552490234
2015-03-31,21.93507194519043
2015-04-01,21.725914001464844
2015-04-02,21.64225196838379
2015-04-06,21.608028411865234
2015-04-07,21.70690155029297
2015-04-08,21.718307495117188
2015-04-09,21.680278778076172
2015-04-10,21.805774688720703
2015-04-13,21.653656005859375
2015-04-14,21.657461166381836
2015-04-15,21.68408203125
2015-04-16,21.691692352294922
2015-04-17,21.216325759887695
2015-04-20,21.32280158996582
2015-04-21,21.455907821655273
2015-04-22,21.58139419555664
2015-04-23,22.395217895507812
2015-04-24,22.513111114501953
2015-04-27,22.471281051635742
2015-04-28,22.619596481323242
2015-04-29,22.391416549682617
2015-04-30,22.155641555786133
2015-05-01,22.551137924194336
2015-05-04,22.478885650634766
2015-05-05,22.033954620361328
2015-05-06,21.862821578979492
2015-05-07,22.041549682617188
2015-05-08,22.368602752685547
2015-05-11,22.18606185913086
2015-05-12,22.17085075378418
2015-05-13,22.36479949951172
2015-05-14,22.855369567871094
2015-05-15,22.592975616455078
2015-05-18,22.611989974975586
2015-05-19,22.532129287719727
2015-05-20,22.494094848632812
2015-05-21,22.718467712402344
2015-05-22,22.710859298706055
2015-05-26,22.334375381469727
2015-05-27,22.581565856933594
2015-05-28,23.030303955078125
2015-05-29,23.334537506103516
2015-06-01,23.79088592529297
2015-06-02,23.577922821044922
2015-06-03,23.581724166870117
2015-06-04,23.764263153076172
2015-06-05,24.045671463012695
2015-06-08,23.140586853027344
2015-06-09,22.9732608795166
2015-06-10,22.996082305908203
2015-06-11,22.988473892211914
2015-06-12,22.824947357177734
2015-06-15,22.81734275817871
2015-06-16,23.01509666442871
2015-06-17,23.02650260925293
2015-06-18,23.079744338989258
2015-06-19,23.26228141784668
2015-06-22,23.482847213745117
2015-06-23,23.55130386352539
2015-06-24,23.429607391357422
2015-06-25,23.425806045532227
2015-06-26,23.212841033935547
2015-06-29,22.577756881713867
2015-06-30,22.908611297607422
2015-07-01,22.98086166381836
2015-07-02,23.5208740234375
2015-07-06,23.486652374267578
2015-07-07,23.570314407348633
2015-07-08,23.193828582763672
2015-07-09,23.49045753479004
2015-07-10,23.718629837036133
2015-07-13,24.136951446533203
2015-07-14,24.18258285522461
2015-07-15,24.125539779663086
2015-07-16,24.943153381347656
2015-07-17,25.2093563079834
2015-07-20,25.814899444580078
2015-07-21,25.842012405395508
2015-07-22,25.706472396850586
2015-07-23,25.68840217590332
2015-07-24,25.507694244384766
2015-07-27,25.29987144470215
2015-07-28,25.598045349121094
2015-07-29,25.97754669189453
2015-07-30,25.63418960571289
2015-07-31,25.408300399780273
2015-08-03,25.598045349121094
2015-08-04,25.670331954956055
2015-08-05,25.805866241455078
2015-08-06,25.444435119628906
2015-08-07,25.796833038330078
2015-08-10,25.896223068237305
2015-08-11,25.426368713378906
2015-08-12,25.30890464782715
2015-08-13,25.29083251953125
2015-08-14,25.534801483154297
2015-08-17,25.56190299987793
2015-08-18,25.09205436706543
2015-08-19,24.784839630126953
2015-08-20,23.96259307861328
2015-08-21,23.2849178314209
2015-08-24,22.52591896057129
2015-08-25,22.79698944091797
2015-08-26,23.646347045898438
2015-08-27,24.48666000366211
2015-08-28,24.622194290161133
2015-08-31,24.495695114135742
2015-09-01,23.92644500732422
2015-09-02,24.278841018676758
2015-09-03,24.43244743347168
2015-09-04,23.92644500732422
2015-09-08,23.818021774291992
2015-09-09,23.67345428466797
2015-09-10,23.628271102905273
2015-09-11,23.781877517700195
2015-09-14,23.266847610473633
2015-09-15,23.47466468811035
2015-09-16,24.161373138427734
2015-09-17,23.7367000579834
2015-09-18,23.51080894470215
2015-09-21,23.420454025268555
2015-09-22,23.140348434448242
2015-09-23,23.122272491455078
2015-09-24,23.140348434448242
2015-09-25,22.887348175048828
2015-09-28,21.812103271484375
2015-09-29,21.757884979248047
2015-09-30,22.083175659179688
2015-10-01,22.507843017578125
2015-10-02,23.06805992126465
2015-10-05,23.257808685302734
2015-10-06,23.203594207763672
2015-10-07,23.203594207763672
2015-10-08,21.82114028930664
2015-10-09,21.956674575805664
2015-10-12,22.19159698486328
2015-10-13,22.24581527709961
2015-10-14,21.68560028076172
2015-10-15,22.146421432495117
2015-10-16,22.18256187438965
2015-10-19,22.19159698486328
2015-10-20,22.06509780883789
2015-10-21,21.875349044799805
2015-10-22,24.92037582397461
2015-10-23,25.444435119628906
2015-10-26,25.453479766845703
2015-10-27,25.63418960571289
2015-10-28,25.5257625579834
2015-10-29,25.462512969970703
2015-10-30,25.209516525268555
2015-11-02,25.751651763916016
2015-11-03,26.113080978393555
2015-11-04,26.474504470825195
2015-11-05,26.474504470825195
2015-11-06,26.564865112304688
2015-11-09,26.366079330444336
2015-11-10,26.32993507385254
2015-11-11,26.158260345458984
2015-11-12,25.805866241455078
2015-11-13,25.47154426574707
2015-11-16,25.73358154296875
2015-11-17,25.706472396850586
2015-11-18,25.97754669189453
2015-11-19,25.995616912841797
2015-11-20,26.257652282714844
2015-11-23,26.05886459350586
2015-11-24,26.203439712524414
2015-11-25,26.203439712524414
2015-11-27,26.293792724609375
2015-11-30,26.73654556274414
2015-12-01,26.248615264892578
2015-12-02,26.17633056640625
2015-12-03,25.83297348022461
2015-12-04,26.51968765258789
2015-12-07,26.248615264892578
2015-12-08,26.01368522644043
2015-12-09,25.60707664489746
2015-12-10,25.814899444580078
2015-12-11,25.27276039123535
2015-12-14,25.336013793945312
2015-12-15,25.579971313476562
2015-12-16,25.814899444580078
2015-12-17,25.345046997070312
2015-12-18,24.811946868896484
2015-12-21,24.929405212402344
2015-12-22,25.200477600097656
2015-12-23,25.101089477539062
2015-12-24,24.992658615112305
2015-12-28,24.974590301513672
2015-12-29,25.218549728393555
2015-12-30,25.0739803314209
2015-12-31,24.830018997192383
2016-01-04,23.881271362304688
2016-01-05,23.60116958618164
2016-01-06,23.863201141357422
2016-01-07,23.21263313293457
2016-01-08,23.266847610473633
2016-01-11,23.583087921142578
2016-01-12,23.682483673095703
2016-01-13,22.959630966186523
2016-01-14,23.36623764038086
2016-01-15,22.824098587036133
2016-01-19,23.2849178314209
2016-01-20,23.33009147644043
2016-01-21,23.57405662536621
2016-01-22,23.881271362304688
2016-01-25,23.619234085083008
2016-01-26,24.080055236816406
2016-01-27,23.872236251831055
2016-01-28,20.89949607849121
2016-01-29,21.197669982910156
2016-02-01,21.63138771057129
2016-02-02,21.0440673828125
2016-02-03,21.233816146850586
2016-02-04,21.224781036376953
2016-02-05,20.962749481201172
2016-02-08,20.312177658081055
2016-02-09,19.887502670288086
2016-02-10,20.167606353759766
2016-02-11,19.950754165649414
2016-02-12,20.321216583251953
2016-02-16,20.736862182617188
2016-02-17,20.980819702148438
2016-02-18,21.26092529296875
2016-02-19,21.5139217376709
2016-02-22,21.902456283569336
2016-02-23,21.34224510192871
2016-02-24,21.649459838867188
2016-02-25,21.848241806030273
2016-02-26,21.848241806030273
2016-02-29,21.50489044189453
2016-03-01,21.9114933013916
2016-03-02,21.432605743408203
2016-03-03,21.63138771057129
2016-03-04,22.056068420410156
