,DRI
2019-11-19,98.79048156738281
2019-11-20,99.88729095458984
2019-11-21,98.79048156738281
2019-11-22,99.81763458251953
2019-11-25,100.67938995361328
2019-11-26,102.01122283935547
2019-11-27,102.24625396728516
2019-11-29,103.09934997558594
2019-12-02,103.86534881591797
2019-12-03,103.12545013427734
2019-12-04,102.67279815673828
2019-12-05,103.1428451538086
2019-12-06,104.30928802490234
2019-12-09,102.8033676147461
2019-12-10,103.22119903564453
2019-12-11,102.22886657714844
2019-12-12,101.21039581298828
2019-12-13,100.60977172851562
2019-12-16,100.99276733398438
2019-12-17,100.98409271240234
2019-12-18,101.24520874023438
2019-12-19,94.90812683105469
2019-12-20,95.96141052246094
2019-12-23,94.62088012695312
2019-12-24,94.44676208496094
2019-12-26,94.80369567871094
2019-12-27,94.020263671875
2019-12-30,94.84722137451172
2019-12-31,94.89073944091797
2020-01-02,97.71977996826172
2020-01-03,97.8242416381836
2020-01-06,98.46839141845703
2020-01-07,97.62403106689453
2020-01-08,99.10384368896484
2020-01-09,100.34954833984375
2020-01-10,100.48991394042969
2020-01-13,99.34947967529297
2020-01-14,98.43711853027344
2020-01-15,97.63004302978516
2020-01-16,99.13893127441406
2020-01-17,99.5863265991211
2020-01-21,100.48991394042969
2020-01-22,100.86714172363281
2020-01-23,103.1830825805664
2020-01-24,102.71812438964844
2020-01-27,102.09529113769531
2020-01-28,103.0339584350586
2020-01-29,104.57792663574219
2020-01-30,103.70067596435547
2020-01-31,102.13914489746094
2020-02-03,100.81449127197266
2020-02-04,101.37593078613281
2020-02-05,103.06028747558594
2020-02-06,106.58685302734375
2020-02-07,105.89380645751953
2020-02-10,106.84126281738281
2020-02-11,107.22724914550781
2020-02-12,107.42024230957031
2020-02-13,107.26233673095703
2020-02-14,106.7710952758789
2020-02-18,105.70082092285156
2020-02-19,105.86750030517578
2020-02-20,105.86750030517578
2020-02-21,106.23594665527344
2020-02-24,103.41993713378906
2020-02-25,98.03357696533203
2020-02-26,93.92800903320312
2020-02-27,87.16436004638672
2020-02-28,85.53265380859375
2020-03-02,86.67310333251953
2020-03-03,83.6114501953125
2020-03-04,83.39214324951172
2020-03-05,77.15483093261719
2020-03-06,77.33031463623047
2020-03-09,67.92609405517578
2020-03-10,72.46150207519531
2020-03-11,61.592281341552734
2020-03-12,51.907352447509766
2020-03-13,57.302494049072266
2020-03-16,43.16986846923828
2020-03-17,36.78343200683594
2020-03-18,29.967130661010742
2020-03-19,37.213287353515625
2020-03-20,34.21306228637695
2020-03-23,35.993896484375
2020-03-24,47.27543640136719
2020-03-25,51.275733947753906
2020-03-26,53.12675476074219
2020-03-27,47.950923919677734
2020-03-30,49.87211990356445
2020-03-31,47.775474548339844
2020-04-01,40.371421813964844
2020-04-02,38.871299743652344
2020-04-03,39.8976936340332
2020-04-06,45.968318939208984
2020-04-07,51.72312927246094
2020-04-08,55.76728820800781
2020-04-09,56.442779541015625
2020-04-13,53.41624069213867
2020-04-14,53.64433288574219
2020-04-15,51.573997497558594
2020-04-16,50.86341094970703
2020-04-17,55.57429122924805
2020-04-20,54.20577621459961
2020-04-21,55.547977447509766
2020-04-22,59.9167366027832
2020-04-23,58.66225051879883
2020-04-24,60.372894287109375
2020-04-27,63.51348876953125
2020-04-28,65.618896484375
2020-04-29,68.61035919189453
2020-04-30,64.73287200927734
2020-05-01,61.2764778137207
2020-05-04,61.951961517333984
2020-05-05,60.52201843261719
2020-05-06,59.8377799987793
2020-05-07,61.87299346923828
2020-05-08,65.54872131347656
2020-05-11,64.85568237304688
2020-05-12,61.68878936767578
2020-05-13,57.79375076293945
2020-05-14,58.4780158996582
2020-05-15,61.06593322753906
2020-05-18,66.18913269042969
2020-05-19,66.51371765136719
2020-05-20,68.70684051513672
2020-05-21,67.74187469482422
2020-05-22,66.34700775146484
2020-05-26,68.83843231201172
2020-05-27,71.54915618896484
2020-05-28,69.74201202392578
2020-05-29,67.42606353759766
2020-06-01,68.69805145263672
2020-06-02,68.53141021728516
2020-06-03,75.3827896118164
2020-06-04,75.4792709350586
2020-06-05,75.08451843261719
2020-06-08,74.3388442993164
2020-06-09,70.96139526367188
2020-06-10,68.22434997558594
2020-06-11,63.978424072265625
2020-06-12,66.61898040771484
2020-06-15,67.1102294921875
2020-06-16,67.29446411132812
2020-06-17,65.08377838134766
2020-06-18,65.03113555908203
2020-06-19,61.6449089050293
2020-06-22,62.59236145019531
2020-06-23,66.10137939453125
2020-06-24,62.11863708496094
2020-06-25,65.43467712402344
2020-06-26,63.995967864990234
2020-06-29,67.22428894042969
2020-06-30,66.46983337402344
2020-07-01,66.76811981201172
2020-07-02,65.60134887695312
2020-07-06,65.78558349609375
2020-07-07,63.329261779785156
2020-07-08,64.14509582519531
2020-07-09,62.583580017089844
2020-07-10,63.24152755737305
2020-07-13,63.95210647583008
2020-07-14,63.978424072265625
2020-07-15,69.40864562988281
2020-07-16,67.27691650390625
2020-07-17,67.99626922607422
2020-07-20,65.17150115966797
2020-07-21,66.23298645019531
2020-07-22,67.89099884033203
2020-07-23,66.82073974609375
2020-07-24,68.98757934570312
2020-07-27,66.99620056152344
2020-07-28,66.53125
2020-07-29,69.16302490234375
2020-07-30,68.90863037109375
2020-07-31,66.58386993408203
2020-08-03,65.34693908691406
2020-08-04,67.09268188476562
2020-08-05,66.45230102539062
2020-08-06,67.10147094726562
2020-08-07,69.35600280761719
2020-08-10,71.52284240722656
2020-08-11,73.81248474121094
2020-08-12,74.2160415649414
2020-08-13,74.17217254638672
2020-08-14,73.75109100341797
2020-08-17,73.60194396972656
2020-08-18,72.66327667236328
2020-08-19,70.06659698486328
2020-08-20,70.97895812988281
