,PG
2018-08-27,71.10610961914062
2018-08-28,71.14021301269531
2018-08-29,71.14872741699219
2018-08-30,71.08055114746094
2018-08-31,70.68854522705078
2018-09-04,70.47549438476562
2018-09-05,70.97830200195312
2018-09-06,70.43291473388672
2018-09-07,69.8022689819336
2018-09-10,70.20278930664062
2018-09-11,69.88753509521484
2018-09-12,70.82489776611328
2018-09-13,71.1146469116211
2018-09-14,71.25098419189453
2018-09-17,71.79639434814453
2018-09-18,71.58334350585938
2018-09-19,71.58334350585938
2018-09-20,72.74231719970703
2018-09-21,73.13432312011719
2018-09-24,71.81341552734375
2018-09-25,70.83340454101562
2018-09-26,70.95274353027344
2018-09-27,70.61185455322266
2018-09-28,70.92716979980469
2018-10-01,71.30210876464844
2018-10-02,71.89010620117188
2018-10-03,70.75672912597656
2018-10-04,69.810791015625
2018-10-05,70.00680541992188
2018-10-08,70.2198486328125
2018-10-09,70.04940795898438
2018-10-10,69.4017562866211
2018-10-11,67.2116470336914
2018-10-12,67.37357330322266
2018-10-15,68.285400390625
2018-10-16,69.0353012084961
2018-10-17,69.75967407226562
2018-10-18,68.98333740234375
2018-10-19,75.05291748046875
2018-10-22,74.45110321044922
2018-10-23,74.93257141113281
2018-10-24,76.90990447998047
2018-10-25,76.5144271850586
2018-10-26,75.53437042236328
2018-10-29,75.86103820800781
2018-10-30,76.67778015136719
2018-10-31,76.23931884765625
2018-11-01,77.02165222167969
2018-11-02,77.21080017089844
2018-11-05,78.40579986572266
2018-11-06,78.67230987548828
2018-11-07,78.48316955566406
2018-11-08,78.54334259033203
2018-11-09,79.44606018066406
2018-11-12,79.69536590576172
2018-11-13,80.35736083984375
2018-11-14,80.37454223632812
2018-11-15,80.66685485839844
2018-11-16,80.65823364257812
2018-11-19,80.20259857177734
2018-11-20,79.17953491210938
2018-11-21,78.5863265991211
2018-11-23,78.69808197021484
2018-11-26,79.04200744628906
2018-11-27,79.71256256103516
2018-11-28,79.9618911743164
2018-11-29,79.79853057861328
2018-11-30,81.25144958496094
2018-12-03,80.2283935546875
2018-12-04,80.21979522705078
2018-12-06,80.42611694335938
2018-12-07,79.4804458618164
2018-12-10,79.97905731201172
2018-12-11,80.73561096191406
2018-12-12,80.83879089355469
2018-12-13,82.95368194580078
2018-12-14,83.0826416015625
2018-12-17,79.75553894042969
2018-12-18,79.51484680175781
2018-12-19,78.88723754882812
2018-12-20,78.21665954589844
2018-12-21,78.20807647705078
2018-12-24,75.1044921875
2018-12-26,77.45153045654297
2018-12-27,79.11076354980469
2018-12-28,78.38861846923828
2018-12-31,79.02478790283203
2019-01-02,78.47457885742188
2019-01-03,77.9243392944336
2019-01-04,79.51484680175781
2019-01-07,79.19672393798828
2019-01-08,79.48904418945312
2019-01-09,78.19084930419922
2019-01-10,78.3800048828125
2019-01-11,78.89584350585938
2019-01-14,78.36280059814453
2019-01-15,79.1021499633789
2019-01-16,78.55196380615234
2019-01-17,78.54066467285156
2019-01-18,79.21656036376953
2019-01-22,78.36738586425781
2019-01-23,82.1800308227539
2019-01-24,81.71212005615234
2019-01-25,81.10555267333984
2019-01-28,81.03622436523438
2019-01-29,81.05357360839844
2019-01-30,81.90276336669922
2019-01-31,83.59244537353516
2019-02-01,84.45896911621094
2019-02-04,84.94419860839844
2019-02-05,84.4329605102539
2019-02-06,84.84889221191406
2019-02-07,84.17301940917969
2019-02-08,84.66692352294922
2019-02-11,85.15217590332031
2019-02-12,86.01002502441406
2019-02-13,85.99267578125
2019-02-14,85.31680297851562
2019-02-15,85.33414459228516
2019-02-19,86.64257049560547
2019-02-20,86.02735137939453
2019-02-21,86.46060180664062
2019-02-22,86.86786651611328
2019-02-25,86.27864074707031
2019-02-26,86.50393676757812
2019-02-27,85.70674896240234
2019-02-28,85.39479064941406
2019-03-01,85.29948425292969
2019-03-04,85.67208862304688
2019-03-05,85.8626937866211
2019-03-06,85.72408294677734
2019-03-07,85.39479064941406
2019-03-08,85.27349090576172
2019-03-11,86.28730010986328
2019-03-12,86.69456481933594
2019-03-13,87.6737289428711
2019-03-14,87.7950439453125
2019-03-15,88.7655258178711
2019-03-18,87.95967864990234
2019-03-19,88.29761505126953
2019-03-20,88.14164733886719
2019-03-21,88.8088607788086
2019-03-22,88.08964538574219
2019-03-25,88.34960174560547
2019-03-26,89.26810455322266
2019-03-27,89.16412353515625
2019-03-28,89.72736358642578
