,KDP
2016-09-01,12.500943183898926
2016-09-02,12.65365982055664
2016-09-06,12.588018417358398
2016-09-07,12.531755447387695
2016-09-08,12.45673942565918
2016-09-09,12.103759765625
2016-09-12,12.295071601867676
2016-09-13,12.132049560546875
2016-09-14,12.16303825378418
2016-09-15,12.154951095581055
2016-09-16,12.226362228393555
2016-09-19,12.22905158996582
2016-09-20,12.231752395629883
2016-09-21,12.313929557800293
2016-09-22,12.394769668579102
2016-09-23,12.342226028442383
2016-09-26,12.164385795593262
2016-09-27,12.212886810302734
2016-09-28,12.297764778137207
2016-09-29,12.22231674194336
2016-09-30,12.301804542541504
2016-10-03,12.227706909179688
2016-10-04,11.702278137207031
2016-10-05,11.737306594848633
2016-10-06,11.86125373840332
2016-10-07,11.787151336669922
2016-10-10,11.827571868896484
2016-10-11,11.739998817443848
2016-10-12,11.768293380737305
2016-10-13,11.769640922546387
2016-10-14,11.737306594848633
2016-10-17,11.811406135559082
2016-10-18,11.81005859375
2016-10-19,11.85855770111084
2016-10-20,11.737306594848633
2016-10-21,11.83700180053711
2016-10-24,11.89897632598877
2016-10-25,11.89897632598877
2016-10-26,11.938048362731934
2016-10-27,11.733261108398438
2016-10-28,11.888197898864746
2016-10-31,11.827571868896484
2016-11-01,11.695540428161621
2016-11-02,11.72787094116211
2016-11-03,11.675332069396973
2016-11-04,11.657815933227539
2016-11-07,11.815443992614746
2016-11-08,11.929965019226074
2016-11-09,11.576982498168945
2016-11-10,11.21456527709961
2016-11-11,11.09870433807373
2016-11-14,11.10678768157959
2016-11-15,11.217266082763672
2016-11-16,11.163372993469238
2016-11-17,11.18762493133545
2016-11-18,11.246903419494629
2016-11-21,11.485369682312012
2016-11-22,11.788498878479004
2016-11-23,11.756165504455566
2016-11-25,11.85855770111084
2016-11-28,11.967684745788574
2016-11-29,12.051215171813965
2016-11-30,11.68610668182373
2016-12-01,11.478629112243652
2016-12-02,11.469202995300293
2016-12-05,11.579679489135742
2016-12-06,11.768293380737305
2016-12-07,11.929965019226074
2016-12-08,11.819488525390625
2016-12-09,12.177326202392578
2016-12-12,12.243743896484375
2016-12-13,12.205792427062988
2016-12-14,12.165129661560059
2016-12-15,12.269497871398926
2016-12-16,12.287118911743164
2016-12-19,12.246453285217285
2016-12-20,12.26271915435791
2016-12-21,12.23967456817627
2016-12-22,12.268139839172363
2016-12-23,12.304738998413086
2016-12-27,12.316937446594238
2016-12-28,12.261361122131348
2016-12-29,12.329133033752441
2016-12-30,12.289828300476074
2017-01-03,12.315580368041992
2017-01-04,12.373866081237793
2017-01-05,12.384710311889648
2017-01-06,12.325068473815918
2017-01-09,12.27220344543457
2017-01-10,12.209859848022461
2017-01-11,12.201723098754883
2017-01-12,12.1298828125
2017-01-13,12.136661529541016
2017-01-17,12.234253883361816
2017-01-18,12.245095252990723
2017-01-19,12.249167442321777
2017-01-20,12.29389476776123
2017-01-23,12.36302375793457
2017-01-24,12.395553588867188
2017-01-25,12.349466323852539
2017-01-26,12.284404754638672
2017-01-27,12.203081130981445
2017-01-30,12.292535781860352
2017-01-31,12.361665725708008
2017-02-01,12.254592895507812
2017-02-02,12.413172721862793
2017-02-03,12.432149887084961
2017-02-06,12.358954429626465
2017-02-07,12.548717498779297
2017-02-08,12.57582950592041
2017-02-09,12.630044937133789
2017-02-10,12.68155288696289
2017-02-13,12.672063827514648
2017-02-14,12.61513900756836
2017-02-15,12.581247329711914
2017-02-16,12.750678062438965
2017-02-17,12.738483428955078
2017-02-21,12.818449020385742
2017-02-22,12.776432991027832
2017-02-23,12.825227737426758
2017-02-24,12.848271369934082
2017-02-27,12.644953727722168
2017-02-28,12.665289878845215
2017-03-01,12.643601417541504
2017-03-02,12.825227737426758
2017-03-03,12.864537239074707
2017-03-06,12.799473762512207
2017-03-07,12.772364616394043
2017-03-08,12.789985656738281
2017-03-09,12.821162223815918
2017-03-10,12.91935920715332
2017-03-13,12.916626930236816
2017-03-14,12.908445358276367
2017-03-15,13.110291481018066
2017-03-16,13.148476600646973
2017-03-17,13.036642074584961
2017-03-20,13.113017082214355
2017-03-21,13.171660423278809
2017-03-22,13.226214408874512
2017-03-23,13.185300827026367
2017-03-24,13.223485946655273
2017-03-27,13.260310173034668
2017-03-28,13.252124786376953
2017-03-29,13.241215705871582
2017-03-30,13.275313377380371
2017-03-31,13.354412078857422
2017-04-03,13.284859657287598
2017-04-04,13.303950309753418
2017-04-05,13.218033790588379
2017-04-06,13.125292778015137
2017-04-07,13.167567253112793
2017-04-10,13.241215705871582
2017-04-11,13.245305061340332
2017-04-12,13.267125129699707
2017-04-13,13.257582664489746
2017-04-17,13.385783195495605
2017-04-18,13.485337257385254
2017-04-19,13.422600746154785
2017-04-20,13.377593040466309
2017-04-21,13.361234664916992
2017-04-24,13.399415969848633
2017-04-25,13.421236038208008
2017-04-26,12.680693626403809
2017-04-27,12.570222854614258
2017-04-28,12.499303817749023
