,CF
2016-05-13,21.870141983032227
2016-05-16,22.63738250732422
2016-05-17,23.032859802246094
2016-05-18,22.605743408203125
2016-05-19,22.7322940826416
2016-05-20,22.613649368286133
2016-05-23,23.610261917114258
2016-05-24,21.838504791259766
2016-05-25,23.349246978759766
2016-05-26,22.906307220458984
2016-05-27,21.909692764282227
2016-05-31,21.878055572509766
2016-06-01,21.86223602294922
2016-06-02,22.131162643432617
2016-06-03,22.629472732543945
2016-06-06,24.638517379760742
2016-06-07,25.279199600219727
2016-06-08,24.58315086364746
2016-06-09,23.562807083129883
2016-06-10,23.11986541748047
2016-06-13,22.63738250732422
2016-06-14,21.933422088623047
2016-06-15,21.893875122070312
2016-06-16,21.822689056396484
2016-06-17,22.4238224029541
2016-06-20,22.115341186523438
2016-06-21,21.601213455200195
2016-06-22,21.371837615966797
2016-06-23,21.86223602294922
2016-06-24,20.114208221435547
2016-06-27,18.571823120117188
2016-06-28,19.030580520629883
2016-06-29,19.252050399780273
2016-06-30,19.062223434448242
2016-07-01,19.15713882446289
2016-07-05,18.619287490844727
2016-07-06,18.78538703918457
2016-07-07,18.587644577026367
2016-07-08,19.663352966308594
2016-07-11,19.513072967529297
2016-07-12,20.588783264160156
2016-07-13,21.292741775512695
2016-07-14,22.044158935546875
2016-07-15,21.70404624938965
2016-07-18,21.90178108215332
2016-07-19,21.00008201599121
2016-07-20,21.04754638671875
2016-07-21,20.794431686401367
2016-07-22,19.916458129882812
2016-07-25,20.035110473632812
2016-07-26,20.406864166259766
2016-07-27,20.098379135131836
2016-07-28,19.505168914794922
2016-07-29,19.520980834960938
2016-08-01,19.315330505371094
2016-08-02,19.370697021484375
2016-08-03,19.394432067871094
2016-08-04,16.95035171508789
2016-08-05,17.47238540649414
2016-08-08,18.342443466186523
2016-08-09,17.496116638183594
2016-08-10,17.061086654663086
2016-08-11,17.855188369750977
2016-08-12,17.927370071411133
2016-08-15,18.60917854309082
2016-08-16,18.60917854309082
2016-08-17,18.69740867614746
2016-08-18,18.240203857421875
2016-08-19,18.46480369567871
2016-08-22,19.002216339111328
2016-08-23,19.9166316986084
2016-08-24,19.282955169677734
2016-08-25,19.43535804748535
2016-08-26,19.234827041625977
2016-08-29,20.036945343017578
2016-08-30,20.99146842956543
2016-08-31,20.855113983154297
2016-09-01,20.53426170349121
2016-09-02,20.80698013305664
2016-09-06,20.574373245239258
2016-09-07,20.47811508178711
2016-09-08,20.823022842407227
2016-09-09,20.05299186706543
2016-09-12,20.46207618713379
2016-09-13,19.25889015197754
2016-09-14,19.274934768676758
2016-09-15,19.323062896728516
2016-09-16,19.266918182373047
2016-09-19,18.994192123413086
2016-09-20,18.68938636779785
2016-09-21,18.472816467285156
2016-09-22,18.63323211669922
2016-09-23,18.15196990966797
2016-09-26,18.159992218017578
2016-09-27,18.360525131225586
2016-09-28,19.210771560668945
2016-09-29,19.41129493713379
2016-09-30,19.531612396240234
2016-10-03,19.4193172454834
2016-10-04,19.57171630859375
2016-10-05,19.940690994262695
2016-10-06,19.780277252197266
2016-10-07,19.210771560668945
2016-10-10,19.138578414916992
