,IP
2014-10-30,31.18971061706543
2014-10-31,31.38812255859375
2014-11-03,31.38812255859375
2014-11-04,32.61585998535156
2014-11-05,32.479454040527344
2014-11-06,32.535274505615234
2014-11-07,32.78329849243164
2014-11-10,33.27315139770508
2014-11-11,33.24835968017578
2014-11-12,33.51499557495117
2014-11-13,34.183414459228516
2014-11-14,34.00223922729492
2014-11-17,34.25836944580078
2014-11-18,34.3458251953125
2014-11-19,33.93352508544922
2014-11-20,33.57121276855469
2014-11-21,33.49625015258789
2014-11-24,33.51498031616211
2014-11-25,33.696136474609375
2014-11-26,33.340065002441406
2014-11-28,33.62117004394531
2014-12-01,33.07769775390625
2014-12-02,33.739871978759766
2014-12-03,33.927276611328125
2014-12-04,34.22088623046875
2014-12-05,34.40205001831055
2014-12-08,34.183414459228516
2014-12-09,34.51451110839844
2014-12-10,34.10218811035156
2014-12-11,33.996002197265625
2014-12-12,33.20263671875
2014-12-15,32.89653015136719
2014-12-16,32.77157974243164
2014-12-17,33.39628601074219
2014-12-18,33.827335357666016
2014-12-19,33.721134185791016
2014-12-22,33.81483840942383
2014-12-23,34.07096481323242
2014-12-24,33.83357620239258
2014-12-26,33.908538818359375
2014-12-29,33.927276611328125
2014-12-30,33.87107467651367
2014-12-31,33.47126388549805
2015-01-02,33.25885772705078
2015-01-05,32.73410415649414
2015-01-06,32.290584564208984
2015-01-07,32.234352111816406
2015-01-08,33.340065002441406
2015-01-09,33.14641571044922
2015-01-12,33.2401237487793
2015-01-13,33.29634094238281
2015-01-14,33.365055084228516
2015-01-15,33.340065002441406
2015-01-16,33.783607482910156
2015-01-20,33.87731170654297
2015-01-21,34.10218811035156
2015-01-22,34.47077178955078
2015-01-23,33.777366638183594
2015-01-26,34.10844039916992
2015-01-27,33.596195220947266
2015-01-28,33.20887756347656
2015-01-29,33.42752456665039
2015-01-30,32.89653015136719
2015-02-02,32.965248107910156
2015-02-03,33.56495666503906
2015-02-04,33.95851516723633
2015-02-05,34.33958435058594
2015-02-06,34.03347396850586
2015-02-09,33.86482620239258
2015-02-10,34.701908111572266
2015-02-11,34.92844009399414
2015-02-12,35.985530853271484
2015-02-13,36.061038970947266
2015-02-17,35.853389739990234
2015-02-18,36.029579162597656
2015-02-19,35.765296936035156
2015-02-20,36.237220764160156
2015-02-23,36.123958587646484
2015-02-24,35.714962005615234
2015-02-25,35.74642562866211
2015-02-26,35.714962005615234
2015-02-27,35.49473190307617
2015-03-02,35.853389739990234
2015-03-03,35.63315963745117
2015-03-04,35.38776779174805
2015-03-05,34.96617126464844
2015-03-06,34.72708511352539
2015-03-09,34.638980865478516
2015-03-10,34.160770416259766
2015-03-11,34.00346374511719
2015-03-12,34.519432067871094
2015-03-13,34.41246795654297
2015-03-16,34.50055694580078
2015-03-17,34.43763732910156
2015-03-18,34.6893196105957
2015-03-19,34.13560104370117
2015-03-20,34.82145690917969
2015-03-23,34.393592834472656
2015-03-24,34.355831146240234
2015-03-25,33.91537857055664
2015-03-26,34.11044692993164
2015-03-27,34.242576599121094
2015-03-30,34.73965835571289
2015-03-31,34.91584777832031
2015-04-01,34.54459762573242
2015-04-02,34.39987564086914
2015-04-06,34.17334747314453
2015-04-07,33.959434509277344
2015-04-08,34.28662109375
2015-04-09,34.28662109375
2015-04-10,35.41293716430664
2015-04-13,34.997642517089844
2015-04-14,34.607521057128906
2015-04-15,34.43763732910156
2015-04-16,34.39987564086914
2015-04-17,34.009765625
2015-04-20,34.38729476928711
2015-04-21,33.04704666137695
2015-04-22,33.37424087524414
2015-04-23,33.2735710144043
2015-04-24,33.77064895629883
2015-04-27,33.550411224365234
2015-04-28,33.638511657714844
2015-04-29,33.393104553222656
2015-04-30,33.8021125793457
2015-05-01,33.997169494628906
2015-05-04,33.814701080322266
2015-05-05,32.05915069580078
2015-05-06,32.60028839111328
2015-05-07,32.7198486328125
2015-05-08,33.028160095214844
2015-05-11,33.2609748840332
2015-05-12,32.79534912109375
2015-05-13,33.07221221923828
2015-05-14,33.73918914794922
2015-05-15,33.51896667480469
2015-05-18,33.73918914794922
2015-05-19,33.73918914794922
2015-05-20,33.500083923339844
2015-05-21,33.66493225097656
2015-05-22,33.66493225097656
2015-05-26,33.29721450805664
2015-05-27,33.544456481933594
2015-05-28,33.41767501831055
2015-05-29,32.8597526550293
2015-06-01,32.85341262817383
2015-06-02,32.44131851196289
2015-06-03,32.48569107055664
2015-06-04,32.42864227294922
2015-06-05,32.44131851196289
2015-06-08,32.03556823730469
2015-06-09,31.927778244018555
2015-06-10,32.270145416259766
2015-06-11,32.68223571777344
2015-06-12,32.42864227294922
2015-06-15,32.06093215942383
2015-06-16,32.041908264160156
2015-06-17,32.282814025878906
2015-06-18,32.35890197753906
