,CMS
2019-07-29,50.70265579223633
2019-07-30,50.17146682739258
2019-07-31,49.880165100097656
2019-08-01,50.87455749511719
2019-08-02,50.62444305419922
2019-08-05,50.210487365722656
2019-08-06,50.796932220458984
2019-08-07,50.97803497314453
2019-08-08,51.80596923828125
2019-08-09,52.02157211303711
2019-08-12,51.693851470947266
2019-08-13,51.82320785522461
2019-08-14,51.547237396240234
2019-08-15,52.840877532958984
2019-08-16,52.7805061340332
2019-08-19,53.099613189697266
2019-08-20,53.00474166870117
2019-08-21,53.52219009399414
2019-08-22,53.59119415283203
2019-08-23,53.10823059082031
2019-08-26,53.82404327392578
2019-08-27,53.95341491699219
2019-08-28,53.875789642333984
2019-08-29,54.35874938964844
2019-08-30,54.376007080078125
2019-09-03,55.52302551269531
2019-09-04,55.60927963256836
2019-09-05,54.67786407470703
2019-09-06,54.125892639160156
2019-09-09,52.996116638183594
2019-09-10,52.599403381347656
2019-09-11,52.823638916015625
2019-09-12,53.1513557434082
2019-09-13,52.840877532958984
2019-09-16,53.00474166870117
2019-09-17,53.789546966552734
2019-09-18,54.0137825012207
2019-09-19,54.203514099121094
2019-09-20,54.42774963378906
2019-09-23,54.496742248535156
2019-09-24,55.272926330566406
2019-09-25,55.47990798950195
2019-09-26,56.092227935791016
2019-09-27,55.20392990112305
2019-09-30,55.152191162109375
2019-10-01,55.32466506958008
2019-10-02,54.83308792114258
2019-10-03,55.19530487060547
2019-10-04,55.98873519897461
2019-10-07,55.583404541015625
2019-10-08,55.28154754638672
2019-10-09,55.712764739990234
2019-10-10,55.47990798950195
2019-10-11,55.09181594848633
2019-10-14,54.7468376159668
2019-10-15,54.53124237060547
2019-10-16,54.79859161376953
2019-10-17,54.91933059692383
2019-10-18,55.20392990112305
2019-10-21,55.152191162109375
2019-10-22,54.96245193481445
2019-10-23,54.58298110961914
2019-10-24,55.583404541015625
2019-10-25,54.893463134765625
2019-10-28,53.9102897644043
2019-10-29,54.31562805175781
2019-10-30,55.109066009521484
2019-10-31,55.45871353149414
2019-11-01,54.95549011230469
2019-11-04,53.506553649902344
2019-11-05,52.69099044799805
2019-11-06,53.23759841918945
2019-11-07,52.06629180908203
2019-11-08,51.71924591064453
2019-11-11,51.69321823120117
2019-11-12,51.7018928527832
2019-11-13,52.482757568359375
2019-11-14,52.71701431274414
2019-11-15,52.83848571777344
2019-11-18,53.090087890625
2019-11-19,53.30699920654297
2019-11-20,53.532588958740234
2019-11-21,53.74949645996094
2019-11-22,53.58463668823242
2019-11-25,53.0987663269043
2019-11-26,53.515228271484375
2019-11-27,53.37641525268555
2019-11-29,53.1855354309082
2019-12-02,52.81245040893555
2019-12-03,53.03804397583008
2019-12-04,53.541259765625
2019-12-05,53.65404510498047
2019-12-06,53.32435989379883
2019-12-09,53.168182373046875
2019-12-10,53.30699920654297
2019-12-11,53.315670013427734
2019-12-12,52.7256965637207
2019-12-13,52.91657638549805
2019-12-16,53.68008041381836
2019-12-17,53.86228942871094
2019-12-18,54.087860107421875
2019-12-19,54.13991928100586
2019-12-20,54.74726486206055
2019-12-23,54.04448318481445
2019-12-24,54.035804748535156
2019-12-26,54.035804748535156
2019-12-27,54.26139450073242
2019-12-30,54.304771423339844
2019-12-31,54.52168273925781
2020-01-02,53.541259765625
2020-01-03,54.06184387207031
2020-01-06,54.304771423339844
2020-01-07,54.02713394165039
2020-01-08,54.00978088378906
2020-01-09,54.426239013671875
2020-01-10,54.712554931640625
2020-01-13,55.2591667175293
2020-01-14,55.43268585205078
2020-01-15,56.135459899902344
2020-01-16,56.72544479370117
2020-01-17,56.95970916748047
2020-01-21,57.445587158203125
2020-01-22,57.740577697753906
2020-01-23,58.22644805908203
2020-01-24,58.5561408996582
2020-01-27,58.347923278808594
2020-01-28,58.191734313964844
2020-01-29,58.39997482299805
2020-01-30,59.05937194824219
2020-01-31,59.44111633300781
2020-02-03,59.415096282958984
2020-02-04,58.45203399658203
2020-02-05,58.92055130004883
2020-02-06,58.76168441772461
2020-02-07,58.60456085205078
2020-02-10,58.971168518066406
2020-02-11,58.80533218383789
2020-02-12,58.796592712402344
2020-02-13,59.28540802001953
2020-02-14,59.80039978027344
2020-02-18,60.10591506958008
2020-02-19,59.77421951293945
2020-02-20,59.870235443115234
2020-02-21,59.7480354309082
2020-02-24,59.57344055175781
2020-02-25,58.34269714355469
2020-02-26,57.993560791015625
2020-02-27,54.83376693725586
2020-02-28,52.738868713378906
2020-03-02,55.985958099365234
2020-03-03,56.14306640625
2020-03-04,59.660743713378906
2020-03-05,59.119564056396484
2020-03-06,59.259220123291016
2020-03-09,57.103233337402344
2020-03-10,57.18178939819336
2020-03-11,55.20909881591797
2020-03-12,51.403385162353516
2020-03-13,54.45842361450195
2020-03-16,49.710018157958984
2020-03-17,56.57951354980469
2020-03-18,52.930912017822266
2020-03-19,49.308502197265625
2020-03-20,43.250762939453125
2020-03-23,42.34298324584961
2020-03-24,44.89176559448242
2020-03-25,46.54148864746094
2020-03-26,49.7012825012207
2020-03-27,50.82728576660156
2020-03-30,54.065635681152344
2020-03-31,51.28117752075195
2020-04-01,48.627655029296875
2020-04-02,49.63145065307617
2020-04-03,47.615116119384766
2020-04-06,51.36845779418945
2020-04-07,50.0504264831543
2020-04-08,52.930912017822266
2020-04-09,54.40605545043945
2020-04-13,53.38480758666992
2020-04-14,54.35368728637695
2020-04-15,52.983272552490234
2020-04-16,54.013267517089844
2020-04-17,55.1392707824707
2020-04-20,51.66523742675781
2020-04-21,50.984405517578125
2020-04-22,52.36354064941406
2020-04-23,51.70888900756836
2020-04-24,51.84854507446289
2020-04-27,50.62653350830078
2020-04-28,51.682701110839844
2020-04-29,49.98059844970703
2020-04-30,49.83221435546875
2020-05-01,48.83713912963867
2020-05-04,49.52670669555664
