,TPL
2017-01-12,94.8499526977539
2017-01-13,97.2645492553711
2017-01-17,98.78221893310547
2017-01-18,98.3070297241211
2017-01-19,97.84667205810547
2017-01-20,97.11603546142578
2017-01-23,94.71924591064453
2017-01-24,95.60432434082031
2017-01-25,96.27851867675781
2017-01-26,96.97052001953125
2017-01-27,95.63106536865234
2017-01-30,94.78758239746094
2017-01-31,94.30347442626953
2017-02-01,95.01032257080078
2017-02-02,93.98566436767578
2017-02-03,94.37176513671875
2017-02-06,94.15200805664062
2017-02-07,94.29457092285156
2017-02-08,93.17189025878906
2017-02-09,94.1490249633789
2017-02-10,94.66580963134766
2017-02-13,94.50838470458984
2017-02-14,92.07001495361328
2017-02-15,91.2087173461914
2017-02-16,89.34651947021484
2017-02-17,89.9702377319336
2017-02-21,87.647705078125
2017-02-22,89.1148910522461
2017-02-23,88.57135772705078
2017-02-24,88.50601959228516
2017-02-27,89.34058380126953
2017-02-28,88.65747833251953
2017-03-01,88.56245422363281
2017-03-02,88.3575210571289
2017-03-03,87.6239013671875
2017-03-06,89.10002136230469
2017-03-07,88.83747100830078
2017-03-08,81.5220947265625
2017-03-09,82.19338989257812
2017-03-10,81.32819366455078
2017-03-13,83.4792251586914
2017-03-14,79.53516387939453
2017-03-15,82.17548370361328
2017-03-16,81.16410064697266
2017-03-17,84.19525146484375
2017-03-20,84.15348052978516
2017-03-21,81.59671020507812
2017-03-22,81.77571868896484
2017-03-23,82.60807037353516
2017-03-24,83.53591918945312
2017-03-27,84.2191390991211
2017-03-28,83.3360366821289
2017-03-29,83.23758697509766
2017-03-30,83.08842468261719
2017-03-31,83.46134185791016
2017-04-03,84.15050506591797
2017-04-04,84.699462890625
2017-04-05,84.25193786621094
2017-04-06,83.97151184082031
2017-04-07,83.78654479980469
2017-04-10,83.81338500976562
2017-04-11,85.63026428222656
2017-04-12,86.66255187988281
2017-04-13,83.52399444580078
2017-04-17,84.1475601196289
2017-04-18,85.1380386352539
2017-04-19,84.37129211425781
2017-04-20,84.37725830078125
2017-04-21,85.77349853515625
2017-04-24,87.02951049804688
2017-04-25,87.35470581054688
2017-04-26,86.6118392944336
2017-04-27,86.51936340332031
2017-04-28,91.6240005493164
2017-05-01,92.50709533691406
2017-05-02,91.9491958618164
2017-05-03,89.81902313232422
2017-05-04,89.47293853759766
2017-05-05,89.47892761230469
2017-05-08,89.23426818847656
2017-05-09,89.18653869628906
2017-05-10,89.5863265991211
2017-05-11,88.9061050415039
2017-05-12,88.18411254882812
2017-05-15,89.16266632080078
