,HES
2016-09-29,45.5516471862793
2016-09-30,46.835636138916016
2016-10-03,47.0802116394043
2016-10-04,45.63899230957031
2016-10-05,46.71336364746094
2016-10-06,46.870582580566406
2016-10-07,46.355228424072266
2016-10-10,47.12388229370117
2016-10-11,45.91849899291992
2016-10-12,45.385677337646484
2016-10-13,45.00136184692383
2016-10-14,45.158573150634766
2016-10-17,44.38991928100586
2016-10-18,44.5296745300293
2016-10-19,45.743804931640625
2016-10-20,45.988380432128906
2016-10-21,46.0844612121582
2016-10-24,45.61279296875
2016-10-25,44.45979690551758
2016-10-26,43.90078353881836
2016-10-27,44.04053497314453
2016-10-28,43.93571090698242
2016-10-31,41.9005241394043
2016-11-01,41.79568862915039
2016-11-02,41.13186264038086
2016-11-03,41.13186264038086
2016-11-04,40.54663848876953
2016-11-07,41.43758010864258
2016-11-08,41.699623107910156
2016-11-09,42.800193786621094
2016-11-10,43.35922622680664
2016-11-11,41.55986785888672
2016-11-14,41.987876892089844
2016-11-15,44.18902587890625
2016-11-16,44.38991928100586
2016-11-17,44.110416412353516
2016-11-18,44.52094650268555
2016-11-21,46.12813949584961
2016-11-22,45.96216583251953
2016-11-23,46.468788146972656
2016-11-25,46.05825424194336
2016-11-28,44.54713821411133
2016-11-29,42.843868255615234
2016-11-30,48.87956619262695
2016-12-01,49.010597229003906
2016-12-02,50.591575622558594
2016-12-05,51.5349235534668
2016-12-06,52.24244689941406
2016-12-07,53.238197326660156
2016-12-08,53.86709976196289
2016-12-09,54.819190979003906
2016-12-12,54.941463470458984
2016-12-13,56.8980598449707
2016-12-14,55.177310943603516
2016-12-15,54.96685028076172
2016-12-16,54.80899429321289
2016-12-19,55.571937561035156
2016-12-20,55.5894775390625
2016-12-21,55.73855209350586
2016-12-22,55.87009811401367
2016-12-23,55.93149185180664
2016-12-27,56.483970642089844
2016-12-28,55.668392181396484
2016-12-29,55.15977096557617
2016-12-30,54.62484359741211
2017-01-03,55.08961868286133
2017-01-04,54.30912399291992
2017-01-05,54.458229064941406
2017-01-06,54.28282928466797
2017-01-09,53.151580810546875
2017-01-10,53.88819885253906
2017-01-11,54.23021697998047
2017-01-12,51.6081428527832
2017-01-13,51.64323043823242
2017-01-17,52.002777099609375
2017-01-18,51.59061050415039
2017-01-19,50.6171989440918
2017-01-20,50.8452033996582
2017-01-23,50.11735153198242
2017-01-24,50.44181823730469
2017-01-25,49.51224899291992
2017-01-26,49.257938385009766
2017-01-27,48.117919921875
2017-01-30,47.30236053466797
2017-01-31,47.51283645629883
2017-02-01,46.925270080566406
2017-02-02,47.319881439208984
2017-02-03,47.626827239990234
2017-02-06,46.618343353271484
2017-02-07,45.171390533447266
2017-02-08,45.19768524169922
2017-02-09,45.881717681884766
2017-02-10,46.048336029052734
2017-02-13,45.495849609375
2017-02-14,45.601078033447266
2017-02-15,44.767982482910156
2017-02-16,44.98722839355469
2017-02-17,45.38185501098633
2017-02-21,46.320194244384766
2017-02-22,45.21523666381836
2017-02-23,46.05710220336914
2017-02-24,46.03078842163086
2017-02-27,46.206172943115234
2017-02-28,45.1099967956543
2017-03-01,45.30290603637695
2017-03-02,45.39061737060547
2017-03-03,44.75045394897461
2017-03-06,44.75045394897461
2017-03-07,43.41749572753906
2017-03-08,41.979312896728516
2017-03-09,42.426544189453125
2017-03-10,41.58467483520508
