,GEN
2020-03-16,15.16675853729248
2020-03-17,14.986626625061035
2020-03-18,14.95960807800293
2020-03-19,15.148741722106934
2020-03-20,15.27483081817627
2020-03-23,14.932589530944824
2020-03-24,15.626078605651855
2020-03-25,16.1124210357666
2020-03-26,16.868967056274414
2020-03-27,17.049089431762695
2020-03-30,17.20219612121582
2020-03-31,16.85094451904297
2020-04-01,16.89598274230957
2020-04-02,16.634796142578125
2020-04-03,16.47268295288086
2020-04-06,17.085113525390625
2020-04-07,17.0580997467041
2020-04-08,17.634510040283203
2020-04-09,17.44537353515625
2020-04-13,16.98604393005371
2020-04-14,17.175180435180664
2020-04-15,17.742582321166992
2020-04-16,18.391042709350586
2020-04-17,18.120853424072266
2020-04-20,18.021780014038086
2020-04-21,17.454378128051758
2020-04-22,17.931716918945312
2020-04-23,18.201906204223633
2020-04-24,18.87738800048828
2020-04-27,19.16559410095215
2020-04-28,18.886390686035156
2020-04-29,19.16559410095215
2020-04-30,19.156585693359375
2020-05-01,18.787322998046875
2020-05-04,19.003477096557617
2020-05-05,19.3907527923584
2020-05-06,19.381744384765625
2020-05-07,19.075531005859375
2020-05-08,19.16559410095215
2020-05-11,19.363733291625977
2020-05-12,18.73328399658203
2020-05-13,18.400049209594727
2020-05-14,18.850366592407227
2020-05-15,18.030786514282227
2020-05-18,17.958740234375
2020-05-19,18.219921112060547
2020-05-20,18.913414001464844
2020-05-21,18.219921112060547
2020-05-22,18.228923797607422
2020-05-26,17.895689010620117
2020-05-27,17.886682510375977
2020-05-28,18.859373092651367
2020-05-29,20.51654815673828
2020-06-01,19.55286407470703
2020-06-02,18.967449188232422
2020-06-03,18.6522274017334
2020-06-04,19.003477096557617
2020-06-05,18.958444595336914
2020-06-08,19.787031173706055
2020-06-09,19.148447036743164
2020-06-10,19.39300537109375
2020-06-11,18.09772300720215
2020-06-12,17.979976654052734
2020-06-15,18.351348876953125
2020-06-16,18.41475486755371
2020-06-17,18.31511688232422
2020-06-18,18.17019271850586
2020-06-19,18.84953498840332
2020-06-22,18.75895881652832
2020-06-23,18.550626754760742
2020-06-24,17.88033676147461
2020-06-25,17.690120697021484
2020-06-26,17.318748474121094
2020-06-29,17.599546432495117
2020-06-30,17.96185874938965
2020-07-01,17.90751075744629
2020-07-02,18.124900817871094
2020-07-06,18.052440643310547
2020-07-07,17.9346866607666
2020-07-08,18.215478897094727
2020-07-09,18.188310623168945
2020-07-10,18.387582778930664
2020-07-13,18.260770797729492
2020-07-14,18.269826889038086
2020-07-15,18.333232879638672
2020-07-16,18.269826889038086
2020-07-17,18.396636962890625
2020-07-20,18.50533676147461
2020-07-21,18.06150245666504
2020-07-22,18.749906539916992
2020-07-23,19.130332946777344
2020-07-24,18.469104766845703
2020-07-27,18.858591079711914
2020-07-28,18.63214683532715
2020-07-29,19.184682846069336
2020-07-30,19.139387130737305
2020-07-31,19.429244995117188
2020-08-03,19.89119529724121
2020-08-04,20.01800537109375
2020-08-05,19.836849212646484
2020-08-06,20.072355270385742
2020-08-07,21.159305572509766
