,EG
2018-03-29,223.90830993652344
2018-04-02,221.81590270996094
2018-04-03,224.10011291503906
2018-04-04,225.17247009277344
2018-04-05,223.5334014892578
2018-04-06,221.66766357421875
2018-04-09,224.79757690429688
2018-04-10,223.36776733398438
2018-04-11,226.68075561523438
2018-04-12,218.5289764404297
2018-04-13,217.25611877441406
2018-04-16,218.7643585205078
2018-04-17,215.72164916992188
2018-04-18,212.61785888671875
2018-04-19,211.29266357421875
2018-04-20,215.3380126953125
2018-04-23,213.91688537597656
2018-04-24,213.29786682128906
2018-04-25,209.62742614746094
2018-04-26,202.19052124023438
2018-04-27,206.38417053222656
2018-04-30,202.85313415527344
2018-05-01,203.05368041992188
2018-05-02,198.92982482910156
2018-05-03,197.16868591308594
2018-05-04,198.3631134033203
2018-05-07,197.50875854492188
2018-05-08,198.0579833984375
2018-05-09,198.73802185058594
2018-05-10,198.94725036621094
2018-05-11,199.034423828125
2018-05-14,197.831298828125
2018-05-15,198.79905700683594
2018-05-16,199.71449279785156
2018-05-17,198.60723876953125
2018-05-18,197.50875854492188
2018-05-21,199.583740234375
2018-05-22,199.68833923339844
2018-05-23,197.50875854492188
2018-05-24,197.49996948242188
2018-05-25,198.29336547851562
2018-05-29,197.04824829101562
2018-05-30,197.74093627929688
2018-05-31,197.54803466796875
2018-06-01,198.10049438476562
2018-06-04,198.7668914794922
2018-06-05,198.62660217285156
2018-06-06,200.01205444335938
2018-06-07,201.74822998046875
2018-06-08,201.95864868164062
2018-06-11,200.34518432617188
2018-06-12,199.30178833007812
2018-06-13,199.34559631347656
2018-06-14,198.17063903808594
2018-06-15,198.69674682617188
2018-06-18,198.82827758789062
2018-06-19,201.0028839111328
2018-06-20,201.79209899902344
2018-06-21,200.51185607910156
2018-06-22,201.67807006835938
2018-06-25,204.01927185058594
2018-06-26,201.59036254882812
2018-06-27,200.5556640625
2018-06-28,202.975830078125
2018-06-29,202.09893798828125
2018-07-02,199.18777465820312
2018-07-03,198.5125732421875
2018-07-05,202.23924255371094
2018-07-06,202.08145141601562
2018-07-09,206.07115173339844
2018-07-10,205.37843322753906
2018-07-11,204.96629333496094
2018-07-12,204.1771240234375
2018-07-13,203.03720092773438
2018-07-16,206.22021484375
2018-07-17,206.15882873535156
2018-07-18,207.21986389160156
2018-07-19,205.4485626220703
2018-07-20,197.1359100341797
2018-07-23,197.521728515625
2018-07-24,195.96090698242188
2018-07-25,196.0836639404297
2018-07-26,199.26669311523438
2018-07-27,198.33721923828125
2018-07-30,196.18890380859375
2018-07-31,191.462646484375
2018-08-01,192.79542541503906
2018-08-02,192.88316345214844
2018-08-03,193.51449584960938
2018-08-06,191.94488525390625
2018-08-07,191.47140502929688
2018-08-08,190.40162658691406
2018-08-09,188.7093048095703
2018-08-10,188.67420959472656
2018-08-13,188.4550018310547
2018-08-14,188.22698974609375
2018-08-15,189.58615112304688
2018-08-16,190.72605895996094
2018-08-17,191.5064697265625
2018-08-20,193.2601318359375
2018-08-21,193.15496826171875
2018-08-22,192.90066528320312
2018-08-23,192.9883575439453
2018-08-24,193.65481567382812
2018-08-27,195.09283447265625
2018-08-28,195.05775451660156
2018-08-29,195.41725158691406
2018-08-30,195.03143310546875
2018-08-31,195.5575714111328
2018-09-04,195.41644287109375
2018-09-05,195.0107421875
2018-09-06,193.43191528320312
2018-09-07,190.06271362304688
2018-09-10,185.07936096191406
2018-09-11,185.67031860351562
2018-09-12,188.75735473632812
2018-09-13,194.64910888671875
2018-09-14,197.02171325683594
2018-09-17,196.9158935546875
2018-09-18,199.0944366455078
2018-09-19,202.47247314453125
2018-09-20,204.35997009277344
2018-09-21,205.6212158203125
2018-09-24,201.75807189941406
2018-09-25,202.03147888183594
2018-09-26,200.91131591796875
2018-09-27,201.2640838623047
2018-09-28,201.51109313964844
2018-10-01,197.9037322998047
2018-10-02,200.32037353515625
2018-10-03,199.2972869873047
2018-10-04,200.10870361328125
2018-10-05,200.1792755126953
2018-10-08,200.3909149169922
2018-10-09,202.42835998535156
2018-10-10,192.03836059570312
2018-10-11,189.63052368164062
2018-10-12,187.85769653320312
2018-10-15,189.2072296142578
2018-10-16,189.98330688476562
2018-10-17,190.5213165283203
2018-10-18,186.20834350585938
2018-10-19,190.67124938964844
2018-10-22,187.54017639160156
2018-10-23,185.1763916015625
2018-10-24,180.8810577392578
2018-10-25,183.05963134765625
2018-10-26,180.8369598388672
2018-10-29,182.0981903076172
2018-10-30,193.5907440185547
2018-10-31,192.15304565429688
2018-11-01,193.8376922607422
2018-11-02,193.43191528320312
2018-11-05,195.23123168945312
2018-11-06,197.13636779785156
2018-11-07,197.62144470214844
2018-11-08,196.3072509765625
2018-11-09,195.11654663085938
2018-11-12,188.59857177734375
2018-11-13,188.92489624023438
2018-11-14,187.1256103515625
2018-11-15,189.18948364257812
2018-11-16,190.8917236328125
2018-11-19,190.3449249267578
2018-11-20,190.07151794433594
2018-11-21,189.18948364257812
2018-11-23,188.96018981933594
2018-11-26,191.5709228515625
2018-11-27,189.26004028320312
2018-11-28,191.0064239501953
2018-11-29,194.14637756347656
2018-11-30,195.87506103515625
2018-12-03,197.93019104003906
2018-12-04,196.24554443359375
2018-12-06,198.83860778808594
2018-12-07,201.86387634277344
2018-12-10,203.01051330566406
2018-12-11,196.42193603515625
2018-12-12,194.0581817626953
2018-12-13,192.03836059570312
2018-12-14,189.90394592285156
2018-12-17,192.0824737548828
2018-12-18,193.7406768798828
2018-12-19,194.181640625
2018-12-20,190.72418212890625
2018-12-21,188.10467529296875
2018-12-24,181.48081970214844
2018-12-26,185.4321746826172
2018-12-27,189.4893798828125
2018-12-28,190.53900146484375
2018-12-31,192.06484985351562
2019-01-02,188.44863891601562
2019-01-03,184.16212463378906
2019-01-04,189.55113220214844
2019-01-07,186.42889404296875
2019-01-08,188.2193145751953
2019-01-09,186.97569274902344
2019-01-10,189.13661193847656
2019-01-11,188.0164794921875
2019-01-14,188.46624755859375
2019-01-15,190.05389404296875
2019-01-16,187.61953735351562
2019-01-17,189.9215850830078
2019-01-18,191.12109375
2019-01-22,189.3395233154297
2019-01-23,191.9237518310547
2019-01-24,190.26553344726562
2019-01-25,188.23695373535156
2019-01-28,188.99546813964844
2019-01-29,188.84555053710938
2019-01-30,193.39663696289062
2019-01-31,193.20266723632812
2019-02-01,196.060302734375
2019-02-04,193.7406768798828
2019-02-05,194.4374542236328
2019-02-06,196.06915283203125
2019-02-07,196.24554443359375
2019-02-08,195.62818908691406
2019-02-11,194.37570190429688
2019-02-12,187.3284912109375
2019-02-13,189.16307067871094
2019-02-14,188.78379821777344
2019-02-15,191.33279418945312
2019-02-19,193.66128540039062
2019-02-20,195.495849609375
2019-02-21,196.51895141601562
2019-02-22,197.48916625976562
2019-02-25,196.86293029785156
2019-02-26,196.51895141601562
2019-02-27,197.82427978515625
2019-02-28,199.4295654296875
2019-03-01,198.79452514648438
2019-03-04,198.34474182128906
2019-03-05,197.9453125
2019-03-06,197.1287841796875
2019-03-07,193.6053009033203
2019-03-08,192.39825439453125
2019-03-11,193.4188995361328
2019-03-12,193.6851806640625
2019-03-13,193.75619506835938
2019-03-14,194.37744140625
2019-03-15,194.41299438476562
2019-03-18,195.6022491455078
2019-03-19,194.2709503173828
2019-03-20,188.11151123046875
2019-03-21,191.2444610595703
2019-03-22,190.80960083007812
2019-03-25,190.6409454345703
2019-03-26,191.2444610595703
2019-03-27,190.5078125
2019-03-28,191.1468505859375
2019-03-29,191.67051696777344
2019-04-01,192.8863983154297
2019-04-02,190.72080993652344
2019-04-03,191.83026123046875
2019-04-04,191.07583618164062
2019-04-05,191.9811248779297
2019-04-08,193.42776489257812
2019-04-09,190.54336547851562
2019-04-10,192.42491149902344
2019-04-11,196.9512939453125
2019-04-12,200.88304138183594
2019-04-15,200.7676544189453
2019-04-16,203.51010131835938
2019-04-17,202.96873474121094
2019-04-18,203.2793731689453
2019-04-22,202.80892944335938
2019-04-23,203.92724609375
2019-04-24,205.26744079589844
2019-04-25,202.80010986328125
2019-04-26,204.76153564453125
2019-04-29,205.29400634765625
2019-04-30,209.01280212402344
2019-05-01,209.8648223876953
2019-05-02,210.1576690673828
2019-05-03,211.8173828125
2019-05-06,211.0452117919922
2019-05-07,219.1217803955078
2019-05-08,214.68406677246094
2019-05-09,218.0300750732422
2019-05-10,220.7636260986328
2019-05-13,218.8288116455078
2019-05-14,220.50625610351562
2019-05-15,220.337646484375
2019-05-16,221.3671417236328
2019-05-17,220.337646484375
2019-05-20,221.44705200195312
2019-05-21,221.2873077392578
2019-05-22,222.17481994628906
2019-05-23,223.302001953125
2019-05-24,221.8020477294922
2019-05-28,216.6100311279297
2019-05-29,217.11590576171875
2019-05-30,217.81704711914062
2019-05-31,219.80511474609375
2019-06-03,223.5948944091797
2019-06-04,220.34654235839844
2019-06-05,224.8196563720703
2019-06-06,224.46463012695312
2019-06-07,224.23382568359375
2019-06-10,223.807861328125
2019-06-11,221.03878784179688
2019-06-12,222.1304473876953
2019-06-13,221.9795684814453
2019-06-14,222.8138427734375
2019-06-17,222.02394104003906
2019-06-18,222.0061492919922
2019-06-19,223.62149047851562
2019-06-20,224.1540069580078
2019-06-21,222.01502990722656
2019-06-24,223.22207641601562
2019-06-25,223.0446014404297
2019-06-26,215.60716247558594
2019-06-27,216.8762664794922
2019-06-28,219.37911987304688
2019-07-01,222.30795288085938
2019-07-02,222.89370727539062
2019-07-03,226.28408813476562
2019-07-05,225.88465881347656
2019-07-08,225.88465881347656
2019-07-09,228.44076538085938
2019-07-10,229.22181701660156
2019-07-11,227.98812866210938
2019-07-12,228.73362731933594
2019-07-15,229.24839782714844
2019-07-16,226.55921936035156
2019-07-17,222.9558868408203
2019-07-18,223.7102508544922
2019-07-19,223.66590881347656
2019-07-22,224.9084014892578
2019-07-23,224.7309112548828
2019-07-24,226.31956481933594
2019-07-25,226.78109741210938
2019-07-26,230.3312225341797
2019-07-29,227.9171142578125
2019-07-30,223.38186645507812
2019-07-31,218.89984130859375
2019-08-01,216.84963989257812
2019-08-02,215.77572631835938
2019-08-05,212.25222778320312
