,WDC
2017-01-31,71.43528747558594
2017-02-01,70.9245834350586
2017-02-02,70.98729705810547
2017-02-03,70.89769744873047
2017-02-06,70.72747039794922
2017-02-07,70.82604217529297
2017-02-08,69.06098175048828
2017-02-09,69.93006896972656
2017-02-10,69.31185150146484
2017-02-13,70.3063735961914
2017-02-14,68.460693359375
2017-02-15,68.10230255126953
2017-02-16,68.04853057861328
2017-02-17,67.11673736572266
2017-02-21,67.10777282714844
2017-02-22,66.72250366210938
2017-02-23,66.83000946044922
2017-02-24,66.88377380371094
2017-02-27,68.18293762207031
2017-02-28,68.88177490234375
2017-03-01,70.17195892333984
2017-03-02,68.3442153930664
2017-03-03,69.47311401367188
2017-03-06,68.81011199951172
2017-03-07,68.81011199951172
2017-03-08,68.49650573730469
2017-03-09,66.53435516357422
2017-03-10,67.1973876953125
2017-03-13,67.82454681396484
2017-03-14,67.82454681396484
2017-03-15,68.73843383789062
2017-03-16,69.11473846435547
2017-03-17,68.8728256225586
2017-03-20,68.46963500976562
2017-03-21,65.60254669189453
2017-03-22,67.13465118408203
2017-03-23,68.26356506347656
2017-03-24,70.04653930664062
2017-03-27,70.39596557617188
2017-03-28,72.1789321899414
2017-03-29,73.37801361083984
2017-03-30,75.50570678710938
2017-03-31,74.40579223632812
2017-04-03,74.05418395996094
2017-04-04,74.82049560546875
2017-04-05,74.55905151367188
2017-04-06,75.8122329711914
2017-04-07,76.78590393066406
2017-04-10,76.43429565429688
2017-04-11,77.57929992675781
2017-04-12,75.92040252685547
2017-04-13,75.2802963256836
2017-04-17,75.87533569335938
2017-04-18,74.71232604980469
2017-04-19,74.64922332763672
2017-04-20,76.1007308959961
2017-04-21,74.92870330810547
2017-04-24,77.32684326171875
2017-04-25,78.32758331298828
2017-04-26,76.28104400634766
2017-04-27,77.27275848388672
2017-04-28,80.302001953125
2017-05-01,79.06685638427734
2017-05-02,78.69721221923828
2017-05-03,80.43721771240234
2017-05-04,80.39212799072266
2017-05-05,81.7895736694336
2017-05-08,81.05029296875
2017-05-09,80.13069915771484
2017-05-10,80.7257308959961
2017-05-11,80.8519515991211
2017-05-12,80.82490539550781
2017-05-15,80.25691986083984
2017-05-16,80.20282745361328
2017-05-17,76.83097839355469
2017-05-18,77.63338470458984
2017-05-19,78.12922668457031
2017-05-22,79.31929779052734
2017-05-23,79.3643798828125
2017-05-24,80.86997985839844
2017-05-25,80.48229217529297
2017-05-26,81.14947509765625
2017-05-30,82.303466796875
2017-05-31,81.19453430175781
2017-06-01,82.57392120361328
2017-06-02,82.51081085205078
2017-06-05,80.61754608154297
2017-06-06,81.08636474609375
2017-06-07,81.07733917236328
2017-06-08,82.0600357055664
2017-06-09,77.543212890625
2017-06-12,78.11119842529297
2017-06-13,81.1855239868164
2017-06-14,79.15702056884766
2017-06-15,78.71524810791016
2017-06-16,78.54396057128906
2017-06-19,79.9143295288086
2017-06-20,79.54469299316406
2017-06-21,82.06904602050781
2017-06-22,81.3658447265625
2017-06-23,84.15165710449219
2017-06-26,83.53860473632812
2017-06-27,82.8083267211914
2017-06-28,84.9113998413086
2017-06-29,83.08029174804688
2017-06-30,80.31546783447266
2017-07-03,77.31497955322266
2017-07-05,78.33025360107422
2017-07-06,78.06736755371094
2017-07-07,78.81069946289062
2017-07-10,80.92281341552734
2017-07-11,83.17092895507812
2017-07-12,85.3283920288086
2017-07-13,84.12276458740234
2017-07-14,85.60940551757812
2017-07-17,85.72724914550781
2017-07-18,85.45529174804688
2017-07-19,85.64566802978516
2017-07-20,86.12610626220703
2017-07-21,85.9538803100586
2017-07-24,85.7725830078125
2017-07-25,84.98393249511719
2017-07-26,84.26777648925781
2017-07-27,83.3069076538086
2017-07-28,77.02489471435547
2017-07-31,77.16087341308594
2017-08-01,77.65943145751953
2017-08-02,76.48101043701172
2017-08-03,76.60790252685547
2017-08-04,73.58021545410156
2017-08-07,73.3989028930664
2017-08-08,73.73431396484375
2017-08-09,73.41703796386719
2017-08-10,71.78535461425781
2017-08-11,72.42896270751953
2017-08-14,75.08499908447266
2017-08-15,75.98242950439453
2017-08-16,77.82260131835938
2017-08-17,74.76774597167969
2017-08-18,75.42039489746094
2017-08-21,76.01869201660156
2017-08-22,78.54781341552734
2017-08-23,80.05258178710938
2017-08-24,81.08599090576172
2017-08-25,81.81118774414062
2017-08-28,82.09220123291016
2017-08-29,81.64801788330078
2017-08-30,81.85651397705078
2017-08-31,80.01631164550781
2017-09-01,81.95622253417969
2017-09-05,81.1313247680664
2017-09-06,81.18570709228516
2017-09-07,80.15229797363281
2017-09-08,78.86506652832031
2017-09-11,79.20954895019531
2017-09-12,80.47863006591797
2017-09-13,77.72289276123047
2017-09-14,77.76821899414062
2017-09-15,80.2429428100586
2017-09-18,80.84124755859375
2017-09-19,81.51203918457031
2017-09-20,78.29397583007812
2017-09-21,77.49626922607422
2017-09-22,78.39370727539062
2017-09-25,78.0401611328125
2017-09-26,78.21240997314453
2017-09-27,80.42424774169922
2017-09-28,79.04768371582031
2017-09-29,78.76506042480469
2017-10-02,76.02104949951172
2017-10-03,75.66551971435547
2017-10-04,76.89623260498047
2017-10-05,76.19426727294922
2017-10-06,76.44041442871094
2017-10-09,76.82329559326172
2017-10-10,78.4095458984375
2017-10-11,78.05400848388672
2017-10-12,78.18164825439453
2017-10-13,80.04136657714844
2017-10-16,79.15707397460938
2017-10-17,78.19985961914062
2017-10-18,77.9446029663086
2017-10-19,77.92636108398438
2017-10-20,78.7741928100586
2017-10-23,80.21456909179688
2017-10-24,80.12340545654297
2017-10-25,79.57643127441406
2017-10-26,81.48173522949219
2017-10-27,79.41232299804688
2017-10-30,78.20897674560547
2017-10-31,81.38146209716797
2017-11-01,81.35411071777344
2017-11-02,80.77066040039062
2017-11-03,79.32117462158203
2017-11-06,80.08694458007812
2017-11-07,78.48246765136719
2017-11-08,79.42144775390625
2017-11-09,79.88639068603516
2017-11-10,81.06239318847656
2017-11-13,80.62480163574219
2017-11-14,83.48733520507812
2017-11-15,82.37513732910156
2017-11-16,83.15003204345703
2017-11-17,83.2320785522461
2017-11-20,82.84918212890625
2017-11-21,84.18930053710938
2017-11-22,84.69981384277344
2017-11-24,84.58128356933594
2017-11-27,78.90181732177734
2017-11-28,79.2117691040039
2017-11-29,73.84225463867188
2017-11-30,71.89136505126953
2017-12-01,72.34717559814453
2017-12-04,70.29600524902344
2017-12-05,71.61787414550781
2017-12-06,70.9797134399414
2017-12-07,71.4264144897461
2017-12-08,74.27072143554688
2017-12-11,74.02458190917969
2017-12-12,74.54421997070312
2017-12-13,76.23985290527344
2017-12-14,75.33733367919922
2017-12-15,74.40748596191406
2017-12-18,76.23072814941406
2017-12-19,76.79593658447266
2017-12-20,75.45584106445312
2017-12-21,73.6872787475586
2017-12-22,73.55054473876953
2017-12-26,72.93062591552734
2017-12-27,73.8057861328125
2017-12-28,73.97090911865234
2017-12-29,72.95269775390625
2018-01-02,74.64969635009766
2018-01-03,75.83301544189453
2018-01-04,75.3743667602539
2018-01-05,75.85137176513672
2018-01-08,74.7047348022461
2018-01-09,73.95255279541016
2018-01-10,74.21858978271484
2018-01-11,75.44776153564453
2018-01-12,76.24581146240234
2018-01-16,76.94295501708984
2018-01-17,78.11710357666016
2018-01-18,79.25452423095703
2018-01-19,78.52070617675781
2018-01-22,79.10778045654297
2018-01-23,80.11679077148438
2018-01-24,79.77740478515625
2018-01-25,80.7130355834961
2018-01-26,82.18989562988281
2018-01-29,80.21768951416016
2018-01-30,79.8782958984375
2018-01-31,81.62117004394531
