,AMAT
2018-06-20,45.06685256958008
2018-06-21,45.44719696044922
2018-06-22,44.49168395996094
2018-06-25,43.33208084106445
2018-06-26,43.29497146606445
2018-06-27,41.977664947509766
2018-06-28,42.01477813720703
2018-06-29,42.84968566894531
2018-07-02,42.37657928466797
2018-07-03,41.56020736694336
2018-07-05,42.15392303466797
2018-07-06,42.794044494628906
2018-07-09,43.155818939208984
2018-07-10,43.35991668701172
2018-07-11,41.9312858581543
2018-07-12,42.37657928466797
2018-07-13,42.794044494628906
2018-07-16,42.961021423339844
2018-07-17,43.879425048828125
2018-07-18,44.78853988647461
2018-07-19,43.29497146606445
2018-07-20,43.37846374511719
2018-07-23,43.07234573364258
2018-07-24,42.589935302734375
2018-07-25,42.63632583618164
2018-07-26,43.758827209472656
2018-07-27,44.807098388671875
2018-07-30,44.445308685302734
2018-07-31,45.11323547363281
2018-08-01,44.50096893310547
2018-08-02,44.63084411621094
2018-08-03,45.30805969238281
2018-08-06,45.90176773071289
2018-08-07,46.04092025756836
2018-08-08,46.5511474609375
2018-08-09,45.60490798950195
2018-08-10,44.64939880371094
2018-08-13,44.76072692871094
2018-08-14,44.88131332397461
2018-08-15,44.07423400878906
2018-08-16,44.0000114440918
2018-08-17,40.604698181152344
2018-08-20,40.38204574584961
2018-08-21,40.595420837402344
2018-08-22,40.064208984375
2018-08-23,39.87782669067383
2018-08-24,39.82190704345703
2018-08-27,40.77248764038086
2018-08-28,40.44631576538086
2018-08-29,40.16671371459961
2018-08-30,40.20400619506836
2018-08-31,40.0921745300293
2018-09-04,39.719390869140625
2018-09-05,39.60755920410156
2018-09-06,37.529327392578125
2018-09-07,37.13791275024414
2018-09-10,36.90492630004883
2018-09-11,36.513511657714844
2018-09-12,35.77727127075195
2018-09-13,36.24324417114258
2018-09-14,36.43895721435547
2018-09-17,36.0661735534668
2018-09-18,36.5228271484375
2018-09-19,36.38304138183594
2018-09-20,36.70920944213867
2018-09-21,36.932884216308594
2018-09-24,36.43895721435547
2018-09-25,35.9543571472168
2018-09-26,35.656124114990234
2018-09-27,35.73999786376953
2018-09-28,36.01959228515625
2018-10-01,35.73067092895508
2018-10-02,36.2525749206543
2018-10-03,36.27120590209961
2018-10-04,35.31130599975586
2018-10-05,34.70554733276367
2018-10-08,34.09978103637695
2018-10-09,33.28899383544922
2018-10-10,32.086795806884766
2018-10-11,30.558401107788086
2018-10-12,31.39715003967285
2018-10-15,31.154842376708984
2018-10-16,32.39432144165039
2018-10-17,32.58071517944336
2018-10-18,31.611488342285156
2018-10-19,31.956310272216797
2018-10-22,31.248031616210938
2018-10-23,31.23871421813965
2018-10-24,29.645097732543945
2018-10-25,30.418601989746094
2018-10-26,30.15766143798828
2018-10-29,29.002056121826172
2018-10-30,30.21358299255371
2018-10-31,30.64226722717285
2018-11-01,32.94416809082031
2018-11-02,32.8696174621582
2018-11-05,31.984268188476562
2018-11-06,32.4968376159668
2018-11-07,32.850975036621094
2018-11-08,32.562076568603516
2018-11-09,31.946992874145508
2018-11-12,30.39996910095215
2018-11-13,31.210758209228516
2018-11-14,31.294641494750977
2018-11-15,32.636634826660156
2018-11-16,32.99077224731445
2018-11-19,32.07746124267578
2018-11-20,33.3355827331543
2018-11-21,32.979469299316406
2018-11-23,32.84825134277344
2018-11-26,33.74795150756836
2018-11-27,33.738563537597656
2018-11-28,34.77883529663086
2018-11-29,34.24465560913086
2018-11-30,34.93817138671875
2018-12-03,35.931575775146484
2018-12-04,33.204383850097656
2018-12-06,32.510868072509766
2018-12-07,31.52683448791504
2018-12-10,32.02352523803711
2018-12-11,31.882951736450195
2018-12-12,32.05165100097656
2018-12-13,31.592422485351562
2018-12-14,30.599016189575195
2018-12-17,30.617759704589844
2018-12-18,31.189434051513672
2018-12-19,29.54936981201172
2018-12-20,28.958940505981445
2018-12-21,28.406007766723633
2018-12-24,27.168920516967773
2018-12-26,28.715280532836914
2018-12-27,29.568115234375
2018-12-28,30.34596824645996
2018-12-31,30.68335723876953
2019-01-02,31.37687110900879
2019-01-03,29.558740615844727
2019-01-04,31.583057403564453
