,ARE
2019-04-08,120.34980773925781
2019-04-09,119.92245483398438
2019-04-10,120.52576446533203
2019-04-11,120.24085235595703
2019-04-12,120.95307922363281
2019-04-15,120.37494659423828
2019-04-16,116.65460205078125
2019-04-17,114.29165649414062
2019-04-18,116.18534851074219
2019-04-22,115.22174072265625
2019-04-23,117.76063537597656
2019-04-24,119.16835021972656
2019-04-25,119.29400634765625
2019-04-26,120.09007263183594
2019-04-29,118.05388641357422
2019-04-30,119.310791015625
2019-05-01,118.97560119628906
2019-05-02,118.07904815673828
2019-05-03,119.2353515625
2019-05-06,118.87505340576172
2019-05-07,116.89756774902344
2019-05-08,117.12380981445312
2019-05-09,117.97850036621094
2019-05-10,119.59565734863281
2019-05-13,119.5621566772461
2019-05-14,120.53411102294922
2019-05-15,121.95023345947266
2019-05-16,122.73785400390625
2019-05-17,122.58704376220703
2019-05-20,121.34691619873047
2019-05-21,122.37754821777344
2019-05-22,121.96694946289062
2019-05-23,120.70172882080078
2019-05-24,121.78260803222656
2019-05-28,121.35527801513672
2019-05-29,120.79387664794922
2019-05-30,121.95023345947266
2019-05-31,122.67919921875
2019-06-03,123.3997802734375
2019-06-04,123.2824935913086
2019-06-05,126.22357940673828
2019-06-06,126.24034118652344
2019-06-07,126.2739028930664
2019-06-10,125.95547485351562
2019-06-11,126.55035400390625
2019-06-12,127.36311340332031
2019-06-13,127.99996185302734
2019-06-14,126.77659606933594
2019-06-17,124.9834976196289
2019-06-18,124.63153076171875
2019-06-19,125.31028747558594
2019-06-20,125.62866973876953
2019-06-21,121.73234558105469
2019-06-24,122.01722717285156
2019-06-25,119.12639617919922
2019-06-26,116.39482879638672
2019-06-27,118.20943450927734
2019-06-28,119.07872009277344
2019-07-01,120.85108947753906
2019-07-02,121.76261901855469
2019-07-03,123.05390930175781
2019-07-05,122.37876892089844
2019-07-08,123.00328063964844
2019-07-09,124.89383697509766
2019-07-10,125.68717956542969
2019-07-11,122.581298828125
2019-07-12,122.96952056884766
2019-07-15,122.65721893310547
2019-07-16,120.72452545166016
2019-07-17,120.68232727050781
2019-07-18,121.40812683105469
2019-07-19,119.49230194091797
2019-07-22,118.909912109375
2019-07-23,120.17593383789062
2019-07-24,120.57257843017578
2019-07-25,120.74137878417969
2019-07-26,121.07901763916016
2019-07-29,121.66133117675781
2019-07-30,124.92759704589844
2019-07-31,123.52655029296875
2019-08-01,122.83450317382812
2019-08-02,122.2690200805664
2019-08-05,120.41223907470703
2019-08-06,121.77106475830078
2019-08-07,121.83856964111328
2019-08-08,123.6025161743164
2019-08-09,122.64881134033203
2019-08-12,120.56417083740234
2019-08-13,121.754150390625
2019-08-14,120.82579803466797
2019-08-15,122.5137939453125
2019-08-16,124.9951400756836
2019-08-19,125.71249389648438
2019-08-20,124.77568054199219
2019-08-21,125.3749008178711
2019-08-22,126.10075378417969
2019-08-23,123.92324829101562
2019-08-26,124.26927185058594
2019-08-27,123.42525482177734
2019-08-28,124.41275024414062
2019-08-29,126.07540130615234
2019-08-30,126.46363830566406
2019-09-03,126.59028625488281
2019-09-04,128.7845916748047
2019-09-05,128.44700622558594
2019-09-06,129.22349548339844
2019-09-09,128.7508544921875
2019-09-10,127.95750427246094
2019-09-11,128.56521606445312
2019-09-12,129.45140075683594
2019-09-13,127.88156127929688
2019-09-16,129.26573181152344
2019-09-17,129.9071502685547
2019-09-18,129.14752197265625
2019-09-19,130.00840759277344
2019-09-20,129.5019989013672
2019-09-23,129.58639526367188
2019-09-24,129.2572479248047
2019-09-25,129.569580078125
2019-09-26,131.01275634765625
2019-09-27,130.06137084960938
2019-09-30,130.85134887695312
2019-10-01,130.08682250976562
2019-10-02,129.0334930419922
2019-10-03,130.9363250732422
2019-10-04,131.49697875976562
2019-10-07,131.11471557617188
2019-10-08,130.0528564453125
2019-10-09,130.6900177001953
