,BKR
2017-05-19,32.7286376953125
2017-05-22,32.60496520996094
2017-05-23,32.41945266723633
2017-05-24,32.00345230102539
2017-05-25,30.828561782836914
2017-05-26,31.171476364135742
2017-05-30,30.95785140991211
2017-05-31,31.00281524658203
2017-06-01,31.21644401550293
2017-06-02,30.890390396118164
2017-06-05,30.766719818115234
2017-06-06,31.25579261779785
2017-06-07,30.513751983642578
2017-06-08,30.54747200012207
2017-06-09,31.21644401550293
2017-06-12,31.570598602294922
2017-06-13,32.082149505615234
2017-06-14,31.54248809814453
2017-06-15,31.660545349121094
2017-06-16,32.20582580566406
2017-06-19,31.789844512939453
2017-06-20,31.18271827697754
2017-06-21,30.834178924560547
2017-06-22,30.648662567138672
2017-06-23,30.350723266601562
2017-06-26,30.187694549560547
2017-06-27,30.00218963623047
2017-06-28,30.075271606445312
2017-06-29,30.086515426635742
2017-06-30,30.643035888671875
2017-07-03,32.42507553100586
2017-07-05,30.06057357788086
2017-07-06,29.866893768310547
2017-07-07,30.593183517456055
2017-07-10,30.044435501098633
2017-07-11,30.141267776489258
2017-07-12,30.157413482666016
2017-07-13,29.729705810546875
2017-07-14,30.141267776489258
2017-07-17,30.375303268432617
2017-07-18,29.657073974609375
2017-07-19,29.487611770629883
2017-07-20,28.22062873840332
2017-07-21,27.53468132019043
2017-07-24,27.728355407714844
2017-07-25,28.446582794189453
2017-07-26,29.09217643737793
2017-07-27,29.180952072143555
2017-07-28,29.939529418945312
2017-07-31,29.77005958557129
2017-08-01,28.80972671508789
2017-08-02,28.52728271484375
2017-08-03,28.4950008392334
2017-08-04,28.430442810058594
2017-08-07,27.889753341674805
2017-08-08,28.196413040161133
2017-08-09,28.399150848388672
2017-08-10,28.13965606689453
2017-08-11,27.807165145874023
2017-08-14,27.782833099365234
2017-08-15,27.823387145996094
2017-08-16,27.434123992919922
2017-08-17,26.598859786987305
2017-08-18,26.57453727722168
2017-08-21,26.388017654418945
2017-08-22,26.50965118408203
2017-08-23,26.79349136352539
2017-08-24,26.615081787109375
2017-08-25,26.971893310546875
2017-08-28,26.963788986206055
2017-08-29,27.36925506591797
2017-08-30,27.174631118774414
2017-08-31,27.490901947021484
2017-09-01,27.81527328491211
2017-09-05,28.35860824584961
2017-09-06,28.172090530395508
2017-09-07,28.180194854736328
2017-09-08,27.912588119506836
2017-09-11,28.77218246459961
2017-09-12,29.161441802978516
2017-09-13,29.266860961914062
2017-09-14,29.502023696899414
2017-09-15,29.92372703552246
2017-09-18,30.296756744384766
2017-09-19,30.321081161499023
2017-09-20,30.410287857055664
2017-09-21,29.664216995239258
2017-09-22,29.737201690673828
2017-09-25,30.42650032043457
2017-09-26,30.037256240844727
2017-09-27,29.948047637939453
2017-09-28,30.02913475036621
2017-09-29,29.696666717529297
2017-10-02,29.891286849975586
2017-10-03,29.737201690673828
2017-10-04,29.769643783569336
2017-10-05,29.583120346069336
2017-10-06,29.6236629486084
2017-10-09,29.064117431640625
2017-10-10,28.35860824584961
2017-10-11,27.888254165649414
2017-10-12,27.507116317749023
2017-10-13,27.353036880493164
2017-10-16,27.328712463378906
2017-10-17,27.401695251464844
2017-10-18,27.409801483154297
2017-10-19,26.882688522338867
2017-10-20,26.971893310546875
2017-10-23,25.520305633544922
2017-10-24,24.887779235839844
2017-10-25,24.384994506835938
2017-10-26,24.279571533203125
2017-10-27,25.382448196411133
2017-10-30,25.544639587402344
2017-10-31,25.487876892089844
2017-11-01,25.82847023010254
2017-11-02,25.36623191833496
2017-11-03,25.43148422241211
2017-11-06,27.66632080078125
