,EQT
2021-08-24,15.770761489868164
2021-08-25,16.597793579101562
2021-08-26,16.49323081970215
2021-08-27,17.700511932373047
2021-08-30,17.2156982421875
2021-08-31,17.424833297729492
2021-09-01,17.824094772338867
2021-09-02,18.85076332092285
2021-09-03,19.516199111938477
2021-09-07,19.316564559936523
2021-09-08,19.459152221679688
2021-09-09,18.8887882232666
2021-09-10,18.441993713378906
2021-09-13,18.983844757080078
2021-09-14,18.56557846069336
2021-09-15,19.56372833251953
2021-09-16,18.403968811035156
2021-09-17,17.9001407623291
2021-09-20,17.83359718322754
2021-09-21,17.481870651245117
2021-09-22,17.97618865966797
2021-09-23,18.508535385131836
2021-09-24,19.002857208251953
2021-09-27,21.236812591552734
2021-09-28,20.989654541015625
2021-09-29,19.7158260345459
2021-09-30,19.449649810791016
2021-10-01,19.60175132751465
2021-10-04,20.419281005859375
2021-10-05,20.5523681640625
2021-10-06,19.953474044799805
2021-10-07,20.2481689453125
2021-10-08,19.848905563354492
2021-10-11,18.91730499267578
2021-10-12,18.85076332092285
2021-10-13,18.86977195739746
2021-10-14,19.421131134033203
2021-10-15,18.831748962402344
2021-10-18,19.06940269470215
2021-10-19,19.25002098083496
2021-10-20,20.31471061706543
2021-10-21,19.696809768676758
2021-10-22,20.343231201171875
2021-10-25,21.398414611816406
2021-10-26,21.41743278503418
2021-10-27,20.999155044555664
2021-10-28,19.6397762298584
2021-10-29,18.926809310913086
2021-11-01,19.60175132751465
2021-11-02,19.373598098754883
2021-11-03,19.421131134033203
2021-11-04,19.364093780517578
2021-11-05,19.56372833251953
2021-11-08,19.677797317504883
2021-11-09,19.316564559936523
2021-11-10,18.670143127441406
2021-11-11,20.153108596801758
2021-11-12,20.305206298828125
2021-11-15,20.78050994873047
2021-11-16,20.913604736328125
2021-11-17,20.33372688293457
2021-11-18,20.058048248291016
2021-11-19,19.791872024536133
2021-11-22,19.858415603637695
2021-11-23,20.086563110351562
2021-11-24,20.2481689453125
2021-11-26,19.953474044799805
2021-11-29,19.687305450439453
2021-11-30,18.470516204833984
2021-12-01,17.453351974487305
2021-12-02,17.633968353271484
2021-12-03,18.60359764099121
2021-12-06,18.755693435668945
2021-12-07,19.535202026367188
2021-12-08,19.934465408325195
2021-12-09,19.687305450439453
2021-12-10,19.82989501953125
2021-12-13,19.126441955566406
2021-12-14,20.219654083251953
2021-12-15,19.934465408325195
2021-12-16,20.343231201171875
2021-12-17,20.210147857666016
2021-12-20,20.200637817382812
2021-12-21,20.143604278564453
2021-12-22,21.084714889526367
2021-12-23,21.037187576293945
2021-12-27,21.6931095123291
2021-12-28,21.740644454956055
2021-12-29,21.674095153808594
2021-12-30,20.951627731323242
2021-12-31,20.732982635498047
2022-01-03,20.74249267578125
2022-01-04,21.303356170654297
2022-01-05,20.618911743164062
2022-01-06,20.704465866088867
2022-01-07,21.683603286743164
2022-01-10,21.86422348022461
2022-01-11,22.36804962158203
2022-01-12,23.442245483398438
2022-01-13,22.349035263061523
2022-01-14,22.615211486816406
2022-01-18,21.550514221191406
2022-01-19,21.103723526000977
2022-01-20,20.077058792114258
2022-01-21,19.544710159301758
2022-01-24,19.630268096923828
2022-01-25,19.10742950439453
2022-01-26,18.765201568603516
2022-01-27,19.278539657592773
2022-01-28,20.096071243286133
2022-01-31,20.200637817382812
2022-02-01,20.71397590637207
2022-02-02,21.056190490722656
2022-02-03,20.295700073242188
2022-02-04,20.495332717895508
2022-02-07,20.124588012695312
2022-02-08,20.134096145629883
2022-02-09,20.43829345703125
2022-02-10,20.59990119934082
2022-02-11,21.924142837524414
2022-02-14,21.771163940429688
2022-02-15,22.08668327331543
2022-02-16,22.39264678955078
2022-02-17,22.19186019897461
2022-02-18,21.340904235839844
2022-02-22,20.67160987854004
2022-02-23,20.862838745117188
2022-02-24,21.25484848022461
2022-02-25,21.76160430908203
2022-02-28,22.124929428100586
2022-03-01,23.348785400390625
2022-03-02,23.788602828979492
2022-03-03,23.759920120239258
2022-03-04,25.203683853149414
2022-03-07,25.356660842895508
2022-03-08,24.486583709716797
2022-03-09,24.9837703704834
2022-03-10,25.796483993530273
2022-03-11,25.81560516357422
2022-03-14,24.30491828918457
2022-03-15,24.51526641845703
2022-03-16,24.926403045654297
2022-03-17,25.863414764404297
2022-03-18,25.930347442626953
2022-03-21,27.173316955566406
2022-03-22,26.962968826293945
2022-03-23,27.4410343170166
2022-03-24,29.391544342041016
2022-03-25,32.824066162109375
2022-03-28,33.36906051635742
2022-03-29,32.51810073852539
2022-03-30,32.67108154296875
2022-03-31,32.90055847167969
2022-04-01,34.449493408203125
2022-04-04,34.76502227783203
2022-04-05,34.64072036743164
2022-04-06,35.68290710449219
2022-04-07,34.74589538574219
2022-04-08,36.62948226928711
2022-04-11,37.45175552368164
2022-04-12,38.34095764160156
2022-04-13,39.98550796508789
2022-04-14,40.5018196105957
2022-04-18,43.50407409667969
2022-04-19,42.04119873046875
2022-04-20,42.691368103027344
2022-04-21,40.195858001708984
2022-04-22,37.99675369262695
2022-04-25,37.95850372314453
2022-04-26,37.231842041015625
2022-04-27,37.83420944213867
2022-04-28,38.80945587158203
2022-04-29,38.00631332397461
2022-05-02,37.71946716308594
2022-05-03,40.21498107910156
2022-05-04,41.06593704223633
2022-05-05,40.081111907958984
2022-05-06,39.24928665161133
2022-05-09,34.94668197631836
2022-05-10,35.11458206176758
2022-05-11,36.275474548339844
2022-05-12,36.17953109741211
2022-05-13,36.6496467590332
2022-05-16,38.14632797241211
2022-05-17,40.7463493347168
2022-05-18,38.79873275756836
2022-05-19,38.875484466552734
2022-05-20,39.19209289550781
2022-05-23,42.67477035522461
2022-05-24,43.288795471191406
2022-05-25,44.948585510253906
2022-05-26,45.476261138916016
2022-05-27,46.464454650878906
2022-05-31,45.78327178955078
2022-06-01,47.77885818481445
2022-06-02,46.88660430908203
2022-06-03,46.04232406616211
2022-06-06,47.030517578125
2022-06-07,47.75967025756836
2022-06-08,46.9825439453125
2022-06-09,46.11907196044922
2022-06-10,46.01354217529297
2022-06-13,43.24082946777344
2022-06-14,39.17290496826172
2022-06-15,39.56627655029297
2022-06-16,37.023807525634766
2022-06-17,34.48136520385742
2022-06-21,35.30646896362305
2022-06-22,33.65626907348633
2022-06-23,31.795005798339844
2022-06-24,33.66586685180664
2022-06-27,35.16255187988281
2022-06-28,36.688018798828125
2022-06-29,35.99724197387695
2022-06-30,33.003868103027344
2022-07-01,32.879150390625
2022-07-05,30.91234588623047
2022-07-06,30.365478515625
2022-07-07,33.1381950378418
2022-07-08,32.81198501586914
2022-07-11,33.15738296508789
2022-07-12,32.99427032470703
2022-07-13,35.172149658203125
2022-07-14,34.65406036376953
2022-07-15,35.133766174316406
2022-07-18,36.323448181152344
2022-07-19,37.55149459838867
2022-07-20,39.5374870300293
2022-07-21,40.717567443847656
2022-07-22,40.516082763671875
2022-07-25,43.154476165771484
2022-07-26,43.72053146362305
