,NTRS
2015-06-16,59.97428894042969
2015-06-17,59.62527847290039
2015-06-18,60.26123809814453
2015-06-19,60.152645111083984
2015-06-22,60.65677261352539
2015-06-23,60.80413055419922
2015-06-24,60.26898956298828
2015-06-25,60.25349426269531
2015-06-26,60.990272521972656
2015-06-29,59.159942626953125
2015-06-30,59.29953384399414
2015-07-01,59.679569244384766
2015-07-02,59.47016525268555
2015-07-06,58.93498611450195
2015-07-07,58.841957092285156
2015-07-08,57.430450439453125
2015-07-09,57.965572357177734
2015-07-10,59.23750305175781
2015-07-13,59.842430114746094
2015-07-14,59.90448760986328
2015-07-15,60.26898956298828
2015-07-16,61.00577926635742
2015-07-17,60.431861877441406
2015-07-20,60.75760269165039
2015-07-21,60.532691955566406
2015-07-22,60.47065734863281
2015-07-23,60.49390411376953
2015-07-24,59.69507598876953
2015-07-27,58.764400482177734
2015-07-28,59.330543518066406
2015-07-29,59.52446746826172
2015-07-30,59.91999816894531
2015-07-31,59.322792053222656
2015-08-03,59.42365264892578
2015-08-04,59.87344741821289
2015-08-05,59.88121795654297
2015-08-06,59.834678649902344
2015-08-07,60.230220794677734
2015-08-10,60.90498733520508
2015-08-11,60.23796081542969
2015-08-12,59.408103942871094
2015-08-13,59.71059036254883
2015-08-14,60.26123809814453
2015-08-17,60.206947326660156
2015-08-18,60.183677673339844
2015-08-19,59.98203659057617
2015-08-20,58.19047927856445
2015-08-21,56.24381637573242
2015-08-24,52.08681106567383
2015-08-25,50.60547637939453
2015-08-26,52.7537841796875
2015-08-27,54.34370422363281
2015-08-28,54.39799118041992
2015-08-31,54.16530227661133
2015-09-01,52.738285064697266
2015-09-02,53.74407958984375
2015-09-03,54.13392639160156
2015-09-04,53.23728561401367
2015-09-08,55.007198333740234
2015-09-09,54.321041107177734
2015-09-10,54.50038528442383
2015-09-11,54.60173797607422
2015-09-14,54.59392547607422
2015-09-15,55.19432067871094
2015-09-16,55.19432067871094
2015-09-17,54.12613296508789
2015-09-18,52.340633392333984
2015-09-21,53.32304763793945
2015-09-22,52.50436782836914
2015-09-23,52.6213264465332
2015-09-24,52.33283996582031
2015-09-25,53.837646484375
2015-09-28,52.35623550415039
2015-09-29,52.4342041015625
2015-09-30,53.14372253417969
2015-10-01,53.182708740234375
2015-10-02,52.543357849121094
2015-10-05,53.62714385986328
2015-10-06,53.29185485839844
2015-10-07,53.79866409301758
2015-10-08,53.8922233581543
2015-10-09,53.393211364746094
2015-10-12,53.642723083496094
2015-10-13,53.362037658691406
2015-10-14,52.76947784423828
2015-10-15,54.14951705932617
2015-10-16,53.88444137573242
2015-10-19,53.284061431884766
2015-10-20,54.24307632446289
2015-10-21,51.88842010498047
2015-10-22,53.096923828125
2015-10-23,53.93119812011719
2015-10-26,53.7206916809082
2015-10-27,53.74407958984375
2015-10-28,55.70111846923828
2015-10-29,55.37364196777344
2015-10-30,54.882423400878906
2015-11-02,55.584163665771484
2015-11-03,55.927215576171875
2015-11-04,56.270259857177734
2015-11-05,57.13573455810547
2015-11-06,58.453433990478516
2015-11-09,57.72829818725586
2015-11-10,58.336456298828125
2015-11-11,58.43781661987305
2015-11-12,57.658119201660156
2015-11-13,57.09674072265625
2015-11-16,57.70491027832031
2015-11-17,57.6815185546875
2015-11-18,59.069366455078125
2015-11-19,58.78868865966797
2015-11-20,58.97581100463867
2015-11-23,58.632720947265625
2015-11-24,58.554779052734375
2015-11-25,58.4768180847168
2015-11-27,58.8978385925293
2015-11-30,58.43003463745117
2015-12-01,58.49238967895508
2015-12-02,58.132015228271484
2015-12-03,57.01166534423828
2015-12-04,59.174007415771484
2015-12-07,58.45323181152344
2015-12-08,58.22602462768555
2015-12-09,56.78447723388672
2015-12-10,56.5102653503418
2015-12-11,54.92771530151367
2015-12-14,54.865020751953125
2015-12-15,56.941162109375
2015-12-16,58.01449966430664
2015-12-17,56.38491439819336
2015-12-18,54.88852310180664
2015-12-21,55.74249267578125
2015-12-22,56.43975830078125
2015-12-23,57.27021789550781
2015-12-24,57.160526275634766
2015-12-28,57.11351013183594
2015-12-29,57.64625930786133
2015-12-30,57.05868911743164
2015-12-31,56.47893142700195
2016-01-04,55.303749084472656
2016-01-05,55.38210678100586
2016-01-06,54.0659065246582
