,A
2018-03-13,67.22844696044922
2018-03-14,66.50557708740234
2018-03-15,66.75286102294922
2018-03-16,66.4865493774414
2018-03-19,65.95390319824219
2018-03-20,66.43898010253906
2018-03-21,66.01095581054688
2018-03-22,64.17522430419922
2018-03-23,62.83406448364258
2018-03-26,64.86954498291016
2018-03-27,63.72816467285156
2018-03-28,63.1574821472168
2018-03-29,63.6330451965332
2018-04-02,61.42045593261719
2018-04-03,62.364219665527344
2018-04-04,62.392822265625
2018-04-05,62.61207580566406
2018-04-06,60.6768913269043
2018-04-09,62.14496994018555
2018-04-10,63.527244567871094
2018-04-11,62.99339294433594
2018-04-12,64.06108093261719
2018-04-13,64.07061004638672
2018-04-16,64.98576354980469
2018-04-17,65.24314880371094
2018-04-18,66.30131530761719
2018-04-19,64.79511260986328
2018-04-20,64.39473724365234
2018-04-23,64.89043426513672
2018-04-24,63.527244567871094
2018-04-25,62.726470947265625
2018-04-26,63.26983642578125
2018-04-27,63.18404006958008
2018-04-30,62.669281005859375
2018-05-01,63.145904541015625
2018-05-02,62.831336975097656
2018-05-03,63.24123764038086
2018-05-04,63.870418548583984
2018-05-07,64.24220275878906
2018-05-08,64.22313690185547
2018-05-09,64.94762420654297
2018-05-10,65.64354705810547
2018-05-11,66.20597076416016
2018-05-14,65.97718811035156
2018-05-15,59.58061981201172
2018-05-16,59.0467643737793
2018-05-17,60.61970138549805
2018-05-18,61.31560134887695
2018-05-21,62.48815155029297
2018-05-22,61.81131362915039
2018-05-23,61.51579284667969
2018-05-24,61.12494659423828
2018-05-25,60.20025634765625
2018-05-29,58.96097183227539
2018-05-30,59.76173400878906
2018-05-31,59.02770233154297
2018-06-01,59.8475341796875
2018-06-04,60.41951370239258
2018-06-05,60.5529670715332
2018-06-06,62.14496994018555
2018-06-07,62.18309020996094
2018-06-08,62.65975570678711
2018-06-11,63.041046142578125
2018-06-12,63.222171783447266
2018-06-13,63.164981842041016
2018-06-14,63.212650299072266
2018-06-15,63.041046142578125
2018-06-18,61.935245513916016
2018-06-19,60.5529670715332
2018-06-20,59.8570556640625
2018-06-21,60.095394134521484
2018-06-22,59.8570556640625
2018-06-25,58.34133529663086
2018-06-26,59.08489990234375
2018-06-27,58.28413772583008
2018-06-28,58.427127838134766
2018-06-29,58.95144271850586
2018-07-02,58.740257263183594
2018-07-03,58.53002166748047
2018-07-05,59.055599212646484
2018-07-06,59.52385330200195
2018-07-09,60.316978454589844
2018-07-10,60.84255599975586
2018-07-11,60.06852340698242
2018-07-12,60.63232421875
2018-07-13,60.56544494628906
2018-07-16,59.934749603271484
2018-07-17,60.24053955078125
2018-07-18,60.1927604675293
2018-07-19,61.30125045776367
2018-07-20,61.01456069946289
2018-07-23,60.89033126831055
2018-07-24,61.91282653808594
2018-07-25,63.0308723449707
2018-07-26,63.78578186035156
2018-07-27,62.8302001953125
2018-07-30,61.75992965698242
2018-07-31,63.10730743408203
2018-08-01,62.094383239746094
2018-08-02,62.390628814697266
2018-08-03,62.811092376708984
2018-08-06,63.55644607543945
2018-08-07,64.65538787841797
2018-08-08,64.38780975341797
2018-08-09,63.72844696044922
2018-08-10,63.317543029785156
2018-08-13,63.011756896972656
2018-08-14,63.78578186035156
2018-08-15,61.855491638183594
2018-08-16,62.59130096435547
2018-08-17,61.78860855102539
2018-08-20,61.60702896118164
2018-08-21,62.04660415649414
2018-08-22,62.73463821411133
2018-08-23,62.772850036621094
2018-08-24,63.049991607666016
2018-08-27,63.145538330078125
2018-08-28,63.72844696044922
2018-08-29,64.03423309326172
2018-08-30,64.27313232421875
2018-08-31,64.54069519042969
2018-09-04,64.28271484375
2018-09-05,63.986454010009766
2018-09-06,64.36869049072266
2018-09-07,64.40691375732422
2018-09-10,64.91338348388672
2018-09-11,64.61714935302734
2018-09-12,64.89427947998047
2018-09-13,66.251220703125
2018-09-14,65.79252624511719
2018-09-17,66.01231384277344
2018-09-18,65.86897277832031
