,PNC
2018-02-23,126.45864868164062
2018-02-26,127.83309936523438
2018-02-27,126.56922912597656
2018-02-28,124.53911590576172
2018-03-01,123.21993255615234
2018-03-02,124.35742950439453
2018-03-05,125.36856079101562
2018-03-06,125.86620330810547
2018-03-07,126.10321044921875
2018-03-08,125.98474884033203
2018-03-09,128.3228759765625
2018-03-12,128.17282104492188
2018-03-13,126.77465057373047
2018-03-14,124.87881469726562
2018-03-15,124.70503234863281
2018-03-16,126.44287872314453
2018-03-19,125.9372787475586
2018-03-20,125.47911071777344
2018-03-21,125.51072692871094
2018-03-22,121.07929229736328
2018-03-23,116.30813598632812
2018-03-26,120.8659896850586
2018-03-27,117.84059143066406
2018-03-28,118.05387878417969
2018-03-29,119.46783447265625
2018-04-02,117.16128540039062
2018-04-03,119.35725402832031
2018-04-04,120.46314239501953
2018-04-05,120.66854858398438
2018-04-06,116.8689956665039
2018-04-09,117.86431121826172
2018-04-10,119.70481872558594
2018-04-11,118.04598999023438
2018-04-12,120.45521545410156
2018-04-13,115.47003173828125
2018-04-16,114.18399047851562
2018-04-17,111.81838989257812
2018-04-18,112.45345306396484
2018-04-19,114.51740264892578
2018-04-20,114.40625762939453
2018-04-23,115.27154541015625
2018-04-24,115.1128158569336
2018-04-25,115.66053771972656
2018-04-26,115.68435668945312
2018-04-27,116.96240234375
2018-04-30,115.58909606933594
2018-05-01,115.3747329711914
2018-05-02,114.00141143798828
2018-05-03,115.12074279785156
2018-05-04,115.5811538696289
2018-05-07,115.81928253173828
2018-05-08,117.11321258544922
2018-05-09,119.30418395996094
2018-05-10,119.74076080322266
2018-05-11,119.84397888183594
2018-05-14,119.3518295288086
2018-05-15,119.70108795166016
2018-05-16,119.0342788696289
2018-05-17,119.5899658203125
2018-05-18,118.08961486816406
2018-05-21,118.62150573730469
2018-05-22,119.77254486083984
2018-05-23,118.85966491699219
2018-05-24,117.88324737548828
2018-05-25,117.60541534423828
2018-05-29,112.12799835205078
2018-05-30,114.55709838867188
2018-05-31,113.84268951416016
2018-06-01,115.20010375976562
2018-06-04,116.32735443115234
2018-06-05,115.41445922851562
2018-06-06,117.20055389404297
2018-06-07,117.49425506591797
2018-06-08,118.16108703613281
2018-06-11,116.71631622314453
2018-06-12,116.84333801269531
2018-06-13,115.5811538696289
2018-06-14,112.59634399414062
2018-06-15,114.28716278076172
2018-06-18,113.12030029296875
2018-06-19,112.84246063232422
2018-06-20,112.2073745727539
2018-06-21,112.19943237304688
2018-06-22,110.62764739990234
2018-06-25,109.88939666748047
2018-06-26,108.97648620605469
2018-06-27,107.40471649169922
2018-06-28,107.61908721923828
2018-06-29,107.2459716796875
2018-07-02,107.89690399169922
2018-07-03,106.68236541748047
2018-07-05,107.62699890136719
2018-07-06,107.96040344238281
